TCT Elite-Select Challenge 2017,Club - Women ,19,8,2017
Appleton,WI,2017-08-19,2017-08-20
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2017/schedule/Women/Club-Women/
Wildfire,8
teamInfo,,"San Diego, California",,https://www.facebook.com/WildfireUltimate,https://twitter.com/sd_wildfire
0,Erin Crider
01,Sharon Tseng
02,Melissa Dunn
04,Kristen Pojunis
05,Rachel Ling
10,Julia Johnson
11,Tiffanie Gallo
13,Corey Atkins
14,Chelsea Cotton
18,Natalie Griffin
19,Amanda Albi
20,Kelli Iwamoto
21,Jane Griffin
22,Alyssa Perez
24,Vivi Stevens
28,Stephanie Pritchard
29,Felicia Yang
44,Rayna Wachs
51,Lindsay Lang
52,Annie Ngo
81,Ellen Smith
89,Brenda Stevens
b,r,e,a,k
Underground,1
teamInfo,,"Seattle, Washington",https://www.seattleundergroundulti.com/,https://www.facebook.com/SeattleUnderground,https://twitter.com/UG_Seattle
coaches,Frank Nam
0,Marianna Heckendorn
01,Jessica Spaulding
02,Lindsey Wilson
03,Daniella Welsh
04,Nicole Cramer
05,Tiffany Phan
06,Molly Sinnott
07,Mia Greenwald
08,Carly Campana
14,Madeline Stephenson
17,Ellen Goldberg
23,Anh-Thu Chang
26,Stephanie Phillips
27,Anne Silver
28,Nora Carr
33,Catherine (Cate) Roscoe
34,Caitlin Cordell
36,Sophia Johansen
47,Amanda Kostic
51,Kate Crawford
77,Taylor Hartman
84,Hallie Dunham
91,Tessora Young
b,r,e,a,k
Wicked,13
teamInfo,,"Kansas City, Kansas",Wickedultimate.com,https://www.facebook.com/kcwickedultimate,https://twitter.com/WickedUltimate
1,Ashleigh Buch
4,Sadie Callison
5,Taylor Cauthon
5,Courtney Walbe
6,Carey Jacquinot
8,Stephanie Rupp
9,Caitlin Lisk
10,McKenzie Geltz
11,Jordan Alonzo
12,Clare Frantz
13,Malaina Piyassaphan
14,Kelsey Akin
14,Janani Ragothaman
17,Laura Gehrt
18,Haley Johnson
19,Jenna Galletta
20,Nadine Rowen
22,Kate Eshelman
24,Katherine Lockee
28,Megan Burns
45,Janie Reiter
86,Amanda Johnson
87,Amanda Borders
b,r,e,a,k
Grit,12
teamInfo,,"Washington, District of Columbia",https://gritultimate.wordpress.com/,https://www.facebook.com/GritUltimate,https://www.twitter.com/GritUltimate
coaches,Samantha Broaddus
1,Caroline Tornquist
2,Lauren Privette
3,Katie Judd
5,Jessie Durrett
8,Anastasia Mark
9,SALLY HARDIN
11,Sarah Buxbaum
14,Grace Champion
15,Elizabeth (Libby) Chamberlin
16,Grace Riley-Adams
17,Elizabeth Pugh
18,Lukiih Cuan
19,Lauren Allen
21,Caroline Buhse
23,Leigh Dairaghi
24,Grace Castro
25,Neena Kashyap
27,Jacqui Rhodes
28,Hanna Finigan
37,Carolyn Clendenin
44,Katherine Buckingham 
48,Emily Schwartz
61,Kristin Poinar
64,Becca Arbacher
73,Julia Petro
83,Maggie Soto
93,Kate Trenerry
b,r,e,a,k
Schwa,7
teamInfo,,"Portland, Oregon",,https://www.facebook.com/schwaultimate,https://twitter.com/SchwaUltimate
0,Katie Weatherhead
6,Demri Horton
8,Eva Popp
9,Brenna Bailey
01,Emily Witt
11,Emily Flanders
12,Mariel Hammond
13,Kelly Hansen
14,Samantha Rodenberg
16,Kristen Rosenblum
16,Jenica Villamor
18,Julia Sherwood
19,Julia Bladin
20,Clea Poklemba
21,Kristina Snodgrass
22,Natalie Hancock
24,Aubri Bishop
25,Lauren Truxillo
33,Kendra Wahl
35,Chelsea Twohig
37,Rebecca Perston
43,Ella Hansen
77,Strat Stratton
99,Noelle Takahashi
b,r,e,a,k
Nightlock,2
teamInfo,,"Bay Area, California",http://www.nightlockult.com/,https://www.facebook.com/NightlockUlt/,https://twitter.com/nightlockult/
coaches,Emanuela Argilli
0,Eliza Chang
2,Marisa Rafter
4,Julia Ting
5,Anne Gordon
7,Claire Sharman
9,Audrey Lyman
10,Angela Aie
14,Emily Kolanz
15,Alison Griffith
18,SHANNON BUBB
18,Michelle McGhee
19,Adrienne Lemberger
22,Kaitlin Swinnerton
23,Sabrina Ciccarelli
24,Natasha Won
27,Kira Lou
42,Jackelyne Nguyen
51,Shayla Harris
96,Patricia Anderson
b,r,e,a,k
Phoenix,11
