2017 Stanford Open powered by SAVAGE,College - Men ,11,2,2017
Morgan Hill,CA,2017-02-11,2017-02-12
https://play.usaultimate.org/events/2017-Stanford-Open-powered-by-SAVAGE/schedule/Men/CollegeMen/
Oregon State,1
teamInfo,Beavers,"Corvallis, Oregon",http://osumensultimate.wix.com/oregon-state-ultimate,https://www.facebook.com/osubeaversultimatedisc,https://twitter.com/OSU_ultimate
coaches,Andrew Buermeyer
0,Aaron Peterschmidt
0,IAN BOGLEY
1,Sam Amaro
3,Jacob Ramsey
4,Nick Maher
6,Eric Callahan
7,Jacob Wigen
8,Andrew McCullough
10,Ryan Rogers
12,Dan Baumgartner
13,Jacob Chickadonz
16,Beryl Terry
17,Kyle Furukawa
18,Edward Simpson
19,Aaron Rogers
21,avner batat
24,Andrew Lewis
25,William Rowley
26,Taylor White
28,George Rear
30,Drew Peterschmidt
35,Kalen Pegeder
36,Adam Schneiderhan
62,Quinn Buermeyer
77,Jack Hubner
89,David Rong
b,r,e,a,k
Las Positas,17
teamInfo,Hawks,"Livermore, California",http://www.lpcultimate.com,,
0,Cody Kirkland
0,JUAN GONZALEZ
0,Kuni Okabe
0,Stephen Johnson
0,Wilson Tran
2,Cameron Beck
3,Christopher Giles
7,Rio Chuck
22,Sheliemae Lai
38,Jonah Taylor
44,Conor Bauman
98,Wyatt Berreman
99,Maxwell Friedmann
b,r,e,a,k
Lewis & Clark,16
teamInfo,Bacchus ,"Portland, Oregon",lclark.edu,,
coaches,Kyle Barton
0,Eric Sauer
0,Gabriel Andrade
0,Henry Sutter
0,Jack Hochberg
0,Jackson Tejeda
0,JOHNNY MALLOY
0,Jonas Miller-Stockie
0,Andrew Jonash
0,Azen Jaffe
0,Blake Murray
0,Caleb Dinino-Childers
0,Peter Huizenga
5,Tim Collins
7,Oliver Boal
31,William Beck
32,Abraham Weill
50,David Levcovitz
b,r,e,a,k
California (B),32
teamInfo,Thugmo,"Berkeley, California",,,
0,Timothy Ross
02,JOHN HO
04,Aidan Kahng
06,Oliver Wang
07,Jeremy Warner
08,Zun Zhang
10,Myron Liu
12,Edward Diven
13,Brian Burks
17,John Diven
18,Howard Ki
19,Gavin Glascott
22,Christopher Lung
23,David Campos
24,Erik Jorgensen
26,Riley Ng
27,Jack Baumruk
28,Walter Wu
33,Austin Leung
47,Christopher Akers
69,Paul Karim
88,Jeffrey Liu
b,r,e,a,k
Southern California,2
teamInfo,USC Lockdown,"Los Angeles, California",https://www.facebook.com/uscmensultimate/,https://www.facebook.com/uscmensultimate/,https://www.twitter.com/uscmensultimate/
0,Ghenki Okumoto
0,Jordan Chock-Wong
0,Reece Matsumoto
0,Rowan McEvoy
1,James Toh
2,Sam Cook
3,Ricky Kirkpatrick
3,Edwin Chen
4,Wyatt Paul
10,Shawn Chang
11,Chris Holmes
13,Matt Burke
17,Alex Koh
23,Michael Wilson
26,Alexander Tovar
29,David Sealand
35,Jasper McEvoy
45,Michael Sylvester
55,Drew Okenfuss
88,Gideon Elson
94,Jacob Kulakofsky
b,r,e,a,k
Utah State,15
teamInfo,USULT,"Logan, Utah",,,
0,Alan Huang
0,Daniel  Clyde
0,Jabari Jones
0,Jacob Stachewicz
0,JACOB MANNA
0,Joseph Stringham
0,Kyle Gregerson
0,Nathan Long
0,Rhett  Ballantyne
0,Skyler Jones
2,Derek Smith
7,Brandon Pedersen
15,Eric Holt
15,Garrett Martin
21,Sawyer Brooks
23,Bradley Collette
28,Daniel Durham
32,Cheston Gray
88,Christian Berger
b,r,e,a,k
Occidental,18
teamInfo,Detox,"Los Angeles, California",http://www.detox-ultimate.com/,https://www.facebook.com/detoxultimate/,
coaches,Benjamin Potash
0,Adam Grammer
0,Brian Lavongtheung
0,Henry Robinson
0,Jack Allen
0,Peter Messner
0,Phillip Wong
2,Evan Sarafian
3,Nelson Rayl
6,Robert Zhang
13,Sergio Rodriguez
13,Greg Kleinman
14,Ebram Naftzger
17,David Kimball
19,Spencer Goldman
22,Kade Cheatham
28,Hunter Weinreb
32,Will Shea
43,Luis Robles
66,Griffin Morita
69,Jesse Moore
99,Drew Andersen
b,r,e,a,k
Stanford (B),31
teamInfo,Stanford Prison Experiment,"Stanford, California",,,
4,Jacob Haan
10,James WoMa
14,Loghan Thain
29,Nicholas Bianco
42,Paul Bump
46,Eli Shayer
57,John Romano
