2017 U.S. Open Club Championships,Youth Club U-20 - Boys ,4,8,2017
Blaine,MN,2017-08-04,2017-08-07
https://play.usaultimate.org/events/2017-US-Open-Club-Championships/schedule/Boys/youth-club-u-20-boys/
Triforce,1
teamInfo,,"Raleigh/Durham/Chapel Hill, North Carolina",,,
coaches,Solomon Yanuck,Matt Gouchoe-Hanas,Jonathan Nethercutt
00,Nick Tansey
04,Peter Barry
05,Raymond  Chen
07,Tyler French
09,Aaron Wynmor
10,John McDonnell
11,Andrew Li
12,Liam Searles-Bohs
13,Matas Zdanavicius
20,Wilson Matthews
21,Daniel Mills
22,Seth Lee
24,Michael Lee
27,Daniel Zhu
28,Jake Taylor
42,Jordan Perry
54,Matt Schinsky
55,Dean Merritt
77,James Boyd
83,Daniel Johnson
85,Ted Randby
96,Ethan Ylizarde
b,r,e,a,k
BUDA,6
teamInfo,,"Boston, Massachusetts",,,
coaches,Dan Hourigan
00,Chris Padilla
00,Erik Liu
01,Ryan Dinger
07,Alexander Lerner
09,James Cairn
10,Josh Lane
11,Harrison Wolff Landau
14,Kai DeLorenzo
15,Jared Scheinberg
16,Noah Shechtman
18,Gregory Oreste
21,Liam Hardacker
23,Marcel Oliart
27,Orion Cable
30,Matthew Sabin
33,August Williams
34,Noah Zobel
36,Zach Riley
b,r,e,a,k
ATLiens,8
teamInfo,,"Atlanta, Georgia",,,@ATLiensYCC
coaches,Cate Woodhurst,Ryan Simmons
01,Jay Burnett
05,Bryson Levisay
06,Aidan Downey
07,Luke Smith
08,Krishan Chib
09,Miles Pearlstein
10,Travis Terrell
11,Matthew Shu
12,Jaden Medley-Fowlkes
19,Kendel Ridley
20,Brian Hazelwood
21,Coleman Tappero
24,CHASE KLEBER
25,Evan Mapes
28,Mack Hodges
33,Drew Di Francesco
55,Sam Smith
72,Matthew Dacey-Koo
77,Govindan Veliyath
98,Wyatt Maher
b,r,e,a,k
Minnesota Superior A,3
teamInfo,,"Twin Cities, Minnesota",http://minnesotaultimate.org,,https://www.twitter.com/mnysummerleague
coaches,Nate Wohl,Matt Nelson
01,Charles Lieberman
02,Jack Lokowich
03,Dean Koopman 
04,Cash Barber
05,Benjamin Bushnell
06,Jack Rosenthal
07,Asa Bowen
10,Anthony Jirele
11,Johnathan Pratt
13,Alec Karlen
14,Alex Rice-Slothower
15,Connor Smith
16,William Johnson
17,Grant Jones
21,Jordan Avery Nguyen
22,Marco Dregni
24,Coleman Zielske
25,Benjamin Fjetland-Souza
26,Daniel Brunker
29,Daniel Barnes-Powell
30,Becker Mathie
32,Sam Hammar
50,Noah Fogel
b,r,e,a,k
DiscNW - Splash,4
teamInfo,,"Seattle, Washington",,,
coaches,Stephen Gussin
00,Wiro Wink
02,Kodi Smart
03,IVAN LEE
06,John Randolph
07,Gabe Port
11,Marc Anthony Munoz
12,Leo Kitchell
13,Joshua Kutz
14,Chase Aird
15,June Rapisura
18,Chackgarin Brown
20,Tony Venneri
21,Ben Lewis
22,Connor Ryan
24,Cylas Schooley
27,Peter Johnson
28,Zachary Heffron
36,Gabriel Nobis
47,Dana Baker
59,Noah Coolman
b,r,e,a,k
DEVYL,2
teamInfo,,"Westfield, New Jersey",,,
coaches,Anthony Nunez,David Hsiung,David Baer
02,Donovan Hugel
04,Eli Weaver
07,Christopher Ng
09,Josiah Zulauf
10,Jack Liebling
11,GABRIEL FEARON
13,David Brewster
14,James Kennelly
15,Henry Ing
17,Kevin Tsui
18,Simon Prushan
21,Cole Feltman
22,John Sickles
23,Noriaki To
27,Matt Krauss
31,Matt Stravach
33,David Perry
36,Chris Kelly
41,Harry McNamara
47,Ethan Smith
48,Ryan Moore
52,Connor Russell
67,Christopher McLaughlin
87,Johnny Jiang
b,r,e,a,k
Flying Pig,5
teamInfo,,"Cincinnati, Ohio",http://www.cincyselectultimate.com,,@pigultimate
coaches,Joel Houmes,Zach Kaylor,Terence Southard
00,Kane Gormley
01,Nick Tilford
02,Benjamin Reutener
03,Matthew Brenneman
04,Jacob McEachern
06,August Dutille
07,TARAN GALINSKY-BATTE
08,Michael Kromer
09,Caleb Montgomery
10,Noah Krumme
12,Sion Agami Contreras
13,Luke Monnin
15,Alex Barnett
19,Axel Agami Contreras
22,Alistair Lovekin
25,Reece Stoughton
27,Chase Gregory
32,Benjamin Sherwood
35,Jared Regruth
36,Nate Maddux
38,Jose Mikalauskas
43,Thomas Palermo
53,Caleb Burrell
99,Sam Colston
b,r,e,a,k
Chicago Elite,7
teamInfo,,"Chicago, Illinois",modules/common/www.illinoisyouthultimate.com,,
coaches,Andrew Neilsen
00,Eli Artemakis
00,Timothy Schragel
03,Collin Lamb
05,Anthony Sabatino
08,Nate Cinnamon
09,Samuel Swiatek
11,Joey Kennedy
12,Zander Leja
13,Reid Martin
14,Josh Van Cleave
18,Evan Haug
18,Steven Tisinai
20,Matt Sweeney
24,John Chirayil
25,Sam Jordan-Wood
33,Ren Pretkelis
42,Will Hoffenkamp
71,Wesley Green
80,Nicholas Szimon
98,Hernan Bueno
b,r,e,a,k
Texas Two Step,9
teamInfo,,"Dallas, Texas",,,
coaches,Casey Hogg
00,Andrew Stewart
00,Benjamin Rogers
00,Cade Lopez
00,Caleb Dixon
00,Cameron Breding
00,Gavin Davis
00,Hunter Burke
00,Jack Guidry
00,Aaron Smith
00,Manov Jain
00,Matt Chambers
00,Omar (Leonel) Arellano
00,Ryan Arifin
00,Zach Hensel
07,Alex Fernandez
15,Zach Howell
19,Jonathan Costello
20,Jason Jones
22,Connor Olson
27,Matthew Wilson
40,Saeed Semrin
98,Simon Vickers
99,Alexander McNiel
b,r,e,a,k
Oregon Avalanche,16
teamInfo,,"Bend, Oregon",,,
coaches,Aaron Switzer
00,Kyle Switzer
01,Tyler MacMaster
02,jaden goldschmidt
03,Zachary Feldman
04,Quintin McCoy
05,Kellen Murran
06,Avery Cloninger
07,Keegan Reilly
08,Owen Johnson
09,Corbin Atack
10,David Barram
11,kambel quatre
13,Maxwell Park
14,Cade Sullivan
17,Chris Pleasance
20,Trenton Moore
25,Charlie Smith
50,Patrick  Beckett 
b,r,e,a,k
Colorado Cutthroat,11
teamInfo,,"Denver/Boulder, Colorado",http://altitudeyouthultimate.org/,,
coaches,Phil Lohre
00,Aston Horton
01,Jake Van Sickle
02,Michael Walsh
07,Grey Esposito-Krier
09,Andrew  Thorson
11,Riley Truitt
14,Eli Henry
15,Chris Ellis
19,Jason Williammee
20,Jason Otsuki
22,Thomas Brewster
24,Dominic  Lopez
25,Jack Stenson
26,Conor Tabor
30,Adrian Cisneros
40,Cole Besser
77,Holt Crawford
87,Charles Luxton
99,Ryan Catlett
b,r,e,a,k
Little Pony,14
teamInfo,,"New York, New York",http://discny.org/,https://www.facebook.com/NYC.Youth.Club.Ultimate,
coaches,Jonathan Greenberg
00,Max Rein
01,Alex Borinstein
06,Jake Rubin-Miller
07,Sean Carroll
10,Nathan Shapiro
13,Ryan Kelly
14,Daniel Meiland
19,Angel  Ng 
22,Benji Hofing
24,Rishi Krishnan
27,Kevin Poon
30,Mark Kharakh
32,Geoffrey Zheng
55,Leo Jordan
61,Oliver Vickers Batzdorf
77,Ely Sandine
84,Daniel Friedman-Brown
87,Connor Chin
99,Benjamin Zhang
b,r,e,a,k
Foggy Bottom Boys,13
teamInfo,,"Washington, District of Columbia",,,
coaches,Michael Klemencic,Kevin Riley,MATTHEW SCALLET
00,Garrett Johnston
01,Markus Wolf
02,Haroon Matties
03,Gabe Westergren
11,Anders Juengst
12,Adam Norrbom
13,Benjamin Preiss
15,Jordan Parry
16,Evan McLean
17,James Reed
20,Harrison Wolfson
21,August Wagner
25,Gus Norrbom
30,Miles Kelley
32,Andrew Roy
33,Sam Radack
34,Austin Alvarado
45,Beau De Koninck
53,Jonny Malks
60,Nick Bowers
88,Theo Gonzales-Tapley
99,Kees Humes
b,r,e,a,k
Nashvillians,12
teamInfo,,"nashville, Tennessee",http://nashvilleultimate.com/ycc,,
coaches,Justin Moore
01,Benjamin Robinson
02,Braden Lewis
03,Blake Oliver
04,Jeremiah Branson
05,Logan Aeschlimann
07,Nate Niles
08,Christian Campbell
10,Dawson Fox
11,Joseph Fugate
16,Coleman Davis
18,Jacob Flowers
19,Joshua Gabella
20,Matthew  Menard
21,Jared Beazley
23,Cody Baldwin
24,Brennan Wessels
29,Harrison Maxwell
32,Ethan Baughman
32,Tyler Crockett
33,Cole Hudgin
36,Chris Walls
85,Gabe Warden
b,r,e,a,k
Red Dawn,10
teamInfo,,"San Francisco Bay Area, California",http://bayareadisc.org/,,https://twitter.com/BayAreaDisc
coaches,Joe Patton Barr,Johnny Ortberg
01,Raymond Wu
02,Joseph Lai
03,Devin Hom
04,Samuel Morris
05,Emmet Holton
06,Dylan Villeneuve
07,Joshua Kimball
15,Allen Zhai
16,Maxwell Tomsick
17,Keenan Laurence
21,Patrick Bauman
22,Diego Frankel
23,Jake Thorne
24,Elliott Eve
26,Dylan Latham McGraw
27,Daniel Alderman
31,Akira Roueche
38,Jonah Taylor
41,Orr Goldberg
55,Luke Heyne
62,Seth Wells
70,Kevin Burks
99,Keegan Clark
b,r,e,a,k
Connecticut Insomnia,15
