South Central D-I College Men's Regionals,College - Men ,6,5,2017
Austin,TX,2017-05-06,2017-05-07
https://play.usaultimate.org/events/South-Central-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/
Colorado State,1
teamInfo,Dozen,"COLLEGE STATION, Texas",https://maroonlink.tamu.edu/organization/ultimate,https://www.facebook.com/tamuultimate/,https://twitter.com/DozenUltimate/
01,Timothy Robison
02,Ryan Smith
03,Michael Wilson
04,Dylan Swoboda
05,Michael Bryant
06,Marshall Dinges
07,Jamie Wall
08,JACOB DAWSON
09,Connor Kaufmann
10,Ibrahim El-sayed
11,Jonathan Barnes
12,Connor Ughetta
13,Carter Hollo
15,David  Thompson
16,Kyle Flaherty
18,Casey Aldridge
20,Nicolas Ceaser
21,Carson Smith
22,Zach Marbach
23,Alex Berend
26,Richard Bovio
27,Colin Smith
80,Connor Cole
81,Luke Hebert
b,r,e,a,k
Texas Tech,5
teamInfo,Tumbleweed,"Lubbock, Texas",,https://www.facebook.com/groups/TTUUltimate/,https://twitter.com/techtumbleweed?lang=en
0,Benjamin Hodge
1,Dillon Rathman
2,Carson Wilder
3,Michael Paniagua
5,Payton Ardoin
6,John Aucar
7,Paul Yacoub 
8,Sam Kuhn
9,TREY KEESEE
11,Broderick Watson
14,Reese  Gregory
15,Jessica Hartzer
19,Winstein Hungbui
21,Zaakir Muhammad
21,Caleb Schnatz
22,Grant Golder
23,Kyle Henke
26,Yifan Hao
33,Andrew Calvert
35,Alexander Brewster
37,Lucas Meade
44,Junaid Ramzan
49,Michael Wode
66,Ryan Stomp
69,Ricky Stanfield
71,Brandon Fryer
78,Jace Drennan
b,r,e,a,k
Texas State,10
teamInfo,Buckets,"San Marcos, Texas",,,
coaches,Zac Chandonnet
01,Tyler Wetmore
02,Daryl Lewis
03,Devin HokansonSmith
04,Trenton Hebert
05,Travis Wright
06,Eric Brodbeck
07,Cole Lamkins
10,Robert Hausmann
11,Joseph Feeney
12,James Sims
13,James Washburn
14,Ben Arnecke
15,RAFAEL VERISSIMO
17,Manuel Arche-Pagan
23,Alexander Polasek
32,Marcos Phillips
33,Logan Lorimer
37,Sean Kuylen
44,David Haeussler
69,Cole Smith
88,Hayden Stoeber
97,Jordan Bertolino
b,r,e,a,k
Kansas State,15
teamInfo,Wizards,"Manhattan, Kansas",,,
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Colorado State,Saint Louis,15,10,"05/06/2017, 09:00",Pool A,Final
Washington University,Baylor,6,15,"05/06/2017, 09:00",Pool A,Final
Colorado State,Baylor,15,9,"05/06/2017, 11:00",Pool A,Final
Washington University,Saint Louis,15,7,"05/06/2017, 11:00",Pool A,Final
Colorado State,Washington University,12,13,"05/06/2017, 13:00",Pool A,Final
Saint Louis,Baylor,7,15,"05/06/2017, 13:00",Pool A,Final
pool,Pool B
Colorado,Kansas,15,12,"05/06/2017, 09:00",Pool B,Final
Oklahoma,North Texas,14,10,"05/06/2017, 09:00",Pool B,Final
Colorado,North Texas,15,5,"05/06/2017, 11:00",Pool B,Final
Oklahoma,Kansas,15,10,"05/06/2017, 11:00",Pool B,Final
Colorado,Oklahoma,15,6,"05/06/2017, 13:00",Pool B,Final
Kansas,North Texas,14,15,"05/06/2017, 13:00",Pool B,Final
pool,Pool C
Texas,Texas A&M (B),15,8,"05/06/2017, 09:00",Pool C,Final
Arkansas,Missouri,15,8,"05/06/2017, 09:00",Pool C,Final
Texas,Missouri,14,5,"05/06/2017, 11:00",Pool C,Final
Arkansas,Texas A&M (B),13,10,"05/06/2017, 11:00",Pool C,Final
Texas,Arkansas,15,9,"05/06/2017, 13:00",Pool C,Final
Texas A&M (B),Missouri,15,8,"05/06/2017, 13:00",Pool C,Final
pool,Pool D
Texas A&M,Texas State,15,1,"05/06/2017, 09:00",Pool D,Final
Texas Tech,Kansas State,15,11,"05/06/2017, 09:00",Pool D,Final
Texas A&M,Kansas State,15,5,"05/06/2017, 11:00",Pool D,Final
Texas Tech,Texas State,15,12,"05/06/2017, 11:00",Pool D,Final
Texas A&M,Texas Tech,15,5,"05/06/2017, 13:00",Pool D,Final
Texas State,Kansas State,14,9,"05/06/2017, 13:00",Pool D,Final
b,r,e,a,k
clusters,Cross Over Play
cluster,4th Round Cross Overs
Colorado State,Texas,11,12,"05/06/2017, 15:00",,Final
Colorado,Texas A&M,13,15,"05/06/2017, 15:00",,Final
Texas Tech,North Texas,15,8,"05/06/2017, 15:00",,Final
Arkansas,Washington University,11,15,"05/06/2017, 15:00",,Final
Oklahoma,Texas State,11,15,"05/06/2017, 15:00",,Final
Baylor,Texas A&M (B),15,10,"05/06/2017, 15:00",,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Colorado,Colorado State,12,15,"05/07/2017, 15:00",1st Place Finals,Final
Texas,Colorado,6,14,"05/07/2017, 11:00",1st Place Semis,Final
Colorado State,Texas A&M,15,8,"05/07/2017, 11:00",1st Place Semis,Final
Texas,Texas Tech,14,10,"05/07/2017, 09:00",1st Place Quarters,Final
Baylor,Colorado,11,14,"05/07/2017, 09:00",1st Place Quarters,Final
Colorado State,Texas State,15,6,"05/07/2017, 09:00",1st Place Quarters,Final
Washington University,Texas A&M,8,15,"05/07/2017, 09:00",1st Place Quarters,Final
bracket,3rd Place Bracket
Texas A&M,Texas,15,9,"05/07/2017, 15:00",3rd Place Finals,Final
Texas Tech,Texas A&M,4,15,"05/07/2017, 13:00",3rd Place Semis,Final
Washington University,Texas,10,13,"05/07/2017, 13:00",3rd Place Semis,Final
Texas Tech,Baylor,14,12,"05/07/2017, 11:00",3rd Place Quarters,Final
Texas State,Washington University,11,14,"05/07/2017, 11:00",3rd Place Quarters,Final
bracket,7th Place
Baylor,Texas State,10,15,"05/07/2017, 13:00",7th Place,Final
bracket,5th Place
Texas Tech,Washington University,1,0,"05/07/2017, 15:00",5th Place,Final
b,r,e,a,k
brackets,Consolation
bracket,9th Place
Saint Louis,Kansas,1,0,"05/07/2017, 13:00",Finals,Final
Texas A&M (B),Saint Louis,12,14,"05/07/2017, 11:00",Semis,Final
Kansas,Oklahoma,1,0,"05/07/2017, 11:00",Semis,Final
Texas A&M (B),Kansas State,15,14,"05/07/2017, 09:00",Quarters,Final
Saint Louis,North Texas,15,11,"05/07/2017, 09:00",Quarters,Final
Arkansas,Kansas,8,9,"05/07/2017, 09:00",Quarters,Final
Missouri,Oklahoma,0,0,"05/07/2017, 09:00",Quarters,Cancelled
bracket,13th Place
North Texas,Oklahoma,1,0,"05/07/2017, 13:00",Finals,Final
Kansas State,North Texas,7,15,"05/07/2017, 11:00",Round Name,Final
Arkansas,Oklahoma,0,0,"05/07/2017, 11:00",Round Name,Cancelled
b,r,e,a,k
