Philly Invite 2017,Club - Mixed ,15,7,2017
Allentown,PA,2017-07-15,2017-07-16
https://play.usaultimate.org/events/Philly-Invite-2017/schedule/Mixed/Club-Mixed
XIST,1
0,Alexander Hem
0,Angel Li
0,Cara Brown
0,Christopher Cox
0,Cory Salé
0,Emily Cho
0,Gary Dixon
0,Hannah Garfield
0,Joe Santosus
0,Kamil Skwarek
0,Karen Chalif
0,Matt Wiener
0,Matthew Mclaughlin
0,Miranda Moore
0,Robert Smith
0,Ruozhou Ye
0,Jesse Moskowitz
0,Sarah Heffernan
0,Sarah Kay Dela Cruz
0,Tricia Smit
5,Kyla Dayer
6,Ryan Drost
7,Taylor Brooks
9,Isaiah Bryant
12,Joe Babbino
18,Caitlyn Hauswirth
25,Amelia Murphy
b,r,e,a,k
Bang!,4
0,Andrea Hall
0,Christian Weisenbacher
0,Declan French
0,ELIZABETH PAPPA
0,Kathryn Wert
0,Kyle Wolf
0,MATT HORNSTEIN
0,Nate Venditta
0,Nathaniel Reiter
0,Rachel Alfano
0,Samuel Esser
0,Sarah Roberts
0,Will Hoehne
0,Zach Thurston
10,Rachel Clarkson
16,Stacey Daniels
17,Eileen Peach French Regan
21,Regina Wilkinson
24,Matt Khosh
30,Austin Doucette
35,Ryan Forster
64,Eric Lu
74,David Kelly
91,Kenneth Wells
b,r,e,a,k
Dub Club,5
0,Ashley Cantasano
0,Ben Crescenzo
0,Chris Schauble
0,Christopher Pokorny
0,Elise Colomb
0,Emily Smulowitz
0,Eric Lachance
0,Gillian Crysler
0,Hannah Short
0,JONATHAN HOLLOWAY
0,Daniel Monts
0,Lindsay McKenna
0,Meghan Wadlinger
0,Rachel Crew
0,Stephen Magerr
0,Steven Broome
6,Jessica Brand
10,Ryan Dealy
13,Joseph Brennecke
19,Courtney Potts
25,Kathleen Brown
32,Jeffrey Andrews
34,Joshua Romani
42,Edwin Finley
44,Nicholas Moon
65,Robert Yu
72,Justin Creighton
b,r,e,a,k
Clue,8
0,Alison Joyce
0,Allan Michel
0,ASHLEY POTTER
