Warm Up: A Florida Affair 2017,College - Men ,17,2,2017
Tampa,FL,2017-02-17,2017-02-19
https://play.usaultimate.org/events/Warm-Up-A-Florida-Affair-2017/schedule/Men/CollegeMen/
Minnesota,11
00,Josh Kautz
01,Charles McCutcheon
02,Alexander Jirele
03,Malakai Stern
04,Benjamin Jagt
05,Anthony Poletto
06,Brian Thompson
07,Zach Trosvig
08,Cole Wallin
09,Tom Duret
11,Sam Kaminsky
12,Wystan Duhn
13,Cole Jurek
18,James Nguyen
19,Oscar Leinbach
21,Joshua Pratt
22,Adam Meckstroth
23,Saurav Dubey
28,Nick Heid
41,Samuel Bumsted
42,Thomas Bakko
48,Wyatt Mekler
69,Jonah Malenfant
88,Charles Weinberg
99,Tristan Van De Moortele
b,r,e,a,k
Florida,9
02,Billy O'Bryan
03,Jose Varillas
05,Kyle Fray
06,Danny Bishop
07,Ryan Hiser
08,David Pincus
09,Maxwell Oierovich
10,Ricardo Rodriguez
12,Brandon Turnage
13,William  Field
15,Tanner Repasky
16,Ryan Goetz
17,Alexander Fischer
18,Hayden Wachob
23,Jonathan  Beaubrun
24,Alec Cutajar
25,Unmil Patel
26,Matthew Molinaro
29,Hayden Chappel
35,Parks Weatherford
39,Evan Murray
55,Logan Storts
77,Javier Sahagun
96,Donovan Johnson
b,r,e,a,k
Brigham Young,4
1,Tanner Yorgason
2,Taylor Caldwell
3,Spencer Hodson
4,Devon Terry
6,Matt Ricks
7,Will Honey
8,Sean Connole
9,Bryson Chipman
11,ROBERT BODILY
12,Ryan Savage
13,Seokhee Burningham
15,Benjamin Hodson
16,Ben Guthrie
18,Ryan Hawkley
19,Parker Eldredge
23,Jesse Taylor
25,Andrew Larsen
32,Nacody de la Rosa
33,Joseph Merrill
50,Austin Alpeter
55,Wyatt Nethercott
63,Nolan Hutchings
64,Jason McKeen
72,Jordan Hill
91,Clark Davis
b,r,e,a,k
Pittsburgh,13
4,Julius Hubby
5,Saul Graves
6,Maxwell Naar
7,Noah Weintraub
9,Carl Morgenstern
08,Thomas Edmonds
11,Kyle Hartley
11,Leo Warren
12,KEVIN TANG
13,Andrew Lehmberg
14,Nick Haser
15,Dylan Best
17,Matthew Hanna
21,Noah Robinson
24,Sam VanDusen
28,SAM JENNINGS
29,Hafeez Shams
33,Max Thompson
35,Dan Goldstein
38,Jonah Wisch
42,Ben Morgenstern
48,Jimmy Towle
77,Dillon Tranquillo
79,Michael Ing
84,Alex Spenceley
