Presidents' Day Tournament 2017,College - Men ,18,2,2017
https://play.usaultimate.org/events/Presidents-Day-Tournament-2017/schedule/Men/CollegeMen/
Chicago,9
0,Judah Newman
02,Peter Becht
05,Kenneth Debacker
06,Jacob Pierce
07,Willem Longendyke
09,Jeffrey Weis
10,Percy Stogdon
11,Ryan Thiermann
12,Richard Wichhart
13,Nicholas McDonnell
19,Dylan Petiprin
21,David Ran
23,Jeff Zhao
27,Milan Rivas
29,Isaac Harris
33,MATTHEW CARTIER
45,Will Clay
49,Cameron Menezes
76,Ellis Soodak
94,Jason  Vallee
b,r,e,a,k
California-Santa Barbara,8
0,Mitchell Solkov
0,Nathan Steinert
1,Jeffrey Frye
2,Jack Hamner
3,William Pearce
8,Bailey Wu
9,Erik Bedrosian
11,Adonay Bahta
12,Alexandre Kupelian
13,Guillaume Bellegarda
14,William Turner
15,Alex Heinzen
19,Evan Bosinger
21,Aidan Hall
22,Duncan Brin
23,Stephen Smoots
25,Ian Ladner
26,Brendan Champlin
32,Kieran Bates
34,Arthur Pan
34,Sean Flaherty
39,Jordan Lund
42,Marcel Osborne
44,Trevor Arbab
94,Cooper Austin
b,r,e,a,k
Oregon,1
0,Theodore Sither
02,Kerry Athey
03,Duncan Fitzgerald
05,Logan Chantelois
08,Kent Mastroianni
09,Colby Chuck
11,Tim McGinn
13,Raven Miller-Berg
14,Michael Fielden
15,Max Moore
17,Jacob Lambert
19,Steven Pearlman
21,Spencer Latarski
22,Zach Meyer
23,Xander Cuizon Tice
24,Adam Rees
25,Leandro Marx
26,Colton Clark
32,Martin Harris
33,Ben Pettis
42,Will Lohre
55,Connor Matthews
57,Jonathan Aycock
59,Noah Coolman
69,Hai Luong
77,Kit Asterin
80,Braedon Petrus
88,Noah Stuart
b,r,e,a,k
San Diego State,15
2,Mitch Wellman
4,Brian Haley
5,Brady Dove
6,JJ Rogers
7,Eric Goulet
8,Michael Brogan
9,Brian Doyle
10,Liam Lau
11,Justen Hitchcock
13,Harrison Hayes
14,Dean Wedeking
21,Michael Tran
23,Joseph Huppert
24,Robert Horewitz
26,Ryan Wilbanks
37,Daniel Koble
94,Josiah Reeve
b,r,e,a,k
Colorado,2
00,Elliott Woodward
00,Erik Hotaling
00,Girish Narayanswamy
00,Gregory Blumer
00,Isaac Chestler
00,J Wesley Chow
00,Jack Ziemer
00,Jeremy Harker
00,Jonathan Stirk
00,Joshua Crane
00,Marc Kaylor
00,Mark Rauls
00,Mathieu Agee
00,Quinn Finer
00,SAM RHEINS
00,Alex Tatum
04,Jack Drumright
07,Sean Chapel
16,Christopher Larson
33,Christopher Ward
b,r,e,a,k
Utah,7
0,Anderson Fackler
0,Branden Frieden
0,Bryson Allison
0,Derek Emfinger
0,Ian VanLeeuwen
0,Keegan VanLeeuwen
0,Kevin Castell
0,Matt Lansing
0,Michael Lien
0,JEFFREY LETSINGER
0,Robert King
0,Simon Greenhalgh
0,Zev Glass
6,Brenden Fischer-Femal
8,Cole Stenseth
8,NATHAN MIKULSKI
10,Michael Giere
21,Michael Affleck
22,Tyler Crouse
23,Jacob Argue
24,Dylan Wile
41,Harrison Sucher
66,Joshua Zdrodowski
71,Greg Krumel
81,Tristan Manturuk
b,r,e,a,k
California-San Diego,10
0,Adam Stafford
0,Aidan Bound
0,Andrew Hua
0,Ben Kumler
0,Bernard Suwirjo
0,Isaac Rehg
0,Isaac Shanley
0,Jacob Gutkowski
0,James Kasic
0,Kiran Potula
0,Luke Wulf
0,Migal Manickaraj
0,Ryan Amely-Shannon
0,Shawn Krystkowiak
0,Zac Goldberg
1,Jackie Wong
2,Bryce Lozinski
4,Scott Radlauer
13,Joe McMinn
14,John Geller
24,Eric Hytönen
25,Mazden Mastromauro
36,Stefan Samu
68,Victor Rodrigo
70,Sequoya Daniels
72,Gene He
89,Jacob Huls
92,Neehar Kondapaneni
97,Zachary Murez
99,Gavriel Gelbart
b,r,e,a,k
California-Santa Cruz,14
0,JAKE NG
0,John Chavez
0,Kai Schniedergers
0,Lorenzo Yabut
0,Mason Mulholland
0,Noah Kipnes
0,Robert Parke
0,Trenton Davis
0,Zachary Shamroukh
3,Aaron Kees
5,Grady Watkins
6,Loukas Stelyn
11,Royce Friedmann
15,Elijah Newbrun-Mintz
16,Sean Hyslop
17,Robert Gallagher
18,Ryan Glenn
24,Richard Mao
27,Aaron Hom
30,NICK FOX
32,Isaac Kreger
b,r,e,a,k
Washington,3
01,Manuel Eckert
02,Tian Chuan Yen
03,Khalif El-Salaam
04,Brian Huynh
05,Jakob Steen
06,Porter Jones
07,Maximilian Landa
10,Dongyang Chen
11,Jonathan Shuster
12,Tomas Delgado
13,Jason Peacher-Ton
14,Steven Benaloh
15,Derek Mourad
16,Cooper Schumacher
18,Nathaniel Wipfler
21,Lucas Chen
22,Zach Airth
23,Xiao Dong Liu
29,Michael Buyco
30,Nels Schimek
44,Noah Kregenow
50,Samuel Scherer
87,Joseph Kornowske
99,Reed Hendrickson
b,r,e,a,k
Illinois,6
0,Ben Foster
0,Cameron Hartman
0,Jacob  Cuthbert
0,Josh Deeman
2,Ben Sabourin
3,Cody Gray
21,Jarred Elliott
23,Hector Moreno
37,Walter Jaskowiak
38,John Kulikowski
81,Chris Buchta
