2017 Texas Mixed Sectionals,Club - Mixed ,9,9,2017
Round Rock,TX,2017-09-09,2017-09-10
https://play.usaultimate.org/events/2017-Texas-Mixed-Sectionals/schedule/Mixed/Club-Mixed
Cosa Nostra,1
teamInfo,,"Austin/Houston/Dallas, Texas",,,https://twitter.com/selloutultimate
coaches,Shereen Rabie
02,Sharon Tsao
03,Naomi Clarke
04,Barbara Smith
05,Matthew Bierschenk
06,Ryan Bigley
07,LAUREN MCKENNA
08,Austin Walker
09,Peter Clarke
10,HILARY LUMPKINS
12,Casey LeMay
13,ANGELA LEE
14,DENNIS MERWORTH
14,Reid Bacon
16,Rachel Wong
17,Daniel Winter
18,Kevin Land
20,Tiffany Schumacher
21,Cameron Williams
24,Cody Holloway
25,Kelly Harris
27,Thomas Slack
30,Kayla Ramirez
34,Doug Richardson
35,Rebecca Smith
45,Christine Lynch
72,Patrick Marco
77,Jordan Taylor
b,r,e,a,k
Balloon,9
teamInfo,,"College Station, Texas",,,
0,Corinne Empleo
0,Hailey Gassiot
0,Mitchell Whittier
0,Ryan Holley
0,Sarah Bovio
0,Spiro Nakos
2,Reece Rose
3,Rae Van Sandt
3,Geoffrey Avila
4,Anita Richert
5,Corey Green
7,SARAH SOUTHMAYD
8,Spencer Herber
12,Mike Welch
13,Rohit Chintala
14,Josette Cervantes
17,Todd Schrader
20,Jon Corser
21,Austin Wehrheim
22,Alyson Brokaw
24,Mathias Weeks
28,Samantha Stewart
37,Connor Okonski
51,Shai Herman
53,Taylor Neigut
65,Samuel Bondurant
87,Julia Popp
b,r,e,a,k
Wildstyle,8
teamInfo,,"Austin, Texas",,,
0,Allison Wassel
0,Amberly Malone
0,Annalise Heuser
0,Austin McDaniel
0,Chago Espinosa
0,Gregory Dono
0,Hannah DeVault
0,JUSTIN GLINES
0,KYLE DETRING
0,Mario Escobar
0,Nina Fogel
0,Nora Mitchell
0,Stacey Nava
0,Steven Del Castillo
0,Eva Oleksy
0,Victoria Bellamy
0,Zach Kuzmic
2,Thomas Rapp
5,MATT NAYLOR
8,Trey Taliaferro
17,Gregory Militello
18,Chad Larson
20,Travis Cloud
24,CHRISTINA CHAVIERS
47,Chris Mihalyi
80,Christopher Griego
87,Daniel McKenna
b,r,e,a,k
HORUS ULTIMATE TEAM,15
teamInfo,,"MEXICO CITY, MEXICO CITY MX",,https://www.facebook.com/HorusUltimateTeam/,
0,Luis Gerardo Leyva Fuentes
02,Helena Corona
03,Eduardo Martinez
06,Inari Sosa
07,Wendy Guerrero
13,Omar Lopez Castillo 
17,Cesa Saturnino
21,Gary Breaux
23,Pedro Roldan
24,Roberto Roldan Vargas
