2017 Stanford Invite powered by SAVAGE,College - Men ,4,3,2017
Fremont,CA,2017-03-04,2017-03-05
https://play.usaultimate.org/events/2017-Stanford-Invite-powered-by-SAVAGE/schedule/Men/CollegeMen/
Pittsburgh,1
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",http://pittultimate.org,https://www.facebook.com/PittUltimate,https://twitter.com/Pittultimate
4,Julius Hubby
5,Saul Graves
6,Maxwell Naar
7,Noah Weintraub
8,Thomas Edmonds
9,Carl Morgenstern
11,Leo Warren
12,KEVIN TANG
13,Andrew Lehmberg
14,Nick Haser
15,Dylan Best
17,Matthew Hanna
18,Kyle Hartley
21,Noah Robinson
23,Dillon Tranquillo
24,Sam VanDusen
28,SAM JENNINGS
29,Hafeez Shams
33,Max Thompson
35,Dan Goldstein
38,Jonah Wisch
42,Ben Morgenstern
48,Jimmy Towle
79,Michael Ing
84,Alex Spenceley
88,Jack Slevin
b,r,e,a,k
British Columbia,13
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",,,
0,Connor McFadyen
0,Darren Pun
0,Eddison Ng
0,Felix Ma
0,Hugh Knapp
0,Jack  Hou 
0,Jordan Zhao
0,Kyle Chan
7,Victor Cheng
13,Kevin Chu
16,Nicholas Yun
21,NICHOLAS LIN
21,Trevor McCann
22,Aman Khangura
26,Joshua Lam
27,Graeme Rennie
42,Steve Farra
55,Allen Greer
74,Samuel Creed
87,Brendan Gibson
88,Patrick Mavety
96,Ryan Hoy
97,Brian Miura-Wong
b,r,e,a,k
Texas,12
teamInfo,TUFF,"Austin, Texas",http://texasultimate.wix.com/texasultimate,https://www.facebook.com/TexasUltimate,https://twitter.com/texas__tuff/
0,DeMarcus Hopkins
0,Hayden Rich
0,Jonathan Clutton
0,Reese Bowman
1,Connor Leigh
5,Benjamin Snell
6,Raghav  Kotha
10,Gage Edblom
12,Noah Chambers
14,Mutahir Ahmad
16,Cameron Silver
17,Vinay Valsaraj
20,Henry Furuta
22,Daniel De Los Santos
24,Brian Gfroerer
26,SHAWN LING
29,Logan Kinney
31,Luke Simerly
43,Sam Pastor
48,David Miller
55,Theodore Weisman
77,Joel Clutton
83,Alexander You
88,JOSH BRUNELLI
96,Keivaun Waugh
b,r,e,a,k
Cal Poly-SLO,8
teamInfo,SLOCORE,"San Luis Obispo, California",http://slocore.com,https://www.facebook.com/slocoreultimate/,https://twitter.com/CORE_ultimate
0,Sunghoon Chung
02,Brennan Bryant
04,Daniel Hoffman
05,Aaron Shi
06,Gabe Ghirann
07,Jordan Schaeffer
11,Hudson Stuck
13,Dillon Whited
13,Theodore Watkins
14,Dean Otsuka
17,Joshua (Slater) Levey
18,Alec Bandler
19,Conor Schofield
19,Nathan Pettyjohn
21,Caleb Merriam
24,Cameron Wariner
25,Camden Reynolds
26,Jansen Selenis
28,Joseph Gagliano
33,Ian Sweeney
34,Aidan Mccoy
35,Justin Ting
52,Andrew Stratford
53,Matthew Ferrari
82,Morgan Sommer
