Old Capitol Open 2017,College - Men ,25,3,2017
Marion,IA,2017-03-25,2017-03-26
https://play.usaultimate.org/events/Old-Capitol-Open-2017/schedule/Men/CollegeMen/
Minnesota-Duluth,1
teamInfo,Ugly Duckling,"Minneapolis, Minnesota",http://mnuglyduckling.weebly.com/,,@UglyDucklingUMN
0,Anders Zetterlund
0,Christopher Clark
0,Drew Eskoff
0,Jacob Graff
0,Jesse Schlemmer
0,Joseph Cregan
0,Justin Hill
0,Kalen Balas
0,Matthew Nguyen
0,Nikhil Khurana
0,Patrick Norman
0,Peter Diede
0,Sachchit Murali
0,Trevor Graham
1,Derek Anderson
2,David Zheng
6,Jonah Resnick
6,RYAN FRANKLIN
10,Jonah Matthew
26,Bill Keane
28,Greg Cepuran
31,Ross Screaton
33,Paul Rheinberger
36,Donald Wood
42,Nathan Swanson
46,Timothy Opdahl
b,r,e,a,k
Valparaiso,5
teamInfo,Deus Vult,"Valparaiso, Indiana",,https://www.facebook.com/ValpoUltimate,https://twitter.com/ValpoUltimate
0,Peter Bornhoff
1,JESUS OSORIO
3,John Verhayden
4,Gabriel Valencia
5,Tanner Lee Gesell
7,Tyler Mitchuson
9,Raymond Pollalis
11,Ethan Hennessy
12,Timothy Carpenter
17,Adam Albertin
18,Brett Edwards
21,Scott Stonis
23,Michael Boyajian
24,Ryan Eveler
27,Micheal Hemmerling
31,Alex Roadt
34,John Readdy
44,Samuel Rookstool
48,Vincent Leonard
97,Isaac Jauch
b,r,e,a,k
Washington University (B),13
teamInfo,Contraband,"St. Louis, Missouri",,,https://www.twitter.com/wucontraband
0,Elijah Kessler
0,Jan Mazur
0,Miles Johnson
0,NICK DIVINCENZO
0,Rishab Arora
0,Tyler Reeves
0,YING-CHIANG LEE
0,Zach Stelwagon
0,Zachary Leonard
4,Benjamin Bridgforth
13,Ross Rosen
16,WillIam Altschul
22,David Lopez
b,r,e,a,k
Creighton,12
teamInfo,Tuskers,"Omaha, Nebraska",,,
02,NICK BARTSCHAT
03,Aidan Campolettano
05,Marah Miller
07,Cat  Henning 
08,Nathaniel Brandl
13,Craig Schmerbauch
20,Zach Frevert
21,Casey Kerin
32,David Kasper
42,Michael Fischer
57,Michael Mimlitz
67,Ethan Corkery
b,r,e,a,k
Coe,20
teamInfo,Kohucks,"Cedar Rapids, Iowa",,https://www.facebook.com/coeultimate/,
01,Greg Linton
04,Alec Strauss
07,Frederick Moeslein
16,Gillian Brown
17,Zoe Bakken-Heck
20,Cameron Flores
21,Jordan Brunette
22,David Hanson
27,Michael Martinez-Szewcyk
42,Kristjan Nixon
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Minnesota-Duluth,Michigan Tech,13,6,"03/25/2017, 08:30",Pool A,Final
Olivet Nazarene,Minnesota State-Mankato,6,9,"03/25/2017, 08:30",Pool A,Final
Minnesota-Duluth,Olivet Nazarene,13,1,"03/25/2017, 10:30",Pool A,Final
Wisconsin- La Crosse,Minnesota State-Mankato,10,9,"03/25/2017, 10:30",Pool A,Final
Minnesota State-Mankato,Michigan Tech,11,5,"03/26/2017, 08:30",Pool A,Final
Wisconsin- La Crosse,Olivet Nazarene,11,9,"03/26/2017, 08:30",Pool A,Final
Minnesota-Duluth,Minnesota State-Mankato,11,4,"03/26/2017, 10:00",Pool A,Final
Wisconsin- La Crosse,Michigan Tech,12,13,"03/26/2017, 10:00",Pool A,Final
Minnesota-Duluth,Wisconsin- La Crosse,11,4,"03/26/2017, 11:30",Pool A,Final
Olivet Nazarene,Michigan Tech,13,6,"03/26/2017, 11:30",Pool A,Final
pool,Pool B
Iowa,Cornell College,13,1,"03/25/2017, 08:30",Pool B,Final
Macalester,Western Michigan,13,6,"03/25/2017, 08:30",Pool B,Final
Iowa,Macalester,12,4,"03/25/2017, 10:30",Pool B,Final
Drake,Western Michigan,6,7,"03/25/2017, 10:30",Pool B,Final
Western Michigan,Cornell College,11,0,"03/26/2017, 08:30",Pool B,Final
Drake,Macalester,9,11,"03/26/2017, 08:30",Pool B,Final
Iowa,Western Michigan,11,9,"03/26/2017, 10:00",Pool B,Final
Drake,Cornell College,11,1,"03/26/2017, 10:00",Pool B,Final
Iowa,Drake,11,6,"03/26/2017, 11:30",Pool B,Final
Macalester,Cornell College,13,2,"03/26/2017, 11:30",Pool B,Final
pool,Pool C
Wheaton (Illinois),Bethel,13,6,"03/25/2017, 08:30",Pool C,Final
Northern Iowa,Toledo,11,4,"03/25/2017, 08:30",Pool C,Final
Wheaton (Illinois),Northern Iowa,10,11,"03/25/2017, 10:30",Pool C,Final
Wisconsin-Milwaukee,Toledo,10,1,"03/25/2017, 10:30",Pool C,Final
Toledo,Bethel,10,11,"03/26/2017, 08:30",Pool C,Final
