Huck Finn XX 2016,College - Men ,2,4,2016
Boone Township,MO,2016-04-02,2016-04-03
https://play.usaultimate.org/events/Huck-Finn-XX-2016/schedule/Men/CollegeMen/
Minnesota,1
teamInfo,Grey Duck,"Minneapolis, Minnesota",http://mngreyduck.weebly.com/,https://www.facebook.com/MNGreyDuck,https://twitter.com/MNgreyduck
0,Zach Trosvig
0,Thomas Bakko
0,Cole Wallin
0,Alexander Jirele
1,Ryan Osgar
3,Connor Anderson
4,Benjamin Jagt
4,Josh Kautz
8,James Nguyen
9,Tom Duret
11,Sam Kaminsky
13,Anthony Poletto
20,Blake Trantina
23,Saurav Dubey
24,ISAAC RUFF
33,Adam Meckstroth
36,Donald Wood
40,NEIL PETERSEN
41,Samuel Bumsted
47,Dan Wylie
48,Wyatt Mekler
77,Soham Shah
93,Justin Hill
99,Tristan Van De Moortele
b,r,e,a,k
Tulane,9
teamInfo,Rex,"New Orleans, Louisiana",http://tulanerex.com/,,https://twitter.com/TUultimate
0,Patrick Curley
0,TIM PATTERSON
0,ALEX GLICK
0,Matt Nice
0,Zachary Karpen
0,Jackson Cochran
0,Billy Donatuti
0,Brandon Suchyta
0,Andrew Begeman
0,JAMES LEON
0,Max Sandler
0,Benjamin Kravis
0,Jacob Morrow-Spitzer
0,Parker Evans
10,Jack Baba
13,David Kearing
17,JAMES BRIER
20,ZACHARY KARSCH
21,JASON KRUEGER
29,Evan Murray Walter
38,DAVID  MONDSCHEIN
39,Henry Stoddard
44,Benjamin Lamport
76,DAVID LEVY
81,AUSTIN KING
82,NATHAN WINSHALL
b,r,e,a,k
Ohio State,8
teamInfo,Leadbelly,"Columbus, Ohio",,https://www.facebook.com/LeadbellyUltimate,https://twitter.com/pbultimate
2,Max Heuft
3,KEVIN SMEARSOLL
4,Eric Schumacher
5,Eric Momenee
5,GARRETT MARKLEY
6,ETHAN SPADE
7,Cody Fox
8,Benjamin Luce
9,Ryan Kindell
10,Peter Crofut
11,HAMZA DODO
14,Dan  Mrachko
15,Ethan Stahlman
17,Marcus Perry
19,Paul Arters
20,Andrew Klarner
21,Zach Sieber
22,Jesse Weber
23,Benjamin Whiteman
24,JEREMY MOSS
24,Michael Verma
25,Dan Urbanek
27,Neil Taylor
35,Mitchell O'Connor
42,Steven Moliterno
55,Joseph Rains
69,Hartley Stevenson
b,r,e,a,k
Cincinnati,4
teamInfo,Cincinnati Ultimate,"Cincinnati, Ohio",,,https://twitter.com/GetBiscuits
0,Jacob Miller
0,Matt Dowling
0,SCOTT ALVERSON
0,Kyle Romard
0,Nathan Lauback
2,Nicholas Betsch
3,Elliot Skindzier
5,Sophainara Long
6,Ryan Adams
7,Jacob Turner
15,Keegan North
18,Kevin Parker
23,Steven Kolp
28,JOSHUA BRUGGEMAN
33,Justin Latz
41,Adam Turner
42,Cody Bruser
43,Stephen Kenny
49,Tanner Segbers
64,DAVID MILLER
69,Connor Messmore
77,Samuel Kratt
b,r,e,a,k
Colorado State,5
teamInfo,Hibida,"Fort Collins, Colorado",,,
coaches,Tim Kefalas,CHRISTIAN JOHANSEN
0,MITCHELL DOW
0,Tyler Wilkinson
0,Scott Wheeler
0,David Cuellar
0,Easton Archibald
0,Daniel Crump
0,LUKE DOYLE
0,Mark Stratford
0,Thomas Theodorescu
0,NOAH BROWN
0,MARSHALL RAWLEY
0,Cole Turner
0,Phillip Wade Foreman
1,Jack Hinchsliff
3,John Miller
9,Jacob Servaty
11,Jack McGinnis
14,Matthew Bush
16,Jake Marrapode
18,Dylan Johnson
20,JORDAN TREPP
22,Hudson Martin
24,David Miller
30,Sten Larson
34,Cody Spicer
35,Samuel Frisz
b,r,e,a,k
Purdue,10
teamInfo,Undue Ultimate,"West Lafayette, Indiana",http://web.ics.purdue.edu/~ultimate/,https://www.facebook.com/pages/Purdue-Ultimate-Frisbee/128269583915564,https://twitter.com/UndueUltimate
00,Trevor Kyle
02,Lowell Knight
03,Dylan Neff
05,Bobby Leroy
06,Jacob Mock
09,Jamie Mainwaring
10,Tucker Born
12,Joseph Byerly
15,Peter Marshall
18,Mike Kobyra
19,Daniel Blanc
20,Justin Bowling
20,Nick Loughran
29,John Sellers
46,Austin Ambrose
52,Jacob Fella
64,Jeremy Ray
72,Dalton Chaffee
98,Isaac Mock
b,r,e,a,k
Arkansas,7
teamInfo,Ludicrous Speed,"Fayetteville, Arkansas",,,
0,Marcus Payne
0,Kaplan Maurer
0,William Gallian
3,Adeeb Haroon
4,Brian Trussell
10,Lennon Dycus
15,Abe Gambert
17,CHARLES PURKAYASTHA
20,JORDAN SMITH
57,Jared Hines
69,Clayton Adams
b,r,e,a,k
Auburn,6
teamInfo,Aetos,"Auburn, Alabama",,https://www.facebook.com/auburnultimate,https://twitter.com/AuburnUltimate
0,Jonathan Arrington
0,Robert Alongi
0,Harrison Lott
0,James Hershey
0,Trois White
0,Jack Missildine
0,Jacob Helf
0,Samuel Murphree
0,Hank Womble
3,Blake Galloway
5,Eric Sjostrom
6,Evan Caldwell
6,Garris Bugg
9,Dustin Register
12,Ryan Landry
22,Rocco Magnella
23,Martin Newman
25,Reid Williams
26,Hamilton  Wasnick
27,Michael Volz
28,Reid Thackerson
35,Clark Missildine
37,Michael Strobel
47,Joshua Connelly
85,Evan Boecking
b,r,e,a,k
Cal Poly-SLO,3
teamInfo,SLOCORE,"San Luis Obispo, California",,,https://twitter.com/CORE_ultimate
coaches,Peter Raines
3,Simon Krauter
4,Daniel Hoffman
5,Aaron Shi
9,Sunghoon Chung
13,Dillon Whited
14,Christopher Cogswell
16,Thomas Konogeris
17,Joshua (Slater) Levey
18,Alec Bandler
19,Nathan Pettyjohn
20,Sean Liston
21,Caleb Merriam
23,DAVID HIRSCHEY
24,Jonathan Chianglin
24,Cameron Wariner
25,Camden Reynolds
27,Andrew Lam
28,Joseph Gagliano
33,Ian Sweeney
34,Aidan Mccoy
44,Tim Okita
52,Andrew Stratford
53,Matthew Ferrari
82,Joel Anton
b,r,e,a,k
Texas Christian,2
teamInfo,High Noon,"Fort Worth, Texas",,https://www.facebook.com/tcuultimate?ref=bookmarks,https://twitter.com/HighNoonTCU
0,Andrew Fletcher
0,Brock Riebe
0,Zach Hoepfl
0,Braden Riebe
0,Jared Talton
0,JACK HERR
0,Curtis Hansen
4,Chris Pleshek
7,Luke Reddick
8,SEAN RODICH
11,Kyle Keyzer
16,Andrew Lord
18,Dalio Losch
26,Matthew Melendez
27,Daniel Hooks
33,ROBERT WOOD
34,Caleb Ellison
49,Jacob Malmquist
53,Nolan Smith
56,Ryan McLoughlin
78,Samuel Floren
88,Duncan McHarg
93,MATTHEW RATLEY
99,Mason Henkes
b,r,e,a,k
Notre Dame,22
teamInfo,Papal Rage,"Notre Dame, Indiana",,,
01,Charles Grunhard
02,Charles Labuz
04,Sean Brady
05,Benjamin Israel
07,Luke Brennan
10,William OBrien
11,Jacob Scobey-Polacheck
12,Robert Stiller
14,Andrew McNally
20,Patrick McMahon
22,Sean Gaouette
25,Andrew Geisel
34,Collin Klenke
37,Daniel Fitzgerald
38,Samuel DeTrempe
44,Daniel Verzuh
48,Luke Shanahan
51,MATTHEW FARRELL
63,Kel  Beatty
64,John Szigety
72,Joseph Norby
73,PATRICK HANSEN
74,JONATHAN CERNANEC
75,Jeremy Doyle
87,Steven Campillo
88,Franklin Mejia
b,r,e,a,k
LSU,11
teamInfo,LSU Ultimate,"Baton Rouge, Louisiana",,,
0,Thomas Echols
0,Brian Mart
0,Thomas Hannie
0,Omeed Naraghi-Pour
0,Mark Graham
0,ZACHARY FRUGE
0,Nicholas Ferguson
0,Grant Odenwald
0,Patrick Mancuso
0,Garrett Baringer
0,Travis Vermaelen
0,Wesley Freeburgh
0,Dylan Zeringue
1,Johnny Sims
2,Kody Kempff
12,Jeffrey Oravic
14,Grant Hardy
14,Luke Landaiche
21,Eric Reviere
29,Nicholas  Harper
55,Dexter Turner
60,Daniel Nan
69,Mitchell Lutz
77,Destin Tate
b,r,e,a,k
Truman State,34
teamInfo,JujiTSU ,"Kirksville, Missouri",,https://www.facebook.com/pages/JujiTSU-Ultimate/159311880755819,@JujiTSUltimate
01,andrew LaMartina
03,Benjamin Moran
04,TYLER JANSEN
07,Michael Anderson
10,Brendan Cirillo
11,Jared Favero
12,Benjamin Wolf
15,Jacob Jackson
21,William Leingang
22,Brandon Heisserer
23,Eric Trapp
25,Josh Dye
26,Frank Ginder
27,Alex Davis
31,Blake Bixler
31,Sean Eberle
34,Ray Hilger
42,Reese Gardner
44,Nathan Pyles
55,Brody Aubry
67,Alec Ruedi
72,Joseph Williamson-Link
74,Conor Irwin
88,Isaac Pearlstone
98,Matthew Beers
b,r,e,a,k
Wisconsin-Milwaukee,23
teamInfo,Black Cat,"Milwaukee, Wisconsin",,https://www.facebook.com/BlackCatUltimate?ref=br_tf,@BlaCkatUltimate
0,Ian Oakes
0,Clay Krueger
0,Ryan Cindric
2,Logan Pruess
3,Jacob Hoffman
10,Deng Deng
11,Will Casperson
12,Jay Kinzel
15,Andrew Goff
17,Drew Chapman
19,Joshua Wilson
19,Austin Johnson
20,Alan TenHaken
22,Alec Lenczner 
27,Peter Kuenzle
28,David Mckeag
29,Sean Fialkowski
52,Jared Matthews
81,Joseph Pederson
84,JACK SUSSMAN
87,John McCune
b,r,e,a,k
Missouri,12
teamInfo,Missouri,"Columbia, Missouri",,,
0,Jonathon Morris
0,Ben Rollings
0,Thomas Jedding
0,Jackson Huffman
0,CLARK GRIBBLE
0,Colin Iglehart
0,ERIC ZVANUT
0,Joshua Morris
0,Devin Holland
0,Eric Piatchek
0,Brendan Rost
2,Jay Froude
3,Thomas  Kulczak
4,William Horwitz
5,Zachary Gase
10,MATT ERBES
11,Colin OBrien
17,Ryan Tray
18,Cody Curran
19,TYLER LAUDEMAN
20,MICHAEL ROTONDI
22,Evan Thornberry
23,Samuel Cross
24,Jesse White
25,Sean Campbell
69,JORDAN MCGHEE
99,Michael Brooks
b,r,e,a,k
Chicago,21
teamInfo,Chicago Ultimate,"Chicago, Illinois",,,
0,Kenneth Debacker
0,Jeffrey Weis
0,Ryan Thiermann
0,Will Clay
0,Willem Longendyke
0,David Ran
0,Judah Newman
2,MAX BLUESTONE
7,MICHAEL LIU
9,Eli Cohen
9,Zachary Schuyler
10,Jeff Zhao
24,Michael Pardo
30,Nicholas McDonnell
31,MATTHEW CARTIER
32,Sean McSweeney
34,ABHISAAR YADAV
36,Percy Stogdon
40,Anthony Davis
49,Cameron Menezes
63,Jason  Vallee
b,r,e,a,k
Michigan State,33
teamInfo,ARC,"East Lansing, Michigan",http://msultimate.com/,https://www.facebook.com/michiganstateultimate?ref=hl,https://twitter.com/msu_ARC
0,Patric LaJoye
0,Nicolas Theisen
0,Brandon Lin
0,Ryan Nussdorfer
0,Daniel Stephens
0,MATTHEW KAPLAN
0,BRIAN BROWN
0,Patrick Sharp
8,Daniel Brown
10,Blake Seippel
10,DEREK KEIGHTLY
12,Kyle Nussdorfer
14,Jay Andreani
16,Matthew Goeman
19,David Vanderzee
21,Jake Blankemeier
25,Ryan Yergin
29,Ashton Hoffman
37,EITAN SPIVAK
39,BRIAN WYSS
42,Mohamadou Diatta
82,Kevin Kern
90,Michael Giles
b,r,e,a,k
Lehigh,24
teamInfo,Lehigh ,"Bethlehem, Pennsylvania",,,https://twitter.com/lehighultimate
0,Jeremy Glennon
0,Carter Hartmann
0,Brendan Eckardt
0,Stuart Gordon
0,Kevin Latwis
0,Christopher O'Byrne
1,Chris McTernan
4,Brendan Huber
6,Alex Schlegel
6,Justin Carter
11,Ian Haney
21,Adam Kafka
28,Alec Marks
30,David Bloodgood
33,JACOB MOSER
35,ZIV ARZT
42,Daniel Slesinski
47,Sam Joynson
59,Kyle Fischer
77,Ryan Santos
87,KYLE MEGATHLIN
89,Andrew Wagner
b,r,e,a,k
Illinois,20
teamInfo,Illinois Ultimate,"Champaign, Illinois",modules/common/www.illinoisultimate.com,https://www.facebook.com/pages/Illinois-Ultimate/139887979390815,https://twitter.com/IlliniUlti
coaches,Erik Huemiller
0,MARK PETERSON
0,Josh Deeman
0,Ryan Kantor
0,Ben Foster
0,ZI YANG KAN
0,Tung Shu Chu
0,Devin Kelly
0,Johnny Saniat
0,PRAYAG  PATEL
0,MICHAEL COSMOS
0,ALEX GUY
0,Jacob Trueb
0,Robert Gazdziak
0,Jacob  Cuthbert
1,NICK PROZOROVSKY
2,Ben Sabourin
3,Cody Gray
4,Tat Shing Thum
19,Jacob Komenda
21,Jarred Elliott
23,Hector Moreno
27,Wilson Wang
37,Walter Jaskowiak
81,Chris Buchta
97,Kevin Lin
b,r,e,a,k
Maryland,13
teamInfo,Maryland Ultimate,"College Park, Maryland",,,
coaches,Ben Slade
0,Matthew Rohrbaugh
0,Jeremy Knopf
0,Joe Sanz
0,Adam Weiss
1,Daniel Mehmedovich
1,Erik Larmore
4,Matthew Smith
5,Samuel Besse
7,Liam Toal
8,Sean Reischel
11,Lucas Denit
14,Mac Keller
15,William Xu
16,John Walden
17,Tom Noll
18,Christopher Bernard
21,Max Cassell
22,Ryan Swift
27,Myco Paulo
32,Eliot Fenton
42,Sean Manning
74,Andrew Creighton
b,r,e,a,k
Dayton,25
teamInfo,UD Ultimate,"Dayton, Ohio",modules/common/udghettoforce.blogspot.com,https://www.facebook.com/groups/238452269542594/,https://twitter.com/UDGhettoforce
0,Kevin Obergefell
0,Drew Whalen
0,Andrew Kramer
0,Ryan Krouse
0,Brenden O'Brien
1,Jack Hanson
5,Connor Hanson
6,Benton Birch
8,Daniel Sandmann
17,Conner Haenszel
18,Phillip Hagerty
22,Daniel (Danny) Winkler
26,COLE CANNON
28,Evan Wethington
32,Timothy Willer
33,Ian Cannon
34,Jordan Zeken
38,ERIK MYERS
43,Stephen Moore
44,Craig Kaiser
45,Travis Brosnan
66,Tommy Tappel
69,DOMINIC LEYDEN
72,Matthew Michalak
77,Scott Klein
b,r,e,a,k
Indiana,32
teamInfo,HoosierMama?s,"Bloomington, Indiana",,,
coaches,Jonathan Snider
0,Steven Anderson
0,Luke Crowe
0,Eric Hannan
0,Forrest Levy
0,Daniel Sullivan
0,Kip Curtis
0,Paul Bean
0,David Wang
0,Rollen Dice
0,Carlton Anker
0,MARK YELLON
0,Jackson Sills
0,Adrian Golay
0,Benjamin Gerroll
