D-I College Championships,College - Men ,27,5,2016
Raleigh,NC,2016-05-27,2016-05-30
https://play.usaultimate.org/events/USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/
Georgia,8
02,Joseph Lavine
03,George Summers
04,Aidan Rogers
05,Ethan Bowling
07,Parker Bray
09,Samuel Little
10,Adam Burgess
14,John Langstaff
15,Neal Raines
16,Hunter Cutts
19,RYAN PAPPAFOTIS
21,Sheryar Ali
22,Jon Ross Ingley
24,Patrick Trent
26,Vasiliy (Vasia) Mishin
28,Jason Jones
29,Mason Cary
60,David William Petmecky
82,Sam Batson
87,Gino Mattace
88,NATHAN HASKELL
b,r,e,a,k
Massachusetts,1
03,Ben Sadok
04,Ciaran Shaughnessy
07,Gabriel Schmitt
09,Sam Carr
10,Jared Madore
11,Conor Kline
12,Benjamin Tseytlin
15,Tannor Johnson
16,Giancarlo Cincotta
18,Brett Gramann
21,Patrick Barron
28,Aaron Raskin
32,Jack Staples
33,William Thornton
34,Jeffrey Dreyfus
36,Giovanni Flamini
38,Matt Caswell
47,Alec Zabrecky
76,Solomon Maerowitz-McMahan
80,Chris Bartoli
84,COLIN HANNAHAN
87,Jeffrey Babbitt
89,Eugene L'Heureux
b,r,e,a,k
Texas A&M,12
01,Timothy Robison
03,Michael Wilson
04,Nick Ochoa
07,Ben Lewis
12,Connor Ughetta
13,Dalton Smith
14,Carter Hollo
16,DAVID SMITH
17,Todd Schrader
18,Casey Aldridge
20,Nicolas Ceaser
22,Zach Marbach
23,TRAVIS WINTER
24,Brendan Adams
27,Colin Smith
42,RYAN  JONES
80,Connor Cole
81,Luke Hebert
b,r,e,a,k
Washington,13
01,Manuel Eckert
02,Tian Chuan Yen
03,Khalif El-Salaam
04,John Bjorge
06,CURTIS RUSCH
07,ELI SAVELLE
08,JAMES GENDREAU
09,Maximilian Landa
10,Dongyang Chen
11,Jonathan Shuster
12,Tomas Delgado
13,Jason Peacher-Ton
14,Steven Benaloh
16,Cooper Schumacher
19,Oliver Marczynski
21,Oliver Speltz
23,Xiao Dong Liu
37,Brian Huynh
50,Samuel Scherer
51,Christopher Lu
87,Joseph Kornowske
88,Alan Lin
b,r,e,a,k
Cal Poly-SLO,17
00,Sunghoon Chung
03,Simon Krauter
04,Daniel Hoffman
05,Aaron Shi
08,Dillon Whited
09,Nathan Pettyjohn
11,Cameron Wariner
14,Christopher Cogswell
16,Thomas Konogeris
17,Joshua (Slater) Levey
18,Alec Bandler
20,Sean Liston
21,Caleb Merriam
23,DAVID HIRSCHEY
24,Jonathan Chianglin
25,Camden Reynolds
27,Andrew Lam
28,Joseph Gagliano
33,Ian Sweeney
44,Tim Okita
53,Matthew Ferrari
82,Joel Anton
b,r,e,a,k
Colorado,11
0,Mark Rauls
01,MATTHEW ROBINSON
02,ZACHARY KRIEGER
03,Elliott Woodward
04,Jack Drumright
05,Dylan Hanel
06,Erik Hotaling
08,Pawel Janas
10,Danny Langevin
11,Joshua Crane
12,Girish Narayanswamy
13,Gregory Blumer
15,Marc Kaylor
17,Tristan Voss
19,Isaac Chestler
21,J Wesley Chow
24,Matt Bubernak
28,Andrew Nelson
29,Matt Gleason
30,Jonathan Stirk
44,Jesse Fisher
80,Jeremy Harker
