Warm up: A Florida Affair 2016,College - Men ,12,2,2016
Tampa,FL,2016-02-12,2016-02-14
https://play.usaultimate.org/events/Warm-up-A-Florida-Affair-2016/schedule/Men/CollegeMen/
Minnesota,10
teamInfo,Grey Duck,"Minneapolis, Minnesota",http://mngreyduck.weebly.com/,https://www.facebook.com/MNGreyDuck,https://twitter.com/MNgreyduck
coaches,Tallis Boyd,David Eddy
0,Cole Wallin
0,Joshua Pratt
0,Alexander Jirele
1,Ryan Osgar
4,Benjamin Jagt
4,Josh Kautz
8,James Nguyen
9,Tom Duret
11,Sam Kaminsky
20,Blake Trantina
23,Saurav Dubey
24,ISAAC RUFF
33,Adam Meckstroth
36,Donald Wood
40,NEIL PETERSEN
41,Samuel Bumsted
47,Dan Wylie
48,Wyatt Mekler
77,Soham Shah
93,Justin Hill
99,Tristan Van De Moortele
b,r,e,a,k
Pittsburgh,12
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",http://pittultimate.org,https://www.facebook.com/PittUltimate,https://twitter.com/Pittultimate
coaches,Nick Kaczmarek
0,Leo Warren
0,SAM JENNINGS
0,Michael Ing
0,Jack Slevin
02,Joseph Bender
03,Patrick Earles
05,Saul Graves
09,Carl Morgenstern
10,Max Thorne
11,Kyle Hartley
12,KEVIN TANG
13,Andrew Lehmberg
15,Dylan Best
16,Trent Dillon
17,Matthew Hanna
21,Noah Robinson
22,CHRISTIAN PITTS
24,Sam VanDusen
26,Robert Lincoln
35,Dan Goldstein
38,Jonah Wisch
48,Jimmy Towle
77,Dillon Tranquillo
81,Vince Tranquillo
b,r,e,a,k
Arizona State,1
teamInfo,Prime,"Tempe, Arizona",http://www.arizonastateultimate.com/,https://www.facebook.com/ASUPRIME,https://twitter.com/ASU_Ultimate
0,Nathan Brodie
02,Andrew Kohl
03,Jonathan Bridges
04,George Kokos
08,NATHAN ROBLES
09,Colin Parker
10,Aaron Flegenheimer
11,Clifford Capria
13,Michael Clyne
17,Michael King
20,Brandon Lee
21,Nicholas Brown
24,Samuel Sutton
27,Manuel Belloso
33,Brian Dryden
87,Logan Martin
88,Andrew North
b,r,e,a,k
Wisconsin,17
teamInfo,Hodags,"Madison, Wisconsin",modules/common/www.hodags.org,https://www.facebook.com/pages/Wisconsin-Hodags/118125241585256,https://twitter.com/hodaglove
coaches,Hector Valdivia
0,Alexander Ogren
02,Branavan Yogarajah
03,Nicholas Vogt
05,Jeff Maskalunas
06,Ian Hahn
07,Avery Johnson
09,Erik Jorgensen
10,Sam Hebert
11,Sterling Knoche
12,Chris Wilen
13,David Yu
14,WILLIAM KLUENDER
17,Thomas Gallagher
22,Aaron Speiss
23,Graeme Kernick
25,Ross Barker
26,Eric von Kampen
27,Rami Paust
31,JACOB ELIAS
33,SHANE SADDISON-BRADFORD
37,Jan Szmanda
41,Colin Sunde
44,Nicholas Ladas
49,John Tan
57,Austin Reif
84,CRAIG COX
b,r,e,a,k
Texas A&M,15
teamInfo,Dozen,"COLLEGE STATION, Texas",,,
0,Carter Hollo
0,AARON SUNSTRUM
0,Nick Ochoa
1,Timothy Robison
2,John Abuhamad
3,Michael Wilson
5,Michael Bryant
6,Marshall Dinges
7,Ben Lewis
9,Jamie Wall
