Great Lakes Mixed Regionals,Club - Mixed ,10,9,2016
Rockford,IL,2016-09-10,2016-09-11
https://play.usaultimate.org/events/Great-Lakes-Mixed-Regionals-2016/schedule/Mixed/Club-Mixed
Steamboat,1
11,Jackie Matonis
12,Sydney Olund
14,Emily Steedman
15,Ethan Stahlman
17,Benjamin Reith
22,Mary Turner
24,Elizabeth Gates
25,Timothy San Pedro
32,Nate Dikeman
49,Nathan Landry
95,Kristen Behrens
b,r,e,a,k
Liquid Hustle,6
teamInfo,,"Indianapolis, Indiana",http://www.liquidhustle.com,https://www.facebook.com/LiquidHustle?ref_type=bookmark,https://twitter.com/LiquidHustle
0,Anne Hemmelgarn
0,Blake Vanderbush
0,Bobby Leroy
0,Jamie Smets
0,MONICA LASLEY
9,Nathan Partenheimer
13,Joshua Kemmerling
14,Sam Settlemyre
17,Kristin Dudley
21,Josh Fortney
22,Freddie Dixson
23,Julie Raduenz
26,Emily Beasley
31,Andrew Miller
33,Delaney Johnson
35,Paul Avilez
39,Jacqueline Humphress
42,Kelly Kerker
44,Anastasia Foster
51,Benjamin Hannan
66,Collin Koury
69,Brittney Ballard
74,Collin McCartney
77,Jon Clark
77,Rachel Clark
86,Dusty (Dustin) Hughes
88,Cameron Brock
b,r,e,a,k
Mishigami,10
teamInfo,,"East Lansing, Michigan",,https://www.facebook.com/mishigamiultimate,
0,LACEY VANDEBUNTE
0,Edward Taylor
0,MOLLY GAUDETTE
0,Brendan Schwalm
0,Alex Bertoia
0,WILLIAM VOSS
0,Lane Kaufmann
0,MARA JURKOVIC
0,Juan Hernandez
0,Lindy Sowmick
0,Ellen Grimes
0,Matthew Western
0,Lindy Torvinen
7,Brandi Skanes
12,Maddie Spooner
17,THEO CAMBERT
22,Joe Deppe
22,Grace Kiel
24,Patrick Abeli
25,Justin Browne
27,Jake Pruitt
48,Kaye Eshelman
81,Jake Smith
b,r,e,a,k
Stackcats,15
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/groups/532404880204611/,@stackcatsultimate
0,BETSY MERBITZ
0,Eric Martin
0,Melissa Witmer
0,Evan Power
0,Ryan Kurnik
0,Matt Tansley
0,SAMANTHA Martin
0,Saul Lipton
0,Krystle Ocampo
0,Rachel Hunt
0,Jackson Todd
0,Halley McLean
0,Anthony Oplawski
0,Alexandra Moxley
0,Mark Valzonis
0,Monica Oplawski
0,Andrew Maturo
0,Bethany Blackwood
5,Lauren Brauer
6,Vincent Curkov
7,Michael Hyland
9,BOB WEDSTER
12,Matthew Bonges
24,Kyle Brooks
42,Benton Fletcher
44,Zach Raab
71,CATIE NEWHOUSE
b,r,e,a,k
Tequila Mockingbird,5
teamInfo,,"Chicago-apolis, Indiana",,,https://twitter.com/tbirdultimate
0,JOSHUA PIROG
01,Haley Bartolomei
02,Hayley Banas
04,Aaron Del Real
05,Aaron Schwartz
06,Mike Kobyra
09,Jenna Peterson
10,Sajed Dosenbach
12,SARAH CRADDOCK
13,VALERIE IEHL
14,J.J. Yarbrough
16,BRANDON TARBET
17,JOSEPH DECHERY
18,Tyler Claypool
19,CAROLYN BLOOD
22,Julianne Schmitt
24,Eric Hallow
29,John Sellers
33,RYAN PEKARNA
33,Luke Ding
34,Sarah Jane Yockers
44,Megan Grygiel
45,Kristen Kaweck
55,Carlos Wolle
59,Todd Miller
66,William Schmitt
89,Andriana Tompary
b,r,e,a,k
Dream Killas,4
teamInfo,,"Ann Arbor, Michigan",,,
2,MICHELLE RIZOR
01,Kari Paine
02,Benjamin Murphy
03,Croix Jastrow
04,Samm Ryan
05,GARY GRANT
07,AUSTIN LEWIS
08,Jenna Ray
09,Elizabeth Benedetto
10,KRISTOPHER COLEY
11,LOGAN BRAUN
13,SUSANNA LAGORY
15,Kotomi Obayashi
17,Connor Lukas
18,Gina Sancricca
19,David Vanderzee
20,RYAN MARIOUW
22,Meghan Drews
24,Zachary Barnhart
29,Ashton Hoffman
34,CHRIS CONLAN
35,Joseph Besser
36,Daniel Boynton
37,John Goodwin
44,Grace Denney
88,Trey Taliaferro
92,Charlotte Wilson
b,r,e,a,k
Toast,9
teamInfo,,"Grand Rapids, Michigan",,,
00,Lydia Korodan
00,Logan Bollaert
00,Jill Santos
00,Evan Winer
00,Jesse Otten
00,Mark Brown
00,Christopher Hoxsey
00,Zach Jawahir
00,Sara Nitz
00,Brittany  Dooley
00,Michael Mansfield
00,Corie Auger
00,Michael Cannon
00,Brian Jager
00,Justine Volz
00,MICHAEL SEROTA
06,Courtney Guthrie
13,David Danks
14,MELISSA Jager
16,Samantha Phillips
18,Eric Kas
19,Aaron Riess
23,Jason Howard
29,Charles Blum
31,Rachel Danks
67,Andrew Zoerman
84,Michael Weber
b,r,e,a,k
Liquid Hustle B,16
teamInfo,,"Indianapolis, Indiana",http://www.liquidhustle.com,https://www.facebook.com/LiquidHustle,
coaches,Robert Stasi
0,Alexander Hutton
0,Franklin Hankins
0,Eric Burriss
0,Jeffrey Meek
0,Raquel Castillo Orozco
0,Bradley Hills
0,JEAN ESTHER ZIPAGAN
0,Leslie Massicotte
0,HILTON HEINEKE
0,Kelly Vogeler
0,Noah Peyer
0,Hamid Zakaeifar
0,Theodore Miller
0,Jessica Spore
2,Robert Slemenda
2,Zakk Mabrey
10,Jenna Jarvis
11,Stacie Rawnsley
11,Emma Sirkin
14,Briana Harrison
20,Corey Hurtado
29,Emily Schloneger
35,Corey Dicker
37,Courteney Fentz
50,Kent Hiquet
91,Anne Peyer
92,Anthony Panozzo
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Steamboat,The Abusement Park,13,2,"09/10/2016, 09:30",Pool A,Final
Goose Lee,Shakedown,8,11,"09/10/2016, 09:30",Pool A,Final
Steamboat,Shakedown,13,1,"09/10/2016, 13:00",Pool A,Final
Goose Lee,The Abusement Park,13,7,"09/10/2016, 13:00",Pool A,Final
Steamboat,Goose Lee,13,5,"09/10/2016, 14:45",Pool A,Final
The Abusement Park,Shakedown,4,10,"09/10/2016, 14:45",Pool A,Final
pool,Pool B
UPA,Los  Heros,13,3,"09/10/2016, 11:15",Pool B,Final
Prion,ELevate,13,5,"09/10/2016, 11:15",Pool B,Final
UPA,ELevate,13,3,"09/10/2016, 13:00",Pool B,Final
Prion,Los  Heros,12,4,"09/10/2016, 13:00",Pool B,Final
UPA,Prion,11,9,"09/10/2016, 14:45",Pool B,Final
Los  Heros,ELevate,6,12,"09/10/2016, 14:45",Pool B,Final
pool,Pool C
Columbus Cocktails,Mishigami,13,6,"09/10/2016, 11:15",Pool C,Final
Liquid Hustle,Stackcats,13,6,"09/10/2016, 11:15",Pool C,Final
Columbus Cocktails,Stackcats,13,4,"09/10/2016, 13:00",Pool C,Final
Liquid Hustle,Mishigami,11,7,"09/10/2016, 13:00",Pool C,Final
Columbus Cocktails,Liquid Hustle,12,8,"09/10/2016, 14:45",Pool C,Final
Mishigami,Stackcats,W,L,"09/10/2016, 14:45",Pool C,Final
pool,Pool D
Dream Killas,Toast,13,6,"09/10/2016, 09:30",Pool D,Final
Tequila Mockingbird,Liquid Hustle B,10,5,"09/10/2016, 09:30",Pool D,Final
Dream Killas,Liquid Hustle B,13,1,"09/10/2016, 13:00",Pool D,Final
Tequila Mockingbird,Toast,11,9,"09/10/2016, 13:00",Pool D,Final
Dream Killas,Tequila Mockingbird,9,10,"09/10/2016, 14:45",Pool D,Final
Toast,Liquid Hustle B,13,3,"09/10/2016, 14:45",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Steamboat,UPA,13,12,"09/11/2016, 15:00",1st Place Finals,Final
Steamboat,Liquid Hustle,15,9,"09/11/2016, 13:00",1st Place Semis,Final
Columbus Cocktails,UPA,12,13,"09/11/2016, 13:00",1st Place Semis,Final
Steamboat,Prion,15,7,"09/11/2016, 11:00",1st Place Quarters,Final
Tequila Mockingbird,Liquid Hustle,8,15,"09/11/2016, 11:00",1st Place Quarters,Final
Columbus Cocktails,Dream Killas,15,8,"09/11/2016, 11:00",1st Place Quarters,Final
UPA,Shakedown,15,4,"09/11/2016, 11:00",1st Place Quarters,Final
Prion,Mishigami,13,6,"09/10/2016, 16:30",1st Place Prequarters,Final
Liquid Hustle,ELevate,12,6,"09/10/2016, 16:30",1st Place Prequarters,Final
Goose Lee,Dream Killas,9,13,"09/10/2016, 16:30",1st Place Prequarters,Final
Toast,Shakedown,9,13,"09/10/2016, 16:30",1st Place Prequarters,Final
bracket,3rd Place Game
Liquid Hustle,Columbus Cocktails,13,9,"09/11/2016, 15:00",3rd Place ,Final
bracket,5th Place Bracket
Tequila Mockingbird,Dream Killas,15,6,"09/11/2016, 15:00",5th Place Finals,Final
Prion,Tequila Mockingbird,13,14,"09/11/2016, 13:00",5th Place Semis,Final
Dream Killas,Shakedown,12,11,"09/11/2016, 13:00",5th Place Semis,Final
bracket,7th Place Game
Shakedown,Prion,7,11,"09/11/2016, 15:00",7th Place ,Final
b,r,e,a,k
brackets,Consolation Bracket
bracket,9th Place Bracket
ELevate,Toast,8,11,"09/11/2016, 15:00",9th Place Final,Final
The Abusement Park,ELevate,8,15,"09/11/2016, 13:00",9th Place Semis,Final
Los  Heros,Toast,0,1,"09/11/2016, 13:00",9th Place Semis,Final
The Abusement Park,Mishigami,1,0,"09/11/2016, 11:00",9th Place Quarters,Final
Liquid Hustle B,ELevate,4,15,"09/11/2016, 11:00",9th Place Quarters,Final
Stackcats,Goose Lee,15,14,"09/11/2016, 11:00",9th Place Quarters,Final
Los  Heros,Toast,15,16,"09/11/2016, 11:00",9th Place Quarters,Final
bracket,11th Place Game
Los  Heros,The Abusement Park,0,0,"09/11/2016, 15:00",11th Place Game,Scheduled
bracket,13th Place Bracket
Stackcats,Goose Lee,0,0,"09/11/2016, 13:00",13th Place Semis,Scheduled
Liquid Hustle B,Mishigami,0,0,"09/11/2016, 13:00",13th Place Semis,Scheduled
bracket,15th Place Game
b,r,e,a,k
