TCT Pro-Elite Challenge 2016 (Colorado Cup),Club - Men ,30,7,2016
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2016-Colorado-Cup/schedule/Men/Club-Men/
Chicago Machine,1
99,Kyle Terriere
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Chicago Machine,HIGH FIVE,13,7,"07/30/2016, 08:00",Pool A
Prairie Fire,Inception,11,10,"07/30/2016, 08:00",Pool A
Chicago Machine,Inception,13,6,"07/30/2016, 12:00",Pool A
Prairie Fire,HIGH FIVE,11,12,"07/30/2016, 12:00",Pool A
Chicago Machine,Prairie Fire,13,7,"07/30/2016, 14:00",Pool A
HIGH FIVE,Inception,11,9,"07/30/2016, 14:00",Pool A
pool,Pool B
Ironside,Rhino,13,8,"07/30/2016, 08:00",Pool B
Madison Club,Sub Zero,13,7,"07/30/2016, 08:00",Pool B
Ironside,Sub Zero,13,7,"07/30/2016, 10:00",Pool B
Madison Club,Rhino,10,13,"07/30/2016, 10:00",Pool B
Ironside,Madison Club,11,13,"07/30/2016, 12:00",Pool B
Rhino,Sub Zero,12,11,"07/30/2016, 12:00",Pool B
pool,Pool C
Doublewide,PoNY,13,9,"07/30/2016, 10:00",Pool C
Patrol,Temper,11,9,"07/30/2016, 10:00",Pool C
Doublewide,Temper,13,9,"07/30/2016, 12:00",Pool C
Patrol,PoNY,13,14,"07/30/2016, 12:00",Pool C
Doublewide,Patrol,13,8,"07/30/2016, 14:00",Pool C
PoNY,Temper,13,8,"07/30/2016, 14:00",Pool C
pool,Pool D
Ring of Fire,Johnny Bravo,7,13,"07/30/2016, 08:00",Pool D
Truck Stop,Guerrilla,13,9,"07/30/2016, 08:00",Pool D
Ring of Fire,Guerrilla,13,12,"07/30/2016, 10:00",Pool D
Truck Stop,Johnny Bravo,10,13,"07/30/2016, 10:00",Pool D
Ring of Fire,Truck Stop,7,13,"07/30/2016, 14:00",Pool D
Johnny Bravo,Guerrilla,13,12,"07/30/2016, 14:00",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Johnny Bravo,Truck Stop,7,13,"07/31/2016, 12:00",1st Place Finals
Chicago Machine,Johnny Bravo,10,13,"07/31/2016, 10:00",1st Place Semis
Truck Stop,HIGH FIVE,13,8,"07/31/2016, 10:00",1st Place Semis
Chicago Machine,Madison Club,14,13,"07/31/2016, 08:00",1st Place Quarters
Johnny Bravo,Rhino,13,10,"07/31/2016, 08:00",1st Place Quarters
Doublewide,Truck Stop,7,13,"07/31/2016, 08:00",1st Place Quarters
Ironside,HIGH FIVE,6,13,"07/31/2016, 08:00",1st Place Quarters
Madison Club,Patrol,13,10,"07/30/2016, 16:00",1st Place Prequarters
PoNY,Rhino,11,13,"07/30/2016, 16:00",1st Place Prequarters
Prairie Fire,Truck Stop,10,13,"07/30/2016, 16:00",1st Place Prequarters
Ring of Fire,HIGH FIVE,6,13,"07/30/2016, 16:00",1st Place Prequarters
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
Chicago Machine,HIGH FIVE,15,14,"07/31/2016, 12:00",3rd Place
bracket,5th Place Bracket
Madison Club,Ironside,7,11,"07/31/2016, 12:00",5th Place Finals
Madison Club,Rhino,13,10,"07/31/2016, 10:00",5th Place Semis
Doublewide,Ironside,9,13,"07/31/2016, 10:00",5th Place Semis
bracket,7th Place
Rhino,Doublewide,10,13,"07/31/2016, 12:00",7th Place
bracket,9th Place Bracket
PoNY,Ring of Fire,12,11,"07/31/2016, 10:00",9th Place Finals
Patrol,PoNY,7,13,"07/31/2016, 08:00",9th Place Semis
Prairie Fire,Ring of Fire,10,13,"07/31/2016, 08:00",9th Place Semis
bracket,11th Place
Patrol,Prairie Fire,12,9,"07/31/2016, 10:00",11th Place
b,r,e,a,k
pools,13th Place Round Robin
pool,Pool E
Inception,Temper,14,13,"07/30/2016, 16:00",Pool E
Sub Zero,Guerrilla,13,9,"07/30/2016, 16:00",Pool E
Inception,Guerrilla,8,13,"07/31/2016, 12:00",Pool E
Sub Zero,Temper,13,6,"07/31/2016, 12:00",Pool E
Inception,Sub Zero,10,11,"07/31/2016, 14:00",Pool E
Temper,Guerrilla,6,13,"07/31/2016, 14:00",Pool E
b,r,e,a,k
