Philly Open 2016,Club - Mixed ,6,8,2016
https://play.usaultimate.org/events/Philly-Open-2016/schedule/Mixed/Club-Mixed
Mixed Nuts,1
55,Matthew Hale
88,ALEXANDER HAYNES
b,r,e,a,k
Throws of Passion,14
0,ANDREW ROUSE
0,Kevin Hoercher
0,Bethany DaRin
0,Corrie Willson
0,Lina Gomez
0,Diane Patterson
0,Amelie Bailey
0,Sam Gabrielson
0,Robert Shoemaker
0,MEGHAN Rivera
6,Marissa Gillwald
13,Katherine Garner
51,PHILIP BRYANT
62,THOMAS RUDWICK
b,r,e,a,k
Norfolkin' Around,19
0,LESLIE VANDERKOLK
0,Victoria Phan
0,Andrew Stillerman
0,Jessica Tow
0,David Caplan
0,WAYNE JONES
0,Logan Berns
0,John (Eric) Hartzog
0,Patrick Meehan
6,Kaleigh Berns
05,Stetson Roof
10,RACHEL EMERSON
13,Celeste Ostman
17,Justin Maynard
24,Xavier Charles
72,Brooke Webber
b,r,e,a,k
Turnstyle,22
0,Marc Liu
0,Russell Borenstein-Burd
0,Jasmine Remillard
0,Moi Li
0,Brendon Scheideler
0,Jennifer Knister
0,Andy Zhu
0,John Wimalanayagam
0,Thomas Schankler
0,Matthew Delos Santos
0,James (Jake) Walkup
0,Jessica Sacks
0,David Vaughan
0,Keith Dobson
0,Kylie Sterling
0,Kelsey Wentling
0,Alec Orgera
5,Ulices Rodriguez
8,Aseem Kishore
11,Christie Yeh
12,Jenny Liu
24,Phoebe O'Connor
44,Andrew Weisman
73,Caleb Fine
88,John Sisson
b,r,e,a,k
Legion,6
01,Taylor Nelson
02,Kevin Habermas
03,Ashley Mast
04,Jenna Bibby
05,Keziah Hill
06,Walter Lewis
07,Lowe Bibby
08,Taylor Engen
10,Allison Coffey
11,Kevin Dodd
12,Jonathan Mast
15,Brendan Kinne
17,Sydney Dawson
18,Krista Habermas
19,Kevin Foster
25,Elizabeth Ware
27,Jillianne  Engen
37,Brandon Lison
44,JUSTIN  PHILLIPS
45,Megan Kinne
47,Billy Harmon
68,Jennifer Schlabach
82,Rabah Sbitani
b,r,e,a,k
Lord Fairfax,10
0,Andrew Han
0,Joy Kim
0,Kristin Lue Chee Lip
0,Eli Hosen
0,Janelle Heinig
0,Alex Goldman
0,Nicholas Kwan
0,Sean Degrace
0,Eliana Harnage
0,Matt McMahon
5,ELLEN NEUKAM
13,Jacob Harnage
17,Alexis Planche
17,COLIN BUCKLEY
27,Matt Kalna
b,r,e,a,k
FLI,3
0,Ryan Smith
0,Stacey Ng
0,Chris Ambrosio
0,Josiah Zoodsma
0,Joe Moyles
0,Leanne Beyel
0,Scott Mulderig
0,Vivian Liu
2,Jamie McClintock
15,Elena Arnosky
15,James Green
15,Jamie DeVivo
17,Whitney McCarthy
21,Christopher Cabot
22,Matt Hunt
31,Collin Bartoldus
56,Kelly Pabon
b,r,e,a,k
Stormborn,18
