Uprising 4 2016,College - Men ,2,4,2016
Saratoga Springs,NY,2016-04-02,2016-04-03
https://play.usaultimate.org/events/Uprising-4-2016/schedule/Men/CollegeMen/
RIT,5
teamInfo,RIT Spudheds,"Rochester, New York",,,
0,Christian Gileski
0,Daniel Horrigan
0,Bryan Bausinger
0,MICHAEL TANIS
0,Louis Kline
0,James Erb
0,Anthony Miuccio
0,Ian Taylor
0,Aaron  Liu
0,Michael Keegan
0,Iain Tracton
0,Zephram Carroll
0,Eric Yoon
0,ZACHARY LAW
8,Connor Fortin
9,John Ackerman
24,Jacob Watts-St. Germain
55,CASEY GONTA
b,r,e,a,k
Wentworth Institute of Technology,4
teamInfo,Concrete Jungle,"Boston, Massachusetts",,,https://twitter.com/WITUltimate
coaches,Mackenzie Kirby
0,Benjamin Bracuti
0,Christian Donato
0,Tyler Boudrias
0,Ryan Arsenault
0,Giles Holmes
0,Andre Clement
0,Eric Franzen
0,BRETT POWERS
0,Connor  Read
0,Austin Phillips
0,Michael McCarthy
0,Matthew Delissio
0,TOM CHIARELLI
0,STEPHEN RANIERI
0,MICHAEL FORTIER
3,Evan McCarthy
4,Zakary Laroche
11,Jayson Pusateri
12,Michael Carando
25,Simon Filippenko
98,Zackery Smith
b,r,e,a,k
Amherst,1
teamInfo,Army of Darkness,"Amherst, Massachusetts",,,
0,Caleb Ki
0,TREVOR SMITH
0,Alexander Titelbaum
0,Cole Steiger
0,Nathan Sacks
0,Jason Darell
0,David Brinkley
2,Borun Sun
3,Jonathan Che
5,Matt Weinberg
6,Robert (Bob) Neel
9,MAPATE DIOP
18,Elias Mansbach
19,Andrew Chang
25,Zack Stern
42,EDWARD KLEINER
43,Kevin Goldberg
54,Fawzi Itani
99,Barrett King
b,r,e,a,k
Ithaca,8
teamInfo,Nawshus Ultimate,"Ithaca, New York",,,
0,DREW STIERHOFF
0,Nicholas  Dell'Amore
0,Sam Fischer
0,Michael Villani
0,Scott Goodheart
0,Steven Kaufman
0,James Choinski
0,Dan Kustin
0,Alec Tucker
0,Jacob Rosen
0,Benjamin Kaplan
2,Callahan Cohane
3,Adam Sharabi
7,Matt Ristaino
10,CHRIS YEH
11,Quentin LeVant
14,Zack Smolen
16,Adam Schneider
20,Adrian Baker
21,Andrew  Seiden
25,Christopher Falcone
69,Daniel Percival
b,r,e,a,k
Massachusetts-Lowell,9
teamInfo,Riverhawks,"Lowell, Massachusetts",,,
0,Anthony DiVirgilio
0,Timothy Koufogazos
0,Shubham Garg
0,Nathan McCann
0,Brandon Lee
0,Zach Rush
0,Sam Johnson
5,David Frongillo
9,JAKE FEIN
10,Jim Grace
12,William Russell
13,Lucas Morse
17,Gregory Dorian
23,JOSH CANNON
33,CONNOR SUMNER
42,Trevor Kelly
44,Andrew Mucci
51,Patrick Daly
88,Jake Hogan
b,r,e,a,k
Stonehill,6
teamInfo,Stonehill College Men's Ultimate,"Easton, Massachusetts",,,
coaches,Craig Bunce
0,Patrick Benson
0,ALEXANDER CAHILLANE
0,Sebastian Patino
0,Avery Hale
0,Mike Rozelsky
0,Sean  Downs
0,Tyler Hall
0,Joshua Whelan
0,Jose Montalvo
0,Steven Villani
0,Michael Watts
0,Thomas Passano
0,Ethan Fultz
0,Jeremy Halstead
0,Matthew Moschella
0,Chris Briggs
0,Ian Vescera
0,Mark Gambon
0,Connor Hilbie
7,Jon Letourneau
42,Patrick  O'Hara
b,r,e,a,k
SUNY-Cortland,10
teamInfo,Team Rocket,"Cortland, New York",,,
0,RANDY WERKMEISTER
0,Tyler Arnold-Brown
0,Alex Pressman
0,Nicholas boyd
0,Seth Croft
0,Arjun Ramani
0,David Geddes
0,Adam Marino
0,Justin Krebs
0,William Shambo
0,Thomas Danz
0,Joseph  Zambito
0,Troy Platt
0,Luke Warpus
0,Patrick Lachance
0,Brian Lee
0,Adam Cusner
0,Michael Ortiz
0,Eric London
3,Richard Milleville
10,Ben Phillips
13,John McEntyre
19,Clayton DeVries
59,Joseph Rispoli
80,Anthony Coppola
94,James  O'Connell
b,r,e,a,k
Maine,2
teamInfo,Nor'Easter,"Orono, Maine",,,https://twitter.com/NorEasterDisc
0,Jared Schrader
0,Austin Gerchman
2,Eugene Wentworth
2,Tony Alves
3,Zach Connerty-Marin
7,Evan McLean
11,Logan Gerchman
22,DAVID SHERMAN
24,Steven Wilkinson
32,Jared DeWolfe
55,Benjamin Smith
61,IAN SHEA
67,Benjamin Robishaw
74,Kyle Monahan
b,r,e,a,k
Saint Rose,7
teamInfo,Spartans,"Albany, New York",,https://www.facebook.com/strosekingsofthenorth/?fref=ts,https://twitter.com/stroseultimate
0,Jeffrey Raway
5,Matthew Kerendian
8,Kevin Pedraza
9,Christian Milea
10,Jonathan McRae
19,Jason Zobre
20,Thomas Hulle
22,Tyler Champine
24,Michael Aurrichio
30,Rob DeAngelo
31,Connor Braddock
32,Zach Grappone
33,Alvaro Sosa-Suarez
44,Joshua Hulslander
53,Ryan Wind
68,Matthew Leja
88,James Hodge
b,r,e,a,k
Boston University,3
teamInfo,Boston University,"Boston, Massachusetts",https://www.facebook.com/BU.Ultimate,https://www.facebook.com/BU.Ultimate,https://twitter.com/ozonepilots
0,Matthew Cote
0,NICK CAPRIOLA
0,Andrew Cutler
0,JONATHAN BERLOWITZ
0,Ike Hammond
0,MALIK ODEH
0,THOMAS COHEN
0,Cody Karjadi
0,Michael Woo
3,AARON PLOSKER
10,Benjamin Gagne-Maynard
10,Brad Kutler
13,Jonah Rosner
30,Andre LeVan
31,Daniel Kronenfeld
69,Brian McGrath
76,Arthur Small
98,DYLAN MAWBY
b,r,e,a,k
Wesleyan,11
teamInfo,Nietzsch Factor,"Middletown, Connecticut",,,
0,Ellis Richmond
0,Henry Kinder
0,Maxwell McGleughlin
0,Sam Horenstein
0,Sam Gord
0,ELI SPECTOR
0,Timothy Levin
0,Charlie King
0,Robert Kanjo
0,Noah Sellman
0,Marcus Kener
0,Matthew Erodici
0,Dan Kim
0,Noah Dirks
0,Jesse Broad-Cavanagh
0,LARS BERG
1,Peter Sohmer
8,Finnian Day
13,Emerson Obus
29,Noah Miller-Medzon
44,Silas Newman
60,Christopher Moetell
90,Benjamin Klausner
b,r,e,a,k
Le Moyne,19
teamInfo,Goblins,"Syracuse, New York",,,
02,Jonathan Willman
11,Colin O'Keefe
11,Luke Alberts 
12,Xavier Schafer
13,David Hojnowski
15,Michael Weijola
16,Joshua Sands
16,Thomas Lyga
22,Nick Gariglio
24,Zachary Ashley
26,Jacob Patterson
26,Andrew Matukas
26,Samuel Tucker
42,Lucas Morrissey
44,Craig Garrow
92,Zach Leader
b,r,e,a,k
SUNY-Oneonta,18
teamInfo,SOFA,"Oneonta, New York",,,
0,Eric Swan
0,SHANE IRWIN
0,Eian Trenkle
0,Daniel Gallagher
0,Thomas Maurer
0,LUCIEN ORZA
0,Harrison Yoder
0,Garrett Nayar
0,Chris Seifert
0,Thomas Rascona
0,Adam Arochas
0,Alex Vitzthum
1,William Blatz
2,Corey Fierro
3,ZACHARY KASLOSKI
4,Bradley Hitter
10,Ryan Smith
11,JAMES WHITE
13,Kevin Stearns
17,Patrick Vitzthum
22,Austin Hills
28,Scott McCann
29,Matthew Eicher
33,Ryan Assini
47,Martin Sak
56,Tom McNamee
67,Kevin Egan
80,Patrick Cammer
88,Brian Adrian
99,Derek Moss
b,r,e,a,k
Boston College (C),26
teamInfo,Boston College Eagles C,"Chestnut Hill, Massachusetts",,,
0,William Wilson
0,William Michael Hufnagle
0,Drew  Perry
0,Henry Camacho
0,Patrick Conway
0,Branden Kim
0,Simon Woo
0,Gabriel Ignacio
0,Matthew Taylor
0,Cameron Richardson
0,David Seo
9,Chris Noyes
17,Tyler Mabry
26,Jonathan Colavita
26,Russell Mahoney
b,r,e,a,k
Edinboro,17
teamInfo,Haggis,"Edinboro, Pennsylvania",,,@HaggisUltimate
01,Max Sheppard
03,Michael Smith
04,Chris Troop
05,Kai Jungbluth
06,Joshua Guarriello
06,Blakely Hoffman
08,Austin Derbis
11,Nicholas Nagel
12,Ryan Richards
18,Matt Zello
21,Anthony Kahn
23,Rob Kemp
26,TYLER WILKINSON
28,Devin Christian
32,LEWIS RHINE
33,Troy Beauchat
42,Edward Reash
44,Bryce Bauer
69,Benjamin Cole
88,Peter Bridges
99,Mathew Stefancin
b,r,e,a,k
Syracuse,12
teamInfo,Doom,"Syracuse, New York",,https://www.facebook.com/SyracuseUltimate,https://twitter.com/doomultimate
0,Ryan Shaw
0,Jeffrey Spivack
0,Jay Boyington
0,Garrett Rightler
0,Michael Zivik
0,Sebastian Arruda
0,Jonathan Schulz
0,Brian Walsh
0,Matthew Alpert
2,Reese Laviolette
4,Christopher Granados-Kramer
05,Elijah Newsome
11,Jesse Newman
13,Ryan Hicks
14,Brendan Harper
15,Andy Chen
18,Ben Eckstein
20,Benjamin Kropp
25,Scott Slutsky
33,Daniel Probst
69,Jeff Goldberg
84,Christopher McGlynn
88,Danny Feinman
95,Nicholas Granados-Kramer
99,Ryan Benincase
b,r,e,a,k
Vermont (B),25
teamInfo,Chill,"Burlington, Vermont",,,
0,Will Beacom
0,Arthur Conover
0,James Craig
0,Isaac Sponem
7,Eric Chen
13,Jeffrey Schultz
24,Michael Morris
29,Samuel Hanlon
31,JAGGER LINSKY
99,Griffin Cummings
b,r,e,a,k
Gannon,20
teamInfo,Gannon Knights,"Erie, Pennsylvania",https://engageu.gannon.edu/organization/frisbee,https://www.facebook.com/groups/GannonUltimateFrisbeeClub/,https://twitter.com/GUultimate
0,Anthony Jaskiewicz
3,Jacob Bodosky
5,Alfred Beckstrom
7,Christopher Devine
12,Bradley Rutkowski
15,Ryan Crotty
19,Deen Meah
28,Stephen Karpinsky
85,Aaron Grzegorzewski
b,r,e,a,k
Rensselaer Polytech,13
teamInfo,Trudge,"Troy, New York",http://frisbee.union.rpi.edu/,https://www.facebook.com/pages/RPI-Trudge-Ultimate/150465975037160,https://twitter.com/rpitrudge
0,Brian Kovacik
01,James Veitengruber
02,Casimir Wills
03,Michael Wentworth
04,Alexander Curreri
06,Henk Humes
07,Euan McInally
08,Benjamin West
09,Jishnu Mandal
10,Andrew Kerns
11,Emet Schwartz
12,Spencer Holt
14,DAVID ROSENBERG
16,Alexander Smith
17,Pierre Fabris
23,RYAN MORIARTY
24,David Tamir
26,Will King
27,Landon Kilgallon
30,Alain Hwang
31,Steven Breeding
33,Adam Pomeranz
34,Zach Biletch
36,Andrew Yale
42,Victor Chen
44,Adam Morgan
47,Ian Chamberlain
53,Huntington Gazecki
57,Andrew D'Aoust
63,Timothy Newman
73,Mark Hansen
74,Greg Berube
75,Tausif Ahmed
77,ZE QIN QIU
88,Philip Kamei
96,Dane Bush
99,Daniel Kruse
b,r,e,a,k
Marist,16
teamInfo,Fox Ultimate,"Poughkeepsie, New York",,,https://twitter.com/maristfoxu
0,Brian Beyer
0,Hilera Hardy
0,John Mosho
0,Marco Amleto
0,Christian Haupt
1,Daniel Jast
1,James Holden
4,Adam Conte
8,Zachary Schultz
9,Parker Rennels
10,David Wallace
17,Christopher Rachek
19,BRYAN ROCKWOOD
20,BRANDON FLEISCHHACKER
23,Paul Nemergut
24,Jared Brady
25,Ronald Cavaliere 
26,Michael O'Rourke
32,AVERY DECKER
33,Daniel Grogan
36,Peter Ohanesian
44,Mark Harris
89,Michael Traina
b,r,e,a,k
Boston College (B),24
teamInfo,Boston College Eagles B,"Chestnut Hill, Massachusetts",,,
0,Andrew Cirillo
0,Tucker Charette
0,Joseph Stein
0,Joseph Ryan
0,Martin Barylak
0,Dylan Josephs
0,Nick DiAdamo
0,Aidan Sheehan
0,ryan chan
0,John Pugh
0,Christopher Maione
0,Mark Stansky
16,Lucas Bledsoe
21,NICHOLAS WEGENER
94,Samuel Zatkowski
b,r,e,a,k
Norwich,21
teamInfo,Norwich A,"Northfield, Vermont",,,
0,Amy Blair
0,Elliot Jennings
0,TAYLOR WARING
2,Derek Stanley
6,Ryan Dau
7,Lucas Medlin
8,Darren Tsan
9,Joshua Currier
11,Craig Nielsen
12,Patrick Bateman
23,MILLIND FAUNCE
42,Jesse Gillette
47,Rob Lamarre
64,Jack Carnahan
b,r,e,a,k
MIT,15
teamInfo,Grim Beaver,"Cambridge, Massachusetts",modules/common/mens-ult.mit.edu,https://www.facebook.com/pages/MIT-Mens-Ultimate/129768873797702,https://twitter.com/MITultimate
0,MITCHELL SHOPE
0,Richard Yip
0,Kevin Li
0,THOMAS AVILA
0,Solan Israel-Megerssa
0,Eric Wong
0,Jonathan Uesato
0,Kuo-An Wei
3,BRANDON TRAN
4,JOEL BROOKS
11,Gil Goldshlager
24,Paolo Gentili
29,Steven Homberg
30,Justin Yuan
42,Hao Shen
b,r,e,a,k
Massachusetts (B),22
teamInfo,Zoodisc B,"Amherst, Massachusetts",,,
0,Leo Stern
0,Sam Spiegel
0,Zachary Best
0,Samuel Azucena
0,Patrick Bannon
0,DANA KURPASKA
0,Sergio Guzman
0,SEAN CRONIN
0,Matthew Berdel
0,Calvin Wardle
0,Kyle Celentano
0,Robert Shapiro
0,Jake Celentano
6,Cody Dyl
12,Corey Camara
25,Matthew Schreibman
27,DANIEL ROACH
b,r,e,a,k
Keene State,14
teamInfo,Keene State,"Keene, New Hampshire",,,
0,MYLES DUMAS
0,Seth Dube
0,Tim McGraw
0,Josh Noury
0,Thomas Guglielmo
0,Karver Bosela
2,JARED SUMNER
7,Ryan French
96,Louis Graeve
b,r,e,a,k
Amherst (B),23
teamInfo,Bubba Ho-Tep,"Amherst, Massachusetts",,,
0,Jeffrey Kong 
0,Jake May
0,Mohamed  Ramy
0,Aahnix Bathurst
0,Andy Tang
0,Andrew  Willis
0,Alexander Gurvets
0,Mahesh Dhulipala
0,Aneesh Venkata
0,Michael Dwyer
0,Scott Rochard
0,Noah Elliott
0,alexander chaffers
12,Henry Landis
59,Jake Vitale
98,Aaron Yang
b,r,e,a,k
s,t,a,g,e,s
pools,Power
pool,Pool A
Amherst,Massachusetts-Lowell,13,7,"04/02/2016, 09:00",Pool A,Final
RIT,Ithaca,13,10,"04/02/2016, 09:00",Pool A,Final
Amherst,RIT,13,14,"04/02/2016, 10:30",Pool A,Final
Wentworth Institute of Technology,Ithaca,13,8,"04/02/2016, 10:30",Pool A,Final
Ithaca,Massachusetts-Lowell,13,8,"04/02/2016, 12:00",Pool A,Final
Wentworth Institute of Technology,RIT,11,13,"04/02/2016, 12:00",Pool A,Final
Amherst,Ithaca,13,5,"04/02/2016, 13:30",Pool A,Final
Wentworth Institute of Technology,Massachusetts-Lowell,13,7,"04/02/2016, 13:30",Pool A,Final
Amherst,Wentworth Institute of Technology,12,14,"04/02/2016, 15:00",Pool A,Final
RIT,Massachusetts-Lowell,13,3,"04/02/2016, 15:00",Pool A,Final
pool,Pool B
Maine,SUNY-Cortland,7,13,"04/02/2016, 09:00",Pool B,Final
Stonehill,Saint Rose,13,6,"04/02/2016, 09:00",Pool B,Final
Maine,Stonehill,11,12,"04/02/2016, 10:30",Pool B,Final
Boston University,Saint Rose,F,W,"04/02/2016, 10:30",Pool B,Final
Saint Rose,SUNY-Cortland,8,13,"04/02/2016, 12:00",Pool B,Final
Boston University,Stonehill,F,W,"04/02/2016, 12:00",Pool B,Final
Maine,Saint Rose,13,6,"04/02/2016, 13:30",Pool B,Final
Boston University,SUNY-Cortland,F,W,"04/02/2016, 13:30",Pool B,Final
Maine,Boston University,W,F,"04/02/2016, 15:00",Pool B,Final
Stonehill,SUNY-Cortland,13,7,"04/02/2016, 15:00",Pool B,Final
b,r,e,a,k
pools,Classic
pool,Pool C
Wesleyan,Le Moyne,13,10,"04/02/2016, 15:00",Pool C,Final
SUNY-Oneonta,Le Moyne,11,12,"04/02/2016, 16:30",Pool C,Final
Wesleyan,SUNY-Oneonta,11,10,"04/02/2016, 19:30",Pool C,Final
SUNY-Oneonta,Boston College (C),13,1,"04/02/2016, 21:00",Pool C,Final
Wesleyan,Boston College (C),13,0,"04/02/2016, 22:30",Pool C,Final
