TCT Pro-Elite Challenge 2016 (Colorado Cup),Club - Women ,30,7,2016
Aurora,CO,2016-07-30,2016-07-31
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2016-Colorado-Cup/schedule/Women/Club-Women/
Brute Squad,1
0,Amber Sinicrope
0,Kimberly Levins
6,Claudia Tajima
7,Alyson Steinfeld
9,Rebecca Ludford
11,Christie Kim
13,Becky Malinowski
17,Angela Zhu
18,Leila Tunnell
19,Lien Hoffmann
21,Chelsea Murphy
22,Victoria Negus
25,Shira Klane
26,Elana Schwam
28,Shellie Cohen
37,Molly Hallweaver
39,Sydney Dobkin
71,Cassandra Wong
b,r,e,a,k
Phoenix,8
1,Lindsay Soo
2,Brooke Stanislawski
3,Lyra Olson
5,Jessica Jones
6,Qing (Jenny) Wei
9,Jinny Riedel
10,Michelle Ng
12,Mariel Hammond
15,Ashley Powell
17,Jenna Dahl
19,Rachel Johnson
21,Kyra Catabay
22,Heather Zimmerman
23,Meg Duffy
24,Katelyn Travaglini
25,Judy Ledlee
26,Chloe Greene
29,Ann Araps
44,Katy Harris
52,Erynn Schroeder
66,Simone Whale
b,r,e,a,k
Showdown,13
0,Jennifer Schmerling
0,Laura Landis
1,JERRY BENAVIDEZ
3,Domenica Sutherland
5,Andrea Esparza
7,Shiru Liu
10,Gaby Cuina
11,Katey Forth
14,Edith Teng
14,Michelle Landis
15,Sydney Overman
16,Sarah Levinn
17,Marissa Land
18,Laura  Gerencser
22,Julia Schmaltz
23,Lillian White
25,Cristina Woodings
28,Anne Ortiz
29,Michelle Arceneaux
32,Rebecca Forth
33,Erin Schran
44,Sharon Tsao
48,MELISSA LOH
b,r,e,a,k
Ozone,12
02,Emily Leonard
04,Marissa Hannah
05,Evelina Pierce
07,Lane Siedor
08,Samantha Daugherty
09,Anraya Palmer
10,Sophie Darch
11,Caroline Pearson
12,Ashley Brown
14,Allison Snow
16,Leah Tsinajinnie
20,India Stubbs
22,Sierra Rimmer
24,Katherine Wooten
25,Katherine Hines
26,Cate Woodhurst
27,Meg Harris
31,Paige Carver
31,Samantha Jones
32,Haley Reese
33,KRISTIN LLOYD
44,Mira Walker
83,Shanye Crawford
89,Kristina Chambers
91,Hannah Leathers
b,r,e,a,k
Seattle Riot,2
0,Paige Soper
4,Rohre Titcomb
5,Alex Ode
6,Sarah Griffith
7,Calise Cardenas
8,Rachel Bradshaw
9,Qxhna Titcomb
01,Kelly Johnson
10,Shira Stern
12,Callie Mah
13,Kirstin Gruver
14,Hana Kawai
15,Bailey Zahniser
16,Cassandra Swafford
17,Dominique Fontenette
19,Fiona McKibben
20,Kristin (Charlie) Eide
21,Molly McKeon
24,Sarah Davis
27,Julia Snyder
34,Angelica Chambers
77,Jillian Goodreau
81,Charlie Mercer
b,r,e,a,k
Heist,11
02,Jessica Serednesky
03,Liza Minor
05,Rose Glinka
07,Austin Prucha
08,Adrienne Wells
10,Alison Vandegrift
11,Melissa Gibbs
12,Jasmine Draper-Matthew
13,Brittney Kokinos
17,KELLY WIESE
19,Kayla Emrick
22,Arthi Padmanabhan
24,Kristen Brenner
30,Jean Huang
31,Mary VanDuyne
33,Emily Wehrwein
40,Amelia Cuarenta
42,Elizabeth Gronert
44,Hannah Frank
45,Becky LeDonne
47,STEPHANIE KNELL
87,Emily Langland
91,Georgia Bosscher
b,r,e,a,k
Nightlock,7
0,Mallory Meiser
02,Marisa Rafter
03,Loryn Kanemaru
05,Laurel Oldershaw
07,Claire Sharman
08,Rachel Habbert
09,Alexandra Stambaugh
10,Malina Wiebe
11,Iris Leung
12,Heather Waugh
13,Marie Laurenza
14,Emily Kolanz
16,Jennifer Founds
17,Abigail Edwards VanMuijen
18,SHANNON BUBB
19,Adrienne Lemberger
20,Bree Cahn
22,Kaitlin Swinnerton
23,Sabrina Ciccarelli
24,Natasha Won
25,Audrey Wei
27,Kira Lou
42,Jackelyne Nguyen
47,Bethany Kaylor
88,Alina Kagan
b,r,e,a,k
BENT,14
02,Brittany Kaplan
03,Terra Hittson
04,Alexandra Harris
05,Katherine Cole
07,Luisa Maria Neves
08,Whitney Viets
09,Sherry Li
18,Karen Chalif
19,Megan Randall
20,Martha Gregory
21,Cara Brown
22,Anna Membrino
25,Kristie Wong
27,Akina Younge
32,Allison Kahn
44,Ruthie Tabatchnick
47,Anne Silver
51,Veronica Auletta
77,Aideen Costello
80,Alison Douglas
82,Sophia Hulbert
87,Kelcie Ralph
88,Nastasia Tangherlini
99,Veronica Kolegue-Spalaris
b,r,e,a,k
Molly Brown,3
2,Samantha Peletier
3,Maggie Chen
5,Nhi Nguyen
6,Ashley Daly Morgan
7,Paige Applegate
9,Octavia Payne
10,Lindsey Cross
11,Dena Slattery
15,Dorothe Franklin
16,Megan Cousins
18,Crystal Davis
19,Christina Mickle
21,Kristina Snodgrass
23,Lauren Boyle
25,Kirstin Johnson
26,Lisa Pitcaithley
27,Tania Reitz
28,Sally Lambert
33,Lauren Baecher
42,Lisi Lohre
47,Rebecca Miller
49,Alicia White
52,Claire Chastain
55,Sara Taggart
65,Megan Ives
b,r,e,a,k
Traffic,6
0,Michelle Ning
0,Catherine Menzies
0,Jessica Rockliff
0,Ellen Au-Yeung
0,Katie Hikida
0,MIRA DONALDSON
0,Terri Whitehead
0,Rachel Moens
0,Ellie Hand
0,Candice Chan
0,KATE WERRY
0,Danie Proby
0,Danielle Fortin
0,Reanne Bowlby
0,SANYA PLESHAKOV
0,Nicola Parker
5,Naomi Morcilla
21,Rena Kawabata
24,Yayuk Joffres
27,Megan Kidston
33,Laura Mason
44,Erin Bussin
b,r,e,a,k
Underground,10
0,Ashley Chan
0,Lindsey Wilson
0,Michaela Fallon
0,Noel Hanzel
0,Nora Carr
0,EDEN MARSICEK
0,Molly Sinnott
0,BARBARA HOOVER
0,KALEY BENDER
0,CHRISSIE SEILIE
0,Abbie Abramovich
0,SARAH EDWARDS
0,Madeline Gilbert
0,Andi Coleman
1,Jessica Spaulding
23,Anh-Thu Chang
25,Emma Kahle
31,Heidi-Marie Wiggins
33,Catherine (Cate) Roscoe
55,Tiffany Phan
71,Arianne Lozano
84,Hallie Dunham
91,Tessora Young
b,r,e,a,k
Green Means Go,15
0,Shannon Tsai
2,Margie Guy
3,Angela Martin
5,YOLANDA SCARPATI
6,Malti McKinnon
11,Vicki Chen
12,Gillian Crysler
14,Sarah Gleeson
16,Kathryn Ritzmann
18,Elaine Dziemianowicz
19,Amel Awadelkarim
20,Danielle Walsh
21,Mackenzie Perkett
22,Beata Artz
23,Nichole Smith
24,Casey Gorman
26,Ashley Un
43,Jocelyn Corey
