Bring the Huckus 6,College - Men ,27,2,2016
Mercer,NJ,2016-02-27,2016-02-28
https://play.usaultimate.org/events/Bring-the-Huckus-6/schedule/Men/CollegeMen/
Richmond,9
0,JASON STEINER
0,Patrick  Murray
0,Graydon Cowan
0,Tynan Englert
4,Conor Tenbus
6,Mitchell Woo
9,Dennis Maclaine
12,Justin Keller
16,Christopher Selwood
18,Sam Gillespie
19,Mitchell Parry
21,Matthew Szeluga
24,Michael Le
26,ALEXANDER JOHNSON
33,Tyler Dickinson
44,Evan Crawford
45,Henry Babcock
48,Patrick TomHon
64,Joseph Cullison
72,James Lenox
75,Abraham Schroeder
99,Brenden Carol
b,r,e,a,k
American,4
0,Gabe Bichinho
0,Aaron Langley
0,Lex Samuels
0,Brian Hedal
0,Liam Carbutt
0,Ryan Trismen
0,SAWYER GILBERT
0,Christian  Duffoo
0,ADAM BERNSTEIN
0,Cole Flournoy
0,ISAAC SHORSER
0,Cortland Broyles
0,Eric Tagliaferre
2,JORDAN NATELSON
3,MICHAEL HARLEY
6,Nathaniel Gath
17,Aaron Besser
23,Norris Kpamegan
24,MICHAEL CIPRIANO
27,Bretton Caws
62,Doron Shore
86,Jonathan Seidenwurm
b,r,e,a,k
New Hampshire,1
0,David Susca
0,Trevor Harcourt
0,Ryan Lamers
0,Matthew Schweizer
0,Ryan Creamer
2,ZACH SPECHT
5,Jordan Taylor
6,Rocco Essex-Linehan
8,Thomas Edmonds
9,Kyle Cayer
11,Jesse Schwartz
12,Keefer Welsh
12,Christopher Linskey
15,Calvin Conant
16,Cameron Dick
21,Austin Butler
21,Cole Matthews
25,Ivan Tran
28,Trevor Yandow
33,Thomas Stover
45,Henry Briggs
48,DAMIAN WOODARD
79,James Marsh
80,Eric Bower
94,MICHAEL ARNOLDY
99,Philip King
b,r,e,a,k
Rutgers,5
0,Ian Lee
0,Peter Jeng
0,Paul Savarskyy
0,Grant Roginski
0,Dyllon Jeng
0,Alexander Huang
0,Roy Roldan
0,Joshua Shamouil
0,NEHAR DAMLE
5,Kevin Tam
6,Dmitry Suvorov
9,Dean  Klimek
10,Shashank Alladi
14,Brendon Pierce
19,Andrew Auyeung
20,KYLE POTKAY
23,Zhaoyuan Miao
25,Ryan Mendoza
31,Francis Joe
32,ALEXANDER KONG
36,Tanner Yuhas
49,ANDREW LEE
64,Benjamin Levy
b,r,e,a,k
George Mason,8
0,Matthew Eiman
2,Jonah  Roberts 
3,Stephen Paquette
4,Ian Garner
6,Tyler Moore
7,BRENDAN GIBSON
8,Brian Palomo
10,JORDAN BAZAK
13,CONNOR KNIGHT
14,Daniel Blair
16,Tre Williams
18,Richard Mayo
21,Morgan Vest
24,Tyler Byrum
27,Matt Kalna
30,David Hyde
33,James Benson
42,Sam Gabrielson
44,Matt Carter
45,Spencer Neher
47,Andrew Boykin
50,Jeremy Steinel
51,Austin Parker
55,GRAEME PIETTE
62,Eseyab Lemma
b,r,e,a,k
Williams,2
0,Matias Korfmacher
0,Patrick Gerald
0,Luke Passannante
1,Jeffrey Sload
2,Ari Ball-Burack
2,Douglas Wassarman
3,Dylan Martin
5,Noah Betz-Richman
8,Eli Goldstein
9,Joel Lee
11,Henry Lane
14,Brian Cintron
15,Willem Humes
15,Jeremy Smith
16,Lawrence Luo
18,Jonah Greenberg
21,Harrison Gatlin
24,Christopher Carley
25,Emmett Blau
42,Matt Radford
54,Chris Stefanik
59,Richard Saint
72,Matthew Goss
88,Jake Marrus
99,JOHN RUSSELL
b,r,e,a,k
Messiah,3
6,Josiah Peck
01,ADAM POZUN
07,JONAH CRAMER
11,Christian Becker
16,Peter Burt
17,Aaron Olney
18,Daniel Sidell
23,Anders Laub
25,JOSEPH BANKERT
28,TREVOR LANDIS
29,JM Rallo
42,MARK LARSEN
83,Justin Baitinger
b,r,e,a,k
Boston College,7
0,Kevin Sprotte
0,Riley Hanson
0,Niraj Patel
0,DAVID JOYCE
0,Connor McKnight
0,Duncan Webster
2,Ryan Cardinal
3,Zac Basile
4,Ryan Woodhouse
5,Drew Davis
6,Jake Pridotkas
7,Henry Crowley
9,Ryan White
10,Theo Kruse
12,Nicholas Porter
13,Liam Earley
19,NICK CRAIN
24,Brendan Chambers
33,Jonathan Young
41,Charles Lok
44,Tyler Raymond
50,Joshua DeBlieux
89,Michael Dillon
b,r,e,a,k
Temple,6
0,Andrew Trinh
0,James Diffenderfer
0,John Logue
0,Igor Smola
0,KRISTIAN WILLIAMS
0,Benjamin Cozzolino
0,Ryan Morris
0,Zach Klee
0,Alexander Reiner
6,Jeremy Fus
7,Kevin Woodring
8,Evan Kashan
03,NICHOLAS WILSON
10,Adriene Khon
11,JULIAN MAKARECHI
12,Eli Segal
14,Joseph Connolly
16,William Shutt
20,Nicholas LaRue
27,KD Okello
31,Paul Klimkowski
32,Robert Walker
35,Matthew Wilson
37,Ryan Coughlan
39,Michael Facinelli
59,Kyle Betley
81,PIERCE LUCK
b,r,e,a,k
SUNY-Fredonia,10
0,Gabriel Puccio
0,Toshiki Sakanaka
0,Matthew  Picha
0,Mitchell Storm
0,Chad Segar
