Nor Cal Women's Sectionals,Club - Women ,27,8,2016
San Jose,CA,2016-08-27,2016-08-28
https://play.usaultimate.org/events/Nor-Cal-Womens-Sectionals-2016/schedule/Women/Club-Women/
Deadly Viper Assassination Squad,3
teamInfo,,"Oakland, California",,https://www.facebook.com/dvasultimate,https://twitter.com/VipersDeadly
0,Ally Mitchell
0,NICOLE COPTI
0,YELISAVETA (LIZA) PESENSON
0,Elizabeth Dressler
0,TIFFANY CHAU
0,DRU MARION
0,Monica Hsiue
0,Georgia Valentine
0,Laura Schott
0,Deborah Liu
0,ELLEN ZWICKL
0,Jennifer Gross
0,TEGWYN LEWIS-PINE
0,Karin  Lin
0,BECKIE MENTEN
0,Christy Cheung
0,Louisa McGuirk
7,Sophia Vargas
11,Beth Quisenberry
18,Hannah Lerch
24,Susan Chen
73,Kimmey Hardesty
b,r,e,a,k
Thundercats,1
teamInfo,,"Berkeley, California",,,
0,Carly Eckstrom
0,Sophie Lu
0,KAREN KO
0,Elizabeth Grant
0,Laura Prescott
0,Yun-Yun Lin
0,Meredith Tosta
0,Danica Fong
0,Sara Maatta
0,Claudia Vasquez
0,Julianne Bozzini
0,Megan Pera
0,Mackensie Smith
1,Anna Wysen
18,Michelle McGhee
21,Alexandra Hasan
94,Brianna Griffin
b,r,e,a,k
Tempo,2
teamInfo,,"Palo Alto, California",http://www.tempoultimate.com,https://www.facebook.com/tempoultimate,https://twitter.com/TempoUltimate
0,Emily Tucci
0,Nina Roguski
0,ELLIS BEIER
0,Jiyeon Choi
0,Breanna Clark
0,Katy Qian
0,Jacqueline Martinez
0,Erica Messner
0,Maggie O'Connor
0,ALYSSA TOWERS
0,Kristen LeFevre
0,Angela Aie
17,Tyana Ruiz
25,Justine Rouleau
33,Margaret Coad
36,Talora Martin
b,r,e,a,k
s,t,a,g,e,s
pools,Pool
pool,Pool A
Tempo,Deadly Viper Assassination Squad,2,13,"08/27/2016, 10:00",Pool A,Final
Thundercats,Deadly Viper Assassination Squad,9,13,"08/27/2016, 11:50",Pool A,Final
Thundercats,Tempo,13,2,"08/27/2016, 13:40",Pool A,Final
b,r,e,a,k
