Hootie on the Hill 2016,Club - Mixed ,13,8,2016
https://play.usaultimate.org/events/Hootie-on-the-Hill-2016/schedule/Mixed/Club-Mixed
Memphis Hustle & Flow,3
00,ANDREW WILLIAMS
00,Whitney Elliott
00,Madeline Spolin
00,David Anderson
00,Stephen Counce
00,Erica Stoltz
00,AHMAD DHODI
00,Gabrielle Perl
00,Tabitha Joyner
00,Michael Parker
00,Shelby Glass
00,Thomas Duke
00,Katy Fuqua
00,Stephanie Forbert
00,Guillermo Iturriza
00,Philip Throckmorton
00,Matthew Zheng
00,Nicholas Brackley
00,McKenzie Drake
00,Kathryn Roys
00,Andrew Glenn
00,JULIAN MALONE
b,r,e,a,k
theRUB,1
0,Clay Mohr
0,Derek Carter
3,JONATHAN PERRY
3,KARA DICKEMANN
6,William Sharp
7,Courtney McClain
8,Austin Culp
11,Drew Hutchison
17,Cameron Umbarger
22,Barry Hart
22,Corey  Duncan
23,Matthew Gentry
33,MADDY BROWN
51,Brittany  Stettmeier
b,r,e,a,k
Mixed on the Rock,2
0,Stephen Treanor
0,ANNEMARIE BECK
0,Olivia Harrington
0,Felicia Clark
0,Jeremy DeLon
0,Casey Stewart
0,Judith  Brown
0,LAWSON HEMBREE
0,Casey Kleinhenz
0,SOPHIE HOUIN
0,Victoria Wynne
0,Joe Sundell
0,Toby Von Rembow
7,Tom Coffin
8,josh pixley
14,Camaron Phillips
21,Ross Noland
22,John Wynne
31,Justin Adams
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday
pool,Pool A
Mixed on the Rock,Memphis Hustle & Flow,5,13,"08/13/2016, 09:00",Pool A
theRUB,Memphis Hustle & Flow,10,12,"08/13/2016, 11:00",Pool A
theRUB,Mixed on the Rock,15,9,"08/13/2016, 13:00",Pool A
b,r,e,a,k
pools,Sunday
pool,Pool B
Mixed on the Rock,Memphis Hustle & Flow,8,10,"08/14/2016, 09:00",Pool B
theRUB,Memphis Hustle & Flow,9,6,"08/14/2016, 11:00",Pool B
theRUB,Mixed on the Rock,11,6,"08/14/2016, 13:00",Pool B
b,r,e,a,k
