Capital Mixed Sectionals ,Club - Mixed ,27,8,2016
Fredericksburg,VA,2016-08-27,2016-08-28
https://play.usaultimate.org/events/Capital-Mixed-Sectionals-2016/schedule/Mixed/Club-Mixed
American Hyperbole,1
teamInfo,,"Norfolk, Virginia",,,
0,Patrick Meehan
0,Jessica Tow
0,DAVID MCFARLAND
0,RACHEL RINGGOLD
0,JOHN GIBBS
0,Andrew Stillerman
0,John (Eric) Hartzog
0,Logan Berns
0,Victoria Phan
0,Shihan Wijeyeratne
0,Bob Steinberg
3,Matt Absi
5,Andy Shin
5,Stetson Roof
6,Kaleigh Berns
13,Celeste Ostman
17,Justin Maynard
24,Xavier Charles
72,Brooke Webber
b,r,e,a,k
Los Penguinos,6
teamInfo,,"DC/Baltimore, District of Columbia",,,
0,Melissa Gilbert
0,ATHENA TANG
0,Elizabeth Herzfeldt-Kamprath
0,Winston Chang
0,Brice McKeever
0,ALEX JENNISON
0,Eyad Lababidi
0,Kristen Mitsinikos
0,Karin Rafaels
0,Hon Yin Eubanks
0,KATY MURPHY-LUBOWICZ
0,Mathew Jahromi
0,Abigail Elbow
0,Kaiser Shen
0,Lex Overholt
0,Jennifer Pelleg
0,Stephen Lewis
0,GREG HOESCHELE
0,LESLIE WALKO
0,Swati Agarwal
0,Eric Owens
0,Cara Groden
6,Kevin Walko
7,William Cvengros
18,DAVID SCHNAARS
23,JAMES KELLY-LIEB
73,Brian Jollie
b,r,e,a,k
Tyrannis,4
teamInfo,,"Charlottesville, Virginia",https://www.cvillemixed.wordpress.com,https://www.facebook.com/pages/Tyrannis-Ultimate/300757090061321,https://twitter.com/tyrannisorus
0,Emma Colavincenzo
01,Brittany Taylor
03,Christopher Miller
04,Thomas Scott
05,RONALD IMBERT
10,Audrey Isaac
11,Matthew Babineau
12,Justin Keller
15,Elliott Isaac
17,SARAH ALFANO
17,Janie Mockrish
20,John Dickerson
21,Spenser Foley
23,Sam Gillespie
23,Emilio Craddock
24,Connor High
30,Brogan Jones
31,Eva Voth
32,Rebecca Driver
36,Ellis Nottingham
52,Tess Warner
88,Robert Pratt
b,r,e,a,k
8 Bit Heroes,11
teamInfo,,"Frederick, Maryland",,,
0,John Giannini
0,Emily Boegner
0,Robert McClughan
0,Claire Scott
0,Louis Kline
0,Chase Turner
0,Alvin Matute
0,Patrick McMullen
0,Samantha Palko
0,Daniel Kaste
3,Bryan Nadeau
4,Geoffrey Chan
5,JULIA FAHRMEIER
7,Allyson Golightly
8,Anne Tanenbaum
9,Anne Aldrich
14,Samuel Young
15,Zach VanDerwerker
16,Diana Burke
17,Elly Young
22,JOSHUA JAMISON
28,Andrea Beck
34,Kevin Boyd
42,Joshua Kim
67,ADAM BRYANT
84,Thomas Riggs
99,George Wright
b,r,e,a,k
Fuster,13
teamInfo,,"Charleston, West Virginia",,,
0,Allison Blanton
02,Eric Smithberger
03,Brandon Hudnall
04,Todd Griffith
06,Kathleen Kobyra
07,Aaron  Burns
09,Tyler Wetzel
10,Tiffany Harless
13,Steven Romano
14,Scott Fields
16,DAVID SMITH
17,Rylee Cone
21,Morelva Campbell
22,Joseph Rawlinson
23,Michael Campbell
26,Wesley Muncy
27,Tegan McComas
33,Sean Whelan
36,Drew Fenton
37,Kennedy Wolfe
48,Brook Johnson
81,Helen Louise Hindal
94,Susannah Byrd
99,Taylor Crammer
b,r,e,a,k
s,t,a,g,e,s
pools,Mixed - Club
pool,Pool A
Legion,Throws of Passion,17,9,"08/27/2016, 09:00",Pool A,Final
American Hyperbole,Throws of Passion,14,10,"08/27/2016, 11:00",Pool A,Final
American Hyperbole,Legion,17,9,"08/27/2016, 13:00",Pool A,Final
pool,Pool B
MxD,Fireball,15,8,"08/27/2016, 09:00",Pool B,Final
Lord Fairfax,Pandatime,15,2,"08/27/2016, 09:00",Pool B,Final
MxD,Pandatime,15,3,"08/27/2016, 11:00",Pool B,Final
Lord Fairfax,Fireball,14,10,"08/27/2016, 11:00",Pool B,Final
MxD,Lord Fairfax,14,10,"08/27/2016, 13:00",Pool B,Final
Fireball,Pandatime,15,7,"08/27/2016, 13:00",Pool B,Final
pool,Pool C
Sparkle Ponies,Stormborn,15,5,"08/27/2016, 09:00",Pool C,Final
Ant Madness,Norfolkin' Around,15,0,"08/27/2016, 09:00",Pool C,Final
Sparkle Ponies,Norfolkin' Around,15,5,"08/27/2016, 11:00",Pool C,Final
Ant Madness,Stormborn,15,3,"08/27/2016, 11:00",Pool C,Final
Sparkle Ponies,Ant Madness,15,10,"08/27/2016, 13:00",Pool C,Final
Stormborn,Norfolkin' Around,14,9,"08/27/2016, 13:00",Pool C,Final
pool,Pool D
Tyrannis,8 Bit Heroes,15,12,"08/27/2016, 09:00",Pool D,Final
Los Penguinos,Fuster,15,6,"08/27/2016, 09:00",Pool D,Final
Tyrannis,Fuster,13,9,"08/27/2016, 11:00",Pool D,Final
Los Penguinos,8 Bit Heroes,15,6,"08/27/2016, 11:00",Pool D,Final
Tyrannis,Los Penguinos,7,15,"08/27/2016, 13:00",Pool D,Final
8 Bit Heroes,Fuster,13,10,"08/27/2016, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
American Hyperbole,Sparkle Ponies,11,12,"08/28/2016, 14:00",Sun. Rd. 3,Final
American Hyperbole,Los Penguinos,13,5,"08/28/2016, 10:00",Sun Rd. 1,Final
Sparkle Ponies,MxD,14,12,"08/28/2016, 10:00",Sun Rd. 1,Final
American Hyperbole,Lord Fairfax,15,6,"08/27/2016, 15:00",Sat. Rd 4,Final
Ant Madness,Los Penguinos,8,13,"08/27/2016, 15:00",Sat. Rd 4,Final
Sparkle Ponies,Tyrannis,12,10,"08/27/2016, 15:00",Sat. Rd 4,Final
Legion,MxD,8,15,"08/27/2016, 15:00",Sat. Rd 4,Final
bracket,2nd & 3rd Place
American Hyperbole,Ant Madness,6,15,"08/28/2016, 16:00",Sun. Rd. 4,Final
Ant Madness,Legion,15,6,"08/28/2016, 14:00",Sun. Rd. 3,Final
MxD,Ant Madness,4,15,"08/28/2016, 12:00",Sun. Rd. 2,Final
Legion,Los Penguinos,14,10,"08/28/2016, 12:00",Sun. Rd. 2,Final
Lord Fairfax,Ant Madness,5,15,"08/28/2016, 10:00",Sun. Rd. 1,Final
Tyrannis,Legion,13,14,"08/28/2016, 10:00",Sun. Rd. 1,Final
bracket,4th & 5th Place
Legion,MxD,11,14,"08/28/2016, 16:00",Sun. Rd 4,Final
MxD,Los Penguinos,12,11,"08/28/2016, 14:00",Sun. Rd. 3,Final
bracket,6th & 7th Place
Los Penguinos,Tyrannis,9,14,"08/28/2016, 16:00",Sun. Rd. 4,Final
Lord Fairfax,Tyrannis,11,13,"08/28/2016, 14:00",Sun. Rd. 3,Final
Lord Fairfax,8 Bit Heroes,12,10,"08/28/2016, 12:00",Sun. Rd. 2,Final
Fireball,Tyrannis,12,13,"08/28/2016, 12:00",Sun. Rd. 2,Final
Throws of Passion,8 Bit Heroes,9,13,"08/28/2016, 10:00",Sun. Rd. 1,Final
Fuster,Fireball,6,15,"08/28/2016, 10:00",Sun. Rd. 1,Final
Throws of Passion,Pandatime,15,5,"08/27/2016, 08:00",Sat. Rd. 4,Final
Norfolkin' Around,8 Bit Heroes,6,13,"08/27/2016, 15:00",Sat. Rd. 4,Final
Stormborn,Fuster,5,15,"08/27/2016, 15:00",Sat. Rd. 4,Final
bracket,11th & 12th Place
Throws of Passion,Fuster,13,14,"08/28/2016, 12:00",Sun. Rd. 2,Final
bracket,"13th, 14th, 15th Place"
Norfolkin' Around,Stormborn,13,12,"08/28/2016, 12:00",Sun. Rd. 2,Final
Norfolkin' Around,Pandatime,15,5,"08/28/2016, 10:00",Round Name,Final
bracket,8th & 9th Place
8 Bit Heroes,Fireball,9,15,"08/28/2016, 14:00",Sun Rd. 3,Final
b,r,e,a,k
