TCT Select Flight Invite 2016,Club - Mixed ,13,8,2016
Westfield,IN,2016-08-13,2016-08-14
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2016/schedule/Mixed/Club-Mixed
Steamboat,1
teamInfo,,"Cincinnati, Ohio",http://www.steamboatultimate.com/,https://www.facebook.com/steamboatultimate,https://twitter.com/cincysfb
0,Jeff Kula
02,Nancy Haskell
03,Eddie Mack
04,Katherine Claiborne
05,Ryan Gorman
07,Bryan Walsh
08,Tim Settles
10,Jennifer Golan
12,Josh Findley
13,Kristin Baxter
17,Claire Schwaba
21,Scott Schriner
22,Brittany Winner
23,Nichole Kwee
27,Christopher Powers
28,Jeff Haney
33,Austin Winner
38,Joe Mozloom Jr
44,EVAN PRIEST
77,Daniel Khoe
82,TRACY WOO
99,Kevin Kula
b,r,e,a,k
Des Moines Metro,16
teamInfo,,"Des Moines, Iowa",,https://www.facebook.com/MetrUltimate,
04,Andy Woolard
05,Brad Ashley
06,Jonathan Kramer
07,Trevor Rice
08,Grant Maynard
10,T.J. Scovel
11,Austin Wehrwein
14,Rebecca Kramer
17,Daniel Forsyth
20,Katherine Goode
21,Alexis Rose
24,Curtis Nuzback
25,Karen Hill
29,Adam Levine
30,Aaron Bowles
36,Kelli Rice
47,James West
52,Bryan Hall
77,Kayla Anderson
80,Joseph Kosterman
81,Vincent Rice
94,RENEE HURLEY
b,r,e,a,k
LoveBomb,9
teamInfo,,"Ben Avon, Pennsylvania",,,@LoveBombFriz
0,Drew Rasmussen
0,RACHEL FILIAGGI
01,William Brotman
02,Sean McComb
03,Katelyn Stavinga
04,David Vatz
08,Bailey Moorhead
09,Brian Grace
10,ANDREJ ABABOVIC
18,KARA STOEVER
20,Amanda Davis
21,MARGAUX MILES
22,Jen Kacin
24,JEANNE SULLIVAN
25,Kelsey Lenard
28,Ethan Beardsley
35,Jacob Christian
37,Sarah Roth
42,John Serafini
44,Vivek Devaraj
48,Sam Schurer
52,Jesse Evans
71,BRAD BELLINGER
80,Vaughan Skinker
81,Matt Stavinga
b,r,e,a,k
Darkwing,8
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
0,Andrea Del Balso
01,Michelle Gagnon
02,Matthew Silverman
03,Tamar Austin
04,Melissa Revotskie
05,Conor Dowling
06,TYLER PARDEE
07,Daniel Doherty
09,Stephen Banning
10,Delaney Reardon
11,Brad Smith
12,Michael Carando
15,Derek Wiseman
16,ALEXANDER PINKHAM
17,Meaghan Rose Costello
18,Andrew Fredrickson
19,Isaac Peters
21,Andrew Schwartz
22,Kim Mahan
29,Justin Palin
33,JUSTINE BUCCI
34,Emet Schwartz
44,Jenna Palin
55,ALYSSA NEBORSKY
77,John Repucci
87,Robert Sayre-McCord
b,r,e,a,k
Thoroughbred,7
teamInfo,,"Saint Louis, Missouri",http://tbultimate.weebly.com/,,
0,Claire Milton
02,Bryan Esmond
04,Hannah Volpert-Esmond
06,Kathleen Horton
07,Michael Faaborg
08,Patrick Austermann
10,Natalie Gould
11,Elizabeth Wisdom
12,Kyle Bowie
13,Megan Epperson
15,Chris Dolan
16,Max Morgan
19,Cameron Sisler
21,Daphne Branham
23,Laura Halfmann-Morris
24,Chung Lee
25,Michaela Ward
26,Grant Eschmann
28,Chase Johnson
29,Zack Thompson
33,Elizabeth Honigfort
36,Kelly Caldwell
44,Julianne Crockett
45,Matthew Branham
70,Matt Francis
84,Timothy Halfmann-Morris
99,Spencer Hollenbach
b,r,e,a,k
BW Ultimate,10
teamInfo,,"Sunnyvale, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
0,Hidemasa Kato
0,Max Herrmannsfeldt
0,KATE KARDOSH
0,Lorenzo Lalimarmo
0,Melissa Slaughter
0,Jake Tozer
1,Matthew Natali
2,Amy Chang
5,Radhika Bhargav
7,Anna Liu
7,Justin Hinman
10,Jake Chang
11,Thomas Pineda
11,Steven Guagliardo
13,Veronica Cruz
17,Nicholas Raisch
18,Sayako Uchida
23,Lauren Carden
27,Sunny Saini
30,Jeremy Kharrazi
