USA Ultimate National Championships,Club - Mixed ,29,9,2016
Rockford,IL,2016-09-29,2016-10-02
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2016/schedule/Mixed/Club-Mixed
Metro North,8
0,Eugene Yum
01,Theodore Mason
02,Diane Palmer
03,John Korber
04,Dave Tedeyan
06,Chris Mazur
08,Alex Grintsvayg
11,Young Jo Fontaine
12,Emma Stoltze
13,Erin Leonard
14,Kerry Beyrer
18,Kendra Frederick
19,BENJAMIN IVERS
24,Seth Canetti
26,Andrew Bosco
27,Taylor Simpson
32,Lauren Doyle
37,Lindsey Mazur
42,John Geraghty
45,William Olli
47,Lucas Murphy
54,Mari Oshiro
69,Adrienne Altobelli
76,Allison Yum
80,John Palmer
81,Sean Murray
85,Vinny Fiacco
b,r,e,a,k
AMP,1
00,Melissa Devlin
01,Robert Roos
02,Matt Zumbrum
03,Nicholas Purifico
04,Raha Mozaffari
05,Luke Ryan
06,Kelsey Devlin
07,Ben Parrell
08,Charles Weinberg
09,Andrea Desabato
12,Fern Beetle Moorcroft
13,Nico Lake
14,Stuart Hean
15,David Koch
16,Richard Robinson
17,Stephen Ng
18,Emily Shields
20,Ben Pelleg
21,Linda Morse
22,Allysha Dixon
23,Natalie Bova
29,Sarah Johnson
33,Calvin Trisolini
36,Carolyn Normile
46,Austin Bonelli
79,Michael Ing
88,Matt Carter
b,r,e,a,k
Ambiguous Grey,12
01,SHANNON PACE
02,Sara Peczkowski
03,ALANNA McKee
04,Kelly Ross
06,Maggie John
07,Peter MacArthur
08,Jennifer Perry
09,Jarnail Bajwa
10,Ella Juengst
11,Kevin Chiang
12,James (Jim)  Boley
14,Justin Solis
15,Zachary Norrbom
16,Aden Richards
17,Kyle Khalifa
18,Riki Cullingford
21,Andrew Allen
22,Francoise Delisle
23,Antoine Davis
24,Adilina Malave
27,Ernest Svenson
31,Lincoln Verlander
32,Anthony McLean
42,Ellen Greytak
70,Brian O'Hara
73,Mark Flores
81,Alexander Taylor
b,r,e,a,k
Blackbird,13
02,Corey Lee
03,Castle Sinicrope
04,Deanna Bjorkquist
05,Thomas Hendrickson
06,Scott Mahr
07,Rachel Holz
09,Adam Farren
10,Krisztina Finn
11,Barrs Lang
12,Lauren Casey
12,Casey Ikeda
13,Sally Mimms
14,Mia Hagen
17,William Finn
21,ADAM SCOW
22,NICHOLAS SLOVAN
23,Remy Schor
24,Daniel Daniel Gillick
28,Sheeva Slovan
29,VY Chow
30,Megan Schoellhamer
40,Mac Taylor
42,Jeremy Norden
51,Ryan Scribner
64,Justin Norden
99,Tim Gilligan
b,r,e,a,k
Slow White,2
01,Alexi Zalk
04,Dave Truesdale
05,Shaun Doherty
06,Shaun Krieger
07,Rosalyn Ano
08,Ryan Richardson
09,Jeff Smith
11,Benjamin Katz
12,Christopher Waite
13,DAN PATISTEAS
14,Hannah Baranes
15,Tannor Johnson
16,Erin Rea
17,Kirsten Lundquist
19,Olivia Hampton
21,Stephen Sullivan
22,Karl Ekwurtzel
23,Miles Montgomery-Butler
24,Andy Schachter
25,Alexander Trahey
26,Rachael Westgate
28,Vicki Chang
42,Mary Glickman
55,Todd Herman
64,Davis Whitehead
71,Julie Sussman
89,Annie Fisher
b,r,e,a,k
NOISE,11
01,Francis Kelley
02,Joel Malerba
03,Daniel Rowan
04,Vanessa Cannaday
05,Eric Alexander
08,Maria Signore Becker
09,Joshua Wilson
11,Brittany Hoegh
12,Elizabeth Arakaki
13,Sabrina Hoffman
16,Frank Qin
