TCT Select Flight Invite 2016,Club - Men ,13,8,2016
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2016/schedule/Men/Club-Men/
SoCal Condors,1
01,Michael Kiyoi
02,Evan Valdes
03,ZEKE IVERS
04,Will Griffin
05,Dan Bellinger
08,Nathan Ransom
09,Maxwell Hume
11,Steven Milardovich
13,Mark Leggio
14,William Turner
15,Ben Clark
17,Hunter Corbett
19,Jeff Silverman
24,David Ritchie
29,Casey Wu
31,Ryan Slaughter
41,JOSH NICKERSON
44,Nicholas Smith
49,Matthew Parisi
55,Tyler Bacon
68,Allen Lai
84,Jesse Cohen
88,Samuel Fontaine
91,Grant Boyd
b,r,e,a,k
Big Wrench,8
0,David Lyle
0,Matthew Rogers
0,Llewellyn Smith
0,Jason Shnipes
0,Jordan Kaufman
0,Jacob Saunders
0,Carter Thallon
0,Eric Shaw
0,Walker Hatchett
0,Jack (John) Spiva
0,Gene Buonaccorsi
0,Sam Kittross-Schnell
0,Nicholas Adolph
0,Sam Dushay
0,Jack Conant
0,Michael Voelpel
2,LOCK WHITNEY
3,Robby Perkins-High
3,Nicholas Roberts
5,Hansen Yang
12,Mac Hecht
13,JOSH ADLER
24,Jesse Wolf
69,Stephen Krajeski
b,r,e,a,k
Black Market,9
00,Joseph Conerty
01,Daniel Vockeroth
02,Joe Sidrys
04,Zachary Schwulst
06,Kevin Cleary
07,Kevin Yngve
08,Johnny Saniat
09,Nathan Kinsinger
14,David Woods
16,Kevin DeAngelis
20,Sahaj Kumar
22,Brian Rathunde
23,Ryan Smith
29,Michael Koho
31,Daniel Miller
34,Christopher O'Hara
36,Timothy Fergus
42,Jeff Robinson
45,Chris Santiago
59,Alex Champe
62,Patrick Kaufmann
73,PATRICK HANSEN
79,Charles Furse
80,Peter Bennett
84,CJ O'Brien
87,Adam Wright
95,Zachary Diener
b,r,e,a,k
SmokeStack,16
0,Alexander DeMarais
0,Brooks Hidaka
0,Caleb Cauthon
0,Cory Green
0,Drew Mechnig
0,KYLE STRICKLAND
0,TAYLOR BOYD
0,Marcus Payne
0,Michael Montesano
0,Charles Rotter
0,Beau Atkinson
0,Ryan Irvin
1,Wint Doering
3,Adeeb Haroon
5,Sheldon Shinn
11,Kevin Wickman
12,Matt Primovic
13,Alexander Staelens
15,Abe Gambert
17,Clayton Smith
23,Jackson Reid
24,Neil Newsome
25,Anthony Chartier
29,Nolan Schmalenberger
35,Alex Lord
69,Clayton Adams
74,Jakob Yedo
b,r,e,a,k
Temper,10
0,Jasper Tom
0,Ryan Mann
0,Scott Trimble
0,JORDAN ROBARGE
0,Justin Abel
0,Jack Slevin
0,Matthew Hanna
0,Jesse Holloway
0,Alex Thorne
0,MARK  SCHWOEGL
0,Tad Wissel
0,Dillon Tranquillo
1,Max Sheppard
2,Jonathan Mast
3,Patrick Earles
6,Chen Su
7,Mark Fedorenko
10,Max Thorne
25,Marcus Thaw
29,Hafeez Shams
32,Steven Mogielski
42,Marcus Ranii-Dropcho
84,Dave Angeletti
b,r,e,a,k
Furious George,2
00,Alexander Davis
00,Malcolm Bryson
00,Myles Sinclair
00,Erik Hunter
00,Ty Barbieri
00,Ari Nitikman
00,KEVIN GREER
00,Oliver Telfer
00,GREG MOORE
00,Ben Burelle
00,Kevin Underhill
00,Nick Wright
00,Rumi Tejpar
00,Fred Lam
00,Kevin Lore
07,Charles Eyrich
08,Morgan Hibbert
10,Gagan Chatha
b,r,e,a,k
Brickyard,7
1,Keenan Plew
2,Nickolas Hutton
3,Christian Avila
6,Joseph Cari
7,Nathan Sevenish
7,Levi Jacobs
8,Kip Curtis
9,David Hortemiller
11,Colton Steiner
12,Colin Ringwood
16,Heath Kalaba
17,Ryan Jarvis
18,Carlton Anker
19,SPENCER LOSCAR
20,Nick Loughran
22,Kyle Cox
23,Zach Zebarth
28,Samuel Sohn
30,Walter Kasprzycki
33,Dana Granholm
36,Steven Naji
40,Brian Ventura
44,Donovan Triplett
76,Jason Yoder
78,Michael Ames
85,John Jones
87,Rick Gross
b,r,e,a,k
Space City Ignite,15
0,Brett Virgin-Downey
0,Raymond Yuan
0,Drew Wendler
0,Brandon Lin
0,Glenn Lenberger
0,Ames Fegert
0,Salman Eraj
0,Robert Reid
0,STEPHEN HAFF
0,DAVID LEBSACK
6,Alexander Heath
17,Terrence Kong
21,James Huizinga
99,Tanner Roberts
b,r,e,a,k
Phoenix,3
0,Alex Bush
0,TIM AMBERY
0,Khalid Al-Zahrani
0,GABRIEL BROWN
0,Carson Turner
0,Kinley Gee
0,Patrick Keenan
0,Nick Boucher
0,Russ Nicolls
0,Laurent Loiseau
2,Mathew Berg
3,Scott Westwell
4,Luke Phelan
5,Jordan McGregor
8,DAVID JANSSEN
11,Owen Watt
12,Matthew Hogel
19,Bryce Ring
32,Dan Ellenberger
b,r,e,a,k
Plex,11
0,Jake Floyd
1,Steven Borik
2,Griffin Miller
3,Jason Christian
4,Ryan Kyle
5,Ashton Lewis
6,Jonathan Nicholson
7,Tim Records
9,Bryan Hoffman
10,Andrew Maloney
11,Brian Street
12,Kyle Rutledge
14,BRANDON LOCKLEAR
18,WESLEY NEMEC
21,Blake Abbott
22,Darren Phillips
23,Kevin Bowman
32,Ryan Buckingham
40,Daniel Bess
41,Austin Workman
42,Whit Perkins
43,Peter Rangel
56,PAUL BURT
81,Justin Sullins
b,r,e,a,k
Beachfront Property,6
0,Nick Myhre
0,Judah Newman
0,STEFAN BREITLING
0,ZACH DUEY
0,Alex Birko
0,Kyle Sternkopf
0,Ricky Ramirez
0,Nate Boddy
0,Jeffrey Weis
0,Jeffrey Spetter
0,Reno Brinn
0,MICHAEL CALDERBANK
4,Gabriel Valencia
5,JAMES TUNNEY
5,Alex Shipps
6,Bradley Bolliger
10,Robert Lau
13,Karl Beck
21,Jarred Elliott
25,Adam Wong
28,Tom Abell
33,Wesley Groth
40,Anthony Davis
48,CHARLES HYDE
63,Zubair Abdulla
81,Michael McCafferty
b,r,e,a,k
MKE,14
0,Joseph Lindsay
0,Evan Swiatek
0,Dan Margulis
0,Dan Magnant
0,SAM OUIMET
0,Joseph Blankenheim
0,William Mansfield
0,JOHN TOMKIEWICZ
0,Ben Ben Hirschman
0,Thomas Grodzicki
0,Gil Eisbruch
0,Ryan Sutter
0,Scott Wenzel
0,TAYLOR DAVIS
0,Max Palzewicz
0,Nick Wismans
0,Benjamin Compton
3,Jay Kinzel
11,Jacob Scobey-Polacheck
12,Brian Benge
16,Troy Roberts
17,Drew Chapman
22,Alec Lenczner 
25,Sean Andryauskas
27,KIE DRISCOLL
49,Tim Posl
b,r,e,a,k
H.I.P,4
0,Joel Clutton
0,Carlos Vargas
0,Brendan Adams
0,Cody Holloway
0,Patrick Marco
0,Robert Lewis
0,Chris Larberg
2,Matthew Bennett
7,Ben Lewis
9,Peter Clarke
11,Dillon Larberg
12,Kevin Christian
13,Kai Marshall
13,Dalton Smith
14,Reid Bacon
15,"Sam ""Suds"" Ward"
16,Michael Hays
16,Chris Brooks
18,Kevin Land
21,Carson Smith
21,Mitchell Bennett
23,Thomas Slack
27,Brandon Dial
b,r,e,a,k
Medicine Men,5
0,Alex Jacoski
0,Ryan Vance
0,Daniel Selwyn
0,Cortland Broyles
0,Aaron Langley
0,Max Cassell
0,Houston Parks
0,PERRY GORGEN
0,Aidan McLeod
0,James Robb
0,JOHN WALSH
0,Alex Kapiamba
0,BRETT BOYLE
0,Andre Martinez
0,Andrew Feierman
0,Joseph DiPaula
0,Raymond Mendoza
1,John Kerr
6,Frederick Perlman
7,Bryant Dean
7,Steven Wartinbee
8,Troy Holland
29,Matthew Dennin
30,Christian Boxley
32,Kyle Taylor
55,KIERAN BLAKEMORE
87,Matt Kerrigan
b,r,e,a,k
Imperial,12
0,ALEC BLUM
1,Tyler Latham
