Ohio Valley D-I College Men's Regionals,College - Men ,30,4,2016
Columbus,OH,2016-04-30,2016-05-01
https://play.usaultimate.org/events/Ohio-Valley-D-I-College-Mens-Regionals-2016/schedule/Men/CollegeMen/
Lehigh,8
0,Brendan Eckardt
0,Jeremy Glennon
0,Stuart Gordon
0,Christopher O'Byrne
0,Carter Hartmann
0,Kevin Latwis
1,Chris McTernan
4,Brendan Huber
6,Justin Carter
6,Alex Schlegel
11,Ian Haney
21,Adam Kafka
28,Alec Marks
30,David Bloodgood
33,JACOB MOSER
35,ZIV ARZT
42,Daniel Slesinski
47,Sam Joynson
59,Kyle Fischer
77,Ryan Santos
87,KYLE MEGATHLIN
89,Andrew Wagner
b,r,e,a,k
Pittsburgh,1
0,Leo Warren
0,SAM JENNINGS
0,Michael Ing
0,Jack Slevin
2,Joseph Bender
3,Patrick Earles
5,Saul Graves
9,Carl Morgenstern
10,Max Thorne
11,Kyle Hartley
12,KEVIN TANG
13,Andrew Lehmberg
15,Dylan Best
16,Trent Dillon
17,Matthew Hanna
21,Noah Robinson
22,CHRISTIAN PITTS
24,Sam VanDusen
26,Robert Lincoln
35,Dan Goldstein
38,Jonah Wisch
48,Jimmy Towle
77,Dillon Tranquillo
81,Vince Tranquillo
b,r,e,a,k
Dayton,10
0,Kevin Obergefell
0,Drew Whalen
0,Andrew Kramer
0,Ryan Krouse
0,Brenden O'Brien
1,Jack Hanson
5,Connor Hanson
6,Benton Birch
8,Daniel Sandmann
17,Conner Haenszel
18,Phillip Hagerty
22,Daniel (Danny) Winkler
26,COLE CANNON
28,Evan Wethington
32,Timothy Willer
33,Ian Cannon
34,Jordan Zeken
38,ERIK MYERS
43,Stephen Moore
44,Craig Kaiser
45,Travis Brosnan
66,Tommy Tappel
69,DOMINIC LEYDEN
72,Matthew Michalak
77,Scott Klein
b,r,e,a,k
Akron,15
0,BILL DARE
0,Kenton Lawson
0,Joseph Soneson
0,Tyler Brady
1,Jon DeAmicis
10,CAMDEN HAYES
12,DANIEL MORGAN
18,MATT PETERSON
18,DAVID ROYAK
19,Patrick Cannell
21,Rich Vineyard
21,Paul McClellan
22,Griffin Binkley
22,Matt Speidel
23,Christian Martin
26,Alexander Jarufe
27,Kyle Jasany
36,Cory Kistow
41,Braxton Wilson
52,Kevin Soneson
b,r,e,a,k
Case Western Reserve,2
0,Milo Korman
0,Mark Fertal
0,Jacob Lunn
0,Jordan Liff
0,Kevin Talbot
0,Dmitriy Estrin
0,William Baskin
0,Michael Kasper
0,Steven Tokar
0,Nick Longo
0,Anthony Dario
0,Tarik Akyuz
3,Brian Ward
3,Joseph Marmerstein
3,Steven Her
8,Kunal Rath
14,Kyle Rogers
22,Nathan Olszowy
25,MATT TEDESCO
31,Matthew Chin
43,Jake Rovner
b,r,e,a,k
Pennsylvania,7
02,Solomon Goldfarb
03,Sean Cohen
04,KAUSTUBH DEO
06,Doug Roman
07,JACOB LEVITT
09,Conner Cameron
11,PHILLIP CHENG
13,CHRIS LU
14,Jason Schwartz
15,Max Fine
18,Connor Boyle
20,Grant Steiger
21,Luca Chiaperotti
22,Saran Viswanathan
25,Haralambos Mourelatos
34,Tom Fry
36,David Shields
39,ZACHARY TAYLOR
42,PHILIP CHOU
43,Gabriel Robinson-Barr
44,Brian Vander Schaaf
99,Edward Devlin
99,Neil Brett Zhang
b,r,e,a,k
West Chester,9
0,Jamil Henderson
01,Mike Patuk
02,Dominick Bussanich
03,Austin Lillis
04,Jimmy Thomas
05,Edward Eckert
07,Zach Owen
09,Cole Drummond
10,Christopher Pokorny
15,Jonathan Anthony
17,Devin Foster
19,Daniel Monts
23,LUKE KOWAL
24,Jack Yekel
26,Troy Quaile
27,Matt McKenna
30,Austin Doucette
42,Will Hoehne
43,Dustin Henken
45,Nicholas DiGiorgio
49,Emory Blackshir
64,Nathaniel Aponte
69,Alexie Torres
93,Dustin Sullivan
b,r,e,a,k
Shippensburg,16
0,Cole Gottdank
0,Samuel Parness
0,Jacob Ryan
0,Kevin Bachmore
0,Matthew Bellan
0,Michael Bundy
0,Demetrius Laster
0,Max Rainsford
1,Eric Scanlan
2,James Roop
