Easterns Qualifier 2016,College - Men ,20,2,2016
Little River,SC,2016-02-20,2016-02-21
https://play.usaultimate.org/events/Easterns-Qualifier-2016/schedule/Men/CollegeMen/
Michigan,1
teamInfo,MagnUM,"Ann Arbor, Michigan",http://www.magnumultimate.com/,https://www.facebook.com/magnUMultimatefrisbee/,https://twitter.com/magnUMultimate
coaches,Tyler Kinley
0,charles walmsley
0,Joe Krieger
0,Robert (Bobby) Moyer
0,Zachary Goulson
0,ALEXANDER ROBERTS
0,Alexander Gaggino
0,Alexander Russomanno
0,Steven Jacobson
0,Benjamin Page
0,Andy Yu
0,Max Teener
0,MICHAEL ROBERTS
0,Parker Howard
0,Noah Lybik
0,Travis Compo
0,Dan Calabrese
0,Wesley Chen
1,Samuel Vetromile
4,Vikram Mathias
5,Noah Backer
15,Sam Greenwood
15,Sam Bethancourt
17,Jake Moyer
20,Adam Stautberg
27,Jake Steslicki
27,Ian Crowley
28,Andrew Suchezky
29,Christopher Jacobson
41,Daniel Lee
59,Nicholas Gerber
87,Josh Becker
b,r,e,a,k
Georgetown,20
teamInfo,Catholic Justice,"Washington, District of Columbia",https://hoyalink.georgetown.edu/organization/mensultimate,https://www.facebook.com/CatholicJustice,https://twitter.com/GeorgetownUlti
1,Dylan Kreher
2,Jacob Marsh
3,Greg Przedpelski
6,Logan Willits
7,Matthew Cullom
05,Charles Schott
08,Perry Cao
10,Maximilian Cohen-Casado
11,Schuyler Colloredo-Mansfeld
13,Nico Lake
17,Eric Diestelow
19,Anthony Bernard-Sasges
25,IVAN ROBINSON
26,CHARLES PETITPAS
27,Danie Fain
30,Christian Boxley
31,Blake Spangler
35,Richard Trevithick
55,Joshua Tsung
57,MICHAEL MCGRATH
64,MATTHEW FRIED
77,David Wilke
78,HOLDEN CHOI
80,Troy Holland
88,CHARLES ZHOU
91,Aidan McLeod
96,John Montesanto
b,r,e,a,k
Alabama,11
teamInfo,Yellow Hammer,"Tuscaloosa, Alabama",alabamaultimate.wordpress.com,,twitter.com/bama_ultimate
0,Austin Herriott
0,Joseph Green
0,Henry Bugajski
0,Nathan Lyle
0,Landon Sagle
0,Mark Garlington
0,Matthew Pettepher
0,Michael Nazario
2,Tucker McMillen
5,Payton Garlington
6,Clayton Tylka
7,KEVIN ALLEN
8,Jeremiah  McLeroy
9,James  Poe
11,Chase Maze
14,Colin Bennett
16,Nathan Mulder
21,Zach Griffin
22,Cameron Elmore
24,MICHAEL GRYDER
28,HUNTER BONHAM
33,Liam Holthaus
40,Matthew McCay
42,Watson Anderson
45,Nathan Oaks
45,Alejandro Guerrero
49,JACOB BAXTER
50,Terren Moore
59,Daniel Conner
83,CRAIG LENOIR
84,Denis O'Sullivan
b,r,e,a,k
Pennsylvania,21
