Stanford Invite 2016,College - Men ,5,3,2016
https://play.usaultimate.org/events/Stanford-Invite-2016/schedule/Men/CollegeMen/
Massachusetts,1
0,Eugene L'Heureux
0,Ben Gerstein
2,Patrick Barron
4,Ciaran Shaughnessy
8,Ben Sadok
11,Conor Kline
12,Matt Caswell
14,Gabriel Schmitt
18,Brett Gramann
18,Jared Madore
21,Tannor Johnson
22,Benjamin Tseytlin
28,Aaron Raskin
31,Jeffrey Babbitt
32,Jack Staples
33,Sam Carr
33,William Thornton
34,Jeffrey Dreyfus
36,Giovanni Flamini
44,Giancarlo Cincotta
47,Alec Zabrecky
76,Solomon Maerowitz-McMahan
80,Chris Bartoli
84,COLIN HANNAHAN
b,r,e,a,k
Texas,9
0,WALTER LENOIR
03,Nathan Chen
04,MITCHELL SMARDA
05,Benjamin Snell
06,Christopher Schultz-Davis
08,Hagen Fritz
10,Connor Breen
11,Dillon Larberg
12,Clark Clayton
13,Nash Mock
15,Joey Hemann
16,Michael Hays
17,Vinay Valsaraj
18,RICHARD WONG
19,JOSH BRUNELLI
22,Daniel De Los Santos
26,SHAWN LING
29,Logan Kinney
31,Luke Simerly
52,Holt Newton
77,Joel Clutton
83,Alexander You
96,Keivaun Waugh
b,r,e,a,k
Carleton College,8
0,Chris Sundquist
2,Solomon Yanuck
6,Alex Olson
7,Jesse Bolton
9,Nikita Fomichev
10,Henry Fisher
11,Kohl Sparrman
12,Tim Schoch
13,Alexander Walker
14,Kenneth Lim
15,Eric Taylor
16,ANGUS LAMONT
17,Adam Throne
23,Sef van Kan
27,Elliot Mawby
30,Natan Lee-Engel
33,Conor Eckert
53,David O'Dea
55,Jake Ritmire
91,Russell Hanson
b,r,e,a,k
Cal Poly-SLO,16
9,Sunghoon Chung
03,Simon Krauter
04,Daniel Hoffman
05,Aaron Shi
09,Nathan Pettyjohn
13,Dillon Whited
14,Christopher Cogswell
16,Thomas Konogeris
17,Joshua (Slater) Levey
18,Alec Bandler
20,Sean Liston
21,Caleb Merriam
23,DAVID HIRSCHEY
24,Cameron Wariner
25,Camden Reynolds
27,Andrew Lam
28,Joseph Gagliano
33,Ian Sweeney
34,Aidan Mccoy
44,Tim Okita
52,Andrew Stratford
53,Matthew Ferrari
82,Joel Anton
b,r,e,a,k
Wisconsin,2
0,Alexander Ogren
02,Branavan Yogarajah
03,Nicholas Vogt
05,Jeff Maskalunas
06,Ian Hahn
07,Avery Johnson
09,Erik Jorgensen
10,Sam Hebert
11,Sterling Knoche
12,Chris Wilen
13,David Yu
14,WILLIAM KLUENDER
17,Thomas Gallagher
22,Aaron Speiss
23,Graeme Kernick
25,Ross Barker
26,Eric von Kampen
27,Rami Paust
31,JACOB ELIAS
33,SHANE SADDISON-BRADFORD
37,Jan Szmanda
41,Colin Sunde
44,Nicholas Ladas
49,John Tan
57,Austin Reif
84,CRAIG COX
b,r,e,a,k
Stanford,7
2,Jack Kimmel
3,Sam Kunz
8,Grant Lin
01,Allan Ndovu
07,Gabriel Hernandez
10,Elliott Chartock
11,Drew Mathieson
13,JOHN KADAVY
14,Samuel Mignot
16,TREVOR HOWARTH
17,NOLAN WALSH
19,GREG HEON
21,Joshuah Kapilivsky
23,Xavier Jacque Mignot
28,Michael Becich
33,Nicholas Hirning
46,Cyrus Ready-Campbell
49,Maxwell Perham
74,Alvin Kim
85,Benjamin Petroski
88,Maxwell Melin
b,r,e,a,k
Western Washington,15
0,Trevor McNamara
0,Dustin Diemond
0,NAT BREW
0,Tucker Jonas
0,Ethan Katz
0,Zhi Chen
0,William Coffin
3,Dennis Casio
10,ADAM CHOI
13,Aaron Haddeland
17,Liam Bateman
19,Jonas Golden
21,Joshua Kent
27,Nathan White
38,Alexander Grey
43,Daniel Lorigan
44,Seth Johnson
60,Kunyao  Zhang 
64,Chuck Tookey
70,EARL LE
77,Aaron Glickman
77,Zachery Laycock
98,Ryan Schluter
99,Daniel Mah
b,r,e,a,k
Colorado,10
0,Matt Gleason
0,Dylan Hanel
0,Jonathan Stirk
0,Gregory Blumer
0,ZACHARY KRIEGER
0,J Wesley Chow
0,Matt Bubernak
0,Erik Hotaling
0,Joshua Crane
0,Mark Rauls
0,Tristan Voss
0,Girish Narayanswamy
0,Jack Drumright
0,Alex Tatum
1,MATTHEW ROBINSON
3,Elliott Woodward
3,Charlie Peters
7,Danny Langevin
15,Marc Kaylor
19,Isaac Chestler
28,Andrew Nelson
44,Jesse Fisher
55,Pawel Janas
80,Jeremy Harker
b,r,e,a,k
Oregon,3
2,Kerry Athey
3,Cameron Ficher
5,Logan Chantelois
11,Tim McGinn
14,Michael Fielden
15,Max Moore
17,Jacob Lambert
19,Steven Pearlman
21,Spencer Latarski
22,Zach Meyer
23,Xander Cuizon Tice
24,Adam Rees
25,NICHOLAS HEATON
26,Colton Clark
32,Martin Harris
33,Ben Pettis
42,Will Lohre
55,Connor Matthews
