22nd Annual Layout Pigout 2016,College - Men ,19,3,2016
Haverford,PA,2016-03-19,2016-03-20
https://play.usaultimate.org/events/22nd-Annual-Layout-Pigout-2016/schedule/Men/CollegeMen/
Richmond,5
0,Alfred Lee
0,Richard Dudley
0,Nicky Rhodes
0,Kevin Gibbs
5,TJ von Oehsen
8,Dylan Emery
9,JEREMY STEINBERG
10,Calvin Trisolini
13,James Novak
14,Harrison Schell
15,Christopher Villalta
17,Brett Pogostin
19,BEN HART
22,Lucas Athanassiadis
23,Justin Marshall
24,Jordan Acker
25,Rory King
26,Alden Daniel
27,Harry Van der Kloot
37,Benjamin Goldstein
38,GABRIEL RYBECK
42,Lucas  Richie
72,Michael Weber
77,Victor Medina Del Toro
85,Ian McGroarty
93,Michael Moraskie
98,Chris Hoogstraten
b,r,e,a,k
Bowdoin,6
teamInfo,Clown,"Brunswick, Maine",,,
0,Conor McManamy
0,Dustin  Hines
0,Conor Belfield
0,Franklin Ahrens
0,Miles Brautigam
4,Jordan Richmond
6,BRENDAN SOANE
7,Alexander Roche
8,Henry Daniels-Koch
9,Phillip Galonsky
10,Yuta Kobayashi
12,Walter Chacon
13,Robert Barron
16,AUGUST MILLER
17,Alex Ma
19,TIMOTHY BOIT
20,EDUARDO JARAMILLO
23,Max Vogel
24,Deion Desir
25,Ian Klasky
30,Sam Swindell
33,JEB POLSTEIN
42,Jojo Amdur
69,Taylor Love
77,CODY STACK
b,r,e,a,k
SUNY-Geneseo,3
teamInfo,Snail,"Geneseo, New York",,,@geneseoultimate
0,Jacob Daly
0,Joshua Kohrs
5,Christopher Quigley
6,Andrew Foster
10,Timothy Nguyen
12,Matthew Hepburn
13,Dillon Peterson
14,Nolan Wells
15,Christopher Brighton
16,Anthony Tantillo
18,Kevin O'Connor
20,Robert Holcomb
24,Gabriel Ponce
31,Ethan Perregaux
33,Matthew Lechner
35,Galen Gibian
42,Kevin Burke
44,Dylan Eldred
44,George Cooke
51,Paul McDermott
72,Matthew Viglucci
88,Daniel Stern
99,Samuel Devine
b,r,e,a,k
Muhlenberg,10
teamInfo,Flying Squirrels,"Allentown, Pennsylvania",,https://www.facebook.com/groups/32938927289/,https://twitter.com/MCFlynSquirrels
0,Or Ayash
0,Guangya Wang
0,Dan DeRemigi
8,Matt Goldberg
00,Jason Ulman
00,Golan Gil-More
00,Aaron Schwartz
00,Lucas Kasle
00,Sam Evans
00,David Behrmann
00,Daniel McGrady
00,Daniel Zuckerman
