Santa Barbara Invite 2016 Sponsored by SAVAGE,College - Men ,29,1,2016
Santa Barbara,CA,2016-01-29,2016-01-31
https://play.usaultimate.org/events/Santa-Barbara-Invite-2016/schedule/Men/CollegeMen/
Washington,1
0,Josiah Reeve
0,Jonathan Gaasch
0,Eric Goulet
0,Bailey Thompson
0,Jacob Barr
0,Dalton Willey
0,Daniel Koble
2,Mitch Wellman
3,Michael Tran
5,ALEC ARATOW
16,Joseph Huppert
21,JJ Rogers
42,MARK SLADER
99,Maxwell Hume
99,Evan Smith
b,r,e,a,k
California-San Diego,12
teamInfo,Air Squids,"San Diego, California",,,
coaches,Matthew Parisi,Kevin Stuart
0,Ben Kumler
0,Jacob Gutkowski
0,Zac Goldberg
0,Migal Manickaraj
0,Joshua Hicken
0,Isaac Rehg
0,Steven Chung
0,Ryan Amely-Shannon
1,Jackie Wong
2,Nikhar ABBAS
4,Scott Radlauer
13,Joe McMinn
22,Cody Kirkland
25,Mazden Mastromauro
35,KEVIN AMARBAYAR
36,Stefan Samu
50,Will Sun
68,Victor Rodrigo
70,Sequoya Daniels
72,Gene He
78,Brian McCoy
92,Neehar Kondapaneni
93,Blair Winnacott
94,Zachary Spidell
97,Zachary Murez
99,Gavriel Gelbart
b,r,e,a,k
Cincinnati,13
teamInfo,Cincinnati Ultimate,"Cincinnati, Ohio",,,https://twitter.com/GetBiscuits
0,Matt Dowling
0,Jacob Miller
0,Nathan Lauback
0,SCOTT ALVERSON
0,Kyle Romard
2,Nicholas Betsch
3,Elliot Skindzier
5,Sophainara Long
6,Ryan Adams
7,Jacob Turner
15,Keegan North
18,Kevin Parker
23,Steven Kolp
28,JOSHUA BRUGGEMAN
33,Justin Latz
41,Adam Turner
42,Cody Bruser
43,Stephen Kenny
49,Tanner Segbers
64,DAVID MILLER
69,Connor Messmore
77,Samuel Kratt
b,r,e,a,k
Tulane,4
teamInfo,Rex,"New Orleans, Louisiana",http://tulanerex.com/,,https://twitter.com/TUultimate
0,Billy Donatuti
0,Brandon Suchyta
0,Andrew Begeman
0,JAMES LEON
0,Benjamin Kravis
0,Patrick Curley
0,Matt Nice
0,Jackson Cochran
0,ALEX GLICK
0,Parker Evans
00,TIM PATTERSON
10,Jack Baba
13,David Kearing
17,JAMES BRIER
20,ZACHARY KARSCH
21,JASON KRUEGER
29,Evan Murray Walter
38,DAVID  MONDSCHEIN
39,Henry Stoddard
44,Benjamin Lamport
76,DAVID LEVY
81,AUSTIN KING
b,r,e,a,k
California-Santa Cruz,20
teamInfo,Slugs,"Santa Cruz, California",http://www.slugultimate.com/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
0,Colin Brown
0,William Mariano
0,Zachary Shamroukh
0,Luka Cargonja
0,Trenton Davis
0,Mason Mulholland
0,Nolan McMurray
0,Gilbert Chong
2,Aaron Hom
2,GABRIEL TAYLOR
3,Milo Simpson
5,Grady Watkins
6,Loukas Stelyn
10,Lior Givol
11,Royce Friedmann
15,Elijah Newbrun-Mintz
17,Robert Gallagher
22,Louis Samuel
30,NICK FOX
32,Isaac Kreger
42,Patrick Denney
48,Philip Kaganovsky
81,Evan Cusack
94,Ryan Glenn
b,r,e,a,k
Brigham Young,5
teamInfo,CHI,"Provo, Utah",http://www.byuchiultimate.com/,https://www.facebook.com/ByuMensUltimate,@BYUCHIUltimate
coaches,Bryce Merrill
0,Kevin Hodgson
0,Nolan Hutchings
0,Taylor Caldwell
0,Benjamin Hodson
0,Ryan Savage
0,Tanner Yorgason
4,Devon Terry
5,Spencer Hodson
6,Matt Ricks
7,Will Honey
10,Ben Olpin
13,Seokhee Burningham
15,MATTHEW  DELANGE
21,BRYANT BOYER
22,Lance Gardner
23,Jesse Taylor
26,Robert Eckles
32,Nacody de la Rosa
50,Austin Alpeter
55,Wyatt Nethercott
64,Jason McKeen
72,Jordan Hill
93,DAKOTA FLANARY
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday 
pool,Pool A
Washington,UCLA,13,7,"01/30/2016, 08:00",Pool A,Final
Arizona State,Williams,14,13,"01/30/2016, 08:00",Pool A,Final
Washington,Arizona State,13,7,"01/30/2016, 09:45",Pool A,Final
Cal Poly-SLO,Williams,13,1,"01/30/2016, 09:45",Pool A,Final
Cal Poly-SLO,Arizona State,13,11,"01/30/2016, 11:30",Pool A,Final
Washington,Williams,13,6,"01/30/2016, 13:15",Pool A,Final
Cal Poly-SLO,UCLA,13,6,"01/30/2016, 13:15",Pool A,Final
Washington,Cal Poly-SLO,13,11,"01/30/2016, 15:00",Pool A,Final
Arizona State,UCLA,11,12,"01/30/2016, 15:00",Pool A,Final
Williams,UCLA,12,11,"01/30/2016, 16:45",Pool A,Final
pool,Pool B
California-Santa Barbara,Victoria,7,13,"01/30/2016, 08:00",Pool B,Final
Kansas,California-Davis,11,13,"01/30/2016, 08:00",Pool B,Final
California-Santa Barbara,Kansas,13,3,"01/30/2016, 09:45",Pool B,Final
Dartmouth,California-Davis,13,9,"01/30/2016, 09:45",Pool B,Final
Dartmouth,Kansas,3,13,"01/30/2016, 11:30",Pool B,Final
California-Santa Barbara,California-Davis,13,10,"01/30/2016, 13:15",Pool B,Final
Dartmouth,Victoria,7,13,"01/30/2016, 13:15",Pool B,Final
California-Santa Barbara,Dartmouth,13,8,"01/30/2016, 15:00",Pool B,Final
Kansas,Victoria,9,13,"01/30/2016, 15:00",Pool B,Final
California-Davis,Victoria,11,13,"01/30/2016, 16:45",Pool B,Final
pool,Pool C
Stanford,San Diego State,13,7,"01/30/2016, 08:00",Pool C,Final
Boston College,California,12,13,"01/30/2016, 08:00",Pool C,Final
British Columbia,California,13,5,"01/30/2016, 09:45",Pool C,Final
California,San Diego State,11,10,"01/30/2016, 11:30",Pool C,Final
British Columbia,Boston College,13,4,"01/30/2016, 11:30",Pool C,Final
Stanford,Boston College,13,4,"01/30/2016, 13:15",Pool C,Final
British Columbia,San Diego State,13,5,"01/30/2016, 13:15",Pool C,Final
Stanford,British Columbia,12,5,"01/30/2016, 15:00",Pool C,Final
Boston College,San Diego State,13,8,"01/30/2016, 15:00",Pool C,Final
Stanford,California,13,5,"01/30/2016, 16:45",Pool C,Final
pool,Pool D
Tulane,California-Santa Cruz,10,12,"01/30/2016, 09:45",Pool D,Final
California-San Diego,Cincinnati,13,12,"01/30/2016, 11:30",Pool D,Final
Tulane,Cincinnati,13,11,"01/30/2016, 13:15",Pool D,Final
Brigham Young,California-Santa Cruz,10,11,"01/30/2016, 13:15",Pool D,Final
Tulane,Brigham Young,12,10,"01/30/2016, 15:00",Pool D,Final
California-San Diego,California-Santa Cruz,9,8,"01/30/2016, 15:00",Pool D,Final
Tulane,California-San Diego,8,13,"01/30/2016, 16:45",Pool D,Final
Brigham Young,Cincinnati,5,13,"01/30/2016, 16:45",Pool D,Final
Cincinnati,California-Santa Cruz,13,10,"01/30/2016, 18:30",Pool D,Final
Brigham Young,California-San Diego,13,9,"01/30/2016, 18:30",Pool D,Final
b,r,e,a,k
brackets,Friday
bracket,BYU v UCSB
Brigham Young,California-Santa Barbara,9,12,"01/29/2016, 20:30",BYU v UCSB ,Final
bracket,BYU v SLO
Brigham Young,Cal Poly-SLO,11,12,"01/29/2016, 19:00",BYU v SLO,Final
b,r,e,a,k
brackets,Sunday
bracket,Championship
Washington,Stanford,0,1,"01/31/2016, 13:15",Finals,Final
Washington,British Columbia,13,10,"01/31/2016, 11:30",Semis,Final
Victoria,Stanford,6,13,"01/31/2016, 11:30",Semis,Final
Washington,California-Santa Barbara,13,6,"01/31/2016, 09:45",Quarters,Final
California-San Diego,British Columbia,7,11,"01/31/2016, 09:45",Quarters,Final
Victoria,Cal Poly-SLO,13,6,"01/31/2016, 09:45",Quarters,Final
Stanford,Cincinnati,13,3,"01/31/2016, 09:45",Quarters,Final
California-Santa Barbara,California,13,11,"01/31/2016, 08:00",Prequarters,Final
British Columbia,Kansas,13,7,"01/31/2016, 08:00",Prequarters,Final
Cal Poly-SLO,Tulane,13,8,"01/31/2016, 08:00",Prequarters,Final
Cincinnati,Arizona State,13,7,"01/31/2016, 08:00",Prequarters,Final
bracket,Consolation
Boston College,Williams,0,0,"01/31/2016, 09:45",Con. Quarters,Cancelled
San Diego State,Dartmouth,0,0,"01/31/2016, 09:45",Con. Quarters,Cancelled
California-Davis,UCLA,0,0,"01/31/2016, 09:45",Con. Quarters,Cancelled
bracket,9th
California,Kansas,0,0,"01/31/2016, 09:45",PreQuarters Loss,Cancelled
Tulane,Arizona State,0,0,"01/31/2016, 09:45",PreQuarters Loss,Cancelled
bracket,5th
California-Santa Barbara,California-San Diego,0,0,"01/31/2016, 13:15",Quarters Loss,Cancelled
Cal Poly-SLO,Cincinnati,0,0,"01/31/2016, 13:15",Quarters Loss,Cancelled
bracket,3rd
British Columbia,Victoria,0,0,"01/31/2016, 15:00",3rd,Cancelled
bracket,7th
bracket,11th
bracket,15th
b,r,e,a,k
pools,Sunday Con. Pool
pool,Pool Z
b,r,e,a,k
