College Women's Centex 2016,College - Women ,19,3,2016
Pflugerville,TX,2016-03-19,2016-03-20
https://play.usaultimate.org/events/College-Womens-Centex-2016/schedule/Women/CollegeWomen/
California,5
Iowa State,Wisconsin,8,9,"03/20/2016, 15:00",15TH PLACE,Final
bracket,17TH PLACE BRACKET 
Southern California,Rochester,0,1,"03/20/2016, 15:00",17TH PLACE,Final
Southern California,Northwestern,9,7,"03/20/2016, 13:00",17TH SEMIS,Final
Rochester,Penn State,1,0,"03/20/2016, 13:00",17TH SEMIS,Final
bracket,19TH PLACE GAME
Northwestern,Penn State,1,0,"03/20/2016, 15:00",19TH PLACE,Final
bracket,21ST PLACE BRACKET
MIT,Kansas,10,9,"03/20/2016, 15:00",21ST PLACE,Final
MIT,Illinois,10,8,"03/20/2016, 13:00",21ST SEMIS,Final
Kansas,Nebraska,15,7,"03/20/2016, 13:00",21ST SEMIS,Final
Texas State,MIT,6,9,"03/20/2016, 11:00",21ST QUARTERS,Final
Colorado (B),Illinois,2,11,"03/20/2016, 11:00",21ST QUARTERS,Final
Kansas,Boston College,13,9,"03/20/2016, 11:00",21ST QUARTERS,Final
Texas A&M,Nebraska,7,11,"03/20/2016, 11:00",21ST QUARTERS,Final
bracket,23RD PLACE GAME
Nebraska,Illinois,0,1,"03/20/2016, 15:00",23RD PLACE,Final
bracket,25TH PLACE BRACKET
Texas State,Boston College,7,9,"03/20/2016, 15:00",25TH PLACE,Final
Texas State,Colorado (B),13,3,"03/20/2016, 13:00",25TH SEMIS,Final
Boston College,Texas A&M,10,9,"03/20/2016, 13:00",25TH SEMIS,Final
bracket,27TH PLACE GAME
Texas A&M,Colorado (B),7,5,"03/20/2016, 15:00",27TH PLACE,Final
bracket,29TH PLACE BRACKET
Colorado State,Texas Christian,11,13,"03/20/2016, 13:00",29TH PLACE,Final
Colorado State,Wisconsin-Eau Claire,15,6,"03/20/2016, 11:00",29TH SEMIS,Final
Rice,Texas Christian,7,10,"03/20/2016, 11:00",29TH SEMIS,Final
Colorado State,Miami,12,7,"03/20/2016, 09:00",29TH QUARTERS,Final
Trinity,Wisconsin-Eau Claire,4,7,"03/20/2016, 09:00",29TH QUARTERS,Final
Rice,Texas-San Antonio,13,6,"03/20/2016, 09:00",29TH QUARTERS,Final
Texas Christian,California-Santa Barbara,12,10,"03/20/2016, 09:00",29TH QUARTERS,Final
bracket,31ST PLACE GAME
Rice,Wisconsin-Eau Claire,10,6,"03/20/2016, 13:00",31ST PLACE,Final
bracket,33RD PLACE BRACKET
Trinity,California-Santa Barbara,3,14,"03/20/2016, 13:00",33RD PLACE,Final
Miami,Trinity,5,10,"03/20/2016, 11:00",33RD SEMIS,Final
Texas-San Antonio,California-Santa Barbara,4,15,"03/20/2016, 11:00",33RD SEMIS,Final
bracket,35TH PLACE GAME
Texas-San Antonio,Miami,0,1,"03/20/2016, 13:00",35TH PLACE,Final
bracket,37TH PLACE BRACKET
Washington University,Oklahoma,12,7,"03/20/2016, 11:00",37TH PLACE,Final
Texas (B),Washington University,2,15,"03/20/2016, 09:00",37TH SEMIS,Final
Oklahoma,California (B),12,8,"03/20/2016, 09:00",37TH SEMIS,Final
bracket,39TH PLACE GAME
Texas (B),California (B),8,6,"03/20/2016, 11:00",39TH PLACE,Final
b,r,e,a,k
