College Women's Centex 2016,College - Women ,19,3,2016
Pflugerville,TX,2016-03-19,2016-03-20
https://play.usaultimate.org/events/College-Womens-Centex-2016/schedule/Women/CollegeWomen/
California,5
52,ALEXANDRA KARPILOW
55,Madeline Pellicore
65,Megan Ives
69,Sarah Ferraro
99,Kelsey Bennett
b,r,e,a,k
Michigan,7
01,Kari Paine
02,Ali Jensen
03,Leslie Hamar
06,Olivia Perfetti
07,Elizabeth Benedetto
09,Nina Janjic
10,Brittany Wright
11,Tracey Lo
13,Mary Boyd
14,Meghan Campano
15,Emily Jameson
17,Maya Grumeretz
20,Emma Boyd
22,Talia Barth
23,Gina Sancricca
27,Bridget Karsten
28,Leah Bar-On Simmons
37,Hannah Henkin
44,Grace Denney
46,Amy Stoddard
48,Hannah Gannon
66,Tia Esposito
77,Phoebe Hopp
b,r,e,a,k
Texas,2
0,Marissa Land
3,Domenica Sutherland
4,Cameron Bryan
5,Andrea Esparza
10,Gaby Cuina
13,Julia Schmaltz
15,Sydney Overman
16,Olivia Angel
17,Kathryn Herbers
18,Meghan Ha
20,Susan Gilbert
21,Katelynn Zacharias
23,Laura  Gerencser
24,Sara Lee
25,Melinda Gidlow
26,LAURA VARGAS
29,Meghan Rutledge
89,Shiru Liu
99,Alexandra Magid
b,r,e,a,k
UCLA,3
01,JANE ELIZABETH GUNNAR
02,Emily Beck
03,Catherine Paulson
04,Kristen Pojunis
05,Lauren Kean
07,Grace Hubrig
09,Bonnie Brown
10,Melissa Kan
11,Sylvia Liang
15,Claire Simpson
16,Alyssa Worsham
17,Kristin Monson
18,Camille Wilson
21,Audree Hsu
22,Caroline McKee
23,BREANNA DIRKSE
25,Han Chen
27,Vivian Liu
31,Kathleen Lo
89,Tiana Rangchi
99,Maria Kazantsev
b,r,e,a,k
Virginia,6
0,Allison Hahn
0,Claire Burke
1,Emma Price
4,Christine Derieux
6,Jianna Torre
7,Janie Mockrish
9,Laura Landis
10,Alyssa Curry
11,Kathryn Hannum
12,Emily Leivy
13,Ellie Wood
14,Amy Wedmore
15,Julia Harris
22,Kiera Givens
23,Megan Gallagher
24,Kelly Ross
26,Rukmini Basu
27,Rebecca Meeker
30,Brogan Jones
32,Rebecca Driver
44,Keila Strick
52,Tess Warner
54,Sarai Arbus
b,r,e,a,k
Colorado College,9
