Boise Big Sky Brawl 2016,College - Women ,5,3,2016
Meridian,ID,2016-03-05,2016-03-06
https://play.usaultimate.org/events/Boise-Big-Sky-Brawl-2016/schedule/Women/CollegeWomen/
Brigham Young,5
0,Kaylie Caldwell
0,Ciera Kueser
0,MIKAYLA DAVIS
0,Sarah Gardner
0,Kendra  Mitchell
0,Heidi Zundel
0,SHANAE FOSTER
0,Jessica Connole
0,Alyssa Challis (Richards)
0,Izolde Rhodes
0,Rebecca Lambert
27,Quincey McKeen
b,r,e,a,k
Idaho,2
0,MIRIAM HERNANDEZ
0,Shanti Friedman
0,Tori Mehl
0,Nicole Tong
0,KELLY YANOSHEK
0,Margaret Fitzgerald
0,Karly Hill
0,Lindsey Heflin
8,Sierra Wallace
37,Erica Wilkins
b,r,e,a,k
Boise State,4
0,Emily-Anne Hylton
0,MARY ANKENBRANDT
0,Amanda Delu
0,Aline Elquist
8,Madison Austin
03,Amy Norris
07,Sydney Bullock
20,Tianna Hinson
21,Kelsey Breen
36,Jillian Donahoe
38,Cori Bigham
42,Caitlin Bouchard
77,Amanda Porter
b,r,e,a,k
Montana,1
0,Shaela Wallen
0,Mary Stewart
0,melisande slater
0,Robin Spielman
0,Meaghan Gaul
2,Leeza Olson
15,Linette Maeder
32,Sarah Luth
b,r,e,a,k
Utah,3
0,Jessie Montgomery
0,Katrina Brown
1,Sam Tan
2,Darya (Dasha) Trakhimets
3,Hanna Shluker
4,Alicia Dibble
8,Nicole Lee
9,Madison McIntyre
11,Jacklyn Hallett
20,Megan Drossel
23,Susan Truong
33,Olivia Lee
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday
pool,Pool A
Montana,Brigham Young,5,13,"03/05/2016, 10:30",Pool A,Final
Idaho,Brigham Young,2,13,"03/05/2016, 12:00",Pool A,Final
Idaho,Utah,13,2,"03/05/2016, 13:30",Pool A,Final
Montana,Idaho,10,12,"03/05/2016, 15:00",Pool A,Final
Utah,Brigham Young,5,13,"03/05/2016, 15:00",Pool A,Final
Utah,Boise State,6,10,"03/05/2016, 17:30",Pool A,Final
Montana,Boise State,8,12,"03/05/2016, 19:00",Pool A,Final
Boise State,Brigham Young,6,13,"03/05/2016, 20:30",Pool A,Final
Montana,Utah,13,8,"03/06/2016, 09:00",Pool A,Final
Idaho,Boise State,9,8,"03/06/2016, 16:00",Pool A,Final
b,r,e,a,k
brackets,Finals
bracket,Finals
Idaho,Montana,9,10,"03/06/2016, 12:20",Finals,Final
Idaho,Utah,6,5,"03/06/2016, 10:40",Semi-Finals,Final
Boise State,Montana,10,11,"03/06/2016, 17:40",Semi-Finals,Final
bracket,Podium
Utah,Boise State,5,8,"03/06/2016, 19:20",Go for the Bronze!!,Final
b,r,e,a,k
