South Central Mixed Regionals,Club - Mixed ,10,9,2016
Tulsa,OK,2016-09-10,2016-09-11
https://play.usaultimate.org/events/South-Central-Mixed-Regionals-2016/schedule/Mixed/Club-Mixed
Love Tractor,1
1,Spencer Norman
2,CHRIS HART
4,David Protter
5,Jack (John) McShane
6,John (Clay) Heinzel-Nelson
8,Scott Forrester
9,James Cantwell
10,Brian Carroll
11,Megan Henderson
12,Joe Iannacone
13,Christine Kamin
14,Stephanie Redfern
15,Lauren Rindels
16,Madeline Kreider Carlson
17,Brady Cowiestoll
18,STEPHANIE FROST
19,Garrett Moulder
20,Amelia Zutz
21,Amanda 'Leia' Walker
23,Camden Kittredge
25,Julia Ting
33,David Kamin
35,Kate Pearson
41,Katie Patterson
44,Jacob Zax
74,Stanley Strunk
91,Matthew Zemel
b,r,e,a,k
Sweet Action,8
0,Steven Pearlman
02,Dan  McCune
03,CHRISTIAN MALESKY
04,Sara Major
07,MONIKA ORAWIEC
08,Alicia Stillwell
13,Adriana Prieto
14,Matt Slowinski
16,Ben Jones
19,CHLOE RIES
20,Matt Cornish
21,Bradley Cochi
23,TYLER FRANKLIN
24,Kevin Hamilton
26,Cecily Leahy
27,Alex Vorce
30,Austin Power
31,Patrick Ellsworth
33,Lauren Picard
44,John Marcy
45,Nikki Roth
47,Tyler Hanna
65,Kelsie Brown
77,KATHERINE COCHRANE
86,Ryan Ellis
88,Jack Frenchu
b,r,e,a,k
theRUB,11
0,Clay Mohr
0,Samuel Franklin
0,JOSEPH BELL
0,ALLEGRA HANSON
0,Derek Carter
0,Alana Hardeman
0,JACOB PERRY
1,Elise Franke
3,JONATHAN PERRY
3,Curtis Asher
3,KARA DICKEMANN
5,Courtney Walbe
6,William Sharp
7,Courtney McClain
8,Austin Culp
8,CHRISTOPHER ANDREWS
11,Drew Hutchison
17,Cameron Umbarger
21,Mary Gentry
22,Barry Hart
22,Corey  Duncan
23,Matthew Gentry
33,MADDY BROWN
41,CHRIS ROBERTSON
51,Brittany  Stettmeier
b,r,e,a,k
Balloon,14
0,Spiro Nakos
01,Connor Dolan
02,Reece Rose
03,Rae Van Sandt
04,Anita Richert
05,Corey Green
07,SARAH SOUTHMAYD
10,Courtney Nakos
11,SYDNEY THOMAS
12,Mike Welch
13,Rohit Chintala
14,Josette Cervantes
15,JOSH SEAL
17,Todd Schrader
20,Jon Corser
21,Austin Wehrheim
22,Alyson Brokaw
23,Anchit Patel
24,Mathias Weeks
27,Steven Cowan
37,Justin Allison
44,Jordan Harn
51,Shai Herman
52,Mike Youngs
53,Taylor Neigut
65,Samuel Bondurant
87,Julia Popp
b,r,e,a,k
shame.,2
0,Joshua Ackley
02,Hugh Carey
03,Kelcie Glick
04,Isabel Cisneros
05,Henry Adams
06,Quinn Finer
07,Emily Hanson
08,Bailey Russel
09,Nate Roth
10,Doug Stenclik
11,Danielle Love
13,Kyle Enns
14,Jade McLaughlin
15,John Kearns
22,Annika Walters
23,Miranda Markland
24,Zackary Fleming
25,Nicholas Snuszka
27,Chris Gauen
46,Elizabeth Murphy
48,Aubree Dietrich
50,WILLIAM HADEN CHOMPHOSY
52,Marilyn Reich
55,OLIVER FEIND
56,Jacob Juszak
64,Michael Lin
82,Joel Anton
b,r,e,a,k
tHUMP,7
01,Jonathan Moore
02,Jason Jensen
03,Emma Culotta
05,JUSTIN RUNNELS
06,Nick Carranza
07,Iryna Maslennikova
08,Joyce Andrews
09,Josh McGee
10,Bryce Lippitz
11,Ryan Levins
12,Anna Highsmith
13,sarah campbell
14,Ryan Rundle
15,Philip Nelson
16,Nick Thomas
17,Emilie Garnier
18,Tanner Moore
19,Christi Timm
20,ARON PHILLIPS
21,Holly Lin
27,Abigail Ginac
28,Yasmine Cooper
31,Alex Bui
32,DANIEL REIMER
33,Hung-wei Huang
44,Robert Benson
64,Evan Sattem
b,r,e,a,k
Risky Business,13
0,Elise Path
0,Arthur Corbitt
0,TYLER WACKER
0,Austin Henke
0,JESSICA CHAMBERS
0,Kristopher Dapprich
0,Dalio Losch
0,ANNA REHFUSS
0,HUGH BOND
0,Christina Jones
0,Cailin O'Mara
0,Jonathan Daugherty
0,KATRINA COX
0,Jen Kim
0,Derek Schmidt
0,Robin Osborne
3,Allie Long
5,Bryan Rowes
6,Christopher Schultz-Davis
11,Megan Pleshek
14,Natalie Zielinski
19,Angga Widodo
22,Paul DiFiore
36,Christian Walker
37,Andrew Morton
b,r,e,a,k
Wildstyle,12
0,Stacey Nava
0,Gregory Dono
0,Zach Kuzmic
0,John Redig
0,Wesley Bailey
0,Allison Wassel
0,Sean Shannon
0,Mario Escobar
0,JUSTIN GLINES
0,KATHARINA  STOLL
0,Alexandra Magid
0,MICHAEL BALSAN
0,Austin McDaniel
2,Thomas Rapp
4,Emily McDaniel
5,Keira McMenamin
8,Michael Buratti
15,Saira Guthrie
18,Chad Larson
20,Travis Cloud
24,CHRISTINA CHAVIERS
34,Kevin Martin
47,Chris Mihalyi
71,CAROLINE DAVIS
80,Christopher Griego
87,Daniel McKenna
b,r,e,a,k
Cosa Nostra,3
0,Casey LeMay
0,Robert McDonald
0,Richard Hornbuckle
2,Jessica Kishi
3,Matthew Bierschenk
4,Ivy Byun
6,William Owens
7,Victoria Salimov
9,Rebecca Smith
10,Maggie Douglass
12,Trenton Hebert
15,Emily Scholten
17,Kathryn Herbers
20,Valerie Pinillos
22,Ashley Abrigo
23,Ryan Pickens
25,David Street
29,Meghan Rutledge
31,Christopher Spittal
44,Jacob Thomas
44,Jordan Denecour
49,Caleb Denecour
55,Wendy Hogg
60,Ereckson Hillis
91,Alex Hodgson
93,Kyle Teske
b,r,e,a,k
Freetail,6
0,David Churchman
0,Rui Juan Hu
0,ARDEN HOLBEIN
0,ALAN JANZEN
0,Max Abrahamson
0,Brittany Wheaton
0,Ryan Walker
0,Jeremy Siefer
0,Paul Wheaton
0,Sarah Bovio
0,Annalise Heuser
0,Nicholas Polito
0,David Haeussler
0,Edward Freiner
0,Sean Lindsay
0,Ellen Register
7,Avery Callon
9,Hayley Cantway
24,SANG CHOI
25,Kevin Halprin
26,Richard Bovio
32,John Cecil
67,Kristopher Lilley
77,Christopher Newman
87,Michael McCartney
87,Katie Abrahamson 
87,Keith Register
b,r,e,a,k
The Strangers,9
0,VINCENT FERNANDEZ
0,Troy Wojick
0,EMILY KUHR
0,rachael stewart
0,BRETT GEDVILAS
0,KYNDRA LEIER
0,ALEX VERSACKAS
0,Curtis Salcedo
0,Scott Harris
0,Todd Gedvilas
0,Matthew Bailey
0,David Jackson
0,KATHERINE Clark
0,Olivia Coyne
0,Patrick Boyker
0,Alyssa May
0,Tara Gedvilas
0,James Miller
0,Katharine Evans
0,BRENDAN CALONGE
0,Melissa Hovanes
0,THOMAS AFTON
0,Matthew Cueva
0,BRIAN CLARK
3,Hannah Dryke
7,Stephen Semmens
40,Doug Schriner
b,r,e,a,k
Mixtape,16
0,Charlotte O'Donnell
0,Kristen Yaney
0,Jesse  Keith 
0,Jeffrey Simon
0,PHOEBE JUDGE
0,Zachariah Ehler
0,Alan Hsieh
0,Doug Bocchini
0,Allison Work
0,LAURA RODRIGUES
0,Arun  Kalra
0,Brett Youngerman
2,DAVID FULTON-BEALE
9,Benjamin Gross
12,Raymond  Chen
13,Shane Skriletz
22,Stanley Ly
24,MARNI BROWN
30,Leah Dolan-Kelley
34,Cansu Alaeddinoglu
39,Adam Verner
71,Erika Hiromitsu
82,Lucille Sylvester
99,Julia Schroeder
b,r,e,a,k
Public Enemy,4
01,Jarrod Hockett
02,Colby Keen
03,ANDREW WATSON
04,Rowdy Howell
05,Darius Tse
06,Chris Pleshek
07,Lindsey Kappen
08,REBECCA PHILP
09,Krystina Morris
10,Zoey Clark
11,Matthew Davis
12,Frank Macon
13,Senna Nilsson
19,Jonathan Higgins
22,Bryan Bush
23,Carrie Kulp
24,Jenna Bigbie
26,Trevor Wiltz
29,Jessica Gamwell
41,Cara Utesch
42,Paul Utesch
48,Alex Welcing
55,SEAN REED
57,Abbey Hewitt
69,GREGORY  GIPSON
80,Matthew Ondek
b,r,e,a,k
Mesteño,10
0,Nate Hopp
0,Maria Schwab
0,Danielle Swales
0,Ryan Meinkoth
0,Scott Harper
0,Kate Guidera
0,Rhonda Kracker
0,Hannah Zax
0,Steven Stanish
0,Moriah LaRocque
0,Jose Maldonado
5,Stephen Lin
7,Chris O'Connell
7,Katherine England
8,Noel Brennan
8,Lauren Foster
09,Jamian Jacobs
11,Christina Contreras
12,DAVID MARES
15,Zachary Radcliff
15,Jim Nolte
26,Drew Parker
32,Keith Richardson
37,Ryan Hummel
41,Emma Richardson
50,Sebastian Duffell
99,Scott Salvati
b,r,e,a,k
Moontower,5
0,Eric (Egon) Hersh
0,Michael Natenberg
0,SARAH MOODY
0,Douglas Hannah
0,Luis Torres
0,Erin Phillips
0,Tien-Tien Chan
0,Ebru Yucesar
0,Olivia Angel
0,Aubrey Davis
0,Tom Atchity
0,Ariel Travis
0,Christopher Reilly
0,Robert Connelly
0,Mike French
0,Jasmine Venzant
6,Ivy Harrison
7,CHRISTOPHER SACKMANN
8,Mikayla Slimmer
9,Marshall Payne
11,Allegra Donadio
16,Rachel Chen
30,Mick Walter
99,John Higgs
b,r,e,a,k
Mixed on the Rock,15
0,Joe Sundell
0,Toby Von Rembow
0,Ross Noland
0,Stephen Treanor
0,Casey Kleinhenz
0,Casey Stewart
0,SOPHIE HOUIN
0,Victoria Wynne
0,LAWSON HEMBREE
0,ANNEMARIE BECK
0,Felicia Clark
0,Jeremy DeLon
0,Olivia Harrington
1,Heather Ayers
7,Tom Coffin
8,josh pixley
14,Camaron Phillips
22,John Wynne
37,Jody Ayers
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
