Towsontown Throwdown 2016,College - Women ,26,3,2016
Towson,MD,2016-03-26,2016-03-27
https://play.usaultimate.org/events/Towsontown-Throwdown-2016/schedule/Women/CollegeWomen/
Salisbury,3
0,Cloe Dixon
0,Annalee Turcea
0,Kristen Henne
0,Kara Van Fleet 
0,Nina Ross
0,Myra Dickey
0,Audrey Ramming
0,Jessica Novak
0,Helena Guillen
0,Carolyn Smalls
0,Sophie Leffler
0,Allison Seitz
5,Nicole Stafford
14,JENNIFER  PIEGOLS
36,Nikki Federkeil
b,r,e,a,k
Johns Hopkins,1
0,Darleen Ibe
0,Nicole Israel-Meyer
0,Amanda Edwards
0,SARAH RAGEN
0,Katherine Link
0,ZIXIAN XUN
0,Hannah Folz
0,Julie Shade
0,Kiara Ott
0,Jessica Zionts
0,Tiffany Chung
20,Chloe Cao
42,KATHARINA ERTMAN
b,r,e,a,k
George Washington (B),2
0,Maddie Rosser
0,Catherine Frith
0,Emilie Ghaffari
0,Anna Fenzel
0,Bailey Keith
0,Gwendolyn Cochran
0,Emma Anderson
24,Erin Bjork
31,MICHAELA GOLD
32,PAULINA ZAJAC
64,Sara Sokolinski
95,Daniela Reeve
b,r,e,a,k
Towson (B),4
0,Carmen Venable
0,Olivia Pellicano
0,Samantha Sesum
0,Connie Anagnostou
0,Janet Carlson
0,Rebecca Godfrey
0,Amanda Harvey
0,Elizabeth Ide
0,Olivia Piper
0,Jennifer Koscinski
0,Courtney Russell
0,Hayley Petrizzi
0,Megan Porfido
28,Ariana Garvin
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin
pool,Pool A
Johns Hopkins,Towson (B),11,1,"03/26/2016, 10:00",Pool A,Final
George Washington (B),Salisbury,3,13,"03/26/2016, 10:00",Pool A,Final
Johns Hopkins,Salisbury,6,13,"03/26/2016, 12:00",Pool A,Final
George Washington (B),Towson (B),13,3,"03/26/2016, 12:00",Pool A,Final
Johns Hopkins,George Washington (B),9,3,"03/26/2016, 14:00",Pool A,Final
Towson (B),Salisbury,2,13,"03/26/2016, 14:00",Pool A,Final
b,r,e,a,k
