Atlantic Coast D-I College Men's Regionals,College - Men ,1,5,2016
https://play.usaultimate.org/events/Atlantic-Coast-D-I-College-Mens-Regionals-2016/schedule/Men/CollegeMen/
North Carolina-Wilmington,1
0,Joseph Sharp
0,Jack Williams
0,John  Wright 
0,Austin McGrayne
0,GABRIEL FULLER
0,Erik Esposto
0,Kevin Mateer
0,Keane Squeri 
0,DANIEL MERCER
0,Charlie Lian
0,Xavier Maxstadt
0,MATT MASON
2,Carl Matysek
3,Colin White
6,Kyle Warfel
9,Frederick Hennighausen
10,William Stewart
18,Grayson Sanner
25,Jake Gallagher
42,Jonathan Callahan
88,Dalton Vestal
89,Davon Jaramillo
99,Thomas  Theunissen
b,r,e,a,k
North Carolina,2
0,AARON WARSHAUER
01,Aaron Wan
03,JD Hastings
04,Suraj Madiraju
05,Nathan Kwon
06,Ben Maxson
07,Jesse Kovacs
08,ALEC TOLENTINO
10,Taek Lee
10,Marcus Rovner
12,Elijah Long
15,Vikram Sethuraman
16,Austin Banks
17,Spencer Beck
18,Dain Nielsen
19,Paden McBride
21,Matt Gouchoe-Hanas
22,Walker Matthews
24,Alexander Davis
25,David Voychuk
27,Ryan  Greaves
42,Alex (Evan) Grosskurth
50,Miles Lally
76,Chathan Driehuys
85,Andrew Mouw
b,r,e,a,k
Virginia Tech,5
0,Christian Kingett
0,Craig  Benson
0,Mike Vignali
0,Alexander DeLuca
0,Daniel Sablosky
0,Alexander Wu
0,Christopher Granito
0,TOBY WHITE
0,Nicholas Gigliotti
0,Christian Gilbertson
0,Dylan Hitt
0,Congyi Guan
6,Ryan Rossum
10,Lucas Fenstermacher
11,Conner Fox
12,Kyle Flynn
13,David van Pelt
21,Rhys Bergeron
22,Ferry Akbar Buchanan
28,Joe Novak
54,Andrew Franco
69,Joe Freund
80,Antoine Davis
b,r,e,a,k
James Madison,3
0,Garrett Braun
0,Andrew Marusic
0,Colin Smith
0,David Boyle
0,Aaron Bouchard
0,Wade Knaster
0,Griffin deMenna
0,Steven Praplaski
2,Bjorn Johnson
3,Cam Barnhardt
4,Jack Corcoran
6,James Friscia
8,William Strauss
9,Griffin Lang
17,Kevin O'Malley
20,Kyle Woodward
21,Benjamin Green
22,Garrett Manno
25,John Dickerson
28,ABNER REYES
30,Quinn Bergeron
33,Torin Porter
36,Matthew Johnston
40,Brian Dawson
45,Nicolas Johnson
79,Ryan Ayres
81,Colin Doescher
b,r,e,a,k
Virginia Commonwealth,8
5,William McGovern
01,Akram Abudheer
02,BRAD SMART
03,Benjamin Houchins
07,Brett Smith
09,Owen Thompson
10,Matthew Reynolds
12,REGGIE MCCLELLAN
14,Derrick Freeman
15,Sean Boyce
17,Jack Field
21,Brendan Wang
22,Jacob Belvin
24,Trent Cooper
25,Justin Hall
25,Kenneth Kane
27,Nathan Salle
28,Austyn Pedersen
