D-I College Championships,College - Women ,27,5,2016
https://play.usaultimate.org/events/USA-Ultimate-D-I-College-Championships-2016/schedule/Women/CollegeWomen/
Virginia,13
00,Allison Hahn
01,Emma Price
04,Christine Derieux
06,Jianna Torre
07,Janie Mockrish
08,Claire Burke
09,Laura Landis
10,Alyssa Curry
11,Kathryn Hannum
12,Emily Leivy
13,Ellie Wood
14,Amy Wedmore
15,Julia Harris
22,Kiera Givens
23,Megan Gallagher
24,Kelly Ross
26,Rukmini Basu
27,Rebecca Meeker
30,Brogan Jones
32,Rebecca Driver
44,Keila Strick
52,Tess Warner
54,Sarai Arbus
b,r,e,a,k
Oregon,1
01,MARGARET KENNEDY
02,Jesse Shofner
03,Jamie Fleshman
04,Emily Fagan
05,Gabrielle Aufderheide
07,Alex Ode
08,Jaydra Rotolante
09,OLIVIA BARTRUFF
11,Bethany Kaylor
13,Amelia (Molly) Lanning
14,Sarafina Angstadt-Leto
17,Morgan Caldwell
19,Lillian Weaver
20,Hope Zima
22,Rachel Hershey
24,Madison Lostra
25,Foley Galvin
27,Hayley Wahlroos
43,Ella Hansen
44,KAITLIN BRUNIK
63,Ganell Snocker
b,r,e,a,k
Colorado,8
03,Amy Elizabeth Leder
04,Nhi Nguyen
05,Leilani Nelson
06,Emma Capra
08,Jean Russell
09,Kirstin Johnson
10,SARAH BARTOSH
11,Megan Henderson
13,Jessica Chesnut
16,MADISON GREEN
18,Katiana Hutchinson
24,Hilary Egan
31,Chelsea Gerleit
33,Fiona Dragonfly
41,Katherine Macri
49,ALEXANDRA KARPILOW
55,Madeline Pellicore
65,Megan Ives
69,Sarah Ferraro
99,Kelsey Bennett
b,r,e,a,k
California,12
01,Anna Wysen
02,Marisa Rafter
04,Anjile An
06,Allegra Mayer
10,Christy Jarman
11,Mackensie Smith
12,Kathryn Carlson
14,Megan Pera
15,Alison Griffith
18,Hannah Ellis
19,Jessalyn Siu
21,Alexandra Hasan
22,Elena Good
24,Jackelyne Nguyen
27,Yun-Yun Lin
28,Krystal Ching
45,GRACE FLINTERMANN
57,Mathilda Farrell
89,Kimberly Long
99,Danielle Murray
b,r,e,a,k
Colorado College,17
02,Caitlin Hegg
05,Robin Fassett-Carman
06,Chloe Rowse
07,Frances Gellert
09,Marta Sola-Pfeffer
12,Anna Doctor
13,Kiera Connelly
14,Stella Gardner
15,Emily Komie
16,Abigail Lew
17,Patty Weicht
18,Audrey Mills
19,Cate Ellison
20,Marlee Akerson
21,Elizabeth Alvin
23,Rachael Maxwell
27,EMMA SARGENT
28,Monica Weindling
32,ALEXIE MILLIKIN
64,Annie Brewster
71,Erika Hiromitsu
81,Corey Baron
97,Christie Ma
b,r,e,a,k
UCLA,7
01,JANE ELIZABETH GUNNAR
02,Emily Beck
03,Catherine Paulson
04,Kristen Pojunis
05,Lauren Kean
07,Grace Hubrig
08,Tiana Rangchi
09,Bonnie Brown
11,Sylvia Liang
15,Claire Simpson
16,Alyssa Worsham
17,Kristin Monson
18,Camille Wilson
19,Melissa Kan
21,Audree Hsu
22,Caroline McKee
23,BREANNA DIRKSE
25,Han Chen
27,Vivian Liu
31,Kathleen Lo
99,Maria Kazantsev
b,r,e,a,k
Dartmouth,18
01,Sophia Siu
02,SARAH HEYBORNE
03,Carolyn Susman
04,Madeline Parish
06,Piper Curtis
07,Lillian Huang
08,Angela Zhu
09,Kristie Kelly
12,Erica Ng
14,Lily Eisner
16,Ella Dzenitis
17,Magdalene Pizzo
21,Jack Verzuh
22,Caitlyn Lee
33,Sarah Colon
42,Jaquille Jones
55,Julianna Werffeli
81,Mae Hardebeck
99,Moyosore Okeremi
b,r,e,a,k
British Columbia,2
04,Julia Zhang
05,Naomi Morcilla
06,Evelyn Chan
08,KATE SCARTH
09,Serena Tam
10,Joanna Lo
11,Naomi Johnson
12,Ingrid Yuen
14,Cindy Li
18,Christine Liu
19,MIRA DONALDSON
21,Ellen Au-Yeung
24,Megan Zhu
25,Esther Au
28,Emily Yuen
31,Jessica Chung
32,Katherine McGuire
36,Emma  Madden-Krasnick
37,Paige Muir
44,Janelle Siwa
47,Victoria McCann
55,Beverly Yim
75,Mavis Huang
96,Aleisha Mohr
b,r,e,a,k
Pittsburgh,11
0,Vaughan Skinker
01,Victoria Smith
02,Megan MacGillivray
05,CAROLINE NOFZINGER
07,Katie Schreiber
08,Linda Morse
09,Katherine Greener
10,Spike Pike
11,Hannah Blizzard
12,Sarah Russek
14,Haley Grajewski
18,Gabrielle Doran
19,Abigail  Bomberger
20,Lakshmi Ilango
21,Sofie Patzak
22,Caterina Pagano
23,Katie Cleveland
27,Goda Tarcijonas
36,Carolyn Normile
37,Linn Bjanes
72,Jacqueline Lombard
b,r,e,a,k
Chaos (Independent),14
00,Eryndae Thorvaldsen
02,Jendy Edgerton
03,Alea Clymer
05,Tiffany Phan
06,JESSIE THORESON
07,Kaitlin Webster
08,Ariel  Edwards
09,Rossella Bernocco
11,AILEEN  ISLA
12,Brittany Vallene
13,Alana Hall
14,ANNIE PADEN
15,Macy Schelbert
16,Samiya Ismail
17,Madeline Gilbert
18,Kylie Miyata
21,MICHELLE HANNEMAN
23,LENA  GIBBS
24,Allie Sanchez
28,Colleen Horntvedt
37,Amina Lee
44,Abbie Abramovich
71,Kelsea Kilbride
81,Tian Qing Yen
b,r,e,a,k
Stanford,3
02,Veronica Cruz
03,Rachel Thomson
05,Anne Gordon
06,Carly Eckstrom
07,Natasha Field-marsham
09,Amanda Somvilay
11,Freya Chay
12,Rosemarie Sandino
14,Monisha White
15,Annee Rempel
18,Michelle McGhee
22,Rachel Gianforte
23,Courtney Gegg
27,Deanna Abrams
30,Emma Heath
51,Shayla Harris
60,Caitlin Go
84,Hallie Dunham
b,r,e,a,k
Michigan,10
01,Kari Paine
02,Ali Jensen
03,Leslie Hamar
06,Olivia Perfetti
07,Elizabeth Benedetto
09,Nina Janjic
10,Brittany Wright
11,Tracey Lo
13,Mary Boyd
14,Meghan Campano
15,Emily Jameson
17,Maya Grumeretz
20,Emma Boyd
22,Talia Barth
23,Gina Sancricca
27,Bridget Karsten
28,Leah Bar-On Simmons
37,Hannah Henkin
44,Grace Denney
46,Amy Stoddard
48,Hannah Gannon
66,Tia Esposito
77,Phoebe Hopp
b,r,e,a,k
Washington,6
05,Janet Ho
07,Rachel Jecker
09,Clara Amorosi
10,Kathy Tong
11,Nora Landri
13,Kit Carle
14,Nicole Cramer
15,Kaitlin Kirkpatrick
16,Bailey Bonaci
17,Ellen Goldberg
18,Allison Tjader
19,Addyson Frattura
20,Grace Noah
21,Cami  Canter
22,SARAH EDWARDS
23,Maria Carla Marigmen
25,EDRIENNE  CHAN
36,Sophia Johansen
51,Kate Crawford
b,r,e,a,k
Ohio State,15
01,Jackie Matonis
03,Alaine Wetli
05,Stephanie (Stevie) Miller
09,Annelise Peters
10,Kelly Ross
11,Sadie Jezierski
12,Katie Backus
14,Emily Steedman
15,Emma Colavincenzo
16,Corinn Pruitt
17,Caitlin Duffner
18,MICKELLEA TENNIS
22,Mary Turner
28,Stacy Lu
32,Anat Gross
35,Alora Reiff
36,Casey Schomer
37,Sarah Bushman
44,Malika Smoot
54,Stephany Stumphauzer
57,Kelly Rusin
78,Tiffany Lim
95,Kristen Behrens
b,r,e,a,k
Southern California,19
05,Rachel Chang
08,Becklin Davis
10,Julia Johnson
11,Christie Yeh
12,Linda Hamon
13,Jolene Liu
18,Sophia Zhou
19,Rachel Litz
22,Alyssa Perez
23,Alana Archer
24,Avalon Igawa
25,Catherine Chung
27,Connie Chan
33,Jean Frazier
35,Brianne Low
67,Rhea Choudhury
69,Valentina Valdez
b,r,e,a,k
Whitman,5
01,Kaileah Akker
02,TESSA JAMES
04,Nina Finley
05,Sarah Finger
07,Arianne Lozano
09,Brenna Bailey
10,Livia Amorosi
11,MARLENA SLOSS
12,SOPHIE JAMES
15,Alex Hardesty
17,Kaitie  Dong
