Old Capitol Open 2016,College - Men ,2,4,2016
Marion,IA,2016-04-02,2016-04-03
https://play.usaultimate.org/events/Old-Capitol-Open-2016/schedule/Men/CollegeMen/
Luther,1
0,BRADY BRINKMEYER
0,Jimmy Conway
0,Sergei Hanka
7,Matt Smith
11,Kaelib TeeGarden
11,Blake Heeren
12,Jack Jagielski
13,Arlen Bonson-Anderson
17,Chad Villhauer
18,Sam Berglund
21,Matthew Peterson
22,Isaac Johnson
23,Peter Murry
24,Henry Craig
27,Owen Schleif
28,Jack Rosenwinkel
29,Peter Scott
33,Jay Puffer
42,Evan Berg
44,Jonathan Lovagnini
47,Ian Andre-Knudsen
57,Nathaniel Koch
71,Christopher Lovagnini
b,r,e,a,k
Carleton College-GOP,3
0,Malcom Fox
0,Michael Ebako-Hodgson
0,Andy Rodgers
0,Arthur McCray
0,Bryce Barton
0,Noah Robiner
0,Sam Blackburn 
0,Abraham Eichner
0,Quinn Mayville
0,Theo Morris
0,Zack Considine
0,GAVIN ALLMAN
0,Ryan Saeta
0,Jeremy Hills
0,Saul Wildavsky
3,COLIN FROINES
3,Matthew Maclay
4,Will Yetvin
8,Jacob Cohen
22,Nelson Rohrbach
23,SAMUEL WHITE
71,David Goodell
88,Benjamin Longchamp
b,r,e,a,k
Denver,7
0,ISAAC GERSHUN-HALF
0,Justus Gibson
0,Wheeler Morris
0,John Stoszek
0,Jacques Gerber
0,Michael DeGrandis
0,Eric Silverman
0,Nick Rossiter
0,Ryan MacDonald
0,Johnny Youngs
0,Avery Cederstrand
0,John Leslie
0,Sage Bard-Gilbert
0,Matthew Heinen
0,Evan Hicks
0,ALEX KUNZER
0,Angus Kitchell
1,Mitchell Silverman
14,Mats Hanson
18,Avery Nelson
23,Josh Lucero
30,Nate Watson
37,Jae Ermer
48,JACOB BARRY
b,r,e,a,k
Minnesota (B),9
0,Seth Welna
0,Ben Jones
0,JOEL MCCOMBS
0,Benjamin Knapp
0,ADAM LIFLAND
0,Jacob Graff
0,PATRICK HYLAND
0,MIKHAIL SCHEE
0,Jake Taylor
0,Drew Eskoff
0,Sachchit Murali
0,Anders Zetterlund
1,Derek Anderson
6,Jonah Resnick
6,RYAN FRANKLIN
7,RANJI RAMROOP
9,Alexander Perkins
26,Bill Keane
28,Greg Cepuran
31,Ross Screaton
33,Paul Rheinberger
42,Nathan Swanson
67,DJ Rekstad
85,Joe Morris
95,Nicholas Welna
b,r,e,a,k
Wisconsin-Whitewater,5
 ,Michael
0,Alex Bjerke
0,Elijah Kramer
0,Zachary Artz
0,Matt Lander
0,Brett Harto
0,Jack Pulvermacher
0,Jacob Morris
0,Andrew Van Steenbergen
0,Logan O'Brien
0,Liam McDonald
0,Nicholas Hohl
0,Alex  Johnson
0,Levi Frost
0,CONNOR POWER
0,Luke Marks
0,Zachary Hutson
0,Nick Koldras
0,Devin Woida
0,Tyler Hebert
0,Jacob Meehan
0,Evan Koronkowski
9,Kyle Dreger
9,JOHN TOMKIEWICZ
13,ALEXANDRO FERREIRA
23,Steven Wick
30,Thomas Doro
39,SETH DAELLENBACH
42,Chase Marty
50,EVAN HUMMER
53,Lucas Stuiber
75,Pete Gylland
99,Matt Hulsether
b,r,e,a,k
St John's,2
0,Andrew Loveless
0,Lucas Friederichs
0,Omar Cano
0,Jack Obermeyer
0,Charlie Nicklay
0,Joe Nicholas
0,John Beckius
0,Noah Schmelzer
1,Matthew Takahashi
3,NOAH SPEETER
5,Charlie Schuweiler
7,John Schmelzer 
8,Jeffrey McGurran
9,Mitch Rotert
11,Justin Wollin
13,Sam Eherenman
17,Aaron Wildenborg
18,Tyler Meyer
20,zachary borer
22,Patrick Ellingson
24,Tyler Wright
25,Jordan Baker
34,Aaron Hove
35,Jonathan Paquette
44,Christopher Camber
47,Isaac Lauer
84,Edward Mallak
88,Alec McFarlane
b,r,e,a,k
Iowa,4
02,Taustin Kaste
04,Isaac Gardner
05,Tyler Barrett
06,Tyler Whitehead
07,James Hean
08,Ben  Mirr
10,Aiden Frank
14,TRAVER BATSON
17,Reno Brinn
17,IAN KOLB
22,Hank Hugen
24,Dominick Peluso
25,Adam Wong
27,Alexander Constant
28,Carson Hemphill
32,Collin Spratt
39,Michael Wormley
52,Jun Shinohara
84,Kegan Wakefield
88,WILLIAM HEAN
b,r,e,a,k
North Park,8
01,Ben Soffel
02,ROBERT KRAFT
10,Scott Nitchie
11,Niko Zelinski
12,Jonathan Berggren
13,Thomas Williams
14,Andrew Swanson
15,Carlton Nelson
21,Eric Lundgren
22,Benjamin Horstman
23,ISAAC COYNE
24,Andres Garcia
25,Bradley Johnson
28,Geoffry Leedom
44,Phillip Conijn
57,Aaron Klinefelter
60,Curtis Pederson
68,TOMMY BAKKEN
95,Will Herchenbach
b,r,e,a,k
Kansas State,10
0,Erick  Neilson
0,Darien Parr
0,Spencer Roberts
0,Ryan Irvin
0,Cole Muse
0,Marcus Gammill
0,Nathan Witters
0,Chris Brettell
0,Bo Love
0,Brett Dare
1,Stephen Karst
7,Josh Manning
10,Sam Nichols
17,Clayton Smith
19,Branden Schneider
59,John Wildman
88,Matthew Price
b,r,e,a,k
Marquette,6
0,Michael Starosta
0,Jordan Benusa
2,Daniel Kress
03,RYAN MCHUGH
05,Evan Swiatek
07,Connor Watts
09,Wyatt Meyer
10,Joseph Lindsay
15,Anthony Marino
16,Harrison Hensel
17,Elias Magallanes Jr.
19,Van Walker
20,David Kaftan
23,Tadhg Scully
24,John Devine
25,Sean Andryauskas
28,MARK MAURER
32,Daniel Engsberg
34,BRYAN FITZPATRICK
42,Zach Thompson
b,r,e,a,k
Drake,11
0,Eric Olsen
2,Huynh Vo
4,CONNOR GORDON
5,Ben Ransom
6,Nathaniel Rowe
9,Thomas Foersterling
10,Robert Mitchell McCarthy
13,Neal Patel
14,Michael Grant
19,Timothy Webber
21,Noah Werling
22,Tyler Walden
23,Connor Ellingson
25,Kenneth Caldwell
27,Matthew VanHerzeele
33,Matthew Kraus
42,Carter Genrick
45,Devon Lord
54,Alex Stumphauzer
61,Thomas Rauch
69,Alonzo Garza
b,r,e,a,k
Washington University (B),15
00,Jordan Chow
05,Tyler Reeves
15,Martin Goree
16,Robert Hsu
18,Avery Suter
21,Rishab Arora
22,David Lopez
27,Josh Epstein
31,Ben Aunins
33,IAN DAVIS
37,Robert Brachman
45,Eli Schneider
81,Andrew Englund
84,BENJAMIN KROHNENGOLD
85,Omar Abdelaziz
86,Matt Geer
99,Spencer Williams
b,r,e,a,k
Luther (B),19
0,Tyler Johnson
0,Andrew Loutfi
0,Casey Greufe
0,Ross Ruehmann
0,Jarrod Klopp
0,Nathan Riley
1,Ethan Harris
2,Michael Espey
2,James Sinclair
6,Aaron Herman
7,Harrison Hoffman
8,Matt Dosland
9,JESSE HITZ GRAFF
11,Sam Kaplan
12,Edward Shimkat
13,Michael Callen
14,DANIEL HERMAN
18,MICHAEL LOHER
20,John Mai
23,Micah Thorson
24,Kai Hedstrom
29,Michael Vann
32,Gabriel Eide
33,Steve Peterson
36,Sean Krummel
41,David Priggie
45,Martin Enciso
49,JOHN EVANS
52,MICHAEL BRUINS
61,Stephen Shatzer
63,Seth Warner
87,Benjamin Oanes
90,Sam Poppen
b,r,e,a,k
Northern Michigan,23
0,Isaak Barrera
0,Jarred Battles
0,Connor Boudreau
1,Connor Laitinen
4,Nick Tucker
4,Mark Reimann
8,Brian Polston
13,THOMAS MCDONALD
14,Andrew Duquette
19,Justin Ozrovitz
27,Nathan Sherman
30,Austin Masselink
34,Nicholas Moore
42,Eric Martin
48,Joshua Herndon
50,Tanner Schut
77,Adam Knapp
81,Max Watrous
91,Gerhard Klein
b,r,e,a,k
Wisconsin-La Crosse,12
0,Brandon Gaethke
0,Michael Pearson
0,Aaron Bennett
0,Alexander Keller
0,john long
0,Todd Ahlers
0,Matthew Carlson
0,Coleman Maher
0,Bradley Miller
0,John Anderson
0,Blake Schleusner
0,Daniel McKee
0,JAMES WERDAL
2,Christopher Kammer
4,Simon Stuttgen
5,Brett Anderson
8,Ryan Sokup
12,NICHOLAS BYRON
15,Chris  Porter
17,Matthew Cull
20,Joseph Pucel
22,Jesse Wolfe
24,Isaac Zwicker
27,Erik Read
33,Joe M Rogers
52,Christopher Verga
66,Brody Fanshaw
71,Dylan Lattery
84,Jake Kretschmer
98,SHAUN FLEISCHHACKER
b,r,e,a,k
Western Michigan,16
0,Theo Saillant
0,Jeff Rickfelder
0,Zachariah Rummery
0,Alex Horn
0,Adam Blacker
0,Maris Marazita
4,David Rhodes
6,ROBERT PAUL
15,Alex Bertoia
23,MATT BRACEY
30,Ryan Shore
69,Noah Gillespie
b,r,e,a,k
Iowa State (B),24
0,JUSTIN PAGE
0,Cameron Schmidt
0,Chris Berg
0,Brian Johnson
10,Jesse Holtschlag
34,Sam Habel
72,Nick Rieger
77,Michael Stevens
b,r,e,a,k
Northwestern (B),20
0,Manish Narasimman
1,Alek Jansen
4,Jonathan Huang
5,COLLIN BARNWELL
6,William Blackwell
18,Bryan Richman
22,James Schuller
30,Kevin Lee
32,John Hruska
35,Patrick Doyle
37,KYLE MCCALL
43,Bharat Iyer
44,Isaiah Mendoza
46,Andrew SaLoutos
47,Bruce Johnson
48,Robert Gray
49,Peter Pribyl Pierdinock
51,Elijah Goering
52,Ben Richards
55,DANIEL SANDERS
58,Theodore Bisdikian
66,Arseniy Minasov
73,Benjamin Laning
81,Theodore Chryssos
82,John Burtis
99,Joshua Venegas
b,r,e,a,k
Northern Iowa,17
0,Daniel Thomsen
1,Garrett Haskin
3,Richard TeKippe
6,NOLAN STRATTON
9,Lucas Block
10,JOEL HEILMAN
11,Daniel Tarasi
12,Peter Rethwisch
13,Payton Burken
16,Colin Stroehle-Durrah
17,LUKE BORMANN
19,Blade Schilling
21,William Dehogues
22,Aaron Worsfold
24,NICK ROUDABUSH
30,Steven Flesch
35,Caleb Lundeen
44,Mitchell Diamond
63,Mason Burken
64,Austen Bruns
b,r,e,a,k
Nebraska,13
0,ROBBY ELSNER
0,Zu Jin Ng
0,David Mok
0,Nathan Moulds
0,Daniel Forsyth
0,Jackson Cutsor
0,Darren Johnson
0,Andrew Egger
0,Eric Davis
0,Vincent Rice
0,Alec  Williams 
0,Colton Stone
0,Connor Rock
0,Tyler  Lawson
0,Ben Melcher
2,Zack  Smith
6,Noah Ross
7,Jack Sarles
10,Stephen Lunde
12,Noah Gould
14,RYAN CLAYBROOKS
15,Kyler Lecomte
20,David Forsyth
41,CRISANTO DUBUC
42,Patrick Pfahler
b,r,e,a,k
Wisconsin-River Falls,25
0,Baxter Arndt
0,JOHNATHAN VAN ROEKEL
0,Benjamin Perkel
0,Natasha Horsfall
7,Kristian Johnson
9,Aaron Peters
13,Hakeem Ayinde
18,Zach De Moulin
54,Jessica Marten
b,r,e,a,k
Illinois (B),21
0,Kyle Hand
16,NICHOLAS DECRAENE
20,David Chang
25,Christopher Chun
26,Bryan Wong
28,Frank Dore
30,Sunny Yun
34,Michelle McCarthy
35,Cameron Hartman
38,John Kulikowski
42,Kerrick Klancnik
47,KYLER WARD
50,Jaime Dimayuga
55,Murray Chen
69,Dirk Husemann
74,Grant Whitman
77,Nigel Smucker
84,CHARLES HU
87,Kevin Wang
89,Ervin Seow
b,r,e,a,k
Winona State,14
0,Lucas Lemmer
0,Grant Reimer
0,Nate Robinson
0,Lucas Bordeau
0,Alexander Zwicki
0,Andrew Swierczek
0,derek harms
0,SEBASTIAN ROMAN
4,Edward Schmit
8,Tate Halberg
10,Nick  Snyder
11,Shawn Hilst
13,Jordan Benson
15,Benjamin Streukens
17,Jacob Schlaefer
18,Jesse Illian
21,Brent Gothmann
22,ARDEN PIFER
29,Nicholas Helberg
30,Jake Dotseth
38,Logan McGruder
72,Billy Peterson
76,Merritt Ogren
b,r,e,a,k
DePaul,18
3,LAURENCE SCHORSCH
5,Adam Klopfenstein
8,Eric Swan
9,Joshua Ludtke
12,Matt Finley
14,Anthony Paoli
16,JAKE DREMANN
17,Barrett Ledvora
18,Aujuddin Shaikh
21,Esteban Perez
22,Jonas Albert
24,Connor Gaskey
25,Joshua Tong
b,r,e,a,k
Coe,22
0,Kazumasa Ikoma
04,Alec Strauss
07,Frederick Moeslein
16,Gillian Brown
19,Bethany Lehman
20,Cameron Flores
22,David Hanson
23,Lauren Winchester
32,Gabe Etzel
46,Sean Donaldson
55,Robert Pounds
b,r,e,a,k
Creighton,26
02,NICK BARTSCHAT
03,Aidan Campolettano
04,Jacob Buatti
08,Nathaniel Brandl
13,Craig Schmerbauch
17,Colin McGrew
32,David Kasper
34,ANTHONY GIGUERE
57,Michael Mimlitz
65,Wade Peyou
67,Ethan Corkery
b,r,e,a,k
s,t,a,g,e,s
pools,Power Pool
pool,Pool A
Luther,Minnesota (B),10,11,"04/02/2016, 08:30",Pool A,Final
Wisconsin-Whitewater,Denver,10,11,"04/02/2016, 08:30",Pool A,Final
Luther,Wisconsin-Whitewater,11,2,"04/03/2016, 08:30",Pool A,Final
Carleton College-GOP,Denver,8,4,"04/03/2016, 08:30",Pool A,Final
Denver,Minnesota (B),8,3,"04/03/2016, 09:50",Pool A,Final
Carleton College-GOP,Wisconsin-Whitewater,8,9,"04/03/2016, 09:50",Pool A,Final
Luther,Denver,11,7,"04/03/2016, 11:10",Pool A,Final
Carleton College-GOP,Minnesota (B),8,7,"04/03/2016, 11:10",Pool A,Final
Luther,Carleton College-GOP,10,6,"04/03/2016, 12:30",Pool A,Final
Wisconsin-Whitewater,Minnesota (B),8,9,"04/03/2016, 12:30",Pool A,Final
pool,Pool B
St John's,Kansas State,5,4,"04/02/2016, 08:30",Pool B,Final
Marquette,North Park,10,11,"04/02/2016, 08:30",Pool B,Final
St John's,Marquette,11,8,"04/03/2016, 08:30",Pool B,Final
Iowa,North Park,10,4,"04/03/2016, 08:30",Pool B,Final
North Park,Kansas State,10,7,"04/03/2016, 09:50",Pool B,Final
Iowa,Marquette,7,4,"04/03/2016, 09:50",Pool B,Final
St John's,North Park,10,7,"04/03/2016, 11:10",Pool B,Final
Iowa,Kansas State,8,6,"04/03/2016, 11:10",Pool B,Final
St John's,Iowa,7,6,"04/03/2016, 12:30",Pool B,Final
Marquette,Kansas State,8,9,"04/03/2016, 12:30",Pool B,Final
b,r,e,a,k
pools,Pools
pool,Pool C
Washington University (B),Northern Michigan,9,8,"04/02/2016, 08:30",Pool C,Final
Drake,Luther (B),9,6,"04/02/2016, 14:30",Pool C,Final
Drake,Northern Michigan,11,4,"04/03/2016, 08:30",Pool C,Final
Drake,Washington University (B),10,8,"04/03/2016, 09:50",Pool C,Final
Washington University (B),Luther (B),11,6,"04/03/2016, 14:30",Pool C,Final
Luther (B),Northern Michigan,11,10,"04/03/2016, 15:50",Pool C,Final
pool,Pool D
Wisconsin-La Crosse,Northwestern (B),11,6,"04/02/2016, 08:30",Pool D,Final
Western Michigan,Iowa State (B),7,5,"04/02/2016, 08:30",Pool D,Final
Western Michigan,Northwestern (B),7,6,"04/02/2016, 10:30",Pool D,Final
Wisconsin-La Crosse,Iowa State (B),10,5,"04/03/2016, 08:30",Pool D,Final
Wisconsin-La Crosse,Western Michigan,W,F,"04/03/2016, 09:50",Pool D,Final
Northwestern (B),Iowa State (B),3,6,"04/03/2016, 09:50",Pool D,Final
pool,Pool E
Nebraska,Illinois (B),7,6,"04/02/2016, 08:30",Pool E,Final
Northern Iowa,Wisconsin-River Falls,9,6,"04/02/2016, 08:30",Pool E,Final
Nebraska,Wisconsin-River Falls,11,4,"04/03/2016, 08:30",Pool E,Final
Northern Iowa,Illinois (B),8,5,"04/03/2016, 08:30",Pool E,Final
Nebraska,Northern Iowa,3,5,"04/03/2016, 09:50",Pool E,Final
Illinois (B),Wisconsin-River Falls,6,7,"04/03/2016, 09:50",Pool E,Final
pool,Pool F
Winona State,Coe,7,4,"04/02/2016, 14:30",Pool F,Final
DePaul,Creighton,W,F,"04/02/2016, 14:30",Pool F,Final
DePaul,Coe,8,7,"04/03/2016, 08:30",Pool F,Final
Winona State,DePaul,8,6,"04/03/2016, 15:50",Pool F,Final
Coe,Creighton,W,F,"04/03/2016, 15:50",Pool F,Final
Winona State,Creighton,W,F,"04/03/2016, 20:30",Pool F,Final
b,r,e,a,k
clusters,Crossover Play
cluster,Crossover Games
Wisconsin-La Crosse,Northern Iowa,5,6,"04/03/2016, 11:10",,Final
Washington University (B),DePaul,6,7,"04/03/2016, 11:10",,Final
Western Michigan,Nebraska,F,W,"04/03/2016, 11:10",,Final
Iowa State (B),Wisconsin-River Falls,7,5,"04/03/2016, 11:10",,Final
Nebraska,Northwestern (B),6,5,"04/03/2016, 11:10",,Final
Drake,Winona State,7,4,"04/03/2016, 17:10",,Final
Luther (B),Coe,5,4,"04/03/2016, 17:10",,Final
b,r,e,a,k
brackets,Championship Play
bracket,Championship Bracket
Luther,St John's,7,2,"04/03/2016, 13:50",Championship,Final
bracket,3rd Place Bracket
Carleton College-GOP,Iowa,0,0,"04/03/2016, 13:50",3rd Place,Cancelled
bracket,5th Place Bracket
Denver,North Park,4,2,"04/03/2016, 13:50",5th Place,Final
bracket,7th Place Bracket
Minnesota (B),Kansas State,4,5,"04/03/2016, 13:50",7th Place,Final
bracket,9th Place Bracket
Wisconsin-Whitewater,Marquette,9,8,"04/03/2016, 13:50",9th Place,Final
bracket,11th Place Bracket
Drake,Northern Iowa,7,5,"04/03/2016, 12:30",11th Place,Final
bracket,13th Place Bracket
Winona State,Wisconsin-La Crosse,8,6,"04/03/2016, 18:30",13th Place,Final
bracket,15th Place Bracket
DePaul,Nebraska,2,3,"04/03/2016, 12:30",15th Place,Final
b,r,e,a,k
brackets,17th Place Play
bracket,17th Place Bracket
Western Michigan,Washington University (B),0,1,"04/03/2016, 12:30",17th Place,Final
bracket,19th Place Bracket
Luther (B),Iowa State (B),5,6,"04/03/2016, 06:30",19th Place,Final
bracket,21st Place Bracket
Coe,Wisconsin-River Falls,4,5,"04/03/2016, 12:30",21st Place,Final
b,r,e,a,k
pools,Consolation Pool
pool,Pool G
Northern Michigan,Illinois (B),3,2,"04/03/2016, 12:00",Pool G,Final
Northwestern (B),Illinois (B),6,5,"04/03/2016, 13:30",Pool G,Final
Northern Michigan,Northwestern (B),F,W,"04/03/2016, 15:00",Pool G,Final
Northwestern (B),Creighton,W,F,"04/03/2016, 18:00",Pool G,Final
Northern Michigan,Creighton,W,F,"04/03/2016, 19:30",Pool G,Final
Illinois (B),Creighton,W,F,"04/03/2016, 21:00",Pool G,Final
b,r,e,a,k
