TCT Pro-Elite Challenge 2016 (Colorado Cup),Club - Mixed ,30,7,2016
Aurora,CO,2016-07-30,2016-07-31
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2016-Colorado-Cup/schedule/Mixed/Club-Mixed
Metro North,1
teamInfo,,"Mianus, Connecticut",,https://www.facebook.com/ChooChooMN/,https://twitter.com/CatOrBag
0,Eugene Yum
01,Theodore Mason
02,Diane Palmer
04,Dave Tedeyan
06,Chris Mazur
07,Elizabeth Middleton
08,Alex Grintsvayg
11,Young Jo Fontaine
12,Emma Stoltze
13,Erin Leonard
14,Kerry Beyrer
19,BENJAMIN IVERS
23,Allison Springer
24,Seth Canetti
26,Andrew Bosco
27,Taylor Simpson
32,Lauren Doyle
37,Lindsey Mazur
42,John Geraghty
45,William Olli
47,Lucas Murphy
54,Mari Oshiro
69,Adrienne Altobelli
76,Allison Yum
80,John Palmer
81,Sean Murray
85,Vinny Fiacco
b,r,e,a,k
Mischief,8
teamInfo,,"San Francisco Bay Area, California",http://www.mischiefultimate.com/,https://www.facebook.com/MischiefUltimate/,https://twitter.com/mischief_nation
0,Laurel (Kirstin) Auker
3,Preeti Nalavade
6,James Hansell
7,Devon Williams
8,Jessica Madding
9,Andrew Berry
10,Brett Petersen
11,Jonathan Greenberg
12,Candice Tse
13,Tyler Grant
14,Youngsoo (Ellen) Rim
15,Nathan Young
18,Caitlin Rugg
19,Ari Weitzman
20,Jenny Wang
25,Jacob Trivisoserrano
28,Catherine Chen
34,Evan Boucher
36,Matthew Heffernan
45,GRACE FLINTERMANN
47,Gina Schumacher
49,Zibi Braniecki
66,Jackie Wang
80,Kevin Smith
85,Evan Brydon
b,r,e,a,k
Cosa Nostra,12
teamInfo,,"Austin, Texas",http://upla.austinultimate.org/t/cosa-nostra-1,https://www.facebook.com/cosanostraultimate,https://twitter.com/CosaNostraFris
0,Robert McDonald
6,William Owens
03,Casey LeMay
04,Richard Hornbuckle
05,Wendy Hogg
07,Victoria Salimov
09,Rebecca Smith
10,Maggie Douglass
11,Matthew Bierschenk
12,Trenton Hebert
14,Jessica Kishi
15,Emily Scholten
17,Kathryn Herbers
20,Valerie Pinillos
22,Ashley Abrigo
23,Ryan Pickens
25,David Street
29,Meghan Rutledge
31,Christopher Spittal
44,Jordan Denecour
44,Jacob Thomas
49,Caleb Denecour
60,Ereckson Hillis
91,Alex Hodgson
93,Kyle Teske
b,r,e,a,k
Platypi,13
teamInfo,,"Chico, California",,,
0,Ryan Watson
0,Stephen Nacis
0,Derek Miller
0,Elizabeth Buhler
0,Austin Barden
0,Russell Helms
0,Ellen Sampson
0,JAZMIN JORDAN
0,Amanda Costa
0,Kendra  Higgins
0,Lindsay Hedgecock
0,Alyssa Rodriguez
0,Peter Van Pelt
0,Tyler Grenier
0,Jeff Croshal
0,Kyle Harper
0,Loren Bloom
0,Nicholas Dahms
0,Matthew Kissmann
2,BRIAN BEEMAN
7,Marié Weverka
8,Kathleen Johnston
13,Henry Whitney
15,Jessep Macfarlane
19,Georgina Tetlow
24,Nicholas Jackson
24,Krista Takayama
b,r,e,a,k
Steamboat,2
teamInfo,,"Cincinnati, Ohio",http://www.steamboatultimate.com/,https://www.facebook.com/steamboatultimate,https://twitter.com/cincysfb
0,Jeff Kula
02,Nancy Haskell
03,Eddie Mack
04,Katherine Claiborne
05,Ryan Gorman
08,Tim Settles
10,Jennifer Golan
13,Kristin Baxter
15,Daniel Khoe
21,Scott Schriner
22,Brittany Winner
