Motown Throwdown 2016,Club - Men ,30,7,2016
https://play.usaultimate.org/events/Motown-Throwdown-2016/schedule/Men/Club-Men/
Mad Men,1
0,Branavan Yogarajah
4,Nicholas Ladas
07,Avery Johnson
10,John Stec
12,Sam Hebert
13,Ian Hahn
23,Sef van Kan
24,Andrew Everts
26,Simon Kuran
27,Elliot Mawby
29,David Yu
37,Jan Szmanda
41,Colin Sunde
43,Jeff Maskalunas
57,Austin Reif
b,r,e,a,k
AK Pipeline,8
6,William Simon
01,Joshua Lyder
02,Kyle Murray
06,DANNY HUNT
07,Stephan Maxe
08,Richard Klena
10,Anthony Davis
11,ALEXANDER HUNT
12,Dan Sluka
17,Scott Popa
18,MATT PETERSON
19,Michael Toppi
30,Sten Larson
36,Griffin Binkley
43,JUSTIN WHARREY
45,Kevin Nicholl
55,Adnan Raslan
66,Tom Duellman
82,Dutch Kirkman
89,Justin Kenney
b,r,e,a,k
Dirty D,16
5,Eric Momenee
7,Stanley Roc
00,John Akers
02,Jeffrey Watts
04,Jeremiah Sandler
14,ALEX GILSON
15,Tyler ODonnell
19,Thomas Baranski
20,Logan McDonald
21,WESLEY LONG
22,Peter Imler
23,Josh Niemi
24,Patrick Krantz
26,Souichi Terada
33,Chad Dunne
39,BRIAN WYSS
42,Evan Parizot
69,Timothy Chrzanowski
85,Dafeng Chen
b,r,e,a,k
Black Market II,9
13,Daniel Miller
19,Adam Tornheim
24,Jonathan Piech
28,Jeremy Piech
32,Nick Johnson
34,John Hock
44,Mike L'Hommedieu
48,Alex Komisarz
53,Joe Berry
61,Yashas Abbott
63,Michael Wormley
70,Josh Deeman
72,Michael Hamburger
75,Eric Badger
76,Girolamo S Kelly
77,Robert Dreier
81,Chris Buchta
84,Henry Richey
85,Matthew Lemaitre
86,Matthew Michalak
88,Bif Reiser
91,Bradley Johnson-Bice
92,MICHAEL COSMOS
b,r,e,a,k
B-Yard,17
0,Jesse Jenkins
1,Robert Woodcock
2,Nathan Hershberger
3,Alex Warfield
7,Taylor Roberson
10,Jarod Brock
12,Daniel Blanc
15,Peter Marshall
20,Tucker Born
22,Chase Hardebeck
25,Darrell Cheu
27,Aidan Gifford
31,Stephen Schott
35,Shane Brown
42,Shawn Owen
45,Trey Dynes
83,Tyler Light
b,r,e,a,k
Smokestack,2
0,JACOB HOOKS
0,KYLE HONE
0,Nicholas Mathison
0,Jonathon Grgat
0,Tarik Akyuz
0,John Marotta
0,Jeffrey Brauning
0,Erik Lindberg
0,Jason Beffel
0,Milo Korman
0,Jacob Lunn
0,David Picone
3,Daniel Young
3,Steven Her
3,Joseph Marmerstein
6,KEVIN WAYNER
05,Amir Kaghazwala
10,Eric Zarobila
17,Adam Davenport
26,Zach Johnston
27,Brandon Thomas
31,Matthew Chin
34,Daniel Lynch
35,Joshua Swanson
43,Jake Rovner
50,Jon DeAmicis
99,Robert Strohmeyer
b,r,e,a,k
Flying Pig,7
0,Kane Gormley
1,Nick Tilford
2,Benjamin Reutener
4,RYAN LUTTMANN
5,Jake Kenniv
7,TARAN GALINSKY-BATTE
8,Michael Kromer
10,Noah Krumme
12,Sion Agami Contreras
14,Michael Crouchley
15,Alex Barnett
16,Sebastian Kunkel
17,Joe White
18,andrew french
19,Axel Agami Contreras
20,Mark Schuster
27,Chase Gregory
30,Jordan Monnin
35,Jared Regruth
43,Thomas Palermo
44,Landon Sagle
81,Joey Chiu
88,Michael Schuster
98,Jeremy Bucher
b,r,e,a,k
Enigma,10
0,JT FISCHER
01,Conner Haenszel
04,Josué Soto
06,Benton Birch
07,JACK KELLY
09,Ryan Kindell
10,Chad Gregory
12,Alec Mathena
13,Benny Rider
15,Matthew Huntington
19,Samuel Lemmon
20,Alex Stevenson
22,Matthew Muhlenkamp
23,CAMERON HEIGHTLAND
26,Andrew Wiebe
28,Evan Wethington
34,Ian Cannon
37,Tony Donato
44,Luke Eastman
48,Josh Shamburger
73,Adam Luthman
77,Scott Klein
80,Ryan Klinker
88,Patrick McCarthy
b,r,e,a,k
Ascension,15
0,Lovie Garcia
1,REECE STOREY
2,Ryan Murray
4,RYAN BROWN
10,Brock Dunn
16,Luke Vihnanek
16,Alex Castillo
24,Stephen Langyher
