Cooler Classic 28,Club - Mixed ,20,8,2016
https://play.usaultimate.org/events/Cooler-Classic-28/schedule/Mixed/Club-Mixed
NOISE,1
0,RACHEL OKERSTROM
0,Emily Dayton
0,Francis Kelley
0,Ari Davidson
0,Sam Loveland
0,Elizabeth Arakaki
0,Vanessa Cannaday
0,Michelle VanSchyndel
0,Joel Malerba
0,Justin Simanson
0,Kevin Herrera
0,Christopher Reichel
0,Brittany Hoegh
0,Josh Davidson
0,Claire Kelley
0,Eric Alexander
2,Sabrina Hoffman
6,Dane Warner
8,Maria Signore Becker
10,Rachel Enyeart
16,Frank Qin
19,Anneke Vermaak
20,Lauren Perucco
22,Stephen Haynes
27,Michael Swain
34,Matthew Becker
48,Peter Guerin
b,r,e,a,k
No Touching,3
0,Paul Norgaard
0,Dan VanBergen
0,Aaron Hushagen
0,Sam Valesano
0,Joe Andrighetti
0,Michael Tschida
0,Kirsten Walters
0,Graham Brayshaw
0,Tony Michaelson
0,Sam Pepe
0,Jolien Munsterhuis
7,Jeremiah Gagner
7,Brianna Andrighetti
9,Tyler McKean
9,Lauren Keiser
78,Jeremy Keiser
b,r,e,a,k
Minnesota Star Power,2
0,Ryley Tennyson
2,Julie Bender-Awalt
4,Tanya Natwick
5,Jasper Weinburd
7,Danica Cutshall
8,Lloyd Vogel
9,Ben Roske
10,Alex Kensgaard
11,Rachel Thompson
15,Erin Moravec
16,Lisa Barnes
17,Taylor Van Oosbree
18,Kianna Elahi
22,Daniel Martin
23,Christopher McCrory
25,Joe Moravec
27,Jessie Lambert
29,Kelsey Peterson
37,Ming Cheng Chew
42,Eric Larson
50,Carl Aanestad
88,Tyler Smith
92,Martin Stecker
96,Jesse Peterson-Brandt
97,Megan Asturias
b,r,e,a,k
Mad Udderburn,5
01,Tanner Mayo
02,Kevin Pochatila
03,Kelly O'Connor
04,Emily Healy
06,Sam Wood
07,MITCHELL CORCORAN
08,Ben Schewe
10,Emily Orner
11,BRIAN NELB
13,Darren Shultz
14,Daniel Fritz
15,John Miller
17,Chris Schroeder
17,Rebecca Rutledge
18,Ben Stanger
19,Nathan Freeman
22,Rebecca Roden
23,Lizabeth Held
27,Clay Schelitzche
29,Sarah Doege
32,Amanda Hellestad
33,Aidan Boyle
37,Kate Fasbender
41,Molly Schelitzche
43,Joey Knutson
44,Laura Meyer
50,CHEREK MCBRIDE
b,r,e,a,k
panIC,4
0,Jimmy Wiesbrock
0,Nathan Gibbons
0,CHRISTOPHER BROWN
0,ELLEN KINNER
0,Troy Stapleton
0,Emily Novick
0,Peter Shayman
2,Rob Hirsch
7,Ryan Spaulding
