Metro East D-I College Men's Regionals,College - Men ,30,4,2016
https://play.usaultimate.org/events/Metro-East-D-I-College-Mens-Regionals-2016/schedule/Men/CollegeMen/
Connecticut,1
0,CHARLES MORGAN
0,Christian Bonebrake
0,Philip Murray
00,Brody O'Brien
00,Michael Rice
00,Alex Jayakar
00,Brian Abedon
00,Colin Ng
00,John Friedman
00,Ryan Kennedy
00,Walter Esker
06,Phil Case
11,Corey Danko
12,MILES RADIN
14,Owen Casey
14,Parker Haupt
22,Nathan Getz
28,RYAN POSSARDT
31,John Wodatch
33,Daniel Reilly
35,Christopher  Rodo
74,Alex Fishman
77,Jake Hansen
87,Bryan Maloney
96,Pat Kunkel
99,Gavin Clemmey
b,r,e,a,k
Waterloo,8
0,Sherman Xiong
0,Christian Le Pichouron
0,Rafa Narciso
0,Zach DeVries
0,Daniel Pepler
0,Jason Knight
1,Andrew Ling
4,Bryan Dang
7,Jonathan Chung
8,Jason Tam
11,Owen Watt
27,Chris McKie
27,Pavel Shering
28,THOMAS KELLY
29,Matthew Morison
30,Arthur Yan
77,Zach Huber
b,r,e,a,k
SUNY-Albany,12
00,Nicholas Rasulo
00,Jeffrey Lasher
00,Jack Napoli
00,Christian Schaefer
00,Russell Gaudet
00,James McKeever
00,Isaiah Casiano
00,Michael Rotunno
00,Noah Momm
00,Andrew Marino
00,Preston Brehm
00,Ivan Nunez
00,Neil Gill
00,Timothy Barbella
00,Matt Downing
00,David Landers
00,William Tangel
00,Bradley Clark
00,MICHAEL WOODS
00,Kyle Coulter
00,Alex Meltzer
00,Jared Robinson
00,Alexander Lopez
00,Steve Stavdal
91,Eric Russo
b,r,e,a,k
SUNY-Stony Brook,13
0,Corey Cox
0,Josiah Zoodsma
0,Adam Arslanian
0,Seamus Maloney
0,Isaac Chinitz
1,Justin Maldonado
4,Frederick Hahn
10,Sean McCoy
11,Matt Losquadro
15,James Green
21,Christopher Cabot
24,Benjamin Sokolowsky
b,r,e,a,k
Cornell,2
0,Binli Huang
0,Pablo Avila
0,Christopher Perrotti
0,Bryan Zheng
0,Evan Greenberg
0,Levi Helms
0,Yi Fan Wang
0,Robert Rickert
0,Andrew Gavin
0,Wyatt Eberspacher
1,Christopher Wan
3,Mikael Hammer
4,Kevin Liu
7,AUSTIN HARTLEY
10,Spencer DeRoos
11,Zachary Chen
11,Joe Thompson
17,Eliyahu Lehmann 
21,Jake Dunoyer
25,Jordan Diamond
55,JOSHUA KLEIN
77,Jacob Herrera
91,Daniel Vandam
b,r,e,a,k
Princeton,7
0,Matt Lefebvre
0,Ted Callon
0,Paul Witten
0,Zane Friedkin
0,Oakley Richins
0,Jeffrey Diament
0,Alex Fogg
0,Maxson Jarecki
0,Kavinayan Sivakumar
0,Alec Jacob Ranzato
1,Kiffa Conroy
4,Seho Young
9,Andrew Huang
11,Charles Coburn
12,Sean Treacy
16,Nicholas Nelsonwood
17,Rocco Amorosso
19,Zach Weed
21,Anthony Markowitz
27,Victor Zhou
37,Dylan Baroody
42,Noah Hastings
88,MATTHEW MATL
99,Matine Yuksel
b,r,e,a,k
Yale,11
0,Jonah Pearl
0,Theo Kuhn
1,AUBREY WAHL
4,Charles Taylor
6,Matthew Johnsen
7,Acer Xu
18,JON DORSCH
19,Tavis Leighton
22,WILLIAM CRAMER
23,Thomas Kilmer
24,Daniel Stein
28,Yuhan Lim
31,Samuel Feder
41,Samuel Savitz
42,Guangping Chu
44,Theodore Weisman
48,Chris Wang
64,JEREMY LIU
74,Isaac Soh Howell
77,Tomaso Mukai
b,r,e,a,k
Columbia,14
0,Eli Kahn
0,Neil Orzechowski
0,Itamar Klein
0,Adam Richardson
0,Bryce Harlan
0,David Shan
0,Simon Anuszczyk
0,Alexander Bienstock
0,VICTOR CASTANO
0,Daniel Miron
0,ERIC SIMMONS
0,Paul Michael Custodio
0,Devon Harvey
0,Benjamin Zhu
0,Michael Pinkham
0,Andrew Young
0,Sagar Lal
0,ISAIAH FELDMAN-SCHWARTZ
0,Matthew Abel
4,Dennis Bienstock
7,JiMin Ko
11,Kristian Lundberg
16,Stephen Leong
17,Matthew Sagianis
18,Kenneth  Underwood
45,Colton Doering
74,Edward Tang
b,r,e,a,k
RIT,3
00,ZACHARY LAW
00,Bryan Bausinger
00,James Erb
00,Ian Taylor
00,Alex Resop
00,CASEY GONTA
00,John Ackerman
00,Louis Kline
00,Anthony Miuccio
00,Zephram Carroll
00,Michael Keegan
00,Eric Yoon
00,Iain Tracton
00,Connor Fortin
00,Jacob Watts-St. Germain
00,Christian Gileski
00,Aaron  Liu
00,Daniel Horrigan
00,MICHAEL TANIS
b,r,e,a,k
Rutgers,6
0,Ian Lee
0,Peter Jeng
0,Paul Savarskyy
0,Grant Roginski
0,Dyllon Jeng
0,Roy Roldan
0,Joshua Shamouil
0,NEHAR DAMLE
5,Kevin Tam
6,Dmitry Suvorov
9,Dean  Klimek
