Illinois D-III College Men's CC,College - Men ,16,4,2016
Bourbonnais,IL,2016-04-16,2016-04-17
https://play.usaultimate.org/events/Illinois-D-III-College-Mens-CC-2016/schedule/Men/CollegeMen/
Knox,5
teamInfo,Baberham,"Galesburg , Illinois",https://knoxultimate.wordpress.com/,https://www.facebook.com/pages/Knox-College-Ultimate/170986939622,https://twitter.com/Knox_ultimate
0,Christopher Wong
0,Jeremy Gogoel
0,Zachary Fairclough 
0,Will Ensign-Church
0,Esai Ponce
0,Daniel Perez
0,Gabriel Ochoa
0,Ben Stanger
4,Caleb Gumanow
8,Andrew Richter
12,Jonah Cabral
12,Harper Garvey
17,Sean Treacy
20,Jonathan Yeoh
21,Jonathan Schrag
23,GAVIN CROWELL
27,Jack Harman
33,William Fuller
56,Adam Schrag
b,r,e,a,k
Wheaton (Illinois),1
teamInfo,Mastodon,"Wheaton, Illinois",,,
0,Jonah Karls
0,Jack Bandy
3,Hawken Sawyer
7,Don Gates
8,Holden Thompson
9,Nathan Baer
9,Skyler Aspegren
11,Elias Schomer
13,David Barbalas
15,Alexander Neevel
17,Nathaniel Whitfield
19,Luke Rynbrandt
20,Laramie Aspegren
22,ALEC FOJTIK
23,Marty Dekker
24,Joshua Creedon
34,Colin McLaughlin
41,Jacob Van Dyke
42,Steven Rongley
55,Payden Carter
56,Jonathan Oldham
71,Andrew Reay
88,Joseph Burley
94,Alex Glynn
b,r,e,a,k
Olivet Nazarene,3
teamInfo,Black Penguins,"Bourbonnais, Illinois",http://www.blackpenguinsultimate.com,https://www.facebook.com/pages/Olivet-Nazarene-Black-Penguins/141726015948860?ref=ts&fref=ts,https://twitter.com/blackp3nguins
0,Andrew Lindell
0,Andrew Bender
3,CHARLTON GARR
4,Robert Hannah
5,AARON ABRASSART
9,Jacari Jackson
9,Jared Monsma
11,Jaron Parke
12,Michael Grimm
13,David Decker
15,Craig Cook
16,Luke Vihnanek
17,JACK SALSGIVER
21,Nick Schoon
23,Kyle Trojan
25,Scott Fischer
28,Will Mims
33,Mitch Brummel
54,TAYLOR SCHOTT
66,Jeremy  McGrath
91,CLAYTON COFFMAN
95,Kevin Siciak
99,Noah Wilson
b,r,e,a,k
North Park,2
teamInfo,Lost Boys,"Chicago, Illinois",www.lostboysultimate.com,https://www.facebook.com/nplostboys,https://twitter.com/NPLostBoys
1,Ben Soffel
2,ROBERT KRAFT
10,Scott Nitchie
11,Niko Zelinski
12,Jonathan Berggren
13,Thomas Williams
14,Andrew Swanson
15,Carlton Nelson
21,Eric Lundgren
22,Benjamin Horstman
23,ISAAC COYNE
24,Andres Garcia
25,Bradley Johnson
28,Geoffry Leedom
44,Phillip Conijn
57,Aaron Klinefelter
60,Curtis Pederson
68,TOMMY BAKKEN
95,Will Herchenbach
b,r,e,a,k
Bradley,4
teamInfo,Angry Otters,"Peoria, Illinois",,,
0,Kuda Masunungure
0,Andrew Maki
0,Brad Vogeler
0,Lucas Langkamp
0,Jackson Cavett
0,JACKIE MAISH
0,Steven Gilles
4,Richard Sidlowski
5,Allison Radike
6,KEN ELLISON
13,Caleb Backstrom
19,Adam Rubinberg
43,ANTHONY PETRASKO
75,Blake Foster
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool B
Bradley,Knox,7,13,"04/16/2016, 09:00",Pool B,Final
North Park,Olivet Nazarene,5,13,"04/16/2016, 09:00",Pool B,Final
Olivet Nazarene,Knox,5,13,"04/16/2016, 10:40",Pool B,Final
Wheaton (Illinois),North Park,13,8,"04/16/2016, 10:40",Pool B,Final
North Park,Knox,3,13,"04/16/2016, 12:20",Pool B,Final
Wheaton (Illinois),Bradley,13,4,"04/16/2016, 12:20",Pool B,Final
Olivet Nazarene,Bradley,13,7,"04/16/2016, 14:00",Pool B,Final
Wheaton (Illinois),Knox,8,13,"04/16/2016, 14:00",Pool B,Final
North Park,Bradley,13,8,"04/16/2016, 15:40",Pool B,Final
Wheaton (Illinois),Olivet Nazarene,13,4,"04/16/2016, 15:40",Pool B,Final
b,r,e,a,k
brackets,Bracket Play
bracket,2nd Place Bracket
Wheaton (Illinois),Olivet Nazarene,15,6,"04/17/2016, 11:00",2nd Place Finals,Final
Wheaton (Illinois),Bradley,15,4,"04/17/2016, 09:00",2nd Place Semis,Final
North Park,Olivet Nazarene,12,15,"04/17/2016, 09:00",2nd Place Semis,Final
bracket,4th Place
Bradley,North Park,9,15,"04/17/2016, 11:00",4th Place,Final
b,r,e,a,k
