TCT Elite-Select Challenge 2016 (Oshadega Invite),Club - Women ,9,7,2016
Columbus,OH,2016-07-09,2016-07-10
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2016-Oshadega-Invite/schedule/Women/Club-Women/
Phoenix,1
teamInfo,,"Durham, North Carolina",http://phoenixultimate.com,https://www.facebook.com/PhxUltimate,https://twitter.com/PhxUltimate
1,Lindsay Soo
3,Lyra Olson
5,Jessica Jones
6,Qing (Jenny) Wei
9,Jinny Riedel
10,Michelle Ng
12,Mariel Hammond
15,Ashley Powell
17,Jenna Dahl
19,Rachel Johnson
21,Kyra Catabay
22,Heather Zimmerman
23,Meg Duffy
24,Katelyn Travaglini
26,Chloe Greene
29,Ann Araps
44,Katy Harris
52,Erynn Schroeder
66,Simone Whale
b,r,e,a,k
Underground,8
teamInfo,,"Seattle, Washington",,https://www.facebook.com/SeattleUnderground,
coaches,Frank Nam
01,Jessica Spaulding
02,Lindsey Wilson
04,EDEN MARSICEK
05,Tiffany Phan
06,Molly Sinnott
07,Arianne Lozano
08,BARBARA HOOVER
11,KALEY BENDER
13,Heidi-Marie Wiggins
14,Ashley Chan
15,Noel Hanzel
16,Aimie Kawai
17,CHRISSIE SEILIE
19,Emily Beylerian
21,Cami  Canter
22,SARAH EDWARDS
23,Anh-Thu Chang
25,Emma Kahle
26,Andi Coleman
32,Michaela Fallon
33,Catherine (Cate) Roscoe
44,Abbie Abramovich
55,Nora Carr
71,Madeline Gilbert
84,Hallie Dunham
91,Tessora Young
b,r,e,a,k
Pop,11
teamInfo,,"Minneapolis, Minnesota",http://popultimate.wordpress.com/,https://www.facebook.com/pages/Pop-Ultimate/320308371344267?ref=hl,
0,Alyson Gagner
0,Stephanie Wood
0,Rebecca Enders
0,Katie Godfrey
0,Biz Cook
0,Hannah Cowan
0,Kelsey Mueller
0,Makella Daley
0,Rose Gruenhagen
0,Heather Taylor
0,Louise Beck
0,Rebekah Swanson
0,Colette Meller
0,Elisabeth Biehl
0,Ashley Green
0,Rachel Gage
0,Anna Reed
5,Kalli Poletto
7,Kristen Schultz
7,Melissa (Missy) Davey
9,Sara  Helm
11,Emma Peaslee
11,Andrea Jacoski
17,Kristina Golling
19,Alyssa Belsito
97,Andrea Uhl
b,r,e,a,k
Backhanded,14
