T-Town Throwdown XII,College - Men ,30,1,2016
https://play.usaultimate.org/events/T-Town-Throwdown-XII/schedule/Men/CollegeMen/
Florida,1
02,Billy O'Bryan
06,Danny Bishop
07,Ryan Hiser
09,Bobby Ley
10,Matt Thompson
11,Jacob Dummeldinger
12,Brandon Turnage
15,Tanner Repasky
16,Ryan Goetz
18,Hayden Wachob
24,Alec Cutajar
25,Unmil Patel
26,Matthew Molinaro
32,Patrick Gettino
39,Evan Murray
66,Daniel Conrad
69,ANDRIS OTISONS
96,Donovan Johnson
b,r,e,a,k
Arkansas,8
0,Marcus Payne
0,Elliot Schaefer
0,Kaplan Maurer
0,William Gallian
4,Brian Trussell
5,Sheldon Shinn
7,MASON HOLLIS
10,Lennon Dycus
15,Abe Gambert
17,CHARLES PURKAYASTHA
19,NASEER NASEEM
20,JORDAN SMITH
22,John Wynne
57,Jared Hines
69,Clayton Adams
b,r,e,a,k
Indiana Wesleyan,16
0,Ethan Mueller
0,mitchell johnson
0,Sam Weber
0,Morgan Miller
0,Trent Pickens
0,ALLEN BEAUJON
0,Dominic Thomas
0,earnest willoughby
0,Seth Walker
1,Lucas Mendel
2,Zakk Mabrey
5,Nikolas Evans
10,Jordan Colburn
13,ETHAN MIKHAIL
13,Derric Gowan
14,Kiana Broadley
15,Matthew Wiegmann
16,Chris Carter
21,Benjamin Geyman
37,Travis Carpenter
72,Clint Carson
77,Jon Clark
99,Trent Blaser
b,r,e,a,k
Georgia Southern,17
0,Griffin Garris
0,Joshua Warkentine
0,DANIEL  PRICE
0,Joseph Vives
0,Cliff Lewis
0,Andrew Pineau
0,Hamilton Mebius
0,Devin Hamill
1,James ONeal (Neal) Hollis
6,Philip Long
02,Zach  Tsang
03,WILLIAM PAPLEACOS
10,Jamarious Lee
10,CARVER WESTENDORFF
12,Blaine Brown
15,Blake Michal
20,James Rink
21,Samuel Trent
25,Andrew Bogle
30,Austin Hegmon
31,Jones Durham
32,Cody Lewis
34,Christopher Clark
47,Brannon Thompson
47,Enoch Tokpa
74,JAMES NEEDHAM
95,Nathan Lovett
99,Dylan Whalen
b,r,e,a,k
Auburn,2
0,Robert Alongi
0,Harrison Lott
0,James Hershey
0,Trois White
0,Jack Missildine
0,Jonathan Arrington
0,Jacob Helf
0,Samuel Murphree
0,Hank Womble
5,Eric Sjostrom
6,Evan Caldwell
6,Garris Bugg
9,Dustin Register
12,Ryan Landry
22,Rocco Magnella
23,Martin Newman
25,Reid Williams
26,Hamilton  Wasnick
27,Michael Volz
28,Reid Thackerson
34,ZAC CAIN
35,Clark Missildine
37,Michael Strobel
85,Evan Boecking
b,r,e,a,k
Alabama-Birmingham,15
0,Daniel Howell
01,Thomas Ballard
02,Stevie Holloway
03,Nathan Wells
04,Michael Burke
06,Will Taft
07,TAYLOR BROWN
08,Kevin Shrestha
09,Jacob Meredith
10,Abhay Thottassery
11,Stakesh Peterson
12,AUSTIN MURDAUGH
13,Ethan Downs
14,cole chiselko
16,Max Goldsmith
17,Jason Russell
19,Matthew Ashburn
21,Richard Trieu
23,Clinton Bowman
24,Case Key
25,Tyler Clabough
27,Eric Bearss
42,Immanuel drew
63,Brian Acton
81,Jake Perkins
95,Akash Vakharia
97,Austin Henderson
99,Landon Baker
b,r,e,a,k
Indiana,10
0,Forrest Levy
0,Daniel Sullivan
0,Adrian Golay
0,Benjamin Gerroll
0,Adam Schobinger
0,Steven Anderson
0,Luke Crowe
0,Kip Curtis
0,Paul Bean
0,David Wang
0,Rollen Dice
0,Carlton Anker
0,MARK YELLON
0,Jackson Sills
4,Ryan Opal
8,Nathan Roush
11,MACKENZIE CONRAD
13,JAKE FRIEDLY
15,Zephyr Wenrich
21,Matthew Nadler
22,William Kasprzycki
23,Clark Barco
62,Charles Lowe
b,r,e,a,k
Xavier,18
0,Will Keitel
01,ALEX TILFORD
02,Eric Coglianese
03,BEN KELTY
05,Trey Blake
06,Grant Godbey
11,Sam Dreyfuss
12,Leo Schmitt
13,Jacob Lamier
14,Sam Settlemyre
15,Luke Byerly
17,Warren Jeff Ullery
21,Frank Geiser
23,BRIAN FALLON
27,DANIEL HEROLD
32,Steven Demboski
35,Andrew Currul
b,r,e,a,k
Tennessee-Chattanooga,7
0,Nicholas Whiteaker
0,David Thomas
0,Theodore Hartsoe
3,Zack Avello
5,Chase Hammond
6,AUSTIN RUNYON
8,Zachary Wilhite
10,James Conners
14,Cody Havens
18,Yanni Killebrew
20,Peter Vongsayarath
22,Paul Lally
22,Jason Raymond
22,Luke Layton
23,Josh Johnson
43,Samuel Milligan
45,Foster Foy
62,David McKay
83,Ethan Benesh
b,r,e,a,k
LSU,6
0,ZACHARY FRUGE
0,Nicholas Ferguson
0,Grant Odenwald
0,Patrick Mancuso
0,Garrett Baringer
0,Travis Vermaelen
0,Taylor Blouin
0,Dylan Zeringue
0,Thomas Echols
0,Brian Mart
0,Wesley Freeburgh
0,Thomas Hannie
0,Mark Graham
1,Johnny Sims
2,Kody Kempff
12,Jeffrey Oravic
14,Grant Hardy
14,Luke Landaiche
21,Eric Reviere
29,Nicholas  Harper
55,Dexter Turner
60,Daniel Nan
69,Mitchell Lutz
77,Destin Tate
b,r,e,a,k
Georgia Tech,3
0,Kenta Kawaguchi
0,Lucas Maurer
0,Chidike Iromuanya
0,Jeffrey Minowa
0,Ian Agnew
0,Logan Bonds
0,Victor Pria
2,Ashwin Anantharaman
3,Andrew Bassett
4,Nick Ryan
5,Sean Mihm
11,Stephen Cook
12,Edward Foyle
16,John Dugan
17,Patrick Panuski
17,William Syre
18,Patrick McGannon
22,Nicholas Button
23,Brandon Chen
24,Stephen Burkot
26,Colin Tardrew
27,Evan Davies
33,Devon Rogers
56,Micah Halter
98,Michael Tillotson
b,r,e,a,k
Purdue,11
00,Trevor Kyle
02,Lowell Knight
03,Dylan Neff
05,Bobby Leroy
06,Jacob Mock
07,Michael Reed
09,Jamie Mainwaring
10,Tucker Born
11,Drew Hirsch
12,Joseph Byerly
14,Justin Bowling
15,Peter Marshall
18,Mike Kobyra
19,Daniel Blanc
20,Nick Loughran
29,John Sellers
42,Brian Holland
46,Austin Ambrose
52,Jacob Fella
64,Jeremy Ray
72,Dalton Chaffee
98,Isaac Mock
99,Eric Morgan
b,r,e,a,k
Emory,19
0,Pratik Rout
0,Jonathan Chylinski
0,Daniel Sperling
0,Amol Vadhan
0,Kryn Dykema
0,Christopher Broecker
0,Anders Olsen
0,Elijah Nwefo
0,Ishaan Dave
0,MATHEW SPERLING
0,Caleb Parsons
0,Pradyumna Singhania
0,Ekrem Kurucan
0,JACOB WHITACRE
0,Gideon Weiss
0,Willie Cobb
0,Jeremy Zackon
0,Greg Bright
0,Eli Zelle
8,Matthew Hyatt
10,Enzo Cianelli
16,David Kim
17,Cheston Husein
20,Jake Miller
23,Zachary Cole
27,David Kim
34,James (Drew) Barkley
57,Randall Miller
88,Charles Mann
b,r,e,a,k
Alabama-Huntsville,14
0,Nick Werline
