Chesapeake Open 2016,Club - Men ,13,8,2016
Boyds,MD,2016-08-13,2016-08-14
https://play.usaultimate.org/events/Chesapeake-Open-2016/schedule/Men/Club-Men/
Ironside,4
0,ALAN BRANSON
0,Jake Kaufman
0,Elan Kane
0,Jared Robinson
2,Timothy Barbella
7,Jeremy Fischer
7,Isaiah Casiano
17,Matteo Focchi
17,Joshua (Slater) Levey
17,Kevin O'Brien
17,John Walsh
18,John Brancato
22,Jordan Chow
36,Peter-John Ferrebee
38,Chris Bonifati
84,Matt Lubitz
87,Daniel Wekstein
b,r,e,a,k
AK Pipeline,17
teamInfo,,"Akron, Ohio",,,@TheAKPipeline
01,Joshua Lyder
02,Kyle Murray
03,Tyler Brady
06,DANNY HUNT
07,Stephan Maxe
08,Richard Klena
10,Anthony Davis
11,ALEXANDER HUNT
12,Dan Sluka
17,Scott Popa
19,Michael Toppi
23,Patrick Cannell
26,Billy Mainwaring
30,Sten Larson
36,Griffin Binkley
45,Kevin Nicholl
55,Adnan Raslan
58,Mark Amabeli
66,Tom Duellman
82,Dutch Kirkman
b,r,e,a,k
s,t,a,g,e,s
pools,Elite Men
pool,Pool A
Truck Stop,Patrol,13,6,"08/13/2016, 09:00",Pool A,Final
HIGH FIVE,Florida United,14,12,"08/13/2016, 09:00",Pool A,Final
Truck Stop,HIGH FIVE,13,9,"08/13/2016, 11:00",Pool A,Final
Ironside,Florida United,13,9,"08/13/2016, 11:00",Pool A,Final
Florida United,Patrol,13,10,"08/13/2016, 13:00",Pool A,Final
Ironside,HIGH FIVE,13,6,"08/13/2016, 13:00",Pool A,Final
Truck Stop,Florida United,13,9,"08/13/2016, 15:00",Pool A,Final
Ironside,Patrol,13,8,"08/13/2016, 15:00",Pool A,Final
Truck Stop,Ironside,13,14,"08/13/2016, 17:00",Pool A,Final
HIGH FIVE,Patrol,8,13,"08/13/2016, 17:00",Pool A,Final
pool,Pool B
GOAT,Chain Lightning,13,9,"08/13/2016, 09:00",Pool B,Final
PoNY,Ring of Fire,12,14,"08/13/2016, 09:00",Pool B,Final
GOAT,PoNY,9,13,"08/13/2016, 11:00",Pool B,Final
Chicago Machine,Ring of Fire,13,7,"08/13/2016, 11:00",Pool B,Final
Ring of Fire,Chain Lightning,12,10,"08/13/2016, 13:00",Pool B,Final
Chicago Machine,PoNY,9,13,"08/13/2016, 13:00",Pool B,Final
GOAT,Ring of Fire,12,11,"08/13/2016, 15:00",Pool B,Final
Chicago Machine,Chain Lightning,11,12,"08/13/2016, 15:00",Pool B,Final
GOAT,Chicago Machine,9,8,"08/13/2016, 17:00",Pool B,Final
PoNY,Chain Lightning,13,9,"08/13/2016, 17:00",Pool B,Final
b,r,e,a,k
pools,Open Men
pool,Pool C
Smokestack,Right Coast,13,10,"08/13/2016, 09:00",Pool C,Final
New Amsterdam,Beltway Bullets,13,6,"08/13/2016, 09:00",Pool C,Final
Right Coast,Beltway Bullets,13,4,"08/13/2016, 11:00",Pool C,Final
Smokestack,Beltway Bullets,13,4,"08/13/2016, 13:00",Pool C,Final
New Amsterdam,Right Coast,11,13,"08/13/2016, 13:00",Pool C,Final
Smokestack,New Amsterdam,13,7,"08/13/2016, 15:00",Pool C,Final
pool,Pool D
Cash Crop,Westchester Magma Bears,13,7,"08/13/2016, 09:00",Pool D,Final
John Doe,AK Pipeline,13,3,"08/13/2016, 09:00",Pool D,Final
Westchester Magma Bears,AK Pipeline,14,13,"08/13/2016, 11:00",Pool D,Final
Cash Crop,AK Pipeline,13,5,"08/13/2016, 13:00",Pool D,Final
John Doe,Westchester Magma Bears,13,11,"08/13/2016, 13:00",Pool D,Final
Cash Crop,John Doe,13,9,"08/13/2016, 15:00",Pool D,Final
b,r,e,a,k
clusters,Crossover
cluster,Open Crossover
Smokestack,John Doe,8,11,"08/13/2016, 17:00",,Final
Cash Crop,Right Coast,11,13,"08/13/2016, 17:00",,Final
New Amsterdam,AK Pipeline,8,13,"08/13/2016, 17:00",,Final
Westchester Magma Bears,Beltway Bullets,13,5,"08/13/2016, 17:00",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Elite Men
Ironside,Truck Stop,13,10,"08/14/2016, 13:45",Finals,Final
Ironside,Patrol,10,6,"08/14/2016, 12:00",Semi Finals,Final
PoNY,Truck Stop,9,13,"08/14/2016, 12:00",Semi Finals,Final
Ironside,HIGH FIVE,13,7,"08/14/2016, 10:15",Quarter Finals,Final
GOAT,Patrol,9,10,"08/14/2016, 10:15",Quarter Finals,Final
PoNY,Chicago Machine,13,11,"08/14/2016, 10:15",Quarter Finals,Final
Truck Stop,Ring of Fire,13,10,"08/14/2016, 10:15",Quarter Finals,Final
Chain Lightning,HIGH FIVE,11,12,"08/14/2016, 08:30",Pre-Quarters,Final
Patrol,John Doe,13,7,"08/14/2016, 08:30",Pre-Quarters,Final
Florida United,Chicago Machine,12,13,"08/14/2016, 08:30",Pre-Quarters,Final
Ring of Fire,Right Coast,13,8,"08/14/2016, 08:30",Pre-Quarters,Final
b,r,e,a,k
brackets,Consolation Brackets
bracket,9th Place
Florida United,Chain Lightning,13,12,"08/14/2016, 12:00",9th Finals,Final
Right Coast,Florida United,4,13,"08/14/2016, 10:15",9th Semis,Final
John Doe,Chain Lightning,8,12,"08/14/2016, 10:15",9th Semis,Final
bracket,5th Place
GOAT,Chicago Machine,13,9,"08/14/2016, 13:45",5th Finals,Final
HIGH FIVE,GOAT,8,10,"08/14/2016, 12:00",Round Name,Final
Chicago Machine,Ring of Fire,11,8,"08/14/2016, 12:00",Round Name,Final
b,r,e,a,k
clusters,Open Consolation
cluster,Open Consolation
Smokestack,Beltway Bullets,13,6,"08/14/2016, 08:30",,Final
Cash Crop,New Amsterdam,12,8,"08/14/2016, 08:30",,Final
Smokestack,Cash Crop,8,13,"08/14/2016, 10:15",,Final
AK Pipeline,Westchester Magma Bears,12,9,"08/14/2016, 10:15",,Final
Beltway Bullets,AK Pipeline,8,13,"08/14/2016, 12:00",,Final
New Amsterdam,Westchester Magma Bears,10,7,"08/14/2016, 12:00",,Final
b,r,e,a,k
