Midwest Throwdown 2016,College - Women ,5,3,2016
St. Louis,MO,2016-03-05,2016-03-06
https://play.usaultimate.org/events/Midwest-Throwdown-2016/schedule/Women/CollegeWomen/
Wisconsin,1
0,Madison Letcher
0,Claire Cech
0,Lauren Allin
1,Jackie Welsch
2,Sabrina Hoffman
3,Carly Siewert
4,Lorraine Guerin
7,Grace Backes
8,Evie Adams
9,Lilly Iverson
10,Caitlin Murphy
12,Kaitlynne Roling
14,Anna Hrovat-Staedter
16,Molly Berkholtz
18,Sarah Mondschein
20,Jenna Thorp
21,Anneke Vermaak
22,Michelle Zaber
23,Caroline Mueller
24,Lauren Roach
25,Jamie  Brown
27,Taylor Srebnick
42,ALEXA AMUNDSON
b,r,e,a,k
Texas State,9
0,Erin Bostick
0,Martie Swinhoe
0,Ashley Abrigo
0,Valerie Sotelo
0,Alyssa Flores
0,Amanda Bland
0,JERRY BENAVIDEZ
0,Conner  Gonzales 
0,Maggie Douglass
0,Makenzi  Hammer 
0,LEXIE QUILES
0,Natalie Mellerski
0,Melissa Farber
0,Jessica Kishi
0,Courtney Snyder
0,Hannah Rondan
12,Anne Ortiz
b,r,e,a,k
Illinois,8
00,Emily Sheridan
00,Chesca Calicdan
00,Rebekah Seyfert
00,Natalie Stephan
02,Candace Brahm
12,Amy Copper
14,Mikayla Yoder
16,Allison Chmaj
21,Kelsey Thompson
22,Jamie Petroelje
27,Michelle Cabahug
32,Vivian Chu
36,Bianca Delgado
38,Cora Wessman
b,r,e,a,k
Nebraska,4
0,Nadine Rowen
4,MACKENSEY FAGAN
01,Min Sze Ewe
02,Elizabeth Rock
10,Christa Fisher
11,Lyssa Witte
15,Tracy Kuper
17,Emily Nichols
18,Michaela Daugherty
19,Sadie Erdmann
22,Emily Tetschner
24,Megan  Chang
25,Sophie Walsh
27,Megan EisenVos
28,Lauren Uhlig
35,Kaitlyn Waszak
45,Abbie Leschinsky
87,Amanda Borders
96,SHADID DE LA ROSA
b,r,e,a,k
Iowa,5
0,Tahlia Simon
6,Stevie Watts
8,Brooke O'Hollearn
9,Jessica  Peterson
15,Michele Siamis
21,Tricia Palasigue
22,Nicole Johnson
23,Clarisse Chia
24,Faradis Lindblom
28,Maureen Hughes
31,Emily Novick
33,Kaitlin Brooks
34,EDRIENNE FAE YAP
36,Caitlin Sernett
42,Raleke Hughes
48,Anya Kim
55,Elizabeth Gronert
69,Alexis Abbeduto
77,Allison Lorey
