Great Lakes D-I College Men's Regionals,College - Men ,30,4,2016
https://play.usaultimate.org/events/Great-Lakes-D-I-College-Mens-Regionals-2016/schedule/Men/CollegeMen/
Michigan,1
0,charles walmsley
0,Joe Krieger
0,Robert (Bobby) Moyer
0,Zachary Goulson
0,ALEXANDER ROBERTS
0,Alexander Russomanno
0,Steven Jacobson
0,Benjamin Page
0,Andy Yu
0,Max Teener
0,MICHAEL ROBERTS
0,Parker Howard
0,Noah Lybik
0,Travis Compo
0,Dan Calabrese
0,Wesley Chen
1,Samuel Vetromile
4,Vikram Mathias
5,Noah Backer
15,Sam Greenwood
15,Sam Bethancourt
17,Jake Moyer
20,Adam Stautberg
27,Ian Crowley
27,Jake Steslicki
28,Andrew Suchezky
29,Christopher Jacobson
41,Daniel Lee
59,Nicholas Gerber
87,Josh Becker
b,r,e,a,k
Loyola-Chicago,12
0,Nicholas Berens
0,Brenden Meier
0,Nic Nagata
0,Therenz Jude Escobar
0,Brian Knight
0,William Laveck
0,Kyle Baker
0,Angelo DeMarco
0,Samuel Hunt
1,Will Hsieh
2,EVAN SABADO
4,Alec Ricker
5,Ryan Shea
8,Ryan Nader
11,Adnan Ahmad
14,Nicholas Kleinschmidt
16,CONOR BRIGHAM
20,Anthony Andreshak
24,Alex Kim
41,Caden Canavan
60,William Meyer
63,DAVID SUDYKA
81,Jackson Prepolec
b,r,e,a,k
Illinois State,8
0,Luke Schoenhofen
0,Patrick Pearce
0,Ricky Ramirez
0,CHRIS  OESTERREICH
0,Nicholas Kluessendorf
0,Stephen McCracken
0,Jack Giannini
0,Kyle Jones
1,Cameron Powers
4,Ryan Fitzgerald 
7,Jack Shanahan
12,Jeremy Burril
13,Karl Beck
17,Kevin Szczygiel
28,Zach Delegatto
73,Justin Reeverts
83,BRADLEY CLARK
99,Joshua Sanabria
b,r,e,a,k
Ball State,13
0,Nevin Markitan
02,Nathan Hershberger
03,Jonathon Wenger
04,Will Hanna
04,Matthew Hentz
06,Ethan Broderick
11,Corey Halbert
14,Ryan Meeks
15,Robbie Craven
17,Brandon Groff
19,Patrick Murphy
19,Garrett Fuelling
21,Nik Risser
23,Caleb Spatt
30,Jon Swartling
32,Joshua Conley
42,DYLAN CARNES
44,Trenton Schroeder
46,Mitchell Conley
48,Tim Perkey
70,Daniel Stephens
73,Steven Zurawski
79,Andrew Collins
88,Joshua Maurice
b,r,e,a,k
Purdue,2
00,Trevor Kyle
02,Lowell Knight
03,Dylan Neff
05,Bobby Leroy
06,Jacob Mock
09,Jamie Mainwaring
10,Tucker Born
12,Joseph Byerly
14,Justin Bowling
15,Peter Marshall
18,Mike Kobyra
19,Daniel Blanc
20,Nick Loughran
29,John Sellers
46,Austin Ambrose
52,Jacob Fella
64,Jeremy Ray
72,Dalton Chaffee
98,Isaac Mock
b,r,e,a,k
Eastern Illinois,11
0,JAKE  PAWLAK
04,RYAN BROWN
10,Tyler Rice
15,Zach Kieffer
17,Nicholas Smith
18,Josh  Friese
21,Kevin Beckstrom
