TCT Elite-Select Challenge 2016 (Oshadega Invite),Club - Mixed ,9,7,2016
Columbus,OH,2016-07-09,2016-07-10
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2016-Oshadega-Invite/schedule/Mixed/Club-Mixed
Steamboat,8
00,Jeff Kula
02,Nancy Haskell
03,Eddie Mack
04,Katherine Claiborne
05,Ryan Gorman
06,Claire Schwaba
08,Tim Settles
10,Jennifer Golan
12,Josh Findley
13,Kristin Baxter
15,Bryan Walsh
17,Daniel Khoe
18,Kellan Gibboney
21,Scott Schriner
22,Brittany Winner
23,Nichole Kwee
24,Cylie Miller
27,Christopher Powers
28,Jeff Haney
33,Austin Winner
38,Joe Mozloom Jr
61,EVAN PRIEST
78,Tiffany Lim
99,Kevin Kula
b,r,e,a,k
The Chad Larson Experience,1
0,Ethan Levine
01,Kevin Seiler
03,Taiwo Misra
04,Kat Songer
06,Lana Seiler
07,John Misra
08,Brittnee Grimshaw
09,Linda Morton
10,Charlie Hubbard
11,Jennifer Corcoran
13,Dan Kresowik
14,Jessica Brisbois
20,Neal Hanke
22,Daniel Brennan
24,Blair Holck
25,Ryan Tucker
28,Michael Brisbois
52,Jacob Kersten
61,Kelly Hubbard
77,KURT BRORSEN
97,Sarah Pesch
b,r,e,a,k
Dorado,12
0,Elizabeth Cowan
1,JAMES LAI
2,Carlo Mosca
4,Julia Salvacion
5,Gavriel Gelbart
6,Peter Osseward
7,Jeremy Cho
8,Alistair McIntyre
10,Nate Pascale
12,Christopher Liu
13,Aimee Speaker
16,Jorie Moore
24,SAMANTHA LUI
26,Sheliemae Lai
27,NICK MINYEN
34,Emily Baker
47,Dena Elimelech
77,Auralee Walmer
80,Micah Blazar
94,Zachary Spidell
b,r,e,a,k
PleasureTown,13
0,Jon Schneyer
0,Tsuki Hoshijima
0,KELLIE WATERMAN
0,Michael Lipsitz
0,Marissa Lerner
0,Axis Sivitz
0,Bryant Wolf
0,SAM HILLS
0,Mallory Suarez
0,Kayla Huddell
3,Brian Wyer
03,Christopher Tonry
04,Jacob Cook
10,Elizabeth Cook
11,Kiersten Mailler
14,Erica Tangney
21,Ian Darling
21,Sarah Adams
25,Nicholas Amendolare
50,Harrison Greene
57,Kathryn Haapala
59,Timothy Glover
91,Jacob Shillue
99,Dan Huddell
b,r,e,a,k
UPA,2
0,Lori Eich
0,Kimberly Streff
0,Taylor Kraemer
0,Michaela Dube
1,Tim Halt
2,Michael Shiel
3,Michael Egan
4,Alex Drlica-Wagner
5,Lizzy Shiel
7,Raju Prasad
8,Christine Huffer
10,Jessica Schulz
11,Geoff Serednesky
12,Emlia Garcia
13,DANE OLSEN
14,Akira Yamaguchi
21,John Kolb
24,REBECCA LEDER
29,Brian Schulz
33,Carl Deffenbaugh
45,Gary LeDonne
88,Valentina Shiel (Ngai)
99,George Hughes
b,r,e,a,k
Birdfruit,7
01,Adlai Felser
02,Luke Jesperson
03,Martha Russell
04,Jessica Shatkin
05,Christian Brink
06,Laura Doepker
07,Nicole Bayard
10,Jeff Gayle
11,Laura Manson
12,Peter Ostergaard
14,Sam Pickel
17,Corinne Pingul
20,JOHN KLAASSEN
21,Dylan Harrington
22,Lacy Clark
24,Andrew Lynch
27,SAMANTHA SAUERBREI
31,Natalie Jamerson
33,Spencer Sheridan
35,Matthew Neeley
40,Ky Lewis IV
41,Clay Dewey-Valentine
47,Walker Bohannan
67,Kelley Hall
69,Lillian Bailey
85,Benjamin Beehner
89,Sophia Scofield-Selby
b,r,e,a,k
Jughandle,14
0,Andrew Misthos
0,Christian Weisenbacher
0,LAUREN PONGAN
0,Evan Feeney
0,Cara Silvestri
0,Jessica Renninger
0,Thomas Johnson
0,Andrew Auyeung
0,Colin Kochenash
0,Natalia De Jesus
0,Jonathan Casey
0,Rebecca Halleran
0,Sarah Bright
0,Megan Barlow
0,Janine Hlavaty
8,Grant Franke
9,Charles Cannon
10,Mathieu Savarit-Cosenza
11,Mason Compton
13,Elizabeth O'Grady
15,ANDREW SCHANCK
15,Jenna Borges
21,Elizabeth Melillo
31,Jonathan (Johnny) Sisto
b,r,e,a,k
Cahoots,11
0,Allison Bashford
01,Jason Rector
04,Jacob Warshauer
05,Christopher Cosgrove
06,Ryan Stokes
07,Jesse Kovacs
08,Ruth Stokes
14,Tanner Barcus
15,Sarah Jobsis
19,Sarah Clark
22,Machen Bihrle
25,Kyle Silva
26,Amy Gilbert
27,Linden Blaisus
36,Gina Lappe
37,Virginia Conover
44,Ruth Hudson
59,Ethan Burns
82,Matthew Martin
b,r,e,a,k
AMP,3
00,Melissa Devlin
01,Robert Roos
02,Matt Zumbrum
03,Nicholas Purifico
04,Raha Mozaffari
05,Luke Ryan
06,Kelsey Devlin
07,Ben Parrell
08,Charles Weinberg
09,Andrea Desabato
10,Calvin Trisolini
12,Fern Beetle Moorcroft
13,Nico Lake
14,Stuart Hean
15,David Koch
16,Richard Robinson
17,Stephen Ng
18,Emily Shields
20,Ben Pelleg
21,Linda Morse
22,Allysha Dixon
23,Natalie Bova
29,Sarah Johnson
36,Carolyn Normile
79,Michael Ing
88,Matt Carter
b,r,e,a,k
Love Tractor,6
01,Spencer Norman
02,CHRIS HART
03,Peter Cowiestoll Wilson
04,Jack (John) McShane
05,David Protter
06,John (Clay) Heinzel-Nelson
08,Scott Forrester
09,James Cantwell
10,Brian Carroll
11,Megan Henderson
12,Joe Iannacone
13,Christine Kamin
14,Stephanie Redfern
15,Lauren Rindels
16,Madeline Kreider Carlson
17,Brady Cowiestoll
18,STEPHANIE FROST
19,Garrett Moulder
20,Amelia Zutz
21,Amanda 'Leia' Walker
23,Camden Kittredge
25,Julia Ting
27,Jesse Kuroiwa
33,David Kamin
35,Kate Pearson
44,Jacob Zax
74,Stanley Strunk
88,Kirsten Fahlbusch
91,Matthew Zemel
b,r,e,a,k
Bird,10
00,Lisa Qiu
02,Adam Trautman
03,Bryan Vohnoutka
04,Kelsey Mork
06,Cole Jensen
07,Stephen Alexander
08,Clayton Thomas
10,Erin Mirocha
11,Philip Arets
12,Michael Ruble
13,EMILY FUJII
14,Katherine Zimmermann
15,GORDON STECKLEIN
16,Rebecca Morales
17,Ryan Oto
18,Angelica Montanez
20,JILLIAN MERKLE
23,David Stemper
24,ANDREW KELLEY
28,Joseph Nelson
30,THOMAS GRUND
33,Kayla Blanek
43,Dustin Rooffener
44,ASHLEY WEST
53,Emma Piorier
54,Dylan DeClerck
88,Aaron Swaney
96,Brian Edgerton
b,r,e,a,k
Seattle Freeze,15
0,Ryan Van Hook
1,Colin Clauset
2,CONSTANCE DUONG
3,Taesan Hose
4,ROSS O'BRIEN
5,CHRISTINA BRONSKY
10,EMILY SLACK
12,ROB ATLAS
15,Samuel Dinning
17,Ellen Goldberg
18,ERICA  CONRAD
19,Gabby Markoff
21,Luke Denison
24,Stephen Burkot
27,Tom Crawford
29,Anna Thompson
37,Richard Coker
47,Juliana Williams
51,Kate Crawford
81,Keegan Taggart
b,r,e,a,k
Bucket,5
0,Karl Kingma
0,Andrew Chung
0,Emily Karoblis
0,Timothy Stapleton
7,Jack Barrow
7,Joseph Oaks
02,Cori Bradham
04,RYAN ARCHIBALD
07,Timothy Martin
08,Timothy Brady
11,Joanna Landry
12,Ryan Landry
14,Katie Gainer
16,Kenta Kawaguchi
21,Michael Arenson
22,MATT KRESS
22,Taylor Hide
25,Robert Bradham
32,Michelle Yang
33,Caroline Taylor
44,Samantha Hill
62,Steven Hicks
64,Jason Simpson
65,Aileen Thomas
92,Sam Gainer
b,r,e,a,k
Alloy,9
8,Nicholas Audette
00,Nicole Fiorentino
01,Christie Lawry
02,Megan Briggeman
03,Maria Bajzek
04,Elizabeth Johnson
04,Jesse Kummer
06,Jordan Roof
06,Anson Reppermund
08,Alexander Thomas
10,Stephanie Kane
11,Michael Reeves
13,JEREMY SLIDER
14,Lauren Franke
18,Jed Farber
22,Mark Pitts
26,Kelsey Cowles
29,JOHN MONTOYA
30,AARON KANE
33,AARON BUSS
33,Eliana Bonifacino
48,Jimmy Towle
59,Bryan Bernard
82,Isaac Smith
85,William Hefferon
86,Robert Paolini
b,r,e,a,k
7 Express,4
00,Annie Yang
00,Brendan Awerbuch
00,Handson Wu
00,Miranda Moore
00,Kristie Kelly
00,Carolyn Fante
00,Elizabeth (Cassie) Bradley
00,Brian Varis
00,Benjamin Sokolowsky
00,David Reynolds
00,Patricia Burks
02,BRIAN MCLAUGHLIN
04,Cory Salé
05,Joe Santosus
08,Jesse Moskowitz
12,Joe Babbino
14,Paul Goldsmith-Pinkham
15,Matthew Baum
