Big D in Little d 2016,College - Men ,30,1,2016
Denton,TX,2016-01-30,2016-01-31
https://play.usaultimate.org/events/Big-D-in-Little-d-2016/schedule/Men/CollegeMen/
Texas Christian,1
0,Braden Riebe
0,Jared Talton
0,Brock Riebe
8,SEAN RODICH
04,Chris Pleshek
07,Luke Reddick
11,Kyle Keyzer
16,Andrew Lord
18,Dalio Losch
25,Christopher Roberson
32,Derek Schmidt
49,Jacob Malmquist
53,Nolan Smith
78,Samuel Floren
88,Duncan McHarg
93,MATTHEW RATLEY
99,Mason Henkes
b,r,e,a,k
Texas Tech,16
0,Ryan Stomp
0,AARON AUSMUS
0,Ricky Stanfield
0,Alex Southard
0,Paul Yacoub 
0,PRESTON LEWIS
1,Dillon Rathman
1,Grant Golder
3,CONNOR MCNAMARA
5,Payton Ardoin
6,John Aucar
8,Sam Kuhn
9,TREY KEESEE
12,Jason Miller
13,Samuel Dixon
15,Jessica Hartzer
17,Austin Ficken
33,Andrew Calvert
35,Alexander Brewster
44,Junaid Ramzan
49,Michael Wode
71,Brandon Fryer
78,Jace Drennan
b,r,e,a,k
Harding,9
0,Zach Whaley
9,Benjamin Osteen
02,Taylor Kemp
07,Timothy Kirby
10,Jalen West
11,Brett Willimann
13,Blake Herring
14,Kendall Lowe
15,Trenton Osborne
24,Braxton Furlong
27,Jorden Sims
28,Caleb Tomlinson
35,AARON WEBB
36,Nathan Perkins
55,Brandon Melo
72,Zachary McCain
74,Timothy Griekspoor
99,Dale Bourn
b,r,e,a,k
Oklahoma State,8
00,Philip O'Hara
00,Detrick Bombarger
00,Tyler Niskanen
00,Clay Furleigh
00,Zach Maloy
00,JUSTIN WHALEY
00,William Curtis
00,Drew Starkey
00,Erin Heilman
00,Li Ya Cheng
00,JAKE SESSLER
00,Teague Crotty
00,AUSTIN HIBBS
00,Colin English
00,Jake Niskanen
00,Eric Hurd
00,Deion McKittrick
00,Sawyer Locke
00,Andrew Newton
06,Merl Prichard
b,r,e,a,k
Tulsa,17
0,ERIK SHOOK
2,JT Stancil
3,Marshall Usrey
4,Kathleen Endicott
5,Brian Luczak
6,Jimmy Pignetti
7,Connor Lynch
9,Claire Dang
13,Henry Luepke
17,Benjamin Brown
19,Stuart Cornett
20,Jordan Anderson
21,Matthew Vuong
23,Ryan Orland
39,William Macke
b,r,e,a,k
Oklahoma (B),24
00,Joseph Dal Santo
10,Casey Seitz
31,Sam Baskin
34,Steven Wild
40,J.D. Ingendorf
50,Nicklaus Kersey
53,Dawson Pleasant
69,Austin Gould
b,r,e,a,k
Texas-Dallas,15
0,Garrett Fish
0,Joey Campain
0,ADAM BARTON
0,Nidhish Lokesh
0,Srinivas Karra
0,Neel Reddy
0,Joseph Welkener
0,Matthew Gehrlein
3,Tyler Criss
5,Christian Cortes
04,Travis Bieda
12,David Knight
13,VINCENT NGUYEN
14,Alex Felten
16,Simon Brooks
21,Anish Indhupuru
22,Ross Neuman
29,Charles McNeil
29,Kirtan Patel
42,Adrian Chavez
55,Steven Borik
87,David Hammer
b,r,e,a,k
Baylor,2
0,Nathan Tjahjadi
0,Dylan Lee
0,Alex Clark
0,Keon Cleary
0,Baxter Robb
0,Will Bonds
5,Tyler Chiu
7,Jackson Helling
7,ZACH PLUNK
7,Travis Taylor
