Great Lakes Men's Regionals,Club - Men ,11,9,2016
Rockford,IL,2016-09-10,2016-09-11
https://play.usaultimate.org/events/Great-Lakes-Mens-Regionals-2016/schedule/Men/Club-Men/
Chicago Machine,1
0,Jonathan Helton
01,NICK PROZOROVSKY
02,Joshua Stevens-Stein
03,Bob Liu
04,Benjamin Spielman
07,Brett Kolinek
08,Stephan Mance
10,Von Alanguilan
11,Trent Kuhl
12,Julian Childs-Walker
13,Alex Evangelides
15,Andrew Sheehan
16,Yiding Hou
18,Cullen Geppert
19,Jack Shey
24,Michael Pardo
25,Ron Kubalanza
26,Kevin Kelly
27,Travis Carpenter
29,Michael Schwenk
31,Walden Nelson
34,Jesse Buchsbaum
45,Brett Matzuka
51,Andrew (AJ) Nelson
55,Pawel Janas
63,Percy Stogdon
64,Neal Phelps
b,r,e,a,k
HIGH FIVE,2
1,Alex Edinger
4,Nick Hamilton
5,Austin Engel
6,James Highsmith
7,John-Michael Guest
8,JESSE WOHL
9,Michael Meilstrup
10,David Bentrovato
11,Jordan Rhyne
12,Mitch Cihon
13,Tim Meyers
14,Josh Botti
15,Connor Haley
16,Kevin Coulter
17,Keegan North
19,Paul Arters
20,Sam Greenwood
22,Michael Dagher-Margosian
23,Eric Schumacher
24,Jake Steslicki
28,Michael Jahn
33,Eric Hubbard
42,Mike Ogren
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
98,Dan Donovan
b,r,e,a,k
Beachfront Property,4
0,Michael Ng
0,Jeffrey Weis
0,Nate Boddy
0,Ricky Ramirez
0,Kyle Sternkopf
0,MICHAEL CALDERBANK
0,Judah Newman
0,Jeffrey Spetter
0,Nick Myhre
0,Alex Birko
0,Reno Brinn
0,STEFAN BREITLING
4,Gabriel Valencia
5,JAMES TUNNEY
6,Bradley Bolliger
7,Jack Shanahan
10,Robert Lau
13,Karl Beck
21,Jarred Elliott
25,Adam Wong
28,Tom Abell
33,Wesley Groth
40,Anthony Davis
48,CHARLES HYDE
63,Zubair Abdulla
91,Eric Johnson
b,r,e,a,k
Smokestack,3
0,Milo Korman
0,Jacob Lunn
0,Jonathon Grgat
0,Nicholas Mathison
0,JACOB HOOKS
0,Erik Lindberg
0,Jason Beffel
0,KYLE HONE
0,John Marotta
0,David Picone
0,Tarik Akyuz
0,Jeffrey Brauning
3,Steven Her
3,Joseph Marmerstein
3,Daniel Young
5,Amir Kaghazwala
6,KEVIN WAYNER
10,Eric Zarobila
17,Adam Davenport
26,Zach Johnston
27,Brandon Thomas
31,Matthew Chin
34,Daniel Lynch
35,Joshua Swanson
43,Jake Rovner
50,Jon DeAmicis
99,Robert Strohmeyer
b,r,e,a,k
Schweingeist,8
0,Brennan Kirkpatrick
0,Daniel Brissette
0,Timothy Hale
0,Daniel Latz
0,Joshua Fisher
0,Kyle Romard
0,Grant  Dinan
2,Nicholas Betsch
2,Alex Flamm
3,Elliot Skindzier
3,Justin Latz
4,Bryan Buechner
5,Sophainara Long
6,Ryan Adams
6,Ben Krumpelman
18,Kevin Parker
22,Jacob Chialastri
24,Michael Verma
30,Zachary Ford
41,Adam Turner
43,Stephen Moore
43,Stephen Kenny
49,Tanner Segbers
69,Connor Messmore
77,Samuel Kratt
91,Joe White
b,r,e,a,k
Black Market,5
01,Daniel Vockeroth
02,Joe Sidrys
04,Zachary Schwulst
06,Kevin Cleary
07,Kevin Yngve
08,Johnny Saniat
09,Nathan Kinsinger
14,David Woods
16,Kevin DeAngelis
19,Steven Czechowski
20,Sahaj Kumar
22,Brian Rathunde
23,Ryan Smith
29,Michael Koho
31,Daniel Miller
34,Christopher O'Hara
36,Timothy Fergus
42,Jeff Robinson
45,Chris Santiago
59,Alex Champe
62,Patrick Kaufmann
73,PATRICK HANSEN
78,Cameron Albin
79,Charles Furse
80,Peter Bennett
87,Adam Wright
95,Zachary Diener
b,r,e,a,k
Brickyard,6
1,Keenan Plew
2,Nickolas Hutton
3,Christian Avila
6,Joseph Cari
7,Levi Jacobs
7,Nathan Sevenish
8,Kip Curtis
9,David Hortemiller
11,Colton Steiner
12,Colin Ringwood
16,Heath Kalaba
17,Ryan Jarvis
18,Carlton Anker
19,SPENCER LOSCAR
20,Nick Loughran
22,Kyle Cox
23,Zach Zebarth
28,Samuel Sohn
30,Walter Kasprzycki
33,Dana Granholm
36,Steven Naji
40,Brian Ventura
44,Donovan Triplett
76,Jason Yoder
78,Michael Ames
85,John Jones
87,Rick Gross
b,r,e,a,k
Enigma,10
0,JT FISCHER
01,Conner Haenszel
04,Josué Soto
06,Benton Birch
07,JACK KELLY
09,Ryan Kindell
10,Chad Gregory
11,Travis Knight
12,Alec Mathena
13,Benny Rider
15,Matthew Huntington
19,Samuel Lemmon
20,Alex Stevenson
22,Matthew Muhlenkamp
23,CAMERON HEIGHTLAND
26,Andrew Wiebe
28,Evan Wethington
34,Ian Cannon
37,Tony Donato
44,Luke Eastman
48,Josh Shamburger
54,Avery Moeller
73,Adam Luthman
77,Scott Klein
83,Chase Gregory
88,Patrick McCarthy
b,r,e,a,k
Ascension,16
0,Nick Schoon
0,Ray Page
0,Brett Porter
0,Lovie Garcia
1,REECE STOREY
2,Ryan Murray
4,RYAN BROWN
10,Brock Dunn
15,Zach Kieffer
16,Luke Vihnanek
16,Alex Castillo
19,NICHOLAS GEEVER
21,Kevin Beckstrom
24,Stephen Langyher
28,Patrick Logan
55,CHRIS BRAY
72,Phillip Warren
91,CLAYTON COFFMAN
b,r,e,a,k
Black Market II,9
00,Joseph Conerty
03,Michael Armstrong
05,Sean Hill
10,Jonathan Alton
11,Rene Quintana
13,Daniel Miller
17,Max Bommarito
19,Adam Tornheim
24,Jonathan Piech
26,Matthew Mayorga
28,Jeremy Piech
34,John Hock
44,Mike L'Hommedieu
47,Daniel O'Dell
48,Alex Komisarz
49,Quinn Foley
53,Joe Berry
54,Juan Amador
61,Yashas Abbott
63,Michael Wormley
75,Eric Badger
76,Girolamo S Kelly
77,Robert Dreier
85,Matthew Lemaitre
88,Bif Reiser
91,Bradley Johnson-Bice
93,Manan Kothari
b,r,e,a,k
Midnight Meat Train,12
0,Matt Leistra
0,Kyle Spengler
0,Jared Monsma
0,COLIN SCHUURMAN
0,Sean Rohen
0,Tanner Schut
0,Mike Zaagman
0,Jarrett Skorup
0,Adam Koehler
0,Zachary Paradis
0,Henry Patterson
7,Don Gates
7,Tyler Mitchuson
10,Perry-David van Dillen
10,Gabe Quakkelaar
19,Luke Rynbrandt
21,Jake Blankemeier
22,Max Carpenter
24,Trevor Deimel
99,Steve Trierweiler
b,r,e,a,k
Black Lung,13
0,Brandon Guyton
0,Jay White
0,Adam Garner
0,Kyle Cornell
0,Ryland Barton
0,Robert Wharton
0,Mason Montgomery
0,Tadhg Young
0,Mark Kraus
1,Adam Houk
3,Jake Carrico
3,Kyle Anderson
4,Michael Rudy
5,David High
9,Preston Goulson
10,Larry Farmer Jr
11,Christopher Empie
13,Jared Gibson
13,Michael Harr
14,Matt Henry
27,Wyatt Driskell
30,Peter Dreisbach
34,Brandon French
44,Jake Hughes
69,Logan Graham
94,Austin Obenauf
b,r,e,a,k
Spoiler,14
0,Kenneth Debacker
0,Wesley Chen
0,ALEXANDER ROBERTS
0,Joe Krieger
0,Robert (Bobby) Moyer
0,BRIAN BROWN
0,Max Teener
0,MICHAEL ROBERTS
0,Alex Barber
0,Travis Compo
2,Justin Perticone
4,Jonathan Paruk
8,Daniel Brown
13,Ryan Donnelly
17,Brendan McCann
17,Andrew Foldesi
18,David Innis
22,Nathan Adamski
25,Ryan Yergin
29,Christopher Jacobson
31,Scott Hetu
32,Cody Smith
41,Daniel Lee
47,Aakar Mehra
50,Ryan Ernst
87,Josh Becker
88,Mark Whitton
b,r,e,a,k
Haymaker,11
0,Thomas Rush
00,Cameron Menezes
00,Max Trotter
00,Wes Geisenberger
00,Preston Bailey
00,John Malloy
00,MICHAEL HULBURT
00,Alex Kim
00,Michael Hanley
00,Willem Longendyke
00,Steven Cummings
00,Ryan Shea
00,KEVIN KOPROWSKI
00,Jacob Ward
10,Eric Swan
11,Christopher Asta
12,Matt Finley
17,Rob Greenberg
20,David Lindsey
22,Brandon Deihl
24,Andrew Fischer
28,EVAN SABADO
42,James Sykora
47,Dan Kang
50,Adam Klopfenstein
54,Alex Stumphauzer
82,William Hoover
b,r,e,a,k
Kentucky Flying Circus,7
0,Philip Hills
0,Colin Grandon
0,Lincoln Hirn
0,Emilio Bartlett Asenjo
0,Jessy Geary
0,Christopher Reynolds
0,Aaron Corley
0,Jason Crowe
0,Josh Turner
0,Jonathan Rosen
0,Kegan Carroll
0,Corey Hardesty
0,Xavier Payne
0,Ben Sever
2,Kendrick Pennington
2,Alex Hamilton
2,Matt Snyder
3,BRIAN PATE
7,Evan Mack
7,Benjamin Petrey
7,Jacob Turner
