Lorton Hears a Huck 2016,College - Men ,2,4,2016
Lorton,VA,2016-04-02,2016-04-03
https://play.usaultimate.org/events/Lorton-Hears-a-Huck-2016/schedule/Men/CollegeMen/
North Carolina State,1
7,John Woodruff
9,Foster Boales
9,James Yang
10,Justin Abel
14,Joseph Gu
16,Dylan Steele
17,Jasper Tom
18,Mark Wuebbens
21,SEAN KANE
28,Max Simpson
31,Justin Forman
34,Justin Chang
52,Aaron Collins
72,Thomas Swayze
b,r,e,a,k
Old Dominion,10
teamInfo,Monarchs,"Norfolk, Virginia",,,
0,Jacob Brinn
0,Christian Blair
0,Hunter  Foutz
2,Naveed Asghar
3,CHARLES NIPP
5,Andy Shin
14,Danny James
15,James Howell
17,CHRIS HALEY
27,CHASE WINANS
32,Mitchell Heath
42,Tyler Paul
69,Devin Grady
96,Connor  O'Baker
b,r,e,a,k
Virginia,4
teamInfo,Night Train,"Charlottesville, Virginia",http://nighttrainultimate.com,,https://twitter.com/nighttrainatuva
0,Alexandre Fall
0,JOSEPH URBANEK
0,Kevin Sutyla
0,Lincoln Hirn
0,Ryan French
0,WILLIAM SMITHWICK
0,Alan Strick
0,MICHAEL MALINOWSKI
0,Kevin  Niu
0,Evan  Hurley
0,KYLE SHERRILL
0,James King
0,Walter Thomas
0,Coleman Dickerson
0,Derek Schauss
0,David Maser
2,MAX MULCAHY
3,NAZZARENO SPURIO
3,Jacob Hartzler
4,Mark Fleckenstein
7,HENRY LEGARD
8,Kristopher Harrison
9,PHILIP ADDINGTON
11,Richard Young
18,JARED PASETSKY
18,James Godwin
23,Emilio Craddock
27,Ethan Schwab
28,ANDREW KAIDEN
41,Thomas Owen
81,Tyler Berkeley
b,r,e,a,k
Johns Hopkins,5
teamInfo,Dangerzone,"Baltimore, Maryland",,https://www.facebook.com/Dangerzone-Johns-Hopkins-University-Ultimate-180573762009844,https://twitter.com/dangerzoneulti
0,Joseph Min
2,Sam Pallay
2,CALEB WARREN
7,THOMAS MARGE
10,Miles McKey
11,Vincent Wu
14,Gabriel Kaptchuk
15,Casey Zhu
16,Zach Sabin
23,Angelo Olcese
25,Aleck Zhao
35,Leon Santhakumar
36,JOSEPH YU
59,Andrew Zhu
71,Derek Modzelewski
72,Sebastian Chen
77,JIURU LI
81,Neal Billig
90,Kendrick Hougen
b,r,e,a,k
Kenyon,9
teamInfo,SERF,"Gambier, Ohio",,,https://twitter.com/kenyonserf
0,Charles Woolsey
01,Emmet Yeazell
03,Nicholas Kaufman
04,John Thompson
06,Thomas Piper
07,SAMUEL GRAF
08,Shaun Stewart
09,Dominic Camperchioli
10,Liam Brodigan
11,ISAIAH STAVCHANSKY
13,Ian Round
14,ALEXANDER PIJANOWSKI
14,Matthew Carney
15,Doni Moffa
16,HANNING WONG
18,Henry Williams
21,Ryan Muzzio
24,Cole Meier
25,Lewis Thompson
27,Emory Burrough
28,Keegan James
29,Joshua McClain
30,Michael Trobich
32,Hal Robinson
33,BENJAMIN JENKS
37,Alex Comerci
41,Jackson Todd
42,Al Gourrier
44,Burke Irwin
55,Charlie Lehman
56,Dalin Frantz
88,Zachary Vuillemin
b,r,e,a,k
James Madison (B),16
teamInfo,Smellfish,"Harrisonburg, Virginia",http://www.jmu.edu/recreation/sport-clubs/clubs/mensultimate.shtml,,
0,Joseph Heller
0,Ned Sieverts
0,Edward Carbaugh
0,Alec Minan
0,KEITH CARPENTER
0,Chris Kazanjian
0,Wil Andahazy
0,BRAD WHITE
0,James Cooper
0,Zachary LeMorta
0,MICHAEL NIHEN
0,Jonathan Payne
0,Michael Knez
0,Peter Ko
0,Clint Dodson
0,Mitchell Hesse
0,Joe Aubry
0,Neil  Roberts
0,Alexander Barry
0,Kyle Jenkins
0,Sayeed Khan
3,Alexander Williamson
5,Jonathan Fosbury
12,Sam Bean
13,Nicholas Albright
17,Trent Tolley
24,Joe Grabowski
26,Colin Alexander
60,Patrick King
74,Edison Rolle II
77,Jake Boles
78,Maxwell Cannon
87,David Rigby
88,Alex Lesser
99,Joel Tigges
b,r,e,a,k
George Mason (B),20
teamInfo,Mason Meltdown,"Fairfax, Virginia",,,
0,Jonathan Creel
0,Leo Pierson
0,Kevin Parker
0,Timothy Christenson
0,Christopher Barry
0,Mark Jeffries
0,Ryan McGowan
4,David Erdley
7,Charles Lynch
01,Chensu Xu
13,Leland Powell
32,Rashed Aldubayyan 
33,Austin Lazo
47,Andrew Kim
58,Shane Campbell
72,Joshua Shank
77,Joseph Seiler
81,Richard Cirone
87,Jacob Farrar
99,Joaquin Aguero
b,r,e,a,k
Georgetown (B),19
teamInfo,Black Squirrels,"Washington, District of Columbia",https://hoyalink.georgetown.edu/organization/mensultimate,,https://twitter.com/GeorgetownUltiB
coaches,Aman Shah
0,Patrick Seaman
0,Sean Berman
0,Afras Sial
0,Giancarlo Merola
0,Christopher Dunn
0,Luke Curran
0,Andrew Sullivan
0,Noah Nelson
0,Jonny Amon
0,Suraj Pillai
0,Kunwoo Shin
0,Joseph Cifrino
0,ADRIAN HERTEL
0,DONG WON LEE
0,William Morris
0,Matthew Amberger
0,Theo Gritz
0,Nick Stabile
5,Paul Selling
12,William Glynn
18,Daniel Zager
30,Scott McCallum
31,Eamon Coburn
42,James Patton
58,Alexander Yamron
60,Thomas Mingey
73,Nicholas Jenkins
b,r,e,a,k
Maryland-Baltimore County (B),23
teamInfo,Beez Nuts,"Baltimore, Maryland",,,
3,Mitchel Hallworth
4,Alexander Scott
6,Ayaz Hussain
12,Sahil Patel
14,ANDREW POTVIN
17,Harrison Boyle
23,Nathaniel (Bob Ross) Dorr
26,Adam Brinsfield
42,Jared Kimmey
44,Josh Ford
47,Brandon Turnbaugh
52,Blake Hipsley
57,Jason Chang
59,BENJAMIN SPARKLIN
71,Nicholas Rabuck
72,Derek Frazer
96,Hao Wu
b,r,e,a,k
Virginia (B),18
teamInfo,Virginia-B,"Charlottesville, Virginia",,,
0,Subhan Poudel
0,Noah Jones
0,JL Michaud
0,Jonathan Sanders
0,Michael Hoherchak
0,Ryan Wolfe
0,James Dudley
0,Dan Anthony
0,Cameron Kincheloe
01,Jack Funari
07,MARK UMLAND
08,Aidan Garrity
21,Liam Tobin
22,George Kohlroser
23,Edward Dunoyer
28,Matthew Thornton
55,Julian Brass
69,David Martineau
b,r,e,a,k
Maryland (B),17
teamInfo,Solar Flair,"College Park, Maryland",,,https://www.twitter.com/umdfub
0,GRAHAM KNAPP
0,Thomas Kessler
0,Eric Elliot
0,Matthew Weston-Dawkes
0,Jonathan Baldauf
0,ROBERT VAN FLEET
0,Boqian Lo
0,Carson Riggins
0,Vivek Ravishankar
0,Jake Gluck
0,Andrew Putlock
0,Paul Donald
0,Shane Pratt
0,Nathaniel  Sweet
0,Derek Bierly
5,Charles Boulton
6,Benjamin Armero
9,STEFAN ARMINGTON
9,Kevin Ellis
12,Shai Brown
13,Elan Rubin
15,Matthew Noel
16,Gregory Fiola
17,Justin Field
18,MAX KATZ
19,Colin Versteeg
21,KENNETH JARVIS
22,Joseph Ferrin
24,Daniel Chang
25,Raphael Lopez
26,Brian Oluwo
27,Ilan Fleisher
30,Tejas Mavanur
31,Jerald Katz
33,Daniel  Hegerle
42,Austin Moon
56,Brian McDevitt
72,Harrison Block
78,Sam Shiao
b,r,e,a,k
Goucher,22
teamInfo,Guilty Swallows,"Baltimore, Maryland",,,
0,Nicholas Judge
0,Gianni Rodriguez
0,COREY GERNES
0,Sam Kenney
0,Daniel Kent
45,Ben Saeks
99,Jackson Hickey
b,r,e,a,k
American (B),21
teamInfo,Booty Brown,"Washington, District of Columbia",http://www.americanultimate.com/main-site,https://www.facebook.com/stall11,
0,Keun Won Lee
0,Fraser Bird
0,Joonhee Park
0,Alexander Wang
0,Sultan Almojel
0,Jack Mannix
0,Dylan Johnson
0,Sea bass Le Goff
0,Abraham Cruz
0,Matthew Schilke
0,Francis Peabody
0,Tyler Lin
0,Harold  Gregg
0,Justin Simms
5,Luke Fiore
5,Tim McPhillips
9,Alexander Werner
96,Colin Dougherty
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
North Carolina State,Maryland-Baltimore County,13,6,"04/02/2016, 09:00",Pool A,Final
George Mason,Drexel,13,6,"04/02/2016, 09:00",Pool A,Final
North Carolina State,Drexel,13,1,"04/02/2016, 10:30",Pool A,Final
George Mason,Maryland-Baltimore County,13,9,"04/02/2016, 10:30",Pool A,Final
North Carolina State,George Mason,13,5,"04/02/2016, 12:00",Pool A,Final
Maryland-Baltimore County,Drexel,10,8,"04/02/2016, 12:00",Pool A,Final
pool,Pool B
Georgetown,Liberty,11,6,"04/02/2016, 09:00",Pool B,Final
Wake Forest,Towson,10,9,"04/02/2016, 09:00",Pool B,Final
Georgetown,Towson,10,8,"04/02/2016, 10:30",Pool B,Final
Wake Forest,Liberty,12,11,"04/02/2016, 10:30",Pool B,Final
Georgetown,Wake Forest,13,5,"04/02/2016, 12:00",Pool B,Final
Liberty,Towson,8,12,"04/02/2016, 12:00",Pool B,Final
pool,Pool C
American,Old Dominion,13,11,"04/02/2016, 10:30",Pool C,Final
Carnegie Mellon,West Virginia,9,13,"04/02/2016, 10:30",Pool C,Final
American,West Virginia,13,6,"04/02/2016, 12:00",Pool C,Final
Carnegie Mellon,Old Dominion,13,11,"04/02/2016, 12:00",Pool C,Final
American,Carnegie Mellon,13,7,"04/02/2016, 13:30",Pool C,Final
Old Dominion,West Virginia,7,9,"04/02/2016, 13:30",Pool C,Final
pool,Pool D
Virginia,Kenyon,13,6,"04/02/2016, 10:30",Pool D,Final
Virginia,Johns Hopkins,12,9,"04/02/2016, 12:00",Pool D,Final
Johns Hopkins,Kenyon,12,8,"04/02/2016, 13:30",Pool D,Final
b,r,e,a,k
clusters,1 Seed Crossovers
cluster,1st Place Crossovers
North Carolina State,Virginia,12,11,"04/02/2016, 15:00",,Final
Georgetown,American,13,7,"04/02/2016, 15:00",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,3rd Place Bracket
American,Georgetown,8,15,"04/03/2016, 14:15",3rd Place Finals,Final
bracket,5th Place Bracket
Carnegie Mellon,Johns Hopkins,5,8,"04/03/2016, 12:30",5th Place Semifinals,Final
Kenyon,West Virginia,5,10,"04/03/2016, 12:30",5th Place Semifinals,Final
Johns Hopkins,West Virginia,13,5,"04/03/2016, 14:15",5th Place Finals,Final
bracket,9th Place Bracket
Wake Forest,Maryland-Baltimore County,10,9,"04/03/2016, 10:45",9th Place Semis,Final
George Mason,Towson,8,9,"04/03/2016, 12:30",9th Place Semis,Final
Wake Forest,Towson,10,14,"04/03/2016, 14:15",9th Place Finals,Final
bracket,11th Place Bracket
Maryland-Baltimore County,George Mason,10,12,"04/03/2016, 14:15",11th Place Finals,Final
b,r,e,a,k
pools,Consolation Pool
pool,Pool E
Liberty,Old Dominion,5,15,"04/03/2016, 09:00",Pool E,Final
Drexel,Liberty,10,12,"04/03/2016, 10:45",Pool E,Final
Drexel,Old Dominion,13,15,"04/03/2016, 12:30",Pool E,Final
b,r,e,a,k
pools,Developmental Pools
pool,Pool F
James Madison (B),George Mason (B),13,9,"04/02/2016, 09:00",Pool F,Final
James Madison (B),Maryland-Baltimore County (B),13,5,"04/02/2016, 12:00",Pool F,Final
George Mason (B),Maryland-Baltimore County (B),13,1,"04/02/2016, 13:30",Pool F,Final
Georgetown (B),Maryland-Baltimore County (B),13,0,"04/02/2016, 21:00",Pool F,Final
Georgetown (B),George Mason (B),7,11,"04/03/2016, 00:00",Pool F,Final
James Madison (B),Georgetown (B),8,11,"04/03/2016, 01:30",Pool F,Final
pool,Pool G
Virginia (B),Goucher,13,2,"04/02/2016, 09:00",Pool G,Final
Maryland (B),American (B),13,2,"04/02/2016, 09:00",Pool G,Final
Virginia (B),American (B),13,1,"04/02/2016, 10:30",Pool G,Final
Maryland (B),Goucher,13,2,"04/02/2016, 10:30",Pool G,Final
American (B),Goucher,7,8,"04/02/2016, 13:30",Pool G,Final
Maryland (B),Virginia (B),11,13,"04/02/2016, 13:30",Pool G,Final
b,r,e,a,k
brackets,Developmental Championships
bracket,1st Place Bracket
James Madison (B),Virginia (B),7,11,"04/03/2016, 12:30",1st Place Finals,Final
James Madison (B),American (B),7,3,"04/03/2016, 09:00",Quarterfinals,Final
Maryland (B),Georgetown (B),13,5,"04/03/2016, 21:00",Quarterfinals,Final
George Mason (B),Goucher,10,4,"04/03/2016, 09:00",Quarterfinals,Final
Virginia (B),Maryland-Baltimore County (B),14,1,"04/03/2016, 09:00",Quarterfinals,Final
James Madison (B),Maryland (B),12,11,"04/03/2016, 10:45",Semifinals,Final
George Mason (B),Virginia (B),4,10,"04/03/2016, 10:45",Semifinals,Final
bracket,3rd Place Bracket
Maryland (B),George Mason (B),10,8,"04/03/2016, 12:30",3rd Place Finals,Final
bracket,5th Place Bracket
bracket,7th Place Bracket
American (B),Maryland-Baltimore County (B),1,0,"04/03/2016, 14:15",7th Place Finals,Final
b,r,e,a,k
