President's Day Tournament 2016,College - Men ,13,2,2016
https://play.usaultimate.org/events/Presidents-Day-Tournament-2016/schedule/Men/CollegeMen/
Oregon,1
02,Kerry Athey
03,Cameron Ficher
05,Logan Chantelois
11,Tim McGinn
14,Michael Fielden
15,Max Moore
17,Jacob Lambert
19,Steven Pearlman
21,Spencer Latarski
22,Zach Meyer
23,Xander Cuizon Tice
24,Adam Rees
25,NICHOLAS HEATON
26,Colton Clark
32,Martin Harris
33,Ben Pettis
42,Will Lohre
55,Connor Matthews
64,Leandro Marx
66,William Watkins
68,James Shanahan
70,Christopher Strub
75,Marvin Waldvogel
80,Braedon Petrus
b,r,e,a,k
Colorado State,4
0,MITCHELL DOW
0,Tyler Wilkinson
0,Scott Wheeler
0,David Cuellar
0,Daniel Crump
0,LUKE DOYLE
0,Mark Stratford
0,Thomas Theodorescu
0,NOAH BROWN
0,MARSHALL RAWLEY
0,Cole Turner
1,Jack Hinchsliff
9,Jacob Servaty
11,Jack McGinnis
14,Matthew Bush
16,Jake Marrapode
18,Dylan Johnson
20,JORDAN TREPP
22,Hudson Martin
24,David Miller
30,Sten Larson
34,Cody Spicer
35,Samuel Frisz
b,r,e,a,k
Cal Poly-SLO,5
9,Sunghoon Chung
03,Simon Krauter
04,Daniel Hoffman
05,Aaron Shi
09,Nathan Pettyjohn
13,Dillon Whited
14,Christopher Cogswell
16,Thomas Konogeris
17,Joshua (Slater) Levey
18,Alec Bandler
20,Sean Liston
21,Caleb Merriam
23,DAVID HIRSCHEY
24,Jonathan Chianglin
25,Camden Reynolds
27,Andrew Lam
28,Joseph Gagliano
33,Ian Sweeney
34,Aidan Mccoy
44,Tim Okita
52,Andrew Stratford
53,Matthew Ferrari
82,Joel Anton
b,r,e,a,k
Oklahoma,8
6,Jason Christian
04,Ryan Kyle
06,Jacob Barlowe
07,Logan Allen
09,Harper Stanfield
11,Nicklaus Kersey
12,"Sam ""Suds"" Ward"
13,Cameron Guidry
14,Kai Marshall
16,Andrew Seldenrust
22,Zane Whobrey
26,NATHAN SCOTT
30,Robert Kunkel
33,Adam Pollock
36,Christopher Leonard
38,Alex Mudd
44,Dillon Bruer
61,Stephen Wilson
69,Nicholas Estes
99,Wesley Zhang
99,Cameron Bock
b,r,e,a,k
Chico State,9
0,Tyler Grenier
0,Liam Carroll
0,Nicholas Dahms
0,VANCE VELARDEZ
0,Zachary Giovannini
0,Logan Martin
0,Giacomo Lane 
0,Thomas Allen
0,Ruben Ruiz
0,YER HER
0,Elliot Lopez
0,Grant Barr
0,Nicholas Jensen
6,Jacob Macfarlane
7,Jesus Alfaro
11,Austin Barden
15,Jessep Macfarlane
18,GRANT MANLEY
42,BRANDON EIGES
44,Joshua Katzki
b,r,e,a,k
Colorado,2
0,Matt Gleason
0,Dylan Hanel
0,Jonathan Stirk
0,Gregory Blumer
0,ZACHARY KRIEGER
0,J Wesley Chow
0,Matt Bubernak
0,Erik Hotaling
0,Joshua Crane
0,Mark Rauls
0,Tristan Voss
0,Girish Narayanswamy
0,Jack Drumright
0,Alex Tatum
1,MATTHEW ROBINSON
3,Charlie Peters
3,Elliott Woodward
7,Danny Langevin
15,Marc Kaylor
18,SAM RHEINS
19,Isaac Chestler
28,Andrew Nelson
44,Jesse Fisher
55,Pawel Janas
80,Jeremy Harker
b,r,e,a,k
California-San Diego,3
0,Ben Kumler
0,Jacob Gutkowski
0,Zac Goldberg
0,Migal Manickaraj
0,Joshua Hicken
0,Isaac Rehg
0,Steven Chung
0,Ryan Amely-Shannon
1,Jackie Wong
2,Nikhar ABBAS
4,Scott Radlauer
13,Joe McMinn
22,Cody Kirkland
24,Eric Hytönen
25,Mazden Mastromauro
35,KEVIN AMARBAYAR
36,Stefan Samu
50,Will Sun
68,Victor Rodrigo
70,Sequoya Daniels
72,Gene He
78,Brian McCoy
92,Neehar Kondapaneni
93,Blair Winnacott
94,Zachary Spidell
97,Zachary Murez
99,Gavriel Gelbart
b,r,e,a,k
California-Davis,6
0,Benjamin Souvey
0,Sam Asin
0,Evan  Martin
0,Jarren Suzuki
0,Trent Viau
0,Kevin Klein
0,Douglas Fox
0,Nicholas Helms
0,Bryan LoCoco
0,Taner Dubie
0,Casey Shugarman
0,Callum Watts
0,Kramer Straube
0,Spencer Sawyer
1,John Nguyen
5,Julius Vo
9,Rob Ross
11,Ryan Gallagher
14,Fredric Murolo
15,Nick Tolfa
23,Steve Purugganan
25,Nathan Maddox
b,r,e,a,k
Vermont,7
33,Dylan Marino
33,Caleb Guziak
33,Jackson Berman
33,Stephen Krajeski
33,Sage Tanner
33,Ryan Colarusso
33,James Cataldo
33,Jeremy Fischer
33,Andy Mogenson
33,Jack Duncan
33,Ellis Fredella
33,Jordan Kaufman
b,r,e,a,k
Columbia,10
0,Daniel Miron
0,Michael Pinkham
0,Benjamin Zhu
0,Bryce Harlan
0,Nathan Abrams
0,Matthew Abel
0,VICTOR CASTANO
0,Neil Orzechowski
0,Alexander Bienstock
0,Devon Harvey
0,ERIC SIMMONS
0,David Shan
4,Dennis Bienstock
7,JiMin Ko
11,Kristian Lundberg
16,Stephen Leong
17,Matthew Sagianis
18,Kenneth  Underwood
45,Colton Doering
74,Edward Tang
b,r,e,a,k
Washington,11
1,Manuel Eckert
2,Tian Chuan Yen
3,Khalif El-Salaam
4,John Bjorge
6,CURTIS RUSCH
7,ELI SAVELLE
9,Maximilian Landa
10,Dongyang Chen
12,Tomas Delgado
14,Steven Benaloh
15,JAMES GENDREAU
16,Cooper Schumacher
19,Oliver Marczynski
21,Oliver Speltz
23,Xiao Dong Liu
36,Jason Peacher-Ton
37,Brian Huynh
44,Christopher Lu
50,Samuel Scherer
55,Jonathan Shuster
87,Joseph Kornowske
88,Alan Lin
b,r,e,a,k
British Columbia,12
0,Kyle Chan
0,Bryce Jay
0,Hugh Knapp
0,SEAN MONTGOMERY
0,Kevin Chao
0,Connor McFadyen
0,ANTHONY PHAN
0,Alec Francis
6,Brayden Gee
7,Victor Cheng
13,Kevin Chu
16,Nicholas Yun
21,NICHOLAS LIN
24,Peter Yu
26,Joshua Lam
55,Allen Greer
74,Samuel Creed
88,Patrick Mavety
96,Ryan Hoy
b,r,e,a,k
San Diego State,14
0,ZEKE IVERS
0,Ryan Wilbanks
0,Bailey Thompson
0,Dalton Willey
0,Jonathan Gaasch
0,Jacob Barr
0,Erik McCoy
0,Eric Goulet
0,Branden Elam
0,Robert Horewitz
0,Henryk Pedersen
0,Josiah Reeve
0,STEVEN GREENE
0,Daniel Koble
2,Mitch Wellman
3,Michael Tran
5,ALEC ARATOW
16,Joseph Huppert
21,JJ Rogers
42,MARK SLADER
99,Maxwell Hume
99,Evan Smith
b,r,e,a,k
Cornell,13
0,Robert Rickert
0,Binli Huang
0,Andrew Gavin
0,Levi Helms
0,Christopher Perrotti
0,Yi Fan Wang
0,Pablo Avila
0,Evan Greenberg
1,Christopher Wan
3,Mikael Hammer
4,Kevin Liu
7,AUSTIN HARTLEY
10,Spencer DeRoos
11,Joe Thompson
11,Zachary Chen
17,Eliyahu Lehmann 
21,Jake Dunoyer
25,Jordan Diamond
b,r,e,a,k
California-Santa Barbara,15
0,Mitchell Solkov
0,Nathan Steinert
4,Matt Daly
01,Jeffrey Frye
02,Jack Hamner
03,MIKE SALE
08,Nathan Ransom
11,Adonay Bahta
12,Brendan Champlin
12,Alexandre Kupelian
13,Guillaume Bellegarda
13,Grant Novins
14,William Turner
15,Alex Heinzen
16,Ajith Brown
19,Evan Bosinger
20,HAAKON ELLINGBOE
21,Aidan Hall
22,NATHAN BURROUGHS
25,Ian Ladner
28,Kyle Rubin
32,Kieran Bates
34,Arthur Pan
39,Jordan Lund
42,Marcel Osborne
88,Bailey Wu
91,Samuel Fontaine
b,r,e,a,k
California,17
01,MASAAKI WARD
02,JOHN HO
04,Andrew Lin
06,Alexander Pan
07,JAMES FENG
08,Jesus Avila
10,Ben Chiu
11,Michael Girard
14,Joshua Yuan
16,Christopher McKeag
17,Ashwin Vaidyanathan
19,Eric Thewalt
20,Greg Salazar
21,Alexander Max
22,Andrew Ouyang
23,Patrick Lerchi
25,Tommy Lin
26,Rajiv Sambharya
28,Maxwell Fenton
31,Justin Geffrey
32,Paul Han
42,Aaron Yuan
44,MACCALLUM ROBERTSON
47,Rafael Castro
77,Brian Kooperberg
b,r,e,a,k
Western Washington,16
0,Trevor McNamara
0,NAT BREW
0,Tucker Jonas
0,Ethan Katz
0,Zhi Chen
0,William Coffin
3,Dennis Casio
10,ADAM CHOI
13,Aaron Haddeland
17,Liam Bateman
19,Jonas Golden
21,Joshua Kent
27,Nathan White
38,Alexander Grey
43,Daniel Lorigan
44,Seth Johnson
60,Kunyao  Zhang 
64,Chuck Tookey
70,EARL LE
77,Zachery Laycock
77,Aaron Glickman
98,Ryan Schluter
99,Daniel Mah
b,r,e,a,k
Chicago,18
0,Ryan Thiermann
0,David Ran
0,Jeffrey Weis
0,Judah Newman
0,Willem Longendyke
0,Will Clay
0,Kenneth Debacker
2,MAX BLUESTONE
7,MICHAEL LIU
9,Eli Cohen
9,Zachary Schuyler
10,Jeff Zhao
24,Michael Pardo
30,Nicholas McDonnell
31,MATTHEW CARTIER
36,Percy Stogdon
40,Anthony Davis
49,Cameron Menezes
63,Jason  Vallee
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Oregon,Cal Poly-SLO,13,9,"02/13/2016, 09:00",Pool A
Colorado State,Oklahoma,13,7,"02/13/2016, 10:30",Pool A
Cal Poly-SLO,Oklahoma,13,3,"02/13/2016, 12:00",Pool A
Colorado State,Cal Poly-SLO,12,10,"02/13/2016, 13:30",Pool A
Oregon,Oklahoma,13,7,"02/13/2016, 13:30",Pool A
Oregon,Colorado State,13,9,"02/13/2016, 15:00",Pool A
Oklahoma,Chico State,13,11,"02/13/2016, 23:00",Pool A
Oregon,Chico State,13,8,"02/14/2016, 12:30",Pool A
Colorado State,Chico State,9,10,"02/14/2016, 02:00",Pool A
Cal Poly-SLO,Chico State,11,8,"02/14/2016, 05:00",Pool A
pool,Pool B
Colorado,California-Davis,13,12,"02/13/2016, 09:00",Pool B
Vermont,Columbia,13,6,"02/13/2016, 09:00",Pool B
Colorado,Columbia,13,5,"02/13/2016, 10:30",Pool B
California-San Diego,Vermont,13,4,"02/13/2016, 10:30",Pool B
California-Davis,Vermont,9,7,"02/13/2016, 12:00",Pool B
California-San Diego,Columbia,13,6,"02/13/2016, 12:00",Pool B
California-San Diego,California-Davis,11,9,"02/13/2016, 13:30",Pool B
Colorado,Vermont,13,3,"02/13/2016, 13:30",Pool B
Colorado,California-San Diego,13,11,"02/13/2016, 15:00",Pool B
California-Davis,Columbia,13,4,"02/13/2016, 15:00",Pool B
pool,Pool C
Washington,San Diego State,11,8,"02/13/2016, 11:00",Pool C
Washington,Cornell,14,7,"02/13/2016, 12:30",Pool C
British Columbia,San Diego State,15,3,"02/13/2016, 12:30",Pool C
Washington,British Columbia,11,9,"02/13/2016, 14:00",Pool C
Cornell,San Diego State,9,10,"02/13/2016, 14:00",Pool C
British Columbia,Cornell,13,7,"02/13/2016, 15:30",Pool C
pool,Pool D
California-Santa Barbara,California,11,9,"02/13/2016, 11:00",Pool D
Western Washington,Chicago,10,9,"02/13/2016, 11:00",Pool D
California-Santa Barbara,Western Washington,10,6,"02/13/2016, 12:30",Pool D
California,Chicago,12,7,"02/13/2016, 14:00",Pool D
California-Santa Barbara,Chicago,13,8,"02/13/2016, 15:30",Pool D
Western Washington,California,7,12,"02/13/2016, 15:30",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,3rd Place
British Columbia,Colorado,1,0,"02/15/2016, 13:15",3rd Place Finals
bracket,5th Place Bracket
Cal Poly-SLO,Western Washington,12,13,"02/15/2016, 11:30",5th Place Finals
California-Santa Barbara,Cal Poly-SLO,9,12,"02/15/2016, 09:45",5th Place Semifinals
California,Western Washington,9,15,"02/15/2016, 09:45",5th Place Semifinals
bracket,7th Place
California-Santa Barbara,California,13,9,"02/15/2016, 13:15",7th Place Finals
bracket,Championship Bracket
Oregon,Washington,15,11,"02/15/2016, 13:15",Championship Game
Oregon,British Columbia,15,14,"02/15/2016, 11:30",Semifinals
Colorado,Washington,10,15,"02/15/2016, 11:30",Semifinals
Oregon,California-Santa Barbara,15,9,"02/14/2016, 14:30",Quarter Finals
British Columbia,Cal Poly-SLO,15,12,"02/14/2016, 02:30",Quarter Finals
Colorado,California,15,9,"02/14/2016, 02:30",Quarter Finals
Washington,Western Washington,15,11,"02/14/2016, 02:30",Quarter Finals
b,r,e,a,k
brackets,Consolation Bracket
bracket,9th Place Bracket
Colorado State,California-San Diego,15,12,"02/15/2016, 09:15",9th Place Finals
San Diego State,Colorado State,13,15,"02/14/2016, 14:30",9th Place Semifinals
California-San Diego,California-Davis,14,10,"02/14/2016, 14:30",9th Place Semifinals
bracket,11th Place
San Diego State,California-Davis,15,14,"02/15/2016, 09:15",11th Place Finals
bracket,13th Place Bracket
Oklahoma,Cornell,0,1,"02/15/2016, 08:00",13th Place Finals
Oklahoma,Vermont,15,11,"02/14/2016, 14:30",13th Place Semifinals
Chicago,Cornell,11,15,"02/14/2016, 14:30",13th Place Semifinals
bracket,15th Place
Vermont,Chicago,15,14,"02/15/2016, 08:00",15th Place Finals
bracket,17th Place
Columbia,Chico State,0,11,"02/16/2016, 03:15",17th Place Finals
b,r,e,a,k
pools,Power Pools
pool,Pool E
California,San Diego State,15,10,"02/14/2016, 09:00",Pool E
Oregon,San Diego State,15,14,"02/14/2016, 10:45",Pool E
Oregon,California,15,7,"02/14/2016, 12:30",Pool E
pool,Pool F
Colorado State,Western Washington,13,15,"02/14/2016, 09:00",Pool F
Colorado,Western Washington,15,9,"02/14/2016, 10:45",Pool F
Colorado,Colorado State,16,14,"02/14/2016, 12:30",Pool F
pool,Pool G
California-San Diego,Cal Poly-SLO,12,15,"02/14/2016, 09:00",Pool G
Washington,Cal Poly-SLO,15,10,"02/14/2016, 10:45",Pool G
Washington,California-San Diego,15,12,"02/14/2016, 12:30",Pool G
pool,Pool H
British Columbia,California-Davis,15,7,"02/14/2016, 09:00",Pool H
California-Santa Barbara,California-Davis,15,5,"02/14/2016, 10:45",Pool H
California-Santa Barbara,British Columbia,13,15,"02/14/2016, 12:30",Pool H
pool,Pool I
Cornell,Columbia,15,4,"02/14/2016, 09:00",Pool I
Oklahoma,Columbia,15,4,"02/14/2016, 10:45",Pool I
Oklahoma,Cornell,15,11,"02/14/2016, 12:30",Pool I
pool,Pool J
Vermont,Chicago,9,15,"02/14/2016, 12:30",Pool J
Chicago,Chico State,14,13,"02/14/2016, 23:00",Pool J
Vermont,Chico State,14,9,"02/15/2016, 12:45",Pool J
b,r,e,a,k
