Northeast Masters Men's Regionals,Masters - Men ,25,6,2016
Northampton,MA,2016-06-25,2016-06-26
https://play.usaultimate.org/events/Northeast-Masters-Mens-Regionals/schedule/Men/Masters-Men/
M.O.M. Man Old Man,3
teamInfo,,"New York, New York",,,
0,Luke Eddins
0,KEITH SHAPIRO
0,Jacob Cornish
0,Joshua Kent
0,Mateo Mead
0,Daniel Cohen
0,David Wexler
0,Henry Lee
0,Winston Ely
0,Nathan Smiley
0,Bob Suvanich
0,Anthony David Adams
0,Dan Romero
0,Manuel Fergus
0,JASON SHARRIGAN
3,PIOTR SURIE VON CZECHOWSKI
5,Peter Gilchrist
11,Matt Kushner
13,John Sakon
17,Dylan Zeigler
21,Ian Darling
27,Alex Vorce
b,r,e,a,k
IronCrow,2
teamInfo,,"Ottawa, ONTARIO CA",,https://www.facebook.com/IronCrowUltimate/,https://twitter.com/IronCrowulti
02,Luc Sigman
04,Ken Maclean
05,MARTIN CLOAKE
06,Benjamin Piper
07,Nick Klimowicz
08,Steve Chris
11,ARIEL UNTIVEROS
12,TOM NEWMAN
13,John Bowes
15,Darrel  Nantais
22,Mark Thompson
25,PETER ROEBUCK
32,Andrew Portwine
37,Craig Anderson
44,DAN THOMSON
65,JAMES KING
79,BRENT BURTON
82,MORGAN HOWARD
87,Christopher Keates
b,r,e,a,k
Get Off My Lawn,1
teamInfo,,"Burlington, Vermont",,,
0,SHANE BUSSMANN
0,Patrick Kelsey
0,Logan Puck
0,Ryan Johnson
0,ALEXIS FREDERICK-FROST
0,John Dinger
0,Tom White
2,Michael Fife
3,Jason Dolan
4,Daron Byerly
8,David Colburn
9,Bryan Cho
09,Mike Rozinsky
10,Dolan Patrick
11,Daniel Aleksiewicz
13,DOUG KENNEDY
13,Brian Sauro
15,Heng-Scheng Chuang
17,JOHN STONE
23,Patrick (Food) O'Day
24,Jonathan Palmer
29,Timothy Harvey
31,Andrew Murphy
37,Sam Harvey
38,Neil Wacek
51,Syrus Amedore
55,Eliot Desilva
77,David Polyak
88,Philip Lawrence
b,r,e,a,k
s,t,a,g,e,s
pools,Qualifier Round Robin
pool,Pool A
IronCrow,M.O.M. Man Old Man,0,0,"06/25/2016, 09:00",Pool A,Cancelled
Get Off My Lawn,M.O.M. Man Old Man,L,W,"06/25/2016, 11:00",Pool A,Final
Get Off My Lawn,IronCrow,0,0,"06/25/2016, 13:00",Pool A,Cancelled
b,r,e,a,k
