Huckfest 2016,Club - Men ,25,6,2016
https://play.usaultimate.org/events/Huckfest-2016/schedule/Men/Club-Men/
Chain Lightning,1
0,Daniel Sperling
2,Austin Taylor
5,Elliott Erickson
6,Allan Laviolette
03,Matthew Knowles
08,Matthew Smith
09,Samuel Little
10,Tyler Conger
12,Frank Wooten
13,Michael Fairley
15,Joel Wooten
16,Anders Olsen
19,Mark Poole
21,David Berendes
22,Brian Moore
22,Parker Bray
22,Sean Sears
24,Christian Olsen
25,Sun Choi
55,Blake Hannah
81,Joseph Burns
85,Evan Boecking
87,Trenton Spinks
b,r,e,a,k
Freaks,2
0,Tannon Hedges
0,Collin Orcutt
0,Michael Mobley
0,Stephen Brandon
1,Zack Avello
2,Nathan Sims
4,Blake Waldron
4,Jason Williams
5,Timothy Barczak
7,Beau Waldron
9,Javier Ortiz
10,Yusuf Abdullah
10,Danny On
11,Nathan Burch
13,Cody Smith
14,Mark Philipson
19,Matthew Radcliffe
24,Ethan Hodges
27,Michael Volz
28,Cody Havens
34,Isaiah Radcliffe
39,PETER WILKERSON
42,Tim Hoggard
50,Sean Allan
55,Tom Radcliffe
77,Anthony Cain
96,Mark Ullom
b,r,e,a,k
Ironmen,3
0,Blake Galloway
0,James  Poe
0,Payton Garlington
0,Jason Russell
0,Thomas Ballard
0,Michael Venezia
0,Michael Burke
0,Samuel Murphree
0,Tanner Robinson
0,Christopher McBride
0,Chris Browning
0,Martin Newman
0,Ray Davenport
0,Matthew Hardman
0,Thomas Echols
5,Eric Sjostrom
10,Scott Stone
11,Kelvin Williams
13,Carter Rae
13,Ethan Downs
16,Alexander Cape
18,Dane Jorgensen
23,Alexander Hill
24,Travis Midkiff
32,JUSTIN THIGPEN
45,Nathan Oaks
b,r,e,a,k
CaSTLe,4
0,Thomas Crockett
0,Colin Iglehart
0,Nathan Vogt
0,Brendan Cirillo
0,Ben Krupp
0,Daniel Scribner
1,Robert (Bobby) Castille
2,Evan Karson
3,Alex McClure
5,Zachary Gase
10,Nirek Sharma
10,Michael Mills
11,E.C. Gibbs
14,Evan Thornberry
15,Alex Semaca
16,Yuval Pearl
18,Cody Curran
19,John (Christian) Lukas
22,ZACHARY LOU
24,Aaron Bryant
25,Sean Campbell
31,Parker Quinn
31,Ben Aunins
47,Devin Belvin
b,r,e,a,k
Memphis Belle,5
0,Matt Bledsoe
00,Jon Thomas Williams
02,Nathan Wiemers
03,Dalton DeLuca
04,Joseph Walter
05,Jesse Dahms
08,ROB BRICE
09,Josh Moore
10,Shannon Allen
11,Ethan Sullivan
12,Robert Langley
14,MARK ALLMON
17,Connor Bailey
20,Sam Wilson
21,John Laubscher
23,Samuel Peter
24,ZACHARY BRANSON
25,RUSSELL CARR
27,Garrett Wilson
29,Harrison Hayes
33,Brantley Davidson
39,Stephen Lewoczko
44,Robert Stroup
53,Brian Koch
77,Jeff Williams
99,John-Michael Leppert
b,r,e,a,k
Shotgun,16
0,Jonathan Coleman
0,Timothy Robb
0,Logan Kruger
0,Michael Perry
0,Vincent Liang
0,PAUL WHITENER
0,ERIC SCHULTZ
0,David Hutzel
0,Parker Evans
0,Billy Donatuti
0,BRANDON XUEREB
0,Xin Shu
0,JAMES BRIER
1,Philip Lopez
8,Peter Warwick
8,Troy Nunez Jr
10,Jack Baba
11,Gary Lee
13,James Braendel
23,Shamit Dua
34,DAVID KAHN
38,Andrew Dreis
69,Mitchell Lutz
b,r,e,a,k
Smoke,11
1,Benjamin Dean
9,Samuel Feldman
17,ALEX BOWMAN
18,Miciah Clay
21,Harper Jones
23,John Gargiulo
24,Matthew Sui
25,Justin Badgett
27,Ben  Smith
31,CARLTON SEARCY
32,AARON JUBB
33,Matthias Arras
50,Alan Huels
90,Brett Coleman
b,r,e,a,k
Blade,17
0,Joseph Mayes
0,Patrick Doyle
0,Michael Alberts
0,Keon Cleary
0,Russell Meade
0,Andrew Hayslip
0,Leekon Wang
0,Jody Packer
0,Daniel Caplan
0,Alex Burns
1,Scott Soule
7,Samuel Turpen
14,NATHAN JUNG
21,Bryan Brooks
23,Christopher Smith
28,Will Mims
42,Watson Anderson
52,Ian Mack
54,Tanner Cherry
84,Travis May
b,r,e,a,k
Pocket City Approach,10
0,Jesse Wyatt
01,Nathaniel Mull
03,Ryan Fehrenbacher
04,Zach Maynard
06,DREW COLES
12,Andrew Martin
15,DOUG WHEATON
18,Kyle Wood
19,Josh Hammett
20,Joseph  Cowser
20,Luc Prevost
22,Wesley Haub
25,JOEL SCHEFFER
28,Ryan Bell
32,Cody Flamion
49,Derek Berggren
54,Jule Streety
73,Noah Rickelman
b,r,e,a,k
Dreadnought,6
0,KYLE DYER
0,Luc Sutherland
0,DAVIS PRUETT
0,GERALD ETHEREDGE
0,ANDREW GOODE
1,Luke Dockery
2,Thomas Dockery
14,Ethan Penner
15,Jacob Moore
19,Zac Petty
20,Aric Powers
24,Braxton Furlong
24,Taylor Stamps
28,Taren Goins
29,Tucker Bankston
32,Drew Taylor
67,Spencer Patterson
b,r,e,a,k
Cerberus,9
0,Sam Batson
0,John Langstaff
0,Patrick Trent
0,Jim Heneghan
0,Rusty Watson
0,Wright (William) Dickerson
0,Devin Gray
0,Jason Jones
4,Vinny Nguyen
6,Kyle Devins
9,Adam Cross
9,Foster Boales
10,Adam Burgess
11,Stephen Cook
16,Hunter Cutts
20,Zach Hsu
22,Jon Ross Ingley
29,Mason Cary
42,Christopher Molnar
48,Andrew Fortier
60,David William Petmecky
88,Brandon Li
90,Ben Llena
b,r,e,a,k
MS,18
0,GREG BUTZ
0,Pratik Rout
0,Abraham Dabit
0,Ben Caldwell
0,MARK BRELAND
5,Mark Sandefur
6,OMAR YASSIN
7,John Clemmer
10,Jason Teng
17,Carter Kittrell
32,Benjamin Leiker
42,HUNTER MARTIN
71,PAUL LAVALLEE
84,John Arender
87,William Woolverton
b,r,e,a,k
GirthQuake,12
1,Charles McCrory
01,Caleb Dickey
02,Quinn Bateman
03,Jonathan Pettis
04,Jacob  Perry
