Southeast Mixed Regionals,Club - Mixed ,10,9,2016
Atlanta,GA,2016-09-10,2016-09-11
https://play.usaultimate.org/events/Southeast-Mixed-Regionals-2016/schedule/Mixed/Club-Mixed
Bucket,1
00,Benjamin Spears
02,Cori Bradham
04,RYAN ARCHIBALD
05,Emily Karoblis
07,Joseph Oaks
08,Timothy Brady
09,Timothy Stapleton
10,Kenta Kawaguchi
11,Joanna Landry
12,Ryan Landry
13,Sam Gainer
14,Katie Gainer
16,Judith Beckedorf
20,Jack Barrow
21,Michael Arenson
22,Taylor Hide
24,Timothy Martin
25,Robert Bradham
32,Michelle Yang
33,Caroline Taylor
44,Samantha Hill
58,Brian Walsh
62,Steven Hicks
64,Jason Simpson
65,Aileen Thomas
77,Taylor Hartman
88,MATT KRESS
b,r,e,a,k
Cahoots,8
0,Aaron Schorsch
0,Virginia Conover
0,Sarah Clark
0,Charles Bridger
0,Robin Lowe-Skillern
0,Amy Gilbert
0,Machen Bihrle
0,Allison Bashford
1,Jason Rector
2,Timothy John Murray
5,Christopher Cosgrove
6,Ryan Stokes
7,Jesse Kovacs
8,Ruth Stokes
9,Christopher Calhoun
10,Melanie Lindsey
11,Brooke Holloway
14,Tanner Barcus
15,Sarah Jobsis
17,Nicholas Redmond
25,Kyle Silva
27,Linden Blaisus
36,Gina Lappe
44,Ruth Hudson
51,Chad Gerber
59,Ethan Burns
64,Jacob Warshauer
82,Matthew Martin
b,r,e,a,k
Malice in Wonderland,13
0,Serina Mazzoni-Putman
0,Danielle Sawyer
0,Michael Wetzel
0,Benjamin Noblit
0,Joseph Connelly
0,Alix Robbins
0,Chanchai Hongdoxmai
0,Kelly Learned
0,Kurt Chapman
0,Kelly Rigsbee
0,Emma Hoyle 
0,Bryan Brickhouse
0,Chrystian Plachco
0,Joey Saba
0,Blaine Taylor
0,Dan Putman
0,Sean Gallagher
0,Beth Stagner
0,Lauren Gardner
3,Eric Martin
5,Taylor Pope
7,Beth Gifford
12,Jeff Wiltgen
21,Kelly Sullivan
21,Xenia Boyer
24,Christian Forde
47,BRIAN MAULUCCI
b,r,e,a,k
KOD,12
00,ERICA YEAGER-LOMBARD
00,DAWSON KLEIST
