College Easterns 2016,College - Men ,18,3,2016
Little River,SC,2016-03-18,2016-03-20
https://play.usaultimate.org/events/College-Easterns-2016/schedule/Men/CollegeMen/
North Carolina-Wilmington,2
teamInfo,Seamen,"Wilmington, North Carolina",http://seamenultimate.com/,https://www.facebook.com/seamenultimate,https://twitter.com/seamenultimate
0,Joseph Sharp
0,Jack Williams
0,John  Wright 
0,Austin McGrayne
0,GABRIEL FULLER
0,Erik Esposto
0,Kevin Mateer
0,Keane Squeri 
0,DANIEL MERCER
0,Charlie Lian
0,Xavier Maxstadt
0,MATT MASON
2,Carl Matysek
3,Colin White
6,Kyle Warfel
9,Frederick Hennighausen
10,William Stewart
18,Grayson Sanner
25,Jake Gallagher
42,Jonathan Callahan
88,Dalton Vestal
89,Davon Jaramillo
99,Thomas  Theunissen
b,r,e,a,k
Minnesota,4
teamInfo,Grey Duck,"Minneapolis, Minnesota",http://mngreyduck.weebly.com/,https://www.facebook.com/MNGreyDuck,https://twitter.com/MNgreyduck
0,Cole Wallin
0,Joshua Pratt
0,Alexander Jirele
1,Ryan Osgar
3,Connor Anderson
4,Josh Kautz
4,Benjamin Jagt
9,Tom Duret
11,Sam Kaminsky
13,Anthony Poletto
20,Blake Trantina
23,Saurav Dubey
24,ISAAC RUFF
33,Adam Meckstroth
36,Donald Wood
40,NEIL PETERSEN
41,Samuel Bumsted
47,Dan Wylie
48,Wyatt Mekler
77,Soham Shah
93,Justin Hill
99,Tristan Van De Moortele
b,r,e,a,k
Pittsburgh,1
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",http://pittultimate.org,https://www.facebook.com/PittUltimate,https://twitter.com/Pittultimate
coaches,Nick Kaczmarek
0,Jack Slevin
0,SAM JENNINGS
0,Leo Warren
0,Michael Ing
2,Joseph Bender
3,Patrick Earles
5,Saul Graves
9,Carl Morgenstern
10,Max Thorne
11,Kyle Hartley
12,KEVIN TANG
13,Andrew Lehmberg
15,Dylan Best
16,Trent Dillon
17,Matthew Hanna
21,Noah Robinson
22,CHRISTIAN PITTS
24,Sam VanDusen
26,Robert Lincoln
35,Dan Goldstein
48,Jimmy Towle
77,Dillon Tranquillo
81,Vince Tranquillo
b,r,e,a,k
North Carolina,8
teamInfo,Darkside,"Chapel Hill, North Carolina",http://www.uncdarkside.com/,https://www.facebook.com/UNCDarkside,https://twitter.com/UNC_Darkside
coaches,Jonathan Nethercutt,DENNIS TARASI
0,AARON WARSHAUER
01,Aaron Wan
03,JD Hastings
04,Suraj Madiraju
05,Nathan Kwon
06,Jesse Kovacs
06,Ben Maxson
08,ALEC TOLENTINO
10,Marcus Rovner
11,Taek Lee
13,Andrew Cohen
15,Vikram Sethuraman
16,Austin Banks
17,Spencer Beck
18,Dain Nielsen
19,Paden McBride
21,Matt Gouchoe-Hanas
22,Walker Matthews
24,Alexander Davis
25,David Voychuk
27,Ryan  Greaves
42,Alex (Evan) Grosskurth
45,Elijah Long
50,Miles Lally
76,Chathan Driehuys
85,Andrew Mouw
b,r,e,a,k
Virginia Tech,16
