New England Open 2016,College - Men ,2,4,2016
https://play.usaultimate.org/events/New-England-Open-2016/schedule/Men/CollegeMen/
Connecticut,1
0,Philip Murray
0,Christian Bonebrake
0,CHARLES MORGAN
0,Brody O'Brien
0,Brian Abedon
0,Walter Esker
0,Alex Jayakar
3,John Friedman
6,Phil Case
9,Ryan Kennedy
11,Corey Danko
12,MILES RADIN
14,Owen Casey
22,Nathan Getz
28,RYAN POSSARDT
31,John Wodatch
33,Daniel Reilly
35,Christopher  Rodo
48,Colin Ng
65,Michael Rice
74,Alex Fishman
77,Jake Hansen
87,Bryan Maloney
96,Pat Kunkel
99,Gavin Clemmey
b,r,e,a,k
Bryant,5
0,Kacper Chrabaszcz
5,Nicholas Mendoza
6,Zachary Tuxbury
8,VALERIY KIM
11,Seth Lundstrom
14,Austin Kelson
18,Michael Cardello
19,Thomas Belger
23,John-Paul Saggal
24,Lucas Anderson
28,James Phillips
29,Adrian Alonso-Tavera
32,Tyler Horton
34,Cameron Jack
35,Kendrik Lechner
36,Jacob Garfinkel
47,Alex Kenworthy
70,Jon Malchiodi
88,Justin Kunkel
99,Michael Bighinatti
b,r,e,a,k
Northeastern,10
0,Alexander Soltoff
0,Jorden Van Emmerik
0,JUSTIN WONG
0,Sumner Cushman
0,Justin Tran
0,Jonathan Wagner
0,Cory Hard
3,Brian Wyer
7,SAMUEL THERRIEN
9,JESSE HARRIS
11,Samuel Letcher
12,YEEHIN LI
17,Ben Goossen
20,Jonah Kurman-Faber
24,John Capreol
25,Ilya Yudkovich
29,Daniel Doherty
32,Matthew Schwartz
39,Benjamin Meltzer
40,Liam Henry
41,Frederick Sheehan
45,Matthew Cook
45,Cameron Levenstein
54,James Beck
b,r,e,a,k
Vermont,9
0,Jack Conant
0,Ryan Colarusso
0,Liam McAuliffe
0,Sam Callison
0,Ted Blum
0,Dylan Marino
0,Caleb Guziak
0,Jackson Berman
0,Ellis Fredella
0,Jordan Kaufman
0,Justin Decatur
0,Quinn Ledak
0,Stephen Donahue
0,Sam Kilburn
7,Jeremy Fischer
17,Sage Tanner
21,Jack Duncan
33,Andy Mogenson
42,James Cataldo
69,Stephen Krajeski
b,r,e,a,k
Tufts,6
00,William Simon
00,Thomas Gartman
00,Jacob Marsh
00,Morgan Gellert
00,Addison Hanson
00,Alex Caulfield
00,Jack (John) Spiva
00,Oliver Newland
00,Walton (Yuito) Lee
00,Owen Martin
00,Michael Dillard
00,Benjamin Wittenberg
00,Kevin O'Brien
00,Bryce Walsh
00,Eric Chen
00,Charles Caron
00,Daniel Weinstein
03,Nicholas Roberts
10,Dylan Gully
12,Skyler Tom
94,Eamon Wick
b,r,e,a,k
New Hampshire,2
0,David Susca
0,Trevor Harcourt
0,Ryan Lamers
0,Calvin Conant
0,Matthew Schweizer
0,Trevor Yandow
0,Eric Bower
0,Cole Matthews
0,Ryan Creamer
3,Thomas Stover
5,Jordan Taylor
6,Rocco Essex-Linehan
8,Thomas Edmonds
9,Kyle Cayer
11,Jesse Schwartz
12,Christopher Linskey
12,Keefer Welsh
16,Cameron Dick
21,Austin Butler
25,Ivan Tran
45,Henry Briggs
48,DAMIAN WOODARD
79,James Marsh
94,MICHAEL ARNOLDY
99,Philip King
b,r,e,a,k
Dartmouth,7
0,Isaac Gluck
0,DANIEL SHANKER
0,Anders Bando-Hess
1,EVAN RHEINGOLD
2,John Elliott
3,Matt Mitman
4,Daniel Moder
6,DANIEL FINCH
7,GOUTHAM KANDRU
8,Peter Lobel
9,BRETT SZALAPSKI
11,Robert Livaudais
12,Spencer Heim
13,Leo Blooston
17,SEAN HOWE
20,David Friedman
24,Eric Greenlee
27,THEODORE OWENS
31,Nicholas Golini
44,Cedar Farwell
64,DAVID KLINGES
b,r,e,a,k
Williams,4
0,Matias Korfmacher
0,Luke Passannante
0,Patrick Gerald
0,Will Turett
1,Jeffrey Sload
2,Ari Ball-Burack
2,Douglas Wassarman
3,Dylan Martin
5,Noah Betz-Richman
6,Hartley Greenwald
8,Eli Goldstein
9,Joel Lee
11,Henry Lane
14,Brian Cintron
15,Willem Humes
15,Jeremy Smith
16,Lawrence Luo
18,Jonah Greenberg
21,Harrison Gatlin
24,Christopher Carley
25,Emmett Blau
31,Matthew Jang
42,Matt Radford
54,Chris Stefanik
59,Richard Saint
72,Matthew Goss
88,Jake Marrus
99,JOHN RUSSELL
b,r,e,a,k
Boston College,8
0,Kevin Sprotte
0,Riley Hanson
0,Niraj Patel
0,DAVID JOYCE
0,Roger Fleischmann
0,William Hamilton
0,Connor McKnight
0,Duncan Webster
2,Ryan Cardinal
3,Zac Basile
4,Ryan Woodhouse
5,Drew Davis
6,Jake Pridotkas
7,Henry Crowley
9,Ryan White
10,Theo Kruse
12,Nicholas Porter
13,Liam Earley
16,Anthony Gallanis
19,NICK CRAIN
24,Brendan Chambers
25,STEPHAN HALAREWICZ
33,Jonathan Young
41,Charles Lok
44,Tyler Raymond
50,Joshua DeBlieux
89,Michael Dillon
b,r,e,a,k
Bowdoin,11
0,Conor McManamy
0,Miles Brautigam
0,Conor Belfield
0,Franklin Ahrens
0,Dustin  Hines
4,Jordan Richmond
6,BRENDAN SOANE
7,Alexander Roche
8,Henry Daniels-Koch
9,Phillip Galonsky
10,Yuta Kobayashi
12,Walter Chacon
13,Robert Barron
16,AUGUST MILLER
17,Alex Ma
19,TIMOTHY BOIT
20,EDUARDO JARAMILLO
23,Max Vogel
24,Deion Desir
25,Ian Klasky
30,Sam Swindell
33,JEB POLSTEIN
42,Jojo Amdur
69,Taylor Love
77,CODY STACK
b,r,e,a,k
NYU,15
0,Cullen Weidenaar
0,Aaron Lau
0,Allen Zhou
0,Nathaniel Eisen
0,Jake Dahill-Fuchel
0,Daniel Seeto
0,Rob Chiarelli
0,Roy Rinberg
0,Feroz Khalidi
0,Wyatt Lien
0,MATAN YAH BEN ZION
0,Albert Su
2,Antonio Vayas
4,Jaime Perez
5,Theodore Chang
7,Jevons Liu
9,Gerald Tigol
9,Victor Kao
12,ANDERSON CHAN
15,Rohith Rao
19,Jesse Rice
27,Jason Angell
30,Rajat  Pillai
31,Morgan Robison
52,Anton Boutkov
54,David Zemmol
69,Matthew Meserve
b,r,e,a,k
Temple,12
00,WILLIAM ELLIS
00,Evan Novacek
00,Kevin Woodring
00,Andrew Trinh
00,Evan Kashan
00,KD Okello
00,Adriene Khon
00,Jeremy Fus
00,KRISTIAN WILLIAMS
00,Igor Smola
00,Ryan Morris
00,Zach Klee
00,Nathaniel Greenwood
00,Mitchell Gaylord
00,PIERCE LUCK
03,NICHOLAS WILSON
09,JULIAN MAKARECHI
12,Eli Segal
16,William Shutt
18,Adam Novak
20,Nicholas LaRue
21,Francisco Gomez
31,Paul Klimkowski
35,Matthew Wilson
37,Ryan Coughlan
39,Michael Facinelli
80,Benjamin Cozzolino
b,r,e,a,k
SUNY-Buffalo,16
0,Conor Lenahan
0,Sian Ho Ng
0,Benjamin Mozo
0,Nick Lenhard
1,Paul DeGennaro
2,Jeremy Sawyer
3,Seth Wittlinger
4,Roy Cineus
9,Sean Bowers
10,Steven Bennett
11,Scott Scheers
21,Max Hattem
22,Paul Sperr
35,Connor Bracy
41,STEVEN KAHN
44,Zachary Flint
95,Benson Chen
99,Jackson Donnelly
b,r,e,a,k
Rhode Island,18
0,Lucas Crowley
0,Ben Sacco
0,Riley Tuttle
0,Joshua Bolt
0,John Mundo
0,Sean Tolster
0,Chris Grady
0,Christopher Bohr
0,Seth Thompson
0,Russell Brown
1,Marc Gleason
2,Johann Becker
7,Robert Thottam
9,Zachary Smith
10,Sawyer Nichols
13,Nicholas Tierney
15,Frank Noonan
23,Sean McQueeney
24,Nicholas Gomes
31,Eric Lemoi
34,Jason Schwartz
40,Alex Jenkins
92,Derek Wiseman
b,r,e,a,k
Bentley,19
0,Conor Purvis
0,Christian Mangold
0,Fred Mackay-Wright
0,Daniel Wojtak
0,Patrick Michaud
0,Brian Fiore
0,RYAN PETERS
0,Corey Lerner
0,Terry Gras
5,Peter Jacobs
9,NATHAN SURGENOR
11,Ryan Coursey
14,Charles Noble
17,Andrew Zaccardi
18,Aaron  Rowell
19,Daniel Muller
33,Kyle Saroka
34,PETER YAHIA
62,Nick Suchecki
80,Joseph Kane
81,Liam Kilcoyne
99,AJ ARENA
b,r,e,a,k
Bates,13
0,Sam Hastings
0,MILES SCHELLING
0,Benjamin Wilson
0,Adam Auerbach
0,HENRY SIMON
0,Doug Leon
0,Nate Levin
2,Matt Goldberg
3,Alex Brown
6,David Smith
7,Noah Morasch
8,David Shipway
10,Charles Beatty
17,Benjamin Mardin
21,JOSH GIESLER
23,Tyler Sheffield
25,Chris Fox
27,Nathaniel Wells
35,JAMES PARDO
45,Will McPherson
60,Randy Peralta
63,Devin Ullerick
80,Jacob  Freedman
87,Colin Eimers
b,r,e,a,k
Columbia,20
0,ISAIAH FELDMAN-SCHWARTZ
0,Neil Orzechowski
0,Sagar Lal
0,Alexander Bienstock
0,Devon Harvey
0,Daniel Miron
0,Michael Pinkham
0,Benjamin Zhu
0,Bryce Harlan
0,Nathan Abrams
0,PAUL KAY
0,Matthew Abel
0,VICTOR CASTANO
0,Adam Richardson
0,Eli Kahn
0,Simon Anuszczyk
0,ERIC SIMMONS
0,Itamar Klein
0,David Shan
0,Paul Michael Custodio
0,Andrew Young
7,JiMin Ko
04,Dennis Bienstock
11,Kristian Lundberg
16,Stephen Leong
17,Matthew Sagianis
18,Kenneth  Underwood
45,Colton Doering
74,Edward Tang
b,r,e,a,k
SUNY-Albany,17
0,Jeffrey Lasher
0,Christian Schaefer
0,Michael Rotunno
0,Noah Momm
0,Andrew Marino
0,Neil Gill
0,Matt Downing
0,David Landers
0,Kyle Coulter
0,Alex Meltzer
0,Alexander Lopez
1,Nicholas Rasulo
3,Preston Brehm
6,Ivan Nunez
7,Isaiah Casiano
24,Steve Stavdal
31,Russell Gaudet
34,William Tangel
53,James McKeever
81,MICHAEL WOODS
91,Eric Russo
b,r,e,a,k
Yale,14
0,Theo Kuhn
0,Jonah Pearl
4,Charles Taylor
6,Matthew Johnsen
7,Acer Xu
01,AUBREY WAHL
18,JON DORSCH
19,Tavis Leighton
22,WILLIAM CRAMER
23,Thomas Kilmer
24,Daniel Stein
28,Yuhan Lim
31,Samuel Feder
41,Samuel Savitz
42,Guangping Chu
44,Theodore Weisman
48,Chris Wang
64,JEREMY LIU
77,Tomaso Mukai
b,r,e,a,k
s,t,a,g,e,s
pools,Men's Division Pools
pool,Pool A
Vermont,Northeastern,7,13,"04/02/2016, 09:00",Pool A
Bryant,Tufts,13,7,"04/02/2016, 09:00",Pool A
Bryant,Vermont,12,9,"04/02/2016, 10:45",Pool A
Connecticut,Tufts,13,10,"04/02/2016, 10:45",Pool A
Tufts,Vermont,10,11,"04/02/2016, 12:30",Pool A
Connecticut,Northeastern,12,11,"04/02/2016, 12:30",Pool A
Connecticut,Vermont,13,8,"04/02/2016, 14:15",Pool A
Bryant,Northeastern,11,7,"04/02/2016, 14:15",Pool A
Connecticut,Bryant,13,9,"04/02/2016, 16:00",Pool A
Tufts,Northeastern,10,11,"04/02/2016, 16:00",Pool A
pool,Pool B
Boston College,Bowdoin,13,11,"04/02/2016, 09:00",Pool B
Williams,Dartmouth,10,13,"04/02/2016, 09:00",Pool B
New Hampshire,Dartmouth,12,10,"04/02/2016, 10:45",Pool B
Williams,Boston College,13,8,"04/02/2016, 10:45",Pool B
New Hampshire,Bowdoin,13,8,"04/02/2016, 12:30",Pool B
Dartmouth,Boston College,13,10,"04/02/2016, 12:30",Pool B
New Hampshire,Boston College,12,9,"04/02/2016, 14:15",Pool B
Williams,Bowdoin,13,10,"04/02/2016, 14:15",Pool B
New Hampshire,Williams,13,8,"04/02/2016, 16:00",Pool B
Dartmouth,Bowdoin,13,11,"04/02/2016, 16:00",Pool B
pool,Pool C
Rhode Island,Bentley,13,11,"04/02/2016, 09:00",Pool C
NYU,SUNY-Buffalo,13,12,"04/02/2016, 09:00",Pool C
Temple,SUNY-Buffalo,11,8,"04/02/2016, 10:45",Pool C
NYU,Rhode Island,13,7,"04/02/2016, 10:45",Pool C
Temple,Bentley,12,8,"04/02/2016, 12:30",Pool C
SUNY-Buffalo,Rhode Island,13,11,"04/02/2016, 12:30",Pool C
Temple,Rhode Island,10,8,"04/02/2016, 14:15",Pool C
NYU,Bentley,10,9,"04/02/2016, 14:15",Pool C
Temple,NYU,11,12,"04/02/2016, 16:00",Pool C
pool,Pool D
Yale,SUNY-Albany,3,13,"04/02/2016, 09:00",Pool D
Bates,SUNY-Albany,13,10,"04/02/2016, 10:45",Pool D
Yale,Columbia,9,13,"04/02/2016, 10:45",Pool D
SUNY-Albany,Columbia,11,12,"04/02/2016, 12:30",Pool D
Bates,Columbia,13,9,"04/02/2016, 14:15",Pool D
Bates,Yale,13,7,"04/02/2016, 16:00",Pool D
b,r,e,a,k
brackets,Sunday Cancelled - No Games
b,r,e,a,k
