Dust Bowl 2016,College - Men ,27,2,2016
Tulsa,OK,2016-02-27,2016-02-28
https://play.usaultimate.org/events/Dust-Bowl-2016/schedule/Men/CollegeMen/
Arkansas,1
teamInfo,Ludicrous Speed,"Fayetteville, Arkansas",,,
0,William Gallian
0,Elliot Schaefer
0,Kaplan Maurer
0,Marcus Payne
0,FORREST GAINES
3,Adeeb Haroon
4,Brian Trussell
5,Sheldon Shinn
7,MASON HOLLIS
10,Lennon Dycus
15,Abe Gambert
17,CHARLES PURKAYASTHA
19,NASEER NASEEM
20,JORDAN SMITH
57,Jared Hines
69,Clayton Adams
b,r,e,a,k
John Brown,3
teamInfo,Ironfist,"Siloam Springs, Arkansas",,https://www.facebook.com/jbultimate,https://twitter.com/JBUIronfist
2,Ryan Gulbranson
3,Anson Stoller
4,Thomas Friesen
7,Parker Gulbranson
8,Austin Rider
13,Bradley Herschend
14,Ethan Penner
15,Grant Bruner
18,Brendan Culp
19,Ethan Bolthouse
20,Aric Powers
22,James Deer
32,Mitchell Guthrie
33,Jonathan Rothfus
66,Mark Belvardi
67,Spencer Patterson
80,Josiah Johnson
81,Jacob Hash
92,John Zumbro
96,Drew Fain
b,r,e,a,k
Baylor,9
teamInfo,Stonewall A,"Waco, Texas",,https://www.facebook.com/BaylorUltimate,https://twitter.com/BaylorUltimate
0,Keon Cleary
0,Austin Hangebrauck
0,MATT RINN
0,Will Bonds
0,Nathan Tjahjadi
0,Baxter Robb
0,Alex Clark
0,Dylan Lee
5,Tyler Chiu
7,Travis Taylor
7,ZACH PLUNK
7,Jackson Helling
9,Ben Giles
10,Ryan Smeltzer
11,Matthew Sutton
21,Alexander Brouwer
41,Austin Workman
82,Baylor Bresemann
91,David Roper
b,r,e,a,k
Oklahoma,5
teamInfo,Apes of Wrath,"Norman, Oklahoma",http://oklahomaultimate.com/,https://www.facebook.com/OklahomaUltimate,https://twitter.com/wrathfulapes
4,Ryan Kyle
6,Jason Christian
7,Logan Allen
9,Harper Stanfield
9,Jacob Barlowe
12,"Sam ""Suds"" Ward"
13,Cameron Guidry
14,Nathaniel Loyd
14,Kai Marshall
16,Andrew Seldenrust
20,Joseph Williams
22,Zane Whobrey
26,NATHAN SCOTT
30,Robert Kunkel
33,Adam Pollock
36,Christopher Leonard
38,Alex Mudd
44,Dillon Bruer
53,Dawson Pleasant
61,Stephen Wilson
69,Nicholas Estes
99,Cameron Bock
99,Wesley Zhang
b,r,e,a,k
Texas-Dallas,8
teamInfo,DTEX,"Richardson, Texas",,https://www.facebook.com/groups/465745246877658/,https://twitter.com/DTEXUltimate
0,ADAM BARTON
0,Nidhish Lokesh
0,Matthew Gehrlein
0,Joseph Welkener
0,Garrett Fish
0,Pranav Devalla
0,Srinivas Karra
0,Joey Campain
0,Neel Reddy
0,Robert Somma
3,Tyler Criss
4,Travis Bieda
5,Christian Cortes
12,David Knight
13,VINCENT NGUYEN
14,Alex Felten
16,Simon Brooks
21,Anish Indhupuru
22,Ross Neuman
29,Charles McNeil
29,Kirtan Patel
42,Adrian Chavez
55,Steven Borik
87,David Hammer
b,r,e,a,k
Texas Christian,2
teamInfo,High Noon,"Fort Worth, Texas",,https://www.facebook.com/tcuultimate?ref=bookmarks,https://twitter.com/HighNoonTCU
0,Andrew Fletcher
0,Braden Riebe
0,Brock Riebe
8,SEAN RODICH
04,Chris Pleshek
07,Luke Reddick
11,Kyle Keyzer
16,Andrew Lord
18,Dalio Losch
25,Christopher Roberson
26,Matthew Melendez
27,Daniel Hooks
32,Derek Schmidt
33,ROBERT WOOD
34,Caleb Ellison
49,Jacob Malmquist
53,Nolan Smith
78,Samuel Floren
