USA Ultimate National Championships,Club - Women ,29,9,2016
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2016/schedule/Women/Club-Women/
Seattle Riot,1
00,Paige Soper
01,Kelly Johnson
04,Rohre Titcomb
05,Alex Ode
06,Sarah Griffith
07,Calise Cardenas
08,Rachel Bradshaw
09,Qxhna Titcomb
10,Shira Stern
11,Nora Landri
12,Callie Mah
13,Kirstin Gruver
14,Hana Kawai
15,Bailey Zahniser
16,Cassandra Swafford
17,Dominique Fontenette
19,Fiona McKibben
20,Kristin (Charlie) Eide
21,Molly McKeon
22,Jack Verzuh
24,Sarah Davis
25,Alyssa Weatherford
27,Julia Snyder
34,Angelica Chambers
77,Jillian Goodreau
81,Charlie Mercer
b,r,e,a,k
Nightlock,8
0,Mallory Meiser
02,Marisa Rafter
03,Loryn Kanemaru
05,Laurel Oldershaw
07,Claire Sharman
08,Rachel Habbert
09,Alexandra Stambaugh
10,Malina Wiebe
11,Iris Leung
12,Heather Waugh
13,Marie Laurenza
14,Emily Kolanz
15,Annee Rempel
16,Jennifer Founds
17,Abigail Edwards VanMuijen
18,SHANNON BUBB
19,Adrienne Lemberger
20,Bree Cahn
21,Hayley Wahlroos
22,Kaitlin Swinnerton
23,Sabrina Ciccarelli
24,Natasha Won
25,Audrey Wei
27,Kira Lou
42,Jackelyne Nguyen
47,Bethany Kaylor
88,Alina Kagan
b,r,e,a,k
Heist,13
02,Jessica Serednesky
03,Liza Minor
05,Rose Glinka
07,Austin Prucha
08,Adrienne Wells
10,Alison Vandegrift
11,Melissa Gibbs
12,Jasmine Draper-Matthew
13,Brittney Kokinos
16,Margaret Walker
17,KELLY WIESE
19,Kayla Emrick
22,Arthi Padmanabhan
23,Anna Williams
24,Kristen Brenner
30,Jean Huang
31,Mary VanDuyne
33,Emily Wehrwein
40,Amelia Cuarenta
42,Elizabeth Gronert
44,Hannah Frank
45,Becky LeDonne
47,STEPHANIE KNELL
55,Liz Narmour
77,Laurel Schmidt
87,Emily Langland
91,Georgia Bosscher
b,r,e,a,k
Iris,12
02,Audree Jeanne Beaudoin
03,Virginie Maltais
04,Marie Genest
06,ANDREANE BOURGEOIS
09,EMILIE ST-PIERRE
10,Jessie Grignon Tomas
12,ALEXANDRA PICARD
13,Anouchka Beaudry
14,Kimberly Morin Coulombe
15,Shaunagh Howard
16,Marie-Ève Beauchemin
17,SABRINA BEAUDETTE
19,Genevieve Dufresne
20,MARIE-HELENE AUDET
22,AUDREY ST-ARNAUD
23,JULIE DAVIAU
25,Corine Masse
26,FREDERIQUE ASSELIN
33,Julie Landry
40,CAMILLE BARNES
41,Sophie Dagenais
80,Marikha Nguyen
82,Isabelle Toutant
b,r,e,a,k
Brute Squad,2
01,Sophia Herscu
03,Courtney Verhaalen
04,Lien Hoffmann
05,Julianna Werffeli
06,Claudia Tajima
07,Kameryn Groom
09,Rebecca Ludford
10,Amber Sinicrope
11,Christie Kim
12,Dory Ziperstein
13,Becky Malinowski
15,Kimberly Levins
17,Angela Zhu
18,Leila Tunnell
20,Sarah Cook
21,Chelsea Murphy
22,Victoria Negus
25,Shira Klane
26,Elana Schwam
28,Shellie Cohen
32,Lauren Sadler
33,Laura Bitterman
37,Molly Hallweaver
39,Sydney Dobkin
52,Caitlin O'Connell
71,Cassandra Wong
83,Alyson Steinfeld
b,r,e,a,k
Rival,14
01,Sadie Jezierski
02,Ashley Welsh
03,Alaine Wetli
04,Sarah Butts
05,Stephanie (Stevie) Miller
06,Corinn Pruitt
08,Becky Moore
09,Janine Walker
10,Kristen Smiach
11,Tracey Lo
12,Katie Backus
14,Theresa Zettner
15,Brittany Wright
16,Sarah Craycraft
18,Caitlin Harley
20,Sophia Knowles
21,Danielle Runzo
22,Talia Barth
27,Bailey Besser
28,Lauren Ficek
30,Jodi McCloskey
31,Sara Scott
37,Hannah Henkin
77,Amanda Noonan
b,r,e,a,k
Showdown,11
01,JERRY BENAVIDEZ
03,Domenica Sutherland
05,Andrea Esparza
07,Shiru Liu
09,Laura Landis
10,Gaby Cuina
11,Katey Forth
12,Nici Prien
13,Jennifer Schmerling
14,Edith Teng
15,Sydney Overman
16,Sarah Levinn
17,Marissa Land
18,Laura  Gerencser
20,Michelle Landis
22,Julia Schmaltz
23,Lillian White
25,Cristina Woodings
29,Michelle Arceneaux
32,Rebecca Forth
33,Erin Schran
44,Sharon Tsao
48,MELISSA LOH
92,Elise Bjork
99,JANEL VENZANT
b,r,e,a,k
Wildfire,7
00,Erin Crider
01,Sharon Tseng
02,Melissa Dunn
03,Jane Carlen
04,Kristen Pojunis
05,Rachel Ling
08,Alexa Cohen
10,Julia Johnson
11,Tiffanie Gallo
12,Linda Hamon
14,Chelsea Cotton
15,Brittany Cabriales
16,Laura Wehlitz
17,SARAH MCNEES
18,Natalie Griffin
19,Amanda Albi
21,Jane Griffin
24,Vivi Stevens
30,KELLY TIDWELL
36,MICHELLE CURTIS
52,Annie Ngo
69,Angela Wells
87,Melissa Kan
89,Brenda Stevens
b,r,e,a,k
Molly Brown,3
02,Samantha Peletier
03,Maggie Chen
05,Nhi Nguyen
06,Ashley Daly Morgan
07,Paige Applegate
09,Octavia Payne
10,Lindsey Cross
15,Dorothe Franklin
16,Megan Cousins
18,Crystal Davis
19,Christina Mickle
21,Kristina Snodgrass
23,Lauren Boyle
26,Lisa Pitcaithley
27,Tania Reitz
28,Sally Lambert
33,Lauren Baecher
42,Lisi Lohre
47,Rebecca Miller
49,Alicia White
52,Claire Chastain
55,Sara Taggart
65,Megan Ives
b,r,e,a,k
Phoenix,10
01,Lindsay Soo
02,Brooke Stanislawski
03,Lyra Olson
05,Jessica Jones
06,Qing (Jenny) Wei
10,Michelle Ng
12,Mariel Hammond
15,Ashley Powell
17,Jenna Dahl
19,Rachel Johnson
21,Kyra Catabay
22,Heather Zimmerman
23,Meg Duffy
24,Katelyn Travaglini
25,Judy Ledlee
26,Chloe Greene
29,Ann Araps
44,Katy Harris
52,Erynn Schroeder
66,Simone Whale
b,r,e,a,k
Traffic,6
00,Terri Whitehead
02,Reanne Bowlby
03,Michelle Ning
05,Ellie Hand
06,Katie Hikida
07,Naomi Morcilla
08,KATE SCARTH
09,Jessica Rockliff
10,ASHLEE DAVISON
11,Danielle Fortin
15,Kat Pohran
17,Candice Chan
18,Amira Maddison
19,MIRA DONALDSON
20,Collefas Mot
21,Rena Kawabata
24,Yayuk Joffres
27,SANYA PLESHAKOV
29,Ellen Au-Yeung
33,Laura Mason
42,Rachel Moens
44,Erin Bussin
70,Megan Kidston
77,Nicola Parker
88,KATE WERRY
90,Catherine Menzies
b,r,e,a,k
Green Means Go,15
00,Shannon Tsai
02,Margie Guy
03,Angela Martin
04,Meghan Wadlinger
05,YOLANDA SCARPATI
06,Malti McKinnon
11,Vicki Chen
12,Gillian Crysler
14,Sarah Gleeson
16,Kathryn Ritzmann
17,Anna Thompson
18,Elaine Dziemianowicz
19,Amel Awadelkarim
20,Danielle Walsh
21,Mackenzie Perkett
22,Beata Artz
23,Nichole Smith
24,Casey Gorman
