Southeast D-I College Men's Regionals,College - Men ,1,5,2016
Columbus,GA,2016-04-30,2016-05-01
https://play.usaultimate.org/events/Southeast-D-I-College-Mens-Regionals-2016/schedule/Men/CollegeMen/
Auburn,4
0,Jonathan Arrington
0,Robert Alongi
0,Harrison Lott
0,James Hershey
0,Trois White
0,William Thompson
0,Jack Missildine
0,Jacob Helf
0,Samuel Murphree
0,Hank Womble
3,Blake Galloway
5,Eric Sjostrom
6,Evan Caldwell
6,Garris Bugg
9,Dustin Register
12,Ryan Landry
22,Rocco Magnella
23,Martin Newman
25,Reid Williams
26,Hamilton  Wasnick
27,Michael Volz
28,Reid Thackerson
34,ZAC CAIN
35,Clark Missildine
37,Michael Strobel
47,Joshua Connelly
85,Evan Boecking
b,r,e,a,k
Georgia,2
0,Neal Raines
0,Patrick Trent
0,John Langstaff
0,NATHAN HASKELL
0,Vasiliy (Vasia) Mishin
0,Jason Jones
2,Joseph Lavine
4,Aidan Rogers
5,Ethan Bowling
7,Parker Bray
9,Samuel Little
10,Adam Burgess
16,Hunter Cutts
19,RYAN PAPPAFOTIS
21,Sheryar Ali
22,Jon Ross Ingley
29,Mason Cary
34,George Summers
60,David William Petmecky
82,Sam Batson
87,Gino Mattace
b,r,e,a,k
Tulane,8
0,Patrick Curley
0,TIM PATTERSON
0,ALEX GLICK
0,Matt Nice
0,Zachary Karpen
0,Jackson Cochran
0,Billy Donatuti
0,Brandon Suchyta
0,Andrew Begeman
0,JAMES LEON
0,Max Sandler
0,Benjamin Kravis
0,Jacob Morrow-Spitzer
0,Parker Evans
10,Jack Baba
13,David Kearing
17,JAMES BRIER
20,ZACHARY KARSCH
21,JASON KRUEGER
29,Evan Murray Walter
38,DAVID  MONDSCHEIN
39,Henry Stoddard
44,Benjamin Lamport
76,DAVID LEVY
81,AUSTIN KING
82,NATHAN WINSHALL
b,r,e,a,k
Florida State,3
0,John Kern
2,Bobby Patterson
3,Tim Lootens
4,Gabe Azarcon
5,Thomas Mazza
6,Rob Leeds
7,Carlito Que
8,CHENTE ORTIZ
9,Scott Moore
11,LIAM RAWSON
14,Austin Bass
19,Bryce Vokus
21,Robert Larsen
22,Spencer Howett
23,Peter Van Brussel
24,Dylan Claerbout
25,Cole Friedes
26,Alex Winter
27,Connor Holcombe
33,Kody Cotton
34,Avery Van Brussel
35,James Dobson
36,Stephen  Muir
43,William Boor
46,Keno Catabay
50,Driss Ziane
80,Daniel Miller
b,r,e,a,k
Florida,1
02,Billy O'Bryan
06,Danny Bishop
07,Ryan Hiser
09,Bobby Ley
10,Matt Thompson
11,Jacob Dummeldinger
12,Brandon Turnage
15,Tanner Repasky
16,Ryan Goetz
18,Hayden Wachob
24,Alec Cutajar
25,Unmil Patel
26,Matthew Molinaro
32,Patrick Gettino
39,Evan Murray
66,Daniel Conrad
69,ANDRIS OTISONS
96,Donovan Johnson
b,r,e,a,k
Central Florida,5
0,Adam Lapikas
1,Austin Gaines
2,Kameron Knight
4,Kyle Reedy
5,Michael Fairley
6,Kyle Lockwood
8,Harrison Slate
9,JACOB RADFORD
10,James Dangler
12,Matt Helms
13,Zachary Marks
16,Zachary Good
18,Tyler Carolino
25,Adam Vinson
26,Thomas Schulte
27,Austin Mercadante
30,Andrew McKelvey
32,Austin Malone
44,DAVID HANKIN
45,Jeffrey Shapiro
51,Michael Taylor
74,Stuart Little
84,Nick Ellison
87,Benjamin Ostman
88,Remi Prendergast
b,r,e,a,k
Kennesaw State,11
0,Muhsin Quraishi
0,Austin Howell
0,Jaron Whitehead
0,JACOB NOLAN
0,Sam Diffin
0,Ben Harmon
0,John Flowers
11,Isaac Smith
13,Ryan Murphy
14,Charles Loudermilk
16,Dan Buckley
17,Logan Ogletree
20,SEAN WHEALTON
21,Norman Cherry
23,Hunter Nielsen
42,Jon Fey
50,Ross Barnes
81,Joseph Burns
88,Brandon Li
97,Mike McGinnis
b,r,e,a,k
LSU,7
0,Thomas Echols
0,Brian Mart
0,Thomas Hannie
0,Omeed Naraghi-Pour
0,Mark Graham
0,ZACHARY FRUGE
0,Nicholas Ferguson
0,Grant Odenwald
0,Patrick Mancuso
0,Garrett Baringer
0,Travis Vermaelen
0,Wesley Freeburgh
0,Dylan Zeringue
1,Johnny Sims
2,Kody Kempff
12,Jeffrey Oravic
14,Grant Hardy
14,Luke Landaiche
21,Eric Reviere
29,Nicholas  Harper
55,Dexter Turner
60,Daniel Nan
69,Mitchell Lutz
77,Destin Tate
b,r,e,a,k
Florida (B),16
0,ADAM STOLLER
0,William Ford
0,Jonathan  Beaubrun
0,Andy Therathanakorn
0,Sterling Miller
0,Brian Palmer
0,Noah Barnes
0,Jesse Everett
0,Parks Weatherford
0,Julian Tolentino
3,Jose Varillas
3,Steven Nguy
5,Ely Levine
8,Tyler Hedges
8,BRIAN NAZARETH
9,Colby Cashion
11,TROY BRYANT
29,Hayden Chappel
b,r,e,a,k
Alabama-Birmingham,9
0,Daniel Howell
01,Thomas Ballard
02,Stevie Holloway
03,Nathan Wells
04,Michael Burke
06,Will Taft
07,TAYLOR BROWN
08,Kevin Shrestha
09,Jacob Meredith
10,Abhay Thottassery
11,Stakesh Peterson
12,AUSTIN MURDAUGH
13,Ethan Downs
14,cole chiselko
16,Max Goldsmith
17,Jason Russell
19,Matthew Ashburn
21,Richard Trieu
23,Clinton Bowman
24,Case Key
25,Tyler Clabough
27,Eric Bearss
42,Immanuel drew
63,Brian Acton
81,Jake Perkins
95,Akash Vakharia
97,Austin Henderson
99,Landon Baker
b,r,e,a,k
Tennessee-Chattanooga,12
0,Nicholas Whiteaker
0,David Thomas
0,Chase Clounch
0,Theodore Hartsoe
3,Zack Avello
5,Chase Hammond
6,AUSTIN RUNYON
8,Zachary Wilhite
10,James Conners
14,Cody Havens
18,Yanni Killebrew
20,Peter Vongsayarath
22,Paul Lally
22,Jason Raymond
23,Josh Johnson
43,Samuel Milligan
45,Foster Foy
62,David McKay
83,Ethan Benesh
b,r,e,a,k
Emory,13
0,Pratik Rout
0,Jonathan Chylinski
0,Daniel Sperling
0,Amol Vadhan
0,Kryn Dykema
0,Christopher Broecker
0,Michael Bartell
0,JACOB WHITACRE
0,Anders Olsen
0,Elijah Nwefo
0,MATHEW SPERLING
0,Caleb Parsons
0,Gideon Weiss
0,Willie Cobb
0,Jeremy Zackon
0,Eli Zelle
0,Pradyumna Singhania
0,Ekrem Kurucan
16,David Kim
17,Cheston Husein
18,Everett Dang
27,David Kim
34,James (Drew) Barkley
b,r,e,a,k
South Florida,14
0,John Taylor
0,Dylon Dam
0,BENJAMIN BREWER
0,Sagar Shahani
0,Vikrant Pendharkar
0,Weston Howell
0,Rocco Davis
0,CHRIS DRAWDY
0,Scott DeLuca
0,RODRIGO ANGULO
2,JASON TACKETT
8,Patrick Morris
9,Clay Hewett
12,MCGREGOR COYNE
16,Nathan Callihan
18,Alex DeSouza
21,Keith Patterson
27,Ryan Graydon
51,Patrick Dougherty
87,TAD PALMER
88,Matt Chandler
b,r,e,a,k
Georgia Tech,6
0,Kenta Kawaguchi
0,Lucas Maurer
0,Chidike Iromuanya
0,Jeffrey Minowa
0,Micah Jo
0,Ian Agnew
0,Nicholas Chen
0,Logan Bonds
0,Victor Pria
2,Ashwin Anantharaman
3,Andrew Bassett
4,Nick Ryan
5,Sean Mihm
11,Stephen Cook
12,Edward Foyle
16,John Dugan
17,Patrick Panuski
17,William Syre
18,Patrick McGannon
