Stanford Open 2016,College - Men ,20,2,2016
Morgan Hill,CA,2016-02-20,2016-02-21
https://play.usaultimate.org/events/Stanford-Open-2016/schedule/Men/CollegeMen/
Cal Poly-SLO,1
teamInfo,SLOCORE,"San Luis Obispo, California",,,https://twitter.com/CORE_ultimate
coaches,Peter Raines
03,Simon Krauter
04,Daniel Hoffman
05,Aaron Shi
11,Hudson Stuck
13,Dillon Whited
14,Christopher Cogswell
16,Thomas Konogeris
17,Joshua (Slater) Levey
18,Alec Bandler
19,Nathan Pettyjohn
20,Sean Liston
21,Caleb Merriam
23,DAVID HIRSCHEY
24,Jonathan Chianglin
25,Camden Reynolds
27,Andrew Lam
28,Joseph Gagliano
33,Ian Sweeney
34,Aidan Mccoy
44,Tim Okita
52,Andrew Stratford
53,Matthew Ferrari
82,Joel Anton
b,r,e,a,k
Carleton College-GOP,9
teamInfo,Carleton GOP,"Northfield, Minnesota",https://apps.carleton.edu/student/orgs/gop/,,https://twitter.com/goprocks
69,GAVIN ALLMAN
69,Benjamin Longchamp
69,Nelson Rohrbach
69,Malcom Fox
69,Matthew Maclay
69,Michael Ebako-Hodgson
69,Will Yetvin
69,Andy Rodgers
69,David Goodell
69,Arthur McCray
69,Bryce Barton
69,COLIN FROINES
69,Jeremy Hills
69,Saul Wildavsky
69,Jacob Cohen
69,Noah Robiner
69,Sam Blackburn 
69,SAMUEL WHITE
69,Abraham Eichner
69,Quinn Mayville
69,Theo Morris
b,r,e,a,k
UCLA,8
teamInfo,Smaug,"Los Angeles, California",http://smaugultimate.com/,https://www.facebook.com/UclaSmaugUltimate,https://twitter.com/uclaultimate
0,Alexander Dobner
0,Alexander Julian
0,Kevin Zhang
0,Jackson Valler
0,Joshua Fankhauser
0,Bryan Hong
0,Jarett King
0,Thomas Murray
0,Matthew Yee
0,Timothy Stickles
0,Paul Young
0,Daniel Patel
0,Brennan Hartley
0,Konrad Niemiec
9,Cooper Tanquary
10,Suraj Patel
12,George Faour
14,Matthew Guarino
18,Geoffrey Iyer
19,Joseph Schatzlein
23,Evan Soskin
26,Joshua Adler
38,Conor McNamara
44,Michael Bergman
83,William Carter
85,Siddhesh Naik
b,r,e,a,k
Nevada-Reno,16
teamInfo,Elevation Ultimate,"Reno, Nevada",,,
01,Daniel Ortiz
02,John Whiting
03,Ryan Takayama
04,Pete Marshall
07,ZACH LIM
08,Austin Lee
09,Thomas Fiock
11,Mitch Krieger
15,Brent Moore
19,Dominick Casucci
23,Gabriel Camacho
27,Austin Perry
29,Dillon Carroll
30,Donne Lenard Lomugdang
35,Raymond Lopez
77,Daniel Eitzman 
94,Ryan Schoenfeld
96,Jakob Stoner
99,Davis Ruggles
b,r,e,a,k
Occidental,17
teamInfo,Detox,"Los Angeles, California",http://www.detox-ultimate.com/,https://www.facebook.com/detoxultimate/,
coaches,Benjamin Potash
0,Paul Tomlinson
0,TY HRANAC
0,Adam Grammer
0,Jack Allen
0,Maxwell Marion
1,Graham Garzon
2,LOWELL BARTLETT
3,DANIEL TERNER
6,Robert Zhang
13,Sergio Rodriguez
17,David Kimball
18,Luis Torres
19,Spencer Goldman
22,Kade Cheatham
28,Hunter Weinreb
32,Will Shea
34,DAVID PHILLIPS
43,Luis Robles
66,Griffin Morita
69,Jesse Moore
99,Drew Andersen
b,r,e,a,k
San Francisco State,23
teamInfo,Fog Ultimate,"San Francisco, California",,,
00,Logan Jandreau
01,Ashlyn Strange
02,Yu Hsiang Huang
03,EMMETT KAAKE
05,Rebekah Jacobson
07,Zach Cowan
08,Austin Van Ginkel 
10,Brian Culy
12,Cameron Morgan
15,C. Cloud Monteclaro
16,Ryan Lee
17,Claudia Arquero
19,Victoria Shartzer
24,Jake Carrasco O'Connell
27,Danielle Jolette
33,chandler wells
41,Joey Tamusaitis
53,Jeffrey Okurowski
64,Jacob Cross
88,Daniel Tulberg
99,Jimmy Ward
b,r,e,a,k
Oregon State,2
teamInfo,Beavers,"Corvallis, Oregon",http://osumensultimate.wix.com/oregon-state-ultimate,https://www.facebook.com/osubeaversultimatedisc,https://twitter.com/OSU_ultimate
0,THOMAS KNEELAND
0,Aaron Peterschmidt
0,Eric Callahan
0,Beryl Terry
1,Sam Amaro
3,Jacob Ramsey
4,Nick Maher
7,Jacob Wigen
8,Ryan Rogers
11,Sebastian Coslow
13,Jacob Chickadonz
17,Kyle Furukawa
20,COLE CRAWFORD
20,Robby Duffy
21,William Carter
25,William Rowley
26,Taylor White
28,George Rear
36,Adam Schneiderhan
69,Andrew McCullough
77,Jack Hubner
89,David Rong
92,Joerg Reinert
b,r,e,a,k
Claremont,7
teamInfo,Braineaters,"Claremont , California",,,
0,Samuel Warren
0,JACOB BRONSTEIN
0,Stephan Kim
0,Abhyudit Lohe
0,Naseem Silver-Hajo
0,Gerard Bentley
0,JIMMY BRIGHT-DUMM
0,GABRIEL CURRIER
0,Harrison Chotzen
2,Andrew Russell
7,AVI ELKIN
7,Elliot Warner
12,Connor Colombe
14,Hill Balliet
14,BRUCE SERVICE
15,BRYCE MCLAUGHLIN
16,BAILEY ALBRIGHT
19,MATTHEW  GRIFFITH
21,WILLIAM MARKS
46,Owen Bell
99,Jeremy Snyder
b,r,e,a,k
San Jose State,15
teamInfo,Megabyte,"San Jose, California",,,
0,Loel de Leon
0,Wilvin Chew
0,Brandon Purcell
0,Chase McCoy
0,Skylar Fung
0,ANDREW FETZER
0,Stephen Ching
0,Michael Alstot
4,Phillip Young
9,NIKOLAS MIFSUD
00,Garrick Ho
10,Jonathan  Nozzari
23,Karl Muster
25,eli arbreton
28,Aren Yeghissian-Kanneian
97,Davis Ambur
b,r,e,a,k
Duke,10
teamInfo,Brimstone,"Durham, North Carolina",,,
00,Daniel DeVeau
00,Kevin Delgado
00,Nicholas Donadio
00,JAMES WU
00,Maximilian Christman
00,Jim Guan
00,ALEX DIETZ
00,MATTHEW CLEAVELAND
00,Jack Cohen
00,Andres Nazario
00,Charlie Pearlman
00,Ryan Mann
00,Aniruddh Prakash
00,Bilva Sanaba
00,Remy Freire
00,Conner Traugot
00,BEN MAPES
00,Joshua Smith
00,Bradley Feiger
00,Jonathan Rub
00,Benjamin Chesnut
b,r,e,a,k
Arizona State (B),18
teamInfo,Pleasure Ultimate,"Tempe, Arizona",modules/common/www.arizonastateultimate.com,https://www.facebook.com/pages/Pleasure-Ultimate/428479377237462,https://twitter.com/pleASUre_ult
coaches,Brett Carr
2,Michael Furey
4,Cody Vander Weyst
8,Barrett Bromich
9,Brandon Thomas
12,Noah Hilliker
13,Kolton Nelder
14,Tyler Prime
23,Andrew Trichak
24,GREG SCALIA
29,Robin Skaria
30,CONNOR ROTH
