Round Stone 2016,College - Men ,31,3,2016
Easton,MA,2016-03-31,2016-03-31
https://play.usaultimate.org/events/Round-Stone-2016/schedule/Men/CollegeMen/
Merrimack,3
00,Matt Caruso
00,Matt Wilson
00,ryan neary
00,Vincent Gomes
00,WESLEY MEI
00,Matteo Focchi
00,Sarah Sparks
00,John McMahon
00,Gavin Killough
00,JAVIER POZNAR
00,KYLE ELMY
00,Mark McNall
00,Edward Rouxinol
12,Collin McLaughlin
13,Vincent Carlomagno
16,Kevin McPherson
b,r,e,a,k
Stonehill,2
0,Patrick Benson
0,ALEXANDER CAHILLANE
0,Sebastian Patino
0,Frank Mooney
0,Avery Hale
0,Mike Rozelsky
0,Sean  Downs
0,Tyler Hall
0,Joshua Whelan
0,Jose Montalvo
0,Steven Villani
0,Michael Watts
0,Thomas Passano
0,Ethan Fultz
0,Jeremy Halstead
0,Matthew Moschella
0,Chris Briggs
0,Ian Vescera
0,Ryan Cooney
0,Anthony Martucci
0,Mark Gambon
0,Connor Hilbie
7,Jon Letourneau
42,Patrick  O'Hara
b,r,e,a,k
Massachusetts-Lowell,1
0,Anthony DiVirgilio
0,Timothy Koufogazos
0,Shubham Garg
0,Nathan McCann
0,Brandon Lee
0,Zach Rush
0,Sam Johnson
5,David Frongillo
9,JAKE FEIN
10,Jim Grace
12,William Russell
13,Lucas Morse
17,Gregory Dorian
23,JOSH CANNON
33,CONNOR SUMNER
42,Trevor Kelly
44,Andrew Mucci
51,Patrick Daly
88,Jake Hogan
b,r,e,a,k
s,t,a,g,e,s
pools,Stonehill
pool,Pool A
Stonehill,Merrimack,8,13,"03/31/2016, 18:30",Pool A,Final
Massachusetts-Lowell,Merrimack,5,10,"03/31/2016, 20:00",Pool A,Final
Massachusetts-Lowell,Stonehill,2,11,"03/31/2016, 21:30",Pool A,Final
b,r,e,a,k
brackets,Match Game
bracket,Match Game
Stonehill,Massachusetts-Lowell,9,13,"03/31/2016, 23:00",Match Game,Final
b,r,e,a,k
