Boston Invite 2016,Club - Men ,25,6,2016
https://play.usaultimate.org/events/Boston-Invite-2016/schedule/Men/Club-Men/
Dig,1
6,Rocco Essex-Linehan
03,Ryan Rzepka
04,Tanner Halkyard
05,Michael Sender
08,Ben Sadok
10,Victor Luo
11,Mat Little
12,Tim Schoch
15,Dylan Best
18,Jordan Taylor
20,Jonah Kurman-Faber
22,Benjamin Tseytlin
25,Ivan Tran
27,Nicholas Thompson
54,Joseph Crinkley
64,Carl Frederik Brasz
71,Denis Maguire
83,Alex Dagley
87,Josh Becker
b,r,e,a,k
Garden State Ultimate,4
0,Andrew O'Connor
0,JAKE STEVELMAN
0,Jesse Hynes
0,Jacob Price
0,Zachary Sands
0,Shawn Dacey
0,Zachary Cincotta
0,Marc Sands
0,Tyler Finkler
0,Alec Hunziker
1,Matt Chun
6,Justin Carter
6,Jibran Mieser
8,Sean Reischel
9,Kevin Wang
04,Gregory Stolowski
11,Scott Xu
12,Camen Piho
13,Quinn Hunziker
14,Matthew McElduff
18,Jake Doyle
25,Charlie Patten
25,Robert Patten
77,Bo Li
80,John Irvine
82,Marques Brownlee
85,Michael Campanella
b,r,e,a,k
New Amsterdam,5
0,Taylor Rasco
0,Bennett Taren
0,PHILIP  RASCONA
0,Evan Ma
0,Matthew Thomas
0,Zane Friedkin
0,Samuel Pollack
0,Samuel Ross
0,Evan Carter
0,Max Cohen
0,Matthew Mclaughlin
0,Keiran Carpen
13,Jay Sehgal
15,Juleon Robinson
17,Nadav Pearl
94,James  O'Connell
99,Stefan Dicker
b,r,e,a,k
Club M - Magma,8
0,Frédéric Lemieux
21,Mathieu Payeur
24,Dustin Gitelman
28,Daniel Vogt
37,Edouard Levesque
64,Simon Charette
77,VINCENT SAUVÃ©
86,Patrick Pham
91,Christian Painchaud
b,r,e,a,k
Mockingbird,7
0,Vincent Lemieux
0,JOSEPH GENEST
0,LOUIS-PHILIPPE F. DION
0,Thomas Faber
0,JULIEN POITRAS PLANTE
0,Malik Auger-Semmar
0,Charles Bariteau
0,JEROME BOUCHER
3,RAYNALD NEMOURS
9,Andre Arsenault
17,ANTOINE GENEST
21,Gabriel Monfette
27,MIGUEL GODERRE
29,Simon Ayotte
31,SAMUEL LANGLOIS
49,Félix-Antoine Daigle
b,r,e,a,k
Big Wrench,2
0,Walker Hatchett
0,Jordan Kaufman
0,Carter Thallon
0,Llewellyn Smith
0,Jack Conant
0,DAN FORSETER
0,Jack (John) Spiva
0,Sam Dushay
0,Jason Shnipes
0,Matthew Rogers
0,Jacob Saunders
0,David Lyle
0,Samuel Zuckernik
0,Nicholas Adolph
0,Gene Buonaccorsi
0,Eric Shaw
5,Hansen Yang
13,JOSH ADLER
17,Eli Motycka
17,Andrew Zaccardi
69,Stephen Krajeski
b,r,e,a,k
Colt,6
0,Gavin Clemmey
0,Kyle Saroka
0,Christopher Enderby
0,Jonathan Figueroa
0,Ross Littauer
0,Luke Diorio
0,Pat Kunkel
0,Garrett Bowen
1,Bryan Forman
2,Andrew Thai
7,Ricky Lewandowski
9,Patrick Laramee
14,Joseph Ouellette
20,Will Percival
25,Jake Hansen
25,Richard McFadden
27,Jeffrey Adams
28,Ben Weyers
32,Zach Grappone
37,David Griffin
52,Ryan Strobel
66,Garrett Santi
80,Joseph Kane
99,Timmer Farrell
b,r,e,a,k
Dark or Light,3
0,Micah Flynn
0,Leland Rege-Colt
0,Wesley Johnson
0,Zachary Dietz
0,Jeremiah Berlin
0,Chandler Thoma
0,Timothy Bobrowski
0,Isaiah Robison
0,Amos Adams
0,Joe Costello
7,Zach Levitt
9,Robin Stewart-Demartino
21,Manit Munshi
b,r,e,a,k
Bruises,12
0,Kevin O'Brien
0,Michael Humbert
0,Brandon Henshaw
0,Jack Deschler
0,Tyler Kenney
0,Jacob Arwe
0,Micah Botkin-Levy
0,Dennis Maclaine
0,Patrick Blum
0,Charlie Reiff
1,Patrick Jerome
4,Benyamin Meschede-Krasa
4,Ryan Woodhouse
4,Alexander Curreri
5,Peter Jacobs
6,Adam Logan
11,Jesse Schwartz
11,Patrick Collins
13,Paul LeMay
14,Jonathan Tomer
15,Craig Bunce
16,AJ Hutchins
17,DEREK STEVENS
21,Brian Munroe
22,Bryan Finney
35,Russell Katz
73,Brendan Blaney
78,Keith Zuckerman
81,ERIC RATHBUN
91,Christopher Haley
b,r,e,a,k
Red Circus,9
0,Kenny Zhan
0,patrick Berrigan
